大类,类型,引信,名称,翼展,射程,制导系统,_id,图片,产国,研发单位,研制时间,关注度,弹长,简介,最大速度,弹径,弹重
导弹武器,地空导弹,NULL,9K37“山毛榉”（SA-11“牛虻”）防空导弹,NULL,30千米,半主动单脉冲雷达制导 　　,{'$oid': '5cc93383831b973d657f21a2'},http://images.huanqiu.com/sarons/2013/11/7ee739dbf419ef65132a9b43523575c8.jpg,苏/俄,NULL,NULL,NULL,5.55米,"
萨姆-11防空导弹（SA-11“山毛榉”代号9K37），北约称其为“牛虻”，是SA-6地空导弹系统的后继型，与SA-6具有互操作性。此型导弹是一种中低空、中近程机动式防空武器系统，主要承担野战防空任务，装备陆军导弹旅。采取四联装发射架，履带式载车。出口型号称作Ganges。

萨姆-11主要用来对付美国的反辐射导弹、巡航导弹以及30～15，000米高度上的超、亚音速飞机、其作用与“萨姆-6”相同，但性能与威力比“萨姆-6”要强。萨姆-11防空导弹外形酷似标准防空导弹，弹体中段安装4片长弦短翼展控制翼面，尾端安装4片截短三角翼形的活动控制舵面。攻击时先快速爬升，再俯冲瞄准目标，导弹系统进入战斗状态需要5分钟，从目标跟踪到发射导弹需要22秒。萨姆-11防空导弹每个导弹营包括一部指挥车，一个搜索雷达车，六部运输-起竖-发射-雷达车，三部装填车。每个导弹连包括两部运输-起竖-发射-雷达车，一部装填车。
",NULL,0.4米,685千克
导弹武器,地空导弹,NULL,9K38 Igla 针式导弹(SA-N-10),NULL,5.2千米,NULL,{'$oid': '5cc93383831b973d657f21a3'},http://images.huanqiu.com/sarons/2013/11/ca7ba624711f13d056b198b26ef4d0db.jpg,苏/俄,NULL,1971年,NULL,1.574米,"
萨姆-18防空导弹（SA-18“松鸡”），俄军代号“针”，内部编号“ 9K38 ”式地空导弹系统是一种便携式近程低空防空导弹系统。针-9K38 是一种全新的导弹系统，采用一种取代光学扫描技术的更先进的导引头。
",700千米/小时,0.72米,10千克
导弹武器,地空导弹,NULL,杰里科-3导弹,NULL,4800千米,NULL,{'$oid': '5cc93383831b973d657f21a4'},NULL,以色列,NULL,1988年,NULL,15.5米,如果杰里科-3导弹只是保持杰里科-2导弹的命中精度或仅是略微提高，射程加倍的情况下圆概率误差也将加倍，从而影响实际的打击效果。,NULL,1.56米,NULL
导弹武器,地空导弹,NULL,"9K33 ""黄蜂 Osa""（SA-8 ""壁虎 Gecko""）防空导弹",NULL,12千米,指令式,{'$oid': '5cc93383831b973d657f21a5'},http://images.huanqiu.com/sarons/2013/11/cb57b8a0d3fb5ea2fbb9899ed49dc053.jpg,苏/俄,火炬科研生产联合体,20世纪60年代,NULL,3.2米,萨姆-8防空导弹（SA-8“壁虎”）系统采用自行式载车，供前方地域机动部队使用，是一种全天候低空导弹近程防空导弹武器系统，具有通过各种地形的机动能力，适用于野战防空，苏军称“菱形”（POMB），西方称之为“盖科”（Gecko，意译为“壁虎”）。于1974年开始装备部队，初见于1975年11月7日的莫斯科红场阅兵式中。,NULL,0.21米,190千克
导弹武器,地空导弹,NULL,萨姆-9防空导弹,NULL,4.2千米,红外被动寻,{'$oid': '5cc93384831b973d657f21a6'},http://images.huanqiu.com/sarons/2013/11/e60ceb8a4cd4f2188d8991198280f162.jpg,苏/俄,NULL,NULL,NULL,1.803米,萨姆-9防空导弹（SA-9“甘斯肯”），苏联称9К31 “Стрела-1”，西方称作“盖斯金（灯笼裤）”（Gaskin），在中国被称为“箭-1”，是前苏联研制的自行式全天候型高机动低空近程地对空导弹武器系统，主要用于对付低空亚音速飞行的飞机目标。,NULL,0.12米,32千克
导弹武器,地空导弹,NULL,萨姆-12防空导弹,NULL,135千米,指令制导与半主动雷达制导,{'$oid': '5cc93384831b973d657f21a7'},NULL,苏/俄,前苏联安泰公司,1984年,NULL,7.5米,萨姆-12防空导弹（SA-12“斗士/巨人”，苏联编号S-300V），是前苏联“安泰”（Antey）研制与生产联合体研制的一种机动式全天候型高空、远程地空导弹系统。从20世纪70年代中期开始研制，1984年完成研制试验，1986年开始投产，1987年开始服役。系高性能类似于美国的爱国者导弹，能攻击远、中、近程和高、中、低目标，采用一部多功能相控阵雷达，作用距离约300公里，能同时搜索、跟踪、识别空中多批目标和制导多枚导弹攻击不同的目标，即具备多目标能力和低空能力，可击毁高性能飞机和战术弹道导弹，苏军用以取代萨姆-4防空导弹。,NULL,NULL,1600千克
导弹武器,地空导弹,NULL,萨姆-13防空导弹 ,NULL,5千米,被动红外寻的制导,{'$oid': '5cc93384831b973d657f21a8'},http://images.huanqiu.com/sarons/2013/11/4a5e1acf6587db103d109e670c877a4e.jpg,苏/俄,NULL,NULL,NULL,2.2米,萨姆-13防空导弹（SA-13“金花鼠”，9M37M Strela，苏联称之为“箭-10”）是一种机动式全天候近程地对空导弹武器系统，该导弹系统于70年代初在“箭-1”基础上研制而成，主要用于对付低空亚音速飞机。1975年开始装备部队，1980年出现于苏军驻东德集群部队，代替了萨姆-9防空导弹（“箭-1”），1982年11月在莫斯科红场首次公展，1985年初苏联还向安哥拉、保加利亚、利比亚、捷克、叙利亚提供一批SA-13地对空导弹武器系统。在20世纪80年代，平均每年至少生产2800枚。萨姆-13防空导弹装备于坦克团和摩托化步兵团属防空连，每连4部发射车（另有4门3Cy-23-4式自行高射炮）。发射车上有4枚待发炮弹和8枚储存弹。采用被动红外寻的制导方式，灵敏度高，抗干扰能力强，越野性能好。,NULL,0.12米,39.5千克
导弹武器,地空导弹,NULL,AGM-130空地导弹,1.498米,9.091千米,NULL,{'$oid': '5cc93384831b973d657f21a9'},http://images.huanqiu.com/sarons/2014/04/eaf116569767841c28f874bc1f51dac4.jpg,美国,罗克韦尔国际公司,1984年9月,NULL,3.9米,"
AGM-130空地导弹是在GBU-15的基础上加装火箭发动机和雷达高度表研制而成。它被称为空地导弹(AGM)，而不是炸弹，这种武器无论在射程、弹道控制和命中精度上都有很大提高。最初研制成功的称AGM-130A型，使用Mk84型常规炸弹(弹径907千克)作为战斗部。1984年9月开始研制，1985年9月开始飞行试验，1990年5月开始投产，1993年完成研制。用来攻击敌方的指挥中心、桥梁、机场、港口、高炮阵地和导弹发射场等地。
",NULL,0.45米,1312.65千克
导弹武器,地空导弹,NULL,萨姆-15防空导弹,NULL,12千米,指令制导方式,{'$oid': '5cc93384831b973d657f21aa'},NULL,苏/俄,NULL,NULL,NULL,3.5米,"
萨姆-15防空导弹（SA-15“圆环胎”），俄罗斯称之为9K330“道尔”（TOR），其最新改进型为9K331“道尔-M1”（TOR-M1），1993年装备部队，是俄罗斯“安泰”设计局80年代研制的近程地空导弹系统，它是一种机动型全天候近程防空武器，用于为野战部队或各种军事目标提供近距离对空防御，击落飞机、直升机、巡航导弹、精确制导弹药、无人飞机和弹道导弹等。
",NULL,0.235米,167千克
导弹武器,地空导弹,NULL,“莱茵女儿”地空导弹,NULL,12千米,NULL,{'$oid': '5cc93384831b973d657f21ab'},http://images.huanqiu.com/sarons/2013/12/47806be2885a06587887e937b20ee6e4.jpg,德国,莱茵金属公司研制,1941年,NULL,4.75米,"
“莱茵女儿”地空导弹由德国莱茵金属公司研制，有R1和R3两种型号，其中R1型的动力是两级固体莱茵女儿-1在发射架上燃料，R3则是液体燃料带固体助推器。莱茵女儿”从1943年开始进行了82次试射，到1945年，德国战败成了定局，该导弹的计划不得不在当年2月被终止，最终也没能装备部队。战后，美、苏、英等国在德国技术成果的基础上，研制出了第一代实用地空导弹。
",NULL,NULL,1748千克
导弹武器,地空导弹,NULL,瀑布地空导弹,1.58米,26.4千米,NULL,{'$oid': '5cc93384831b973d657f21ac'},NULL,德国,EMW公司,1941年,NULL,7.45米,"德国在1941年开始对瀑布导弹进行设计研究，并于1942年11月完成，它实质上是缩小版的V-2导弹的防空导弹版，基本设置没变，在弹体中部位置安装了额外的翼，从而增加了机动性。采用液体燃料火箭发动机为动力的原型导弹在1943年初进行了飞行测试。1943年8月,瀑布导弹的设计者，瓦尔特 蒂尔博士(Walter Thiel )在英国皇家空军轰炸佩纳明德(Peenemunde )时丧生，整个导弹项目因此受到严重影响。1945年由于苏军的逼近，瀑布导弹计划终止。",NULL,0.72米,NULL
导弹武器,地空导弹,NULL,火百合地空导弹,NULL,5千米,NULL,{'$oid': '5cc93385831b973d657f21ad'},NULL,德国,德国航空航天研究部,1941年,NULL,4.8米,"
“火百合”地对空导弹计划来源于德国空军部的一项紧急研究计划，其目的是通过实验获得对未来导弹有用的数据。从计划一开始就设计了两种型号F25和F55，即跨音速的F25和超音速的F55，两种导弹的空气动力外形都来自布劳恩的研究成果。

F25安装一台Rheimetall 109-505固体燃料火箭发动机，可工作6秒，发出500千克的推力。由一台装倾斜滑轨的发射架或挂在飞机机腹下发射，1943年4月在佩内明德附近发射成功。
",NULL,0.55米,600千克
导弹武器,地空导弹,NULL,龙胆草地空导弹,NULL,NULL,NULL,{'$oid': '5cc93385831b973d657f21ae'},http://images.huanqiu.com/sarons/2013/11/0cb4a362862757fcfd8ead4338442ad5.jpg,德国,梅塞施密特公司,1944年,NULL,4米,"
1944年初开始研制的地对空导弹。结构由Me163火箭动力战斗机得到灵感，有类似的三角翼和粗短的弹身，有四个助推器和一台主发动机。发动机和控制系统存在若干难以解决的难题，直到战争结束都未能成功。
",NULL,NULL,1800千克
导弹武器,地空导弹,NULL,蝴蝶地空导弹,NULL,32千米,无线电指令，雷达跟踪,{'$oid': '5cc93385831b973d657f21af'},NULL,德国,亨舍尔公司,1944年,NULL,4.2米,"
当时的德国所研制的最接近实用阶段的地对空导弹，使用无线电指令、雷达跟踪的制导方式，除主发动机外，加装两枚固体燃料助推火箭，已进行过大量试验，但未来得及装备部队。
",NULL,0.35米,420千克
导弹武器,地空导弹,NULL,“烈火”1地对地弹道导弹,NULL,700千米,NULL,{'$oid': '5cc93385831b973d657f21b0'},NULL,印度,NULL,20世纪90年代,NULL,12米,“烈火”系列导弹是印度战略威慑主力之一。“烈火”家族将拥有四种射程不同的型号：“烈火-1”、“烈火-2”、“烈火-3”和“烈火-4”。“烈火”系列导弹首次飞行试验是在1989年，实际上试验的是“烈火”系列的模型弹。最早进入试验阶段的是“烈火”2导弹，其它导弹都是在该型导弹的基础上发展而来。“烈火”1导弹的射程为700公里，有效载荷重量为1000公斤，单级，采用固体燃料。,NULL,NULL,15000千克
导弹武器,地空导弹,NULL,萨姆-14防空导弹 ,NULL,6千米,被动红外寻的制导,{'$oid': '5cc93385831b973d657f21b1'},NULL,苏/俄,NULL,NULL,NULL,1.4米,"
SA-14“小妖精”为SA-7的改进型，俄称“箭-3”，1974开始在前苏联部队服役，生产代号为9K34。
",NULL,0.75米,2.95千克
导弹武器,地空导弹,NULL,铠甲-S1防空系统,NULL,20千米,NULL,{'$oid': '5cc93385831b973d657f21b2'},http://images.huanqiu.com/sarons/2013/11/e53ce89712a2c161f5e0404ed8d3b5b9.jpg,苏/俄,图拉仪器制造设计局,1994年,NULL,3.2米,“铠甲”-S1防空系统是世界上独一无二的，它装备12枚射程为20公里的地空导弹和2门30毫米口径的自动火炮。它可以同时发现并跟踪20个目标，既可在固定状态下，也可在行进中对其中4个目标实施打击。除巡航导弹、反雷达导弹、制导炸弹、各种有人和无人战机外，“铠甲-S1”还可打击地面和水中轻装甲目标以及有生力量。,NULL,0.17米,90千克
导弹武器,地空导弹,NULL,萨姆-10防空导弹,NULL,135千米,指令制导与半主动雷达制导,{'$oid': '5cc93385831b973d657f21b3'},NULL,苏/俄,金刚石导弹设计局,1967年,NULL,7.5米,"
萨姆-10防空导弹（SA-10，C-300П，S-300P）“雷声-A”(Grumble-A)是前苏联国土防空军第三代地对空导弹系统。从1967年开始研制，1981年装备国土防空军，为全空域大型防空导弹，具有反巡航导弹能力。
",NULL,0.45米,NULL
导弹武器,地空导弹,NULL,“陆盾”2000(LD2000)型近程防空武器系统,NULL,NULL,NULL,{'$oid': '5cc93386831b973d657f21b4'},http://images.huanqiu.com/sarons/2013/11/2a36ecdcef006f8b3b17c3c7d292963b.jpg,中国,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
导弹武器,地空导弹,NULL,“阿斯派德”2000面对空导弹系统,NULL,35千米,NULL,{'$oid': '5cc93386831b973d657f21b5'},NULL,意大利,意大利MBDA公司,NULL,NULL,3.66米,"
意大利MBDA公司生产的Aspide防空导弹在全球600多次的发射中成功率达到了97%以上，再次展现了该武器的可靠性。如今，5000余枚Aspide半主动制导导弹已经被生产。
",NULL,0.203米,220千克
导弹武器,地空导弹,NULL,萨姆-5地对空导弹,NULL,400千米,NULL,{'$oid': '5cc93386831b973d657f21b6'},NULL,苏/俄,NULL,五十年代中期,NULL,10.6米,"
萨姆-5地对空导弹(S-200“织女星”)为前苏联第二代防空导弹武器系统。属远程中、高空防空导弹， 北约称之为SA-5“甘蒙”。SA-5地空导弹这是当今世界上射程最远的高空，远程防空导弹武器系统之一。
",NULL,0.86米,2800千克
导弹武器,地空导弹,NULL,93式近程地对空导弹,NULL,170千米,红外/可见光,{'$oid': '5cc93386831b973d657f21b7'},http://images.huanqiu.com/sarons/2013/11/7fc49acf63be697767335632e92b417c.jpg,日本,NULL,1992年,NULL,4米,"
93式肩射导弹是一种现代型便携式地对空导弹，可以说是日本的“毒刺”版，1992年开始装备部队；同美国的“毒刺”（Stinger）导弹发展成为“复仇者”（Avenger）一样，93式导弹推出不久，就衍生出车载机动的93式近程防空导弹系统；而具有先进制导方式短SAM中程、低空地对空导弹不久也将装备部队。
",NULL,0.35米,530千克
导弹武器,地空导弹,NULL,红旗-12防空导弹 ,NULL,42千米,雷达制导,{'$oid': '5cc93386831b973d657f21b8'},http://images.huanqiu.com/sarons/2013/11/6a27ed5f18028b59a901d163c4272a61.jpg,中国,中国江南航天工业集团,1983年,NULL,5.6米,"
红旗-12实际上就是红旗-2中高空的改进版本。能够打击在0.5~25公里的高度上飞行的目标，倾斜发射时射程为7~42公里，最大飞行速度1200米/秒。实际上就是在填补将来红旗-2完全退役后的防空射程空白，作战定位同样是配合远程防空导弹，形成不同防空层次的廉价版本。
",NULL,0.4米,900千克
导弹武器,地空导弹,NULL,红旗2号中高空防空导弹,NULL,3.5千米,NULL,{'$oid': '5cc93387831b973d657f21b9'},http://images.huanqiu.com/sarons/2013/11/2aa1afaf08e732c49695b5b8e4c4f682.jpg,中国,NULL,1965年,NULL,10.842米,"
可移动式全天候、全方位、全空域的要地防空导弹系统系列，可拦截各种飞机、巡航导弹和高空侦察气球，也可在需要是打击地面和海上目标。
",NULL,NULL,2322千克
导弹武器,地空导弹,NULL,日本81式“短萨姆”近程防空导弹,NULL,NULL,NULL,{'$oid': '5cc93387831b973d657f21ba'},NULL,日本,东芝公司,1971年,NULL,3.98米,"
日本81式防空导弹系统于1982年开始装备日本陆上自卫队和航空自卫队。该系统是一种机动式近程防低空导弹，主要用于野战防空，掩护前方地域的作战部队，也可用于要地防空，如守卫机场等。
",NULL,0.35米,600千克
导弹武器,地空导弹,NULL,长剑防空导弹系统Rapier,NULL,6.8千米,NULL,{'$oid': '5cc93387831b973d657f21bb'},http://images.huanqiu.com/sarons/2014/01/de0420e02b376b5b8f8277a3309bed26.jpg,英国,NULL,NULL,NULL,2.235米,"
“长剑”防空导弹系统是英国研制的一种近程防低空导弹系统，有牵引式和自行式、1型与2型之分。2型配用有一部跟踪雷达，1型则不配跟踪雷达。1型于1971年开始装备英国陆军和空军，2型自1978年装备部队，自行式于1983年装备英国驻西德的第一军。
",NULL,0.133米,45千克
导弹武器,地空导弹,NULL,FIM-92毒刺导弹 ,NULL,4.8千米,NULL,{'$oid': '5cc93387831b973d657f21bc'},http://images.huanqiu.com/sarons/2013/11/ac20d24a58fa8e2a0badce990a998f4c.jpg,美国,通用动力公司,1967年,NULL,1.52米,"
FIM-92毒刺导弹为便携式防空导弹，采用红外线导引热追踪以及紫外线物体追踪，由美国研发并使用于所有美军部队，1981年服役至今。并证实有270架飞机和直升机被毒刺击落。
",NULL,0.07米,15.65千克
导弹武器,地空导弹,NULL,红旗3号防空导弹,NULL,42千米,NULL,{'$oid': '5cc93387831b973d657f21bd'},http://images.huanqiu.com/sarons/2013/11/b89c4704e12da835b101f7253cb3df8c.jpg,中国,七机部二院，上海机电二局,1966年7月,NULL,3.99米,"
红旗-3号地空导弹是我国于20世纪70年代，在红旗-2号基础上研发的一款以高空高速目标为打击对象的陆基防空导弹，在完成定型后曾少量装备部队，在80年代初停止研发。
",NULL,0.286米,310千克
导弹武器,地空导弹,无线电指令制导+半主动雷达制导,红旗-61中低空防空导弹,NULL,10千米,NULL,{'$oid': '5cc93387831b973d657f21be'},NULL,中国,上海机电二局,1965年,NULL,3.99米,"
中国自行研制的第一代中低空、近程地空导弹武器系统。1965年9月开始设计，最初命名为红旗-41号，1966年1月改名为红旗-61号。
",NULL,0.286米,84.5千克
导弹武器,地空导弹,无线电指令,萨姆-1防空导弹,NULL,45千米,NULL,{'$oid': '5cc93387831b973d657f21bf'},http://images.huanqiu.com/sarons/2013/11/defd82afe7ecf51cc112d346f1123ba3.jpg,苏/俄,拉沃契金地对空导弹设计局,1937年,NULL,12.19米,"
萨姆-1防空导弹（SA-1“吉尔德”，前苏联编号S-25，或称R-133、V-300），原名“金雕”，是苏联最早研制和装备使用的固定式全天候型中程地对空导弹武器系统。主要用于要地和国土防空，能对付中高空跨音速飞行的各种飞机。
",NULL,0.7米,3000千克
导弹武器,地空导弹,NULL,雷鸟（Thunderbird）导弹地空导弹,NULL,75千米,全程连续波半主动雷达制导,{'$oid': '5cc93388831b973d657f21c0'},http://images.huanqiu.com/sarons/2014/01/e3f4bc34ff82584f5e9ebc22d49177ab.jpg,英国,NULL,1950年,NULL,6.35米,"
英国早期全天候中程中高空地－空导弹。分雷鸟Ⅰ型和雷鸟Ⅱ型，Ⅰ型1950年起研制，1957年装备部队，用于固定阵地要地防御，采用液体推进剂，及脉冲波半主动雷达制导，打击距离20公里以内跨音速目标。
",NULL,0.53米,1800千克
导弹武器,地空导弹,撞击引信,S400远程防空导弹,NULL,400千米,NULL,{'$oid': '5cc93388831b973d657f21c1'},NULL,苏/俄,金刚石中央设计局,1999,NULL,7.5米,NULL,1225千米/小时,NULL,1600千克
导弹武器,地空导弹,触发/非触发引信,X-20（AS-3）地空导弹,0.914米,NULL,惯导加主动雷达,{'$oid': '5cc93388831b973d657f21c2'},NULL,苏/俄,米高扬飞机设计局,50年代初,NULL,14.96米,"
X-20（AS-3）地空导弹是苏联自行研制并装备部队使用的第二个大型战略空地导弹。也是世界上迄今为止体积和重量最大的空地导弹，50年代初开始研制，主要用来攻击海上航空母舰和其他大型舰艇，也可用来攻击地面军事工业中心和军事基地等大型目标，装备苏联远程航空兵。
",NULL,1.85米,11000千克
导弹武器,地空导弹,NULL,星光(Starstreak)便携防空导弹,NULL,7千米,半主动视线指令制导系统,{'$oid': '5cc93388831b973d657f21c3'},http://images.huanqiu.com/sarons/2014/01/23afb84aac9d20d954edbc0063dee13a.jpg,英国,英国肖特公司,1986年,NULL,1.397米,"
星光”导弹系统是英国肖特公司在“标枪”导弹基础上发展的一种高速近程面对空导弹武器系统，导弹代号S14。1986年研制工作正式开始，1988年肩射型“星光”导弹首次试验成功，1988～1989年开始进行批量生产，1993年装备英国陆军，“星光”最初被设计为一种单兵便携式快速反应的面对空导弹系统，用以替代“吹管”和“标枪”导弹。以后在此基础上又发展了三脚架式、轻便车载式、装甲车载式以及舰载式等多种型号。到1993年底，共生产了422枚“星光”导弹，研制及生产的总费用2.7亿英镑。一套“星光”导弹系统的售价约为10.75万美元（1994年美元值）。
",NULL,0.13米,16.82千克
