图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,水雷,潜航深度,鱼雷,大类,类型,编制,武器装备,舰长,产国,活动范围,水下排水量,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,服役时间,武装
NULL,NULL,在役,NULL,中国江南造船厂在20世纪90建造，属于明级常规潜艇的一员，型号035G。在1991年交付部队开始服役，035G型潜艇共计建造23艘，现役约19艘，356号常规动力攻击潜艇便是其中一艘。,江南造船厂,NULL,1584吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,76米,中国,NULL,2113吨,18节,NULL,356号常规动力攻击潜艇,NULL,{'$oid': '5cc931ef831b973d657f17c0'},NULL,NULL,2000-5000吨,1991年,NULL
NULL,035型,NULL,NULL,"
309号常规动力攻击潜艇，隶属于035B型。主要改进之处是：进一步改进外形，包括指挥台围壳和部分艇体的重新设计，排水孔结构、布排方式大幅度改变，类似于039型潜艇上布置；艇艏水声设备改进为先进型号；武备方面则正式具有了潜射飞航导弹的能力。
",武昌制造厂，江南制造厂,NULL,1584吨,NULL,76米,NULL,NULL,5.1米,NULL,舰船舰艇,常规潜艇,47人,NULL,78米,中国,NULL,2113吨,18节,NULL,309号常规动力攻击潜艇,NULL,{'$oid': '5cc931ef831b973d657f17c1'},NULL,NULL,2000-5000吨,2000年,NULL
NULL,NULL,服役中,NULL,355号常规动力攻击潜艇属于035型常规潜艇，035型潜艇总体综合作战性能并不高，电子设备较为落后，尤其是早期型号没有整体作战指挥中心。但对中国自行研制潜艇是一个重要的开端，到了70年代末，随着035型潜艇的研制，中国已逐步形成了从科研设计到生产，从总体到材料设备，从试验到使用维修的完整体系和全国配套协作网，基本完成了第一代潜艇的自行研制任务。,NULL,NULL,1854吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,76米,中国,NULL,2113吨,18节,NULL,355号常规动力攻击潜艇,1990年,{'$oid': '5cc931ef831b973d657f17c2'},NULL,1991年,2000-5000吨,1991年,NULL
NULL,NULL,服役中,2110吨,305号常规动力攻击潜艇属035型常规动力潜艇，北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。,武昌造船厂,NULL,1585吨,60天,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,45人,NULL,76米,中国,南海,NULL,18节,NULL,305号常规动力攻击潜艇,20世纪90年代,{'$oid': '5cc931f0831b973d657f17c3'},NULL,NULL,2000-5000吨,1998年,NULL
NULL,033型,NULL,NULL,北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。1985年开始研制改进提高型，即035G型(又称ES5E)。改装型艇的设计，要求在保持原035型艇总体性能基本不变的前提下，在武器系统、水声设备、噪声控制、改善生活和工作条件等方面，进行多方面的改进，大规模更新艇载设备，使艇的作战能力、生存能力、隐蔽性、可靠性、安全性等均有一定程度的提高。,武昌造船厂，江南造船厂,NULL,1584吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,76米,中国,NULL,2113吨,18节,NULL,354号常规动力攻击潜艇,NULL,{'$oid': '5cc931f0831b973d657f17c4'},NULL,NULL,2000-5000吨,1990年,NULL
NULL,NULL,NULL,2110吨,307号常规动力攻击潜艇属035型常规动力潜艇，北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。,武昌造船厂,NULL,1585吨,60天,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,45人,NULL,76米,中国,南海,NULL,18节,NULL,307号常规动力攻击潜艇,20世纪90年代,{'$oid': '5cc931f0831b973d657f17c5'},NULL,NULL,2000-5000吨,1999年,NULL
NULL,033型,NULL,NULL,北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。1985年开始研制改进提高型，即035G型(又称ES5E)。改装型艇的设计，要求在保持原035型艇总体性能基本不变的前提下，在武器系统、水声设备、噪声控制、改善生活和工作条件等方面，进行多方面的改进，大规模更新艇载设备，使艇的作战能力、生存能力、隐蔽性、可靠性、安全性等均有一定程度的提高。,武昌造船厂，江南造船厂,NULL,1584吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,76米,中国,NULL,2113吨,18节,NULL,353号常规动力攻击潜艇,NULL,{'$oid': '5cc931f0831b973d657f17c6'},NULL,NULL,2000-5000吨,1989年,NULL
NULL,NULL,服役中,2110吨,306号常规动力攻击潜艇属035型常规动力潜艇，北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。,武昌造船厂,NULL,1585吨,60天,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,45人,NULL,76米,中国,南海,NULL,18节,NULL,306号常规动力攻击潜艇,20世纪90年代,{'$oid': '5cc931f0831b973d657f17c7'},NULL,NULL,2000-5000吨,1998年,NULL
NULL,NULL,在役,NULL,"
357号常规动力攻击潜艇作为明级常规动力攻击潜艇系列的一员，由中国江南造船厂在20世纪90年代开工建造，在1992年交付于中国北海舰队开始服役，主要任务是袭击敌人的各种舰艇和运输船只,破坏敌人海上交通线,攻击敌人的港口、基地或岸上目标,进行侦察和巡逻,布放水雷,输送物资和人员等。
",江南造船厂,NULL,1584吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,76米,中国,NULL,2113吨,18节,NULL,357号常规动力攻击潜艇,NULL,{'$oid': '5cc931f0831b973d657f17c8'},NULL,NULL,2000-5000吨,1992年,NULL
NULL,NULL,在役,NULL,"
360号常规动力攻击潜艇隶属于中国的北海舰队。中国海军目前拥有的现役的22艘明级常规潜艇之一，其标准战斗编制为57人，其中军官10人。
",江南造船厂,NULL,1584吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,76米,中国,NULL,2113吨,18节,NULL,360号常规动力攻击潜艇,1994年,{'$oid': '5cc931f0831b973d657f17c9'},NULL,NULL,2000-5000吨,1995年,NULL
NULL,NULL,NULL,NULL,"
基洛级364号，舷号：364，型号：877EKM；主要用途：常规动力攻击潜艇，1995年开始服役。
",NULL,NULL,2300吨,45天,9.9米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,50人,NULL,72.9米,苏/俄,NULL,3950吨,20节,NULL,基洛级（877EKM/636/636M型）364号常规潜艇,NULL,{'$oid': '5cc931f0831b973d657f17ca'},NULL,NULL,2000-5000吨,1995年,NULL
NULL,NULL,服役中,NULL,"
远征18号（318）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。
",NULL,NULL,1700吨,NULL,8.4米,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,50人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征18号（318）常规动力攻击潜艇,21世纪初,{'$oid': '5cc931f1831b973d657f17cb'},NULL,NULL,2000-5000吨,NULL,NULL
NULL,NULL,服役中,NULL,"
远征17号（317）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。该型潜艇与基型相比最主要的区别是其指挥台围壳进行了重新设计。
",NULL,NULL,1700吨,NULL,8.4米,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,50人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征17号（317）常规动力攻击潜艇,21世纪初,{'$oid': '5cc931f1831b973d657f17cc'},NULL,NULL,2000-5000吨,NULL,NULL
NULL,NULL,服役中,2110吨,"
308号常规动力攻击潜艇属035型常规动力潜艇，北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。
",武昌造船厂,NULL,1585吨,60天,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,45人,NULL,76米,中国,南海,NULL,18节,NULL,308号常规动力攻击潜艇,20世纪90年代,{'$oid': '5cc931f1831b973d657f17cd'},NULL,NULL,2000-5000吨,1999年,NULL
NULL,NULL,服役中,NULL,"
远征16号（316）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。该型潜艇与基型相比最主要的区别是其指挥台围壳进行了重新设计。
",NULL,NULL,1700吨,NULL,8.4米,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,50人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征16号（316）攻击潜艇,21世纪初,{'$oid': '5cc931f1831b973d657f17ce'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,2113吨,中国自行研制的第一代常规动力鱼雷攻击潜艇。编号361的“明”级柴电潜艇在渤海和黄海交界处进行训练时，因机械故障失事。艇上70名官兵全部罹难。,NULL,NULL,1584吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,57人,NULL,76米,中国,中国东海,2113吨,18节,NULL,361号常规动力攻击潜艇,NULL,{'$oid': '5cc931f1831b973d657f17cf'},NULL,NULL,2000-5000吨,1995年,NULL
NULL,NULL,服役中,NULL,359号常规潜艇作为明级潜艇家族的一员，359号常规动力攻击潜艇也是由中国江南造船长于20世纪90年代建造，进入军队服役的时间为1994年，隶属于中国北海舰队。,江南造船厂,NULL,1584吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,76米,中国,NULL,2113吨,18节,NULL,359号常规动力攻击潜艇,NULL,{'$oid': '5cc931f1831b973d657f17d0'},NULL,NULL,2000-5000吨,1994年,NULL
NULL,NULL,在役,NULL,"
358号常规动力攻击潜艇属于攻击型潜艇，这类潜艇的主要任务是袭击敌人的各种舰艇和运输船只，破坏敌人海上交通线，攻击敌人的港口、基地或岸上目标，进行侦察和巡逻，布放水雷，输送物资和人员等。这些潜艇执行的任务、实施攻击作战行动的范围以及所发挥的作用往往都属于战术性的。因此，攻击潜艇也被称作战术潜艇。
",江南造船厂,NULL,1584吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,76米,中国,NULL,2113吨,18节,NULL,358号常规动力攻击潜艇,1992年,{'$oid': '5cc931f1831b973d657f17d1'},NULL,NULL,2000-5000吨,1993年,NULL
NULL,NULL,NULL,NULL,"
039AB型AIP混合动力潜艇的批量装备，对于提高人民海军潜艇部队在东北亚，乃至整个亚太地区的战争潜力都有着重大的意义。我国首型AIP混合动力潜艇039AB型，已经批量生产并装备部队使用。该型艇自首艇于2004年露面以来，在短短的5年时间内（截止到09年），已累计有5艘出现在我们面前。如此迅捷的生产与技术定型，如此快速的批量生产装备速度，在我国自主研发的潜艇项目中都是不多见的。这证明随着我国国防费用稳定持续的投入，国内潜艇工业体系在自主研发和建造能力上已经有了显著的进步。
",NULL,NULL,2300吨,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,65人,NULL,NULL,中国,NULL,3600吨,NULL,NULL,（039A/039B型）330号核潜艇,NULL,{'$oid': '5cc931f1831b973d657f17d2'},NULL,2004年5月31日,2000-5000吨,2006年,NULL
NULL,NULL,NULL,NULL,"
远征23号（323）常规攻击潜艇，舷号：323，型号：039G；常规动力攻击潜艇。
",NULL,NULL,1992吨,NULL,8.4米,NULL,NULL,350米,NULL,舰船舰艇,常规潜艇,50人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征23号（323）常规攻击潜艇,NULL,{'$oid': '5cc931f1831b973d657f17d3'},NULL,NULL,2000-5000吨,2005年,NULL
NULL,NULL,服役中,NULL,"
远征21号（321）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。该型潜艇与基型相比最主要的区别是其指挥台围壳进行了重新设计。
",NULL,NULL,1700吨,NULL,8.4米,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,60人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征21号（321）常规动力攻击潜艇,21世纪初,{'$oid': '5cc931f2831b973d657f17d4'},NULL,NULL,2000-5000吨,NULL,NULL
NULL,NULL,NULL,NULL,"
远征14号常规攻击潜艇舷号314，型号039G1。
",NULL,NULL,1992吨,NULL,8.4米,NULL,NULL,350米,NULL,舰船舰艇,常规潜艇,60人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征14号（314）常规攻击潜艇,NULL,{'$oid': '5cc931f2831b973d657f17d5'},NULL,NULL,NULL,2003年11月,NULL
NULL,NULL,NULL,2113吨,"
北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。035G型包含356-363常规动力攻击潜艇，以提高作战能力为中心的现代化改装的035潜艇已成为中国海军的一型主力潜艇。
",上海沪东造船厂,NULL,1584吨,NULL,7.6米,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,57人,NULL,76米,中国,NULL,NULL,NULL,NULL,362号常规动力攻击潜艇,NULL,{'$oid': '5cc931f2831b973d657f17d6'},NULL,NULL,2000-5000吨,1996年,NULL
NULL,NULL,NULL,NULL,"
基洛级潜艇（英语：Kilo-class submarine）是一些西方国家对苏联海军在上个世纪八十年代开始建造的一型常规潜艇的北约代号。其正式名称为877型潜艇（俄语：Подводные лодки проекта 877）绰号：比目鱼（Палтус）。

  本型艇是原苏联海军时代研制的最成功的常规潜艇，主要用于在近海浅水区域进行反舰与反潜作战，是目前俄罗斯出口量最大的潜艇等级。以火力强大、噪音小而闻名，尔后基洛级在经过现代化等改装后形成了基洛级改进型（Improved Kilo），俄方正式命名636型潜艇（Подводные лодки проекта 636），绰号：华沙之歌（Варшавянка）。其改进型更成为了柴电动力潜艇中的佼佼者，是世界上最安静的柴电潜艇之一。
",共青城造船厂,NULL,2325吨,45天,9.9米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,60人,NULL,72.6米,苏/俄,NULL,3076吨,17节,NULL,基洛级（877EKM/636/636M型）365号常规潜艇,1974年,{'$oid': '5cc931f2831b973d657f17d7'},NULL,1980年9月,2000-5000吨,1982年,NULL
NULL,NULL,NULL,NULL,"
远征28号常规攻击潜艇(328)属于039G1系列潜艇，是在039型潜艇的基础上改进而来，装备了德国制造的MTU 16V396 SE8柴油机，动力良好。目前主要服役于中国海军。
",江南造船厂,NULL,1992吨,NULL,8.4米,NULL,NULL,350米,NULL,舰船舰艇,常规潜艇,50人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征28号常规攻击潜艇(328),NULL,{'$oid': '5cc931f2831b973d657f17d8'},NULL,NULL,2000-5000吨,NULL,NULL
NULL,NULL,服役中,NULL,"
远征22号（322）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。该型潜艇与基型相比最主要的区别是其指挥台围壳进行了重新设计。
",NULL,NULL,1700吨,NULL,8.4米,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,50人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征22号（322）,21世纪初,{'$oid': '5cc931f2831b973d657f17d9'},NULL,NULL,2000-5000吨,NULL,NULL
NULL,NULL,在役,NULL,"
远征20号（320）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。该型潜艇与基型相比最主要的区别是其指挥台围壳进行了重新设计。
",NULL,NULL,1700吨,NULL,8.4米,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,50人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征20号（320）常规动力攻击潜艇,NULL,{'$oid': '5cc931f2831b973d657f17da'},NULL,NULL,2000-5000吨,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,1992吨,NULL,8.4米,NULL,NULL,350米,NULL,舰船舰艇,常规潜艇,60人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征15号（315）常规攻击潜艇,NULL,{'$oid': '5cc931f3831b973d657f17db'},NULL,NULL,2000-5000吨,2003年12月,NULL
NULL,NULL,NULL,NULL,"
远征13号常规攻击潜艇舷号313，型号039G1，明级035B型常规攻击潜艇。
",NULL,NULL,1992吨,NULL,8.4米,NULL,NULL,350米,NULL,舰船舰艇,常规潜艇,60人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征13号（313）常规攻击潜艇,NULL,{'$oid': '5cc931f3831b973d657f17dc'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,服役中,3126吨,"
俄制“基洛”级潜艇，前苏联于70年代初“红宝石”设计局设计的常规潜艇，是前苏联研制的最后一级常规潜艇，也是俄罗斯海军最先进的常规潜艇，原型编号877型，出口型编号877EKM，改进型为636型。“基洛”级1974年开始设计，1979年开工，首艇1981年建成入役。

而基洛级367号潜艇所属的636型潜艇是在877型的基础上又进行了改进提高，其降低动力装置的转速，采用了七叶大侧斜螺旋桨，增大充电功率提高了充电能力，改进降噪措施，进一步降低了噪声。
",红宝石设计局,NULL,2325吨,45天,9.9米,NULL,NULL,240米,NULL,舰船舰艇,常规潜艇,60人,NULL,73.8米,苏/俄,东海,3076吨,19节,NULL,基洛级（877EKM/636/636M型）367号潜艇,20世纪90年代,{'$oid': '5cc931f3831b973d657f17dd'},NULL,NULL,2000-5000吨,20世纪90年代,NULL
NULL,NULL,NULL,NULL,"
""明”级（035型）潜艇。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准，自行研制的中国第一代常规动力鱼雷攻击潜艇。035型潜艇首制艇于1969年10月开工，1974年4月交付海军使用。1979―1989年与1992―1994年间曾两度停建，进行现代化改装型艇的设计，改进艇于1988年8月开工，1990年底交艇，1993年定型，至今已建造了一小批交付海军使用。
",NULL,NULL,1584吨,NULL,NULL,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,57人,NULL,NULL,中国,NULL,2113吨,NULL,NULL,363号常规动力攻击潜艇,NULL,{'$oid': '5cc931f3831b973d657f17de'},NULL,NULL,2000-5000吨,1996年,NULL
NULL,NULL,NULL,NULL,"
远征24号常规攻击潜艇舷号324，型号039G1，宋级039A级常规攻击潜艇。
",NULL,NULL,1992吨,NULL,8.4米,NULL,NULL,350米,NULL,舰船舰艇,常规潜艇,60人,NULL,74.9米,中国,NULL,2250吨,22节,NULL,远征24号（324）常规攻击潜艇,NULL,{'$oid': '5cc931f3831b973d657f17df'},NULL,NULL,2000-5000吨,2005年,NULL
NULL,035型潜艇（明级潜艇）,NULL,NULL,NULL,武汉造船厂，江南造船厂,NULL,1992吨,NULL,8.4米,039A型潜艇（元级潜艇）,NULL,350米,NULL,舰船舰艇,常规潜艇,50人,NULL,74米,中国,NULL,2250吨,22节,13艘以上,远征29号（329）常规攻击潜艇,2004年6月3日,{'$oid': '5cc931f3831b973d657f17e0'},NULL,NULL,2000-5000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/12/b8bbeda7e31bae5f5fd6e3c4829dd041.jpg,NULL,1990年前全部除役,NULL,NULL,阿穆尔共青城北德文斯克,NULL,2794吨,70天,8.2米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,80人,NULL,98.4米,苏/俄,NULL,3553吨,15节,NULL,629级/高尔夫级(G级) 弹道导弹柴电潜艇,1957年,{'$oid': '5cc931f3831b973d657f17e1'},NULL,NULL,2000-5000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/12/a4a306af9d4f931944f9765374ede074.jpg,NULL,NULL,NULL,"
J级常规动力飞航导弹潜艇（苏俄代号：651级。北约代号：Juliett Class，另“茱莉叶级”、“朱莉叶级”）是苏联研制的第一个独立级别的以巡航导弹为主武器的潜艇，J级由W级潜艇改装型号发展而来。最初计划建造35艘，实际建造16艘，全部J级潜艇于1992年以前除役。
",NULL,NULL,3174吨,NULL,10米,NULL,NULL,235米,NULL,舰船舰艇,常规潜艇,82人,NULL,90米,苏/俄,NULL,4137吨,16.8节,NULL,651型/朱莉叶级（J级）,NULL,{'$oid': '5cc931f3831b973d657f17e2'},NULL,NULL,2000-5000吨,NULL,NULL
NULL,NULL,西班牙和巴基斯坦服役中、法国除役,NULL,"
奥古斯塔级潜艇是法国DCNS公司研发制造的常规动力潜艇，它是法国依据1980年代的国际市场需求，对原有的“奥古斯塔级”潜艇进行改进和更新后，所形成的新款设计，最大的差异在动力采用了最新科技的AIP系统。
",DCNS公司,NULL,1480吨,45天,6.8米,NULL,NULL,500米,NULL,舰船舰艇,常规潜艇,41人,NULL,67.6米,法国,NULL,1760吨,20.5节,NULL,奥古斯塔级潜艇,NULL,{'$oid': '5cc931f4831b973d657f17e3'},NULL,NULL,500-2000吨,1977年,NULL
http://images.huanqiu.com/sarons/2013/12/be62dd5c80b61e8e4531793fc37f8623.jpg,首型,除印尼所属以外全部除役,NULL,NULL,红色索尔莫沃工厂，黑海造船厂，波罗的海工厂，共青城,NULL,1050吨,30天,6.3米,Z级潜艇,NULL,200米,"6座533毫米鱼雷发射管（前4后2）；火炮",舰船舰艇,常规潜艇,52人,NULL,76米,苏/俄,NULL,1340吨,18.25节,NULL,613型/威士忌级(W级）,1950年3月（首舰）,{'$oid': '5cc931f4831b973d657f17e4'},NULL,1950年10月（首舰）,500-2000吨,1951年12月（首舰）,NULL
NULL,NULL,只是概念舰,NULL,"
安德拉斯塔级潜艇（SMX-23 Andrasta SSK）为法国DCNS公司研发设计，于2008年9月发表的一款常规动力潜艇，目前为概念舰阶段，尚无实体。
",法国DCNS公司,NULL,855吨,5天,NULL,NULL,NULL,200米,NULL,舰船舰艇,常规潜艇,NULL,NULL,48.8米,法国,NULL,NULL,15节,NULL,安德拉斯塔级潜艇,NULL,{'$oid': '5cc931f4831b973d657f17e5'},NULL,NULL,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/12/862b71b428f33c4f1de8c661611cd469.jpg,首型,1990年左右集中退役。,NULL,NULL,北德文斯克的402造船厂（列宁共青团号）,NULL,3065吨,60天,7.9米,V级核潜艇,NULL,310米,"座533毫米鱼雷发射管；20枚鱼雷；其中通常6枚1万5千吨当量核鱼雷。",舰船舰艇,常规潜艇,104人,NULL,107.4米,苏/俄,太平洋，,4750吨,20节,13艘。,627A型/十一月级(N级) ,1954年6月（列宁共青团号）,{'$oid': '5cc931f4831b973d657f17e6'},NULL,1957年8月9日（列宁共青团号）,2000-5000吨,1958年12月17日（列宁共青团号）,NULL
http://images.huanqiu.com/sarons/2013/12/adcd08b3ec1644e75277baa4b83a913a.jpg,NULL,NULL,NULL,"
拉达级柴电动力攻击潜艇（俄文：Лада，意为和谐 俄军代号：677级）是俄罗斯自苏联解体后研制的第一级柴电潜艇，由红宝石设计局负责设计研制。该级潜艇北约代号为圣彼得堡级，以拉达级首舰“圣彼得堡”号，但这个名称似乎没有得到大多数国家的承认。拉达级是苏俄第四代柴电动力潜艇，较基洛级潜艇有较大的发展，俄罗斯官方称该级潜艇比基洛级更加安静。该艇装备了高自动化的战斗系统，从而将艇员减至35人。外界推测该级将可能装备AIP推进系统。
",NULL,NULL,1675吨,45天,7米,NULL,NULL,400米,NULL,舰船舰艇,常规潜艇,35人,NULL,72米,苏/俄,NULL,NULL,NULL,NULL,677型/拉达级,NULL,{'$oid': '5cc931f4831b973d657f17e7'},NULL,2005年11月29日,2000-5000吨,NULL,NULL
NULL,035型潜艇（明级潜艇）,NULL,NULL,"
039型常规动力潜艇（西方称：宋级），为我国自行设计建造的第二代常规动力潜艇。039型潜艇在研制过程中充分吸收西方发达国家常规潜艇的新概念，大量采用新型动力、自动化设备、声呐和武器装备。其作战能力预计与俄制基洛级持平，超越德国二十世纪80年代水平的209潜艇。阶梯状的指挥台围壳是039型外观上最显著的特征。目前有039、039G、039G1三型号序列。2007年起有外销泰国和巴基斯坦的计划。
",武汉造船厂，江南造船厂,NULL,1992吨,NULL,8.4米,039A型潜艇（元级潜艇）,NULL,350米,NULL,舰船舰艇,常规潜艇,50人,NULL,74.9米,中国,NULL,2250吨,22节,13艘以上,远征27号（327）常规攻击潜艇,2004年6月3日,{'$oid': '5cc931f4831b973d657f17e8'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,"
1710型，白鲸级试验潜艇，由“孔雀石”设计局设计。在技术设计阶段前，总设计师是A.K.纳扎罗夫，以后为马斯卡列夫和B.H.皮亚诺夫。是一型在实航条件下进行高速潜艇的快速性、操纵性、推进和声学性能等方面试验研究的科研试验潜艇。
",孔雀石设计局,NULL,1460吨,3天,9米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,22人,NULL,64米,苏/俄,NULL,2480吨,26.6节,NULL,1710型白鲸级试验潜艇,1987年,{'$oid': '5cc931f4831b973d657f17e9'},NULL,NULL,2000-5000吨,NULL,NULL
NULL,NULL,NULL,NULL,"
690工程，北约代号Bravo欢欣级，该型潜艇是反潜武器的试验艇，共建造了4艘，首艇于1967年服役。该级艇建造数量和影响力都很有限。
",NULL,NULL,2439吨,NULL,9.8米,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,65人,NULL,73米,苏/俄,NULL,2947吨,14节,NULL,690型/欢欣级（B级）潜艇,NULL,{'$oid': '5cc931f4831b973d657f17ea'},NULL,NULL,2000-5000吨,1967年,NULL
http://images.huanqiu.com/sarons/2013/12/604b0968ba9b92242cc03de2a1a89e64.jpg,NULL,NULL,NULL,NULL,NULL,NULL,1831吨,58天,7.5米,NULL,NULL,200米,NULL,舰船舰艇,常规潜艇,65人,"鱼雷",90.5米,苏/俄,NULL,2400吨,18节,共26艘,611型/祖鲁级(Z级) ,1950年,{'$oid': '5cc931f4831b973d657f17eb'},NULL,1952年（首艇）,2000-5000吨,NULL,NULL
NULL,NULL,NULL,NULL,"
S级潜艇是一种中型巡逻潜艇，用于北欧和地中海海域的作战活动。这种潜艇操纵性能较好，下潜速度快，鱼雷携带数量也较多。具备较强的生存能力和攻击力。
",NULL,NULL,640吨,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,33人,NULL,77.75米,英国,NULL,935吨,NULL,NULL,S级潜艇,1930年,{'$oid': '5cc931f5831b973d657f17ec'},NULL,NULL,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/12/c857793b51757d54dcc55d3af13d0eaa.jpg,NULL,NULL,NULL,"
T级潜艇是被设计用来替代O级、P级和R级艇，其排水量保持在1325吨左右是为了在伦敦条约许可的潜艇吨位范围内建造更多的潜艇。同S级艇相比，T级艇的鱼雷数量和燃料更多，潜艇本身的设计在战争期间一直得到改进，如在远东海域作战的潜艇就设计了附加的外部储油舱以增加航程。T级潜艇在大战中共损失了15艘。
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,59人,NULL,83.82米,英国,NULL,NULL,NULL,NULL,T级潜艇,NULL,{'$oid': '5cc931f5831b973d657f17ed'},NULL,NULL,5000-10000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/12/14d23be39b280fa7da473b2f153d57ff.jpg,NULL,NULL,NULL,"
鲑鱼级潜艇（英语：Yono class submarine），或译玉桂级潜艇，是朝鲜建造的微型潜艇。这个名称仅是国际所使用的通用代称，而该型潜艇在朝鲜的官方名称仍然不明。截至2010年5月，据报朝鲜拥有10艘鲑鱼级潜艇。
",NULL,NULL,95吨,NULL,2.75米,NULL,NULL,NULL,"2具533毫米鱼雷发射管。",舰船舰艇,常规潜艇,NULL,NULL,29米,朝鲜,NULL,130吨,11节,NULL,鲑鱼级/玉桂级/Yono 潜艇,NULL,{'$oid': '5cc931f5831b973d657f17ee'},NULL,NULL,500吨以内,NULL,NULL
