大类,类型,引信,名称,翼展,射程,制导系统,_id,图片,产国,弹长,研制时间,研发单位,简介,最大速度,弹径,弹重
导弹武器,空地导弹,NULL,蓝剑(Blue Steel)战略空地导弹,NULL,240千米,NULL,{'$oid': '5cc933a0831b973d657f225b'},http://images.huanqiu.com/sarons/2014/01/582532b37f8f70ae9d2991a3031c2f94.jpg,英国,10.7米,1954年,英国宇航公司,"
该弹是英国皇家空军拥有的第一个远距战略空地导弹，属于第一代战略空地导弹，由原霍克·西德利航空公司、现英国宇航公司于1954年开始研制，后因财政困难停止研制。英国政府曾考虑选用美英两国计划联合发展的一种战略空地导弹，随后英国取消了该项研制计划，决定引进美国的“北极星”潜射弹道导弹，但组建该潜艇部队并初具作战能力的时间是1970年，故决定继续研制“蓝剑”导弹，作为其过渡阶段的战略核武器运载工具。该弹1958年开始进行飞行试验，1962年进入皇家战略空军部队服役，成为“火神”2和“胜利者”2战略轰炸机的标准武器装备。到1983年，随同最后的“火神”2轰炸机中队全部退出现役。
",NULL,1.22米,7700千克
导弹武器,空地导弹,NULL,绿色奶酪(Green Cheese)空面导弹,NULL,近程导弹,NULL,{'$oid': '5cc933a0831b973d657f225c'},NULL,英国,NULL,20世纪50年代,费尔雷航空 ,"
绿奶酪导弹是英国雷达制导反舰战术核导弹的一个项目。它是由费尔雷航空的塘鹅舰载反潜机搭载的导弹，最初称为费尔雷项目7。不幸的是该导弹1720公斤的重量被证明是过于沉重，以及如果要发射该导弹需要修改“塘鹅”的弹舱，导致发射前的导弹导引头容易暴露目标。后期，该导弹项目由于“海盗”攻击机有一个旋转弹舱非常适合安装该导弹而继续。
",NULL,NULL,1700千克
导弹武器,空地导弹,NULL,AT-6螺旋反坦克导弹,NULL,5千米,无线电指令链接SACLOS,{'$oid': '5cc933a1831b973d657f225d'},NULL,苏/俄,1.3米,上世纪70年代初,涅波别季梅(Непобедимый)机械制造设计局,"
该弹是苏联自行研制并装备部队使用的第二代反坦克导弹，取代老式的9М17М/П(AT-2B/C)第一代反坦克导弹，由位于柯洛姆纳的涅波别季梅(Непобедимый)机械制造设计局于70年代初开始设计，并由伊热符斯基机械制造厂生产，1978年服役，装备苏联的武装直升机以及坦克、装甲车，目前仍在生产、服役。
",NULL,0.13米,33.5千克
导弹武器,空地导弹,触发/非触发引信,K-10(AS-2)空地导弹,4.488米,300千米,制导加主动雷达,{'$oid': '5cc933a1831b973d657f225e'},NULL,苏/俄,9.45米,1955年,米高扬飞机设计公司,NULL,NULL,1.14米,4350千克
导弹武器,空地导弹,无线电引信,X-66/23/27(AS-7) 空地导弹,0.79米,60千米,被动雷达,{'$oid': '5cc933a1831b973d657f225f'},NULL,苏/俄,4.36米,1962年,“星星”机械制造设计局,NULL,NULL,0.27米,310千克
导弹武器,空地导弹,触发引信,北方(Nord)AS20 空地导弹,0.78米,7千米,无线电指令,{'$oid': '5cc933a1831b973d657f2260'},NULL,法国,2.59米,NULL,法国北方航空公司,NULL,2080.8千米/小时,0.25米,132千克
导弹武器,空地导弹,NULL,阿斯姆普（ASMP）中距空地导弹,0.96米,250千米,惯性制导加中/末段程序控制，还可能加装地形匹配制导,{'$oid': '5cc933a1831b973d657f2261'},NULL,法国,5.38米,1978年,法国宇航公司,NULL,3672千米/小时,0.38米,860千克
导弹武器,空地导弹,NULL,阿巴斯（APACHE）远距空地导弹,NULL,1400千米,基本型APACHE采用惯性导航加航路点修正中段制导、主动毫米波雷达末段制导,{'$oid': '5cc933a1831b973d657f2262'},NULL,法国,NULL,1983年,法国马特拉公司，德国梅-伯-布公司(MBB)，德国宇航公司(DASA),NULL,NULL,NULL,NULL
导弹武器,空地导弹,触发引信,翠鸟（Martin Pescador）空地导弹,0.73米,9千米,无线电指令,{'$oid': '5cc933a2831b973d657f2263'},NULL,阿根廷,2.94米,70年代中期,阿根廷军事科学技术研究院,NULL,NULL,0.219米,140千克
导弹武器,空地导弹,触发引信,KC-1（AS-1）空航导弹,4.72米,150千米,波束制导加半主动雷达,{'$oid': '5cc933a2831b973d657f2264'},http://images.huanqiu.com/sarons/2014/04/1def2a5e8f5dba7ffc26ddf2456c64ef.jpg,苏/俄,8.29米,1947年,米高扬飞机设计局,NULL,NULL,1.2米,2735千克
导弹武器,空地导弹,机械触发引信,C-25л半主动激光制导空地导弹,NULL,NULL,半主动激光,{'$oid': '5cc933a2831b973d657f2265'},NULL,苏/俄,3.31米,NULL,全俄防务出口总公司,"
C-25л是俄罗斯的半主动激光制导战术空地导弹，装备俄罗斯各型对地攻击飞机。用来攻击地面各种坚固目标，如坦克、装甲车、工事等。由于该弹不是专门设计的空地导弹，而是在C-25空地火箭弹基础上改进而来，因此未列入以字母X为代号的俄罗斯空地导弹系列之中。
",NULL,0.034米,480千克
导弹武器,空地导弹,触发引信,AS30L 空地导弹,1米,10千米,中段惯导加末段半主动激光制导,{'$oid': '5cc933a2831b973d657f2266'},NULL,法国,3.65米,1974年,法国宇航公司，汤姆逊-CSF公司,"
该弹是法国宇航公司和汤姆逊-CSF公司联合研制的第三代超音速多用途空地导弹，是由相应的AS30第二代超音速空地导弹改进而来。除装备法国空/海军外，还向阿联酋和印度等国出口，并由伊拉克在“两伊战争”中首次使用。
",1836千米/小时,0.342米,520千克
导弹武器,空地导弹,触发引信,北方(Nord)AS30 空地导弹,1米,12千米,无线电指令,{'$oid': '5cc933a2831b973d657f2267'},NULL,法国,3.84米,1959年,法国北方航空公司,NULL,1836千米/小时,0.342米,520千克
导弹武器,空地导弹,触发或非触发引信,杰索伍（JSOW）AGM-154联合防区外发射武器,NULL,380千米,NULL,{'$oid': '5cc933a2831b973d657f2268'},NULL,美国,4.064米,80年代初,德克萨斯仪器公司,"
杰索伍（JSOW）AGM-154联合防区外发射武器是美国海/空军联合发展的新一代通用防区外发射战术制导武器，由德克萨斯仪器公司作为主承包商于1989年1月开始研制，1998年2月开始投入低速生产并服役。该系列武器是一个低成本的滑翔式武器系列，采用1个公用弹体和3种不同的战斗部，构成3种型号。JSOW-A采用内装BLU-97综合效应小炸弹的子母式战斗部，可攻击面目标，曾在伊拉克和科索沃战争中成功地使用，该弹正处于批生产中。装备载机有A-8B、B-1B、B-2、B-52H、F-14、F-15E、F-16C/D、F/A-18E/F和F-117，以及欧洲的“狂风”、“美洲虎”、EF-2000等。
",NULL,NULL,681千克
导弹武器,空地导弹,触发/非触发引信,X-22(AS-4) 空地导弹,3.88米,500千米,惯导加被动雷达,{'$oid': '5cc933a2831b973d657f2269'},http://images.huanqiu.com/sarons/2014/04/c5542e653b43dd5ff70a3b4a432f5b38.jpg,苏/俄,11.3米,1958年6月17日,“虹”机械制造是设计局,NULL,NULL,0.9米,6000千克
导弹武器,空地导弹,近炸引信,罗伯特RB05 空地导弹,0.8米,9千米,无线电指令,{'$oid': '5cc933a3831b973d657f226a'},http://images.huanqiu.com/sarons/2014/04/bda497a168906945962ef4b5e1c07512.jpg,瑞典,3.6米,1960年,瑞典萨伯导弹公司,NULL,1224千米/小时,0.3米,305千克
导弹武器,空地导弹,触发引信,北方（Nord）AS11 空地导弹,0.5米,31千米,有线指令,{'$oid': '5cc933a3831b973d657f226b'},NULL,法国,1.21米,1953年,法国北方航空公司,NULL,432千米/小时,0.164米,29.9千克
导弹武器,空地导弹,触发延时引信/近炸引信,突眼（Popeye）AGM-142 空地导弹,1.73米,80千米,惯导加指令修正中制导、电视或红外成像末制导,{'$oid': '5cc933a3831b973d657f226c'},NULL,以色列,4.82米,80年代初,以色列拉斐尔公司,NULL,893.52千米/小时,0.533米,1360千克
