大类,翼展,引信,名称,类型,射程,制导系统,_id,图片,产国,研发单位,研制时间,弹长,关注度,简介,最大速度,弹径,弹重
导弹武器,0.55米,NULL,蜻蜓(Shafrir)1空空导弹,空空导弹,5千米,NULL,{'$oid': '5cc93394831b973d657f220d'},http://images.huanqiu.com/sarons/2013/11/086ff71897f0e3cbdf0e0490e1216429.jpg,以色列,拉菲尔公司,1959年,2.5米,NULL,"
作为以色列空军的第一代空空导弹，在1959年以色列开始发展“蜻蜓”（Shafrir）1 空对空导弹。经历五年之后在1964年7月发展完成。1958年开始研制，1963年装备部队。是以色列拉斐尔武器管理局在引进美制AIM-9B响尾蛇导弹的基础上仿制的。蜻蜓-1有不少部件是直接采用响尾蛇导弹的零件组装而成。
",NULL,0.15米,93千克
导弹武器,NULL,NULL,怪蛇-5空空导弹,空空导弹,NULL,NULL,{'$oid': '5cc93395831b973d657f220e'},http://images.huanqiu.com/sarons/2013/11/d85c19b92ade5ad217050578b2a19754.jpg,以色列,拉斐尔公司,1997年,3.096米,NULL,"
怪蛇5集以色列在空空导弹领域几十年摸索所取得的成果于一体，将统治未来的天空，无论目标作何种规避机动或采用何种干扰措施，怪蛇5将有更高的杀伤概率和极好的抗干扰能力，新的怪蛇将是最具威力的空中杀手。
",NULL,0.16米,103.6千克
导弹武器,NULL,NULL,CAMM通用防空模块化导弹,空空导弹,近程导弹,NULL,{'$oid': '5cc93395831b973d657f220f'},http://images.huanqiu.com/sarons/2014/01/39fe804c751c74154eb9b2170e88138a.jpg,英国,MBDA公司,NULL,NULL,NULL,"
MBDA为英国研制模块化防空导弹作为满足英国未来面对空导弹和空空导弹要求的解决方案。MBDA公司正在积极研制通用防空模块化导弹（CAMM）。预计在2018年前后进入服役。
",NULL,NULL,NULL
导弹武器,NULL,NULL,谢夫里1空空导弹,空空导弹,NULL,NULL,{'$oid': '5cc93395831b973d657f2210'},NULL,以色列,NULL,1958年,2.5米,NULL,"
在中东战争爆发后，戴高乐下令对以色列实行武器禁运，以色列装备的上百架幻影Ⅲ一下子没有了空对空导弹，失去了制空权就等于失去了战争的保障，为了取得制空权，以色列走上了自立的道路。随即便有了谢里夫1的诞生，导弹于1958年开始研制，当然，刚刚独立不久的以色列并没有多强大的国防工业，所以该弹一直发展至1963年才结束。
",NULL,0.15米,93千克
导弹武器,1.02米,NULL,天空闪光（Sky Flash）空空导弹,空空导弹,45千米,NULL,{'$oid': '5cc93395831b973d657f2211'},http://images.huanqiu.com/sarons/2014/01/c17fffe675f9183dc5d38a6ff0303e41.jpg,英国,英国宇航公司（今英国宇航系统公司）,1973年7月,3.68米,NULL,"
在英国航空航天Skyflash是一个源于美国AIM-7麻雀导弹的中程半主动雷达制导空空导弹，并进行皇家空军的F-4鬼怪和龙卷风F3S，意大利AERONAUTICA MILITARE和沙特皇家航空力龙卷风和瑞典Flygvapnet Viggens。该型导弹取代了更强大的先进中程空空导弹。
",NULL,NULL,193千克
导弹武器,0.675米,NULL,天剑1空对空导弹,空空导弹,8千米,红外线导引 ,{'$oid': '5cc93395831b973d657f2212'},NULL,中国,NULL,1986年,NULL,NULL,"
天剑一型（Sky Sword I 或 Tien Chien I）空对空导弹是一款短程红外线导引导弹，由台湾中山科学研究院设计生产，供F-CK-1经国号战机使用。不过天剑一型导弹是台湾第一次自行生产红外线导引空对空导弹。
",NULL,0.127米,90千克
导弹武器,NULL,NULL,谢夫里2空空导弹 ,空空导弹,NULL,NULL,{'$oid': '5cc93395831b973d657f2213'},NULL,以色列,拉斐尔公司,1962年,2.6米,NULL,"
谢夫里2是在谢夫里1取得的实战经验上开发的一型空空导弹，该弹和AIM-9B在外形、控制系统以及内部部件的安装上都大有不同，虽然当时的以色列国防工业还不是很完善，所以研制的武器系统当然无法和美制武器相比。和AIM-9相比，谢夫里2略为显得有点笨重，但谢夫里2高效的导引头和优秀的飞行弹道性能，使该弹成为最成功的第二代空空导弹之一。
",NULL,0.16米,95千克
导弹武器,0.66米,红外近炸引信/触发引信,R.550“魔术”红外近距格斗导弹,空空导弹,6千米,单元被动红外,{'$oid': '5cc93395831b973d657f2214'},NULL,法国,法国马特拉公司,1969年,2.74米,NULL,NULL,3675千米/小时,0.157米,90千克
导弹武器,0.575米,NULL,X-4 (RK-344)空空导弹,空空导弹,5.5千米,NULL,{'$oid': '5cc93395831b973d657f2215'},NULL,德国,Ruhrstahl/Kramer,1943年,1.907米,NULL,"
今天，每当世界上有空战发生，人们所能看到的都是双方战机用空-空导弹相互攻击的战斗方式。没有空-空导弹的空战是不可想像的。然而很少有人知道，拉开人类空战导弹化序幕的，就是当年纳粹德国空军胎死腹中的X-4空空导弹。1943年6月，Max Kramer博士在鲁尔钢铁公司开始了X-4空对空有线制导导弹的研制工作，同年夏季该导弹接到了研发命令，德意志航空部给其的编号是8-344，希望能使战斗机在盟军轰炸机的自卫火力范围外有效地将其击落。
",1152千米/小时,0.575米,60千克
导弹武器,0.91米,近炸引信+高爆炸药,AIM-54“不死鸟”空对空导弹,空空导弹,190千米,中段采用雷达半主动制导+末端采用雷达主动制导,{'$oid': '5cc93396831b973d657f2216'},http://images.huanqiu.com/sarons/2013/11/822dc878d34b050e57b404d24b0be04f.jpg,美国,美国休斯飞机制造公司和雷声公司,20世纪60年代初,4米,NULL,"
AIM-54“不死鸟”空对空导弹（AIM-54 Phoenix），是全世界第一种主动雷达制导的空对空导弹，只曾配挂在美国的F-14战斗机上，并由美国与伊朗操作。由于美国海军已经于2004年将此型导弹全面除役，伊朗成为全世界唯一仍在使用不死鸟导弹的国家。
",4680千米/小时,0.38米,470千克
导弹武器,NULL,主动雷达引信,A3M超视距空空导弹,空空导弹,100千米,主动雷达加被动雷达双模制导引,{'$oid': '5cc93396831b973d657f2217'},NULL,德国,德国戴姆勒·奔驰宇航公司,1994年,3米,NULL,NULL,3672千米/小时,0.18米,165千克
导弹武器,0.75米,红外近炸引信,火光（Firestreak)空空导弹,空空导弹,4.8千米,NULL,{'$oid': '5cc93396831b973d657f2218'},http://images.huanqiu.com/sarons/2014/01/a5a7123c468d3cdc302f3fe0d91f50a7.jpg,英国,德·哈维兰飞机公司(后并入霍克·西德利航空公司),1951年,3.19米,NULL,"
“火光”空对空导弹是英国自行研制并装备部队使用的第二种空空导弹，也是英国第一种被动红外制导的空空导弹，由英国德·哈维兰飞机公司(后并入霍克·西德利航空公司)，于1951年开始研制，1957年投产，1958年进入英国皇家空/海军服役，1969年停产，随后为新发展的“红头”空空导弹所取代。
",NULL,0.222米,136千克
导弹武器,NULL,NULL,“德比”超视距空空导弹,空空导弹,NULL,NULL,{'$oid': '5cc93396831b973d657f2219'},http://images.huanqiu.com/sarons/2013/11/ba4f74e4e3c8c72d9d8a84dfaa3d64a4.jpg,以色列,拉斐尔公司,NULL,3.62米,NULL,"
以色列官方最早在1998年就证明有该弹的存在，该弹的研制计划起始于80年代末期，至今为止已经发展了将近20年的时间，德比的研制由拉菲尔公司负责，以色列国家武器发展局、以色列飞机工业公司（IAI）也提供了导弹的部分关键元件，其中IAI提供了导弹最关键的主动雷达制导头。
",NULL,0.16米,118千克
导弹武器,1.219米,触发引信,阿玛特（ARMAT）反雷达导弹,空空导弹,93千米,中段惯导加末段半主动激光制导,{'$oid': '5cc93396831b973d657f221a'},http://images.huanqiu.com/sarons/2014/04/90426b10fa47f09383697273c6d0db54.jpg,法国,法国马特拉公司，达索电子公司,1981～1982年,4.267米,NULL,"
该弹是法国空军装备使用的第三代机载反辐射导弹，其名称“阿玛特”为“马特拉反雷达导弹”(Anti-Radar Matra,ARMAT)的英文缩写的音译，由法国马特拉公司和达索电子公司研制，用作由法、英两国60年代中期联合研制、70年代初期开始服役的“玛特尔”(Martel)空地导弹中的被动雷达型——“玛特尔”AS37的后继弹研制。该弹除装备法国空军外，还出口多国。在1985～1988年两伊战争使用中有很好表现。
",1224千米/小时,0.396米,544千克
导弹武器,0.35米,主动激光引信,依尔依斯特(IRIS-T)空空导弹,空空导弹,12千米,红外成像,{'$oid': '5cc93397831b973d657f221b'},NULL,德国,德国博登湖技术设备公司,80年代初,3米,NULL,"
“依尔依斯特”空空导弹是德国牵头、联合其他欧洲国家研制的第四代近距格斗空空导弹，简称为“依尔依斯特”(IRIS-T)，全称为“红外成像无尾控制的响尾蛇”(Infra-Red Imaging Sidewinder-Tail control)。

该弹在80年代初，引进美国的“响尾蛇”AIM-9L上对其改进，计划为IRIS-T导弹。目前已完成改装红外成像导引头的“响尾蛇”AIM-9L的载飞试验，正在进行其发射试验，以对该红外成像导引头的性能进行鉴定。
",3060千米/小时,0.127米,87千克
导弹武器,0.91米,绿色花环红外线接近二次接触引信,红头（Red Top）空空导弹,空空导弹,12千米,NULL,{'$oid': '5cc93397831b973d657f221c'},http://images.huanqiu.com/sarons/2014/01/05f5c1592c2555a0b715a1af2d9abb6b.jpg,英国,英国航空航天,1956年,3.32米,NULL,"
红头服役于1964，武装的英国电闪电和德哈维兰海泼妇。它仍然在有限的服务，直到闪电在1088年最后退休。与众不同的是，该红头的目的是要取代导弹Firestreak也保持在闪电有限服务直到1988年。
",NULL,0.23米,154千克
导弹武器,NULL,NULL,流星超视距空空导弹(BVRAAM),空空导弹,近程导弹,NULL,{'$oid': '5cc93397831b973d657f221d'},http://images.huanqiu.com/sarons/2014/01/b9a7318404b5c74cdf4f08b4bc37d17e.jpg,英国,MBDA公司,2003年,NULL,NULL,"
“流星”导弹研发工作始于2003年，2010年12月，法国政府签订了导弹的生产订单。预计在2012年，BVRAAM导弹将开始进行冲压发动机驱动的飞行中分离试验，并在同年开始第一批导弹的交付。
",NULL,NULL,NULL
导弹武器,0.933米,NULL,GBU-10、12系列空空导弹,空空导弹,NULL,NULL,{'$oid': '5cc93397831b973d657f221e'},http://images.huanqiu.com/sarons/2014/01/e2eb58b004ac5f65edf99e083310da72.jpg,美国,NULL,1960年代,3.33米,NULL,NULL,NULL,0.273米,908千克
导弹武器,NULL,NULL,阿斯派德空空导弹,空空导弹,NULL,NULL,{'$oid': '5cc93397831b973d657f221f'},http://images.huanqiu.com/sarons/2014/01/156f15dfef8a43bb33462285c6ac8ced.jpg,意大利,塞列尼亚公司,1971年,NULL,NULL,NULL,NULL,NULL,NULL
导弹武器,0.32米,NULL,云母导弹,空空导弹,80千米,NULL,{'$oid': '5cc93397831b973d657f2220'},http://images.huanqiu.com/sarons/2014/01/2d0d74e85f862f0644ba9dcce023cb76.jpg,法国,MBDA公司,1982年,3.1米,NULL,NULL,NULL,0.16米,112千克
导弹武器,0.65米,主动激光引信/触发引信,MAA-1 空空导弹,空空导弹,5千米,被动红外,{'$oid': '5cc93398831b973d657f2221'},http://images.huanqiu.com/sarons/2014/03/5f659600be9a04aa2746c411df29edd6.jpg,巴西,巴西航空部技术研究所,1977年,2.82米,NULL,NULL,3060千米/小时,0.152米,90千克
