大类,类型,名称,引信装置,制导系统,_id,图片,产国,研发单位,研制时间,弹长,全重,简介,弹径,装药类型
爆炸物,手榴弹,241式手榴弹,NULL,NULL,{'$oid': '5cc93425831b973d657f24df'},http://images.huanqiu.com/sarons/2014/01/5c56dfbe2d1a3c1335d7b6769b47d2c8.jpg,法国,鲁日利公司,NULL,120毫米,NULL,NULL,50毫米,NULL
爆炸物,手榴弹,74号手榴弹,NULL,NULL,{'$oid': '5cc93425831b973d657f24e0'},http://images.huanqiu.com/sarons/2014/01/b68fa092ce5c6170cc06d7695e3d67b8.jpg,英国,凯氏兄弟公司,1940年,NULL,NULL,NULL,NULL,NULL
爆炸物,手榴弹,RGD-5手榴弹,NULL,NULL,{'$oid': '5cc93426831b973d657f24e1'},NULL,苏/俄,NULL,NULL,117毫米,NULL,NULL,58毫米,NULL
爆炸物,手榴弹,RGD-33手榴弹,NULL,NULL,{'$oid': '5cc93426831b973d657f24e2'},NULL,苏/俄,NULL,1933年,190毫米,NULL,NULL,54毫米,NULL
爆炸物,手榴弹,AN M18式彩色发烟手榴弹,NULL,NULL,{'$oid': '5cc93426831b973d657f24e3'},NULL,美国,派因·布拉夫兵工厂,NULL,146毫米,NULL,"
M18式彩色发烟手榴弹是一种信号手榴弹，主要用于地对空或地对地信号联络、指示目标等。该弹现装备美陆军和一些其他国家军队。
",64毫米,发烟剂
爆炸物,手榴弹,RPG-40手榴弹,NULL,NULL,{'$oid': '5cc93426831b973d657f24e4'},http://images.huanqiu.com/sarons/2014/01/9caebbac1e241d2e8907b0bf8ec4290e.jpg,苏/俄,NULL,NULL,210毫米,NULL,NULL,95毫米,NULL
爆炸物,手榴弹,RG-42手榴弹,NULL,NULL,{'$oid': '5cc93426831b973d657f24e5'},NULL,苏/俄,NULL,1942年,130毫米,NULL,NULL,55毫米,NULL
爆炸物,手榴弹,M26式系列手榴弹,NULL,NULL,{'$oid': '5cc93427831b973d657f24e6'},NULL,美国,美国陆军器材准备司令部,1946年,99毫米,NULL,NULL,57毫米,B炸药
爆炸物,手榴弹,M57式杀伤手榴弹,NULL,NULL,{'$oid': '5cc93427831b973d657f24e7'},NULL,美国,美国陆军器材准备司令部,60年代初,99毫米,NULL,"
60年代初，在生产了M26式手榴弹的新的改进型M26A2式手榴弹后，在M26A2式手榴弹上增加一只保险夹，则成为M57式杀伤手榴弹；M57式杀伤手榴弹适用于阵地防御和城区巷战，用于杀伤有生目标。
",57毫米,B炸药/特屈儿
爆炸物,手榴弹,77式木柄手榴弹系列,NULL,NULL,{'$oid': '5cc93427831b973d657f24e8'},NULL,中国,NULL,NULL,173毫米,NULL,"
77式木柄手榴弹系列由77-1、77-2、77-4和77-5式等4个弹种组成，都在1977年完成设计定型，除77-1式手榴弹进行批量生产、装备部队外，其余几个弹种定型后便转入技术储备。 77-1式木柄手榴弹于1980年批准生产定型后，进行批量生产，逐步装备部队。
",48毫米,TNT
爆炸物,手榴弹,Mk 2手榴弹/菠萝手榴弹,NULL,NULL,{'$oid': '5cc93427831b973d657f24e9'},NULL,美国,NULL,1918年,NULL,NULL,"
Mk 2手榴弹（或写作Mk II）是美军在二战、韩战至越战中所装备的破片手榴弹，由于外型相似波萝又名菠萝手榴弹，后被M61及M67手榴弹取代。
",NULL,TNT或EC无烟火药
爆炸物,手榴弹,RPG-43手榴弹,碰炸式引信,NULL,{'$oid': '5cc93427831b973d657f24ea'},NULL,苏/俄,NULL,NULL,200毫米,1.2千克,"
RPG-43反坦克手榴弹是世界上最早成功采用聚能破甲原理的手榴弹，因其药型罩设计不够合理，所以它主要依靠大装药量来保证破甲效果。全弹长200MM装有612克TNT炸药，全弹质量为1200克。
",NULL,NULL
爆炸物,手榴弹,36年式及38年式木柄手榴弹,NULL,NULL,{'$oid': '5cc93427831b973d657f24eb'},NULL,中国,NULL,NULL,NULL,NULL,"
这两种手榴弹又称短柄手榴弹。36年式手榴弹为第四十四工厂1947年生产。第四十四工厂从贵阳迁山东后，曾仿制日式小型木柄手榴弹，因木材短缺，另行设计短式木柄手榴弹。木柄由152毫米改为70毫米，弹壳由4毫米改为5毫米。因体积小，携带方便，弹壳加厚，破片效果增大。1947年12月定名为36年式手榴弹。从1948年起，该厂及第三十、三十一工厂等进行了大量制造。与此同时，第七十工厂于1947年5月也曾设计制造过～种短柄手榴弹、1949年第八十工厂试制了一种38年式手榴弹，木柄减短至33毫米左右，近似无柄。弹体外径缩小至40毫米，但外壳似瓶状，外表有纵横沟槽预制破片。此弹装梯恩梯炸药，发火机构与木柄手榴弹相同，此弹仅第八十工厂生产。
",40毫米,NULL
爆炸物,手榴弹,M67式延时杀伤手榴弹,NULL,NULL,{'$oid': '5cc93429831b973d657f24ec'},NULL,美国,NULL,NULL,89.7毫米,NULL,"
M67式延时杀伤手榴弹是在M33式防御型手榴弹基础上改进而成的，与M33式不同之处是多了一个保险夹。目前，该弹作为美国陆军标准手榴弹之一，仍在装备使用，且主要用于防御作战时杀伤有生目标。
",63.5毫米,B炸药
爆炸物,手榴弹,一式氰酸手榴弹,NULL,手掷,{'$oid': '5cc93429831b973d657f24ed'},NULL,日本,NULL,NULL,100毫米,NULL,NULL,89毫米,氰酸
爆炸物,手榴弹,大正十年式手榴弹,NULL,手掷，掷弹筒发射,{'$oid': '5cc93429831b973d657f24ee'},NULL,日本,1921年,1921年,NULL,NULL,NULL,49.8毫米,TNT炸药
爆炸物,手榴弹,九九式磁性反战车手榴弹,NULL,手掷，埋设，步兵近战贴放,{'$oid': '5cc9342a831b973d657f24ef'},NULL,日本,NULL,1939年,NULL,NULL,NULL,120毫米,TNT炸药
爆炸物,手榴弹,M7A3式催泪手榴弹,NULL,NULL,{'$oid': '5cc9342a831b973d657f24f0'},NULL,美国,美国陆军器材准备司令部,20世纪60年代,145毫米,NULL,"
M7A3式催泪手榴弹是60年代末在M7A2式催泪手榴弹的基础上改进而成的，直到现在仍在美陆军中使用。该弹的主要功能是催泪，它可在很短时间内产生大量催泪气体，使一定范围内的人员暂时失去骚乱能力或战斗力，也可用于战场侦察或警察部队防暴。
",63.5毫米,CS+燃烧剂
爆炸物,手榴弹,九九式混合燃料纵火瓶,NULL,NULL,{'$oid': '5cc9342a831b973d657f24f1'},NULL,日本,NULL,NULL,NULL,NULL,NULL,NULL,NULL
爆炸物,手榴弹,91式手榴弹,NULL,NULL,{'$oid': '5cc9342a831b973d657f24f2'},NULL,日本,NULL,1931年,NULL,NULL,NULL,NULL,黄色炸药
爆炸物,手榴弹,3式反战车手榴弹,NULL,手掷,{'$oid': '5cc9342a831b973d657f24f3'},NULL,日本,NULL,NULL,173毫米,NULL,NULL,100毫米,混合炸药
爆炸物,手榴弹,RGO防御型杀伤手榴弹,NULL,NULL,{'$oid': '5cc9342b831b973d657f24f4'},NULL,苏/俄,NULL,20世纪70年代末,NULL,NULL,NULL,50毫米,NULL
