大类,类型,名称,动力装置,引信装置,制导系统,_id,图片,产国,关注度,弹长,研发单位,全重,研制时间,简介,最大速度,弹径,装药类型,尾翼装置
爆炸物,炸弹,500/1000磅（227/454kg）MK系列（LDGPB）低阻爆破炸弹,NULL,No960/FEU-80,NULL,{'$oid': '5cc93435831b973d657f252f'},NULL,英国,NULL,2000毫米,英国宇航皇家军械部,260.6千克,50年代初,"
500/1000磅（227/454kg）MK系列（LDGPB）低阻爆破炸弹，是英国于50年代初研制的新型航空导弹。广泛装备于英国的空/海军的作战飞机。
",NULL,330毫米,NULL,NULL
爆炸物,炸弹,MK81/82Mod1 蛇眼（Snakeye)减速炸弹,NULL,弹尾引信,NULL,{'$oid': '5cc93435831b973d657f2530'},http://images.huanqiu.com/sarons/2014/03/5322425e31940745324ff05d658e833e.jpg,美国,NULL,2273毫米,美国海军哥伦布·米尔帕,254千克,NULL,"
“蛇眼”减速炸弹是为适应现代战术攻击飞机实施高速、低空突防轰炸，尤其是超低空水平轰炸而发展的一类新型航空炸弹，在历次战争中均获得大规模地应用，并受到各国军方的广泛重视，竟相研制或引进，以装备部队使用。广泛装备美国陆海空三军的作战飞机，并大量销往国外。
",NULL,273毫米,NULL,NULL
爆炸物,炸弹,迪兰达尔 反跑道炸弹,NULL,触发延时引信,NULL,{'$oid': '5cc93435831b973d657f2531'},NULL,法国,NULL,2490毫米,法国马特拉公司,185千克,1975年,NULL,NULL,223毫米,NULL,NULL
爆炸物,炸弹,РБK-500CПБЭ反坦克子母炸弹,NULL,弹头引信一个,NULL,{'$oid': '5cc93435831b973d657f2532'},NULL,苏/俄,NULL,2500毫米,全俄防务出口总公司,467千克,20世纪80年代末,NULL,NULL,450毫米,NULL,圆环箭羽形
爆炸物,炸弹,BL755子母炸弹,NULL,近炸引信(子母弹箱)，触发引信(小炸弹),NULL,{'$oid': '5cc93436831b973d657f2533'},http://images.huanqiu.com/sarons/2014/03/c9423c4b6f495ad839d427f64529f7f6.jpg,英国,NULL,2438毫米,杭延工程公司,277千克,1964年3月,"
BL755子母炸弹是，1970年首次进行飞行试验，1971年投入批生产，1972年开始服役。主要用于攻击坦克、装甲车、停放的飞机及杀伤有生力量等。
",NULL,419毫米,NULL,566mm(折叠时)，714mm(展开时）
爆炸物,炸弹,哈德斯(HADES)子母炸弹,NULL,近炸引信（子母弹箱），触发引信（小炸弹）,NULL,{'$oid': '5cc93436831b973d657f2534'},NULL,英国,NULL,2450毫米,杭廷工程公司,259千克,80年代初,"
哈德斯(HADES)子母炸弹是专门为攻击机低空高速大面积轰炸而研制的新型子母炸弹。于80年代初开始研制，80年代中期进行试飞，1987年开始服役。作为英国“先进武器系列”（AWF）计划中的一个组成部分。主要用来攻击诸如机场、公路和铁路枢纽、河流汇合口岸、弹药库和首脑机关等高价值的固定目标。
",NULL,419毫米,NULL,570mm(折叠时)，720mm(展开时)
爆炸物,炸弹,LU250EG-FT 低阻爆破炸弹,NULL,弹头和弹尾机械引信,NULL,{'$oid': '5cc93436831b973d657f2535'},NULL,法国,NULL,240毫米,法国吕歇尔公司,240千克,NULL,NULL,NULL,250毫米,NULL,锥形尾翼装置
爆炸物,炸弹,CBU-55/B油气子母炸弹,NULL,FMU-83/B，弹头引信,NULL,{'$oid': '5cc93436831b973d657f2536'},NULL,美国,NULL,2400毫米,NULL,232千克,20世纪60年代,"
CBU-55/B油气子母炸弹又称燃料空气子母炸弹，是由美国海军60年代中期研制的。装备于美国海军、空军的A-1、UH-1、CH-46和CH-53作战飞机等。主要用于清除地雷区和在丛林中开辟道路，也可用于摧毁工事破坏技术装备和杀伤工事人员。1967年首次用于越南战场，完成实验后1971年作为美国海军的制式武器装备，于1991年参加海湾战争。现在已停产。
",NULL,356毫米,NULL,十字形
爆炸物,炸弹,混凝土穿破者 反跑道炸弹,NULL,机械定时引信,NULL,{'$oid': '5cc93436831b973d657f2537'},NULL,法国,NULL,2190毫米,NULL,345千克,60年代,NULL,NULL,400毫米,NULL,十字形
爆炸物,炸弹,РБK-500/ЗАБ-2.5ГP燃烧子母炸弹,NULL,弹头引信一个,NULL,{'$oid': '5cc93436831b973d657f2538'},NULL,苏/俄,NULL,1954毫米,全俄防务出口总公司,500千克,20世纪六七十年代,NULL,NULL,450毫米,NULL,圆环箭羽形
爆炸物,炸弹,РБК-500/АО-2.5РТМ杀伤子母弹,NULL,弹头引信1个,NULL,{'$oid': '5cc93436831b973d657f2539'},NULL,苏/俄,NULL,2500毫米,全俄防务出口总公司,504千克,20世纪70年代,NULL,NULL,450毫米,NULL,圆环箭羽形
爆炸物,炸弹,ОФ3AБ-500杀伤爆破燃烧炸弹,NULL,弹头/弹尾引信,NULL,{'$oid': '5cc93437831b973d657f253a'},NULL,苏/俄,NULL,2500毫米,全俄防务出口总公司,500千克,20世纪70年代,NULL,NULL,450毫米,NULL,十字形尾翼
爆炸物,炸弹,巴普100 反跑道炸弹,NULL,触发引信,NULL,{'$oid': '5cc93437831b973d657f253b'},NULL,法国,NULL,1780毫米,法国汤姆逊·布朗特军械公司,32.5千克,70年代中期,NULL,NULL,100毫米,NULL,NULL
爆炸物,炸弹,CBU-87/B综合效应弹药子母炸弹,NULL,NULL,NULL,{'$oid': '5cc93437831b973d657f253c'},http://images.huanqiu.com/sarons/2014/03/84de8d04538add4a9e7959b857a462cb.jpg,美国,NULL,2330毫米,霍尼韦尔国防航海系统公司,430千克,20世纪80年代,"
改子母炸弹由原霍尼韦尔国防航海系统公司、现阿里杨特技术系统公司于80年代初期开始研制，1985年由航空喷气公司负责生产。1986年首批生产，装备于美海、空军的各型作战飞机。1991年参加海湾战争，摧毁伊拉克的各种地面目标。
",NULL,396毫米,NULL,折叠式尾翼，翼展520毫米(闭合）/1070毫米(张开）
爆炸物,炸弹,КMГ-У /AO杀伤子母炸弹,NULL,NULL,NULL,{'$oid': '5cc93437831b973d657f253d'},NULL,苏/俄,NULL,3700毫米,全俄防务出口总公司,525千克,20世纪80年代,NULL,NULL,NULL,NULL,十字形
爆炸物,炸弹,神剑MP22 制导炸弹,NULL,近炸引信/触发引信,NULL,{'$oid': '5cc93437831b973d657f253e'},NULL,法国,NULL,2500毫米,法国桑普公司,316千克,80年代后期,NULL,NULL,273毫米,NULL,NULL
爆炸物,炸弹,РБK-500У/OФАБ-50УД杀伤爆破子母炸弹,NULL,机械延时引信,NULL,{'$oid': '5cc93438831b973d657f253f'},NULL,苏/俄,NULL,2495毫米,全俄防务出口总公司,525千克,20世纪80年代,NULL,NULL,450毫米,NULL,折叠式
爆炸物,炸弹,卡斯卡德 子母炸弹,NULL,定时引信(子母弹箱)，触发引信(小弹),NULL,{'$oid': '5cc93438831b973d657f2540'},NULL,法国,NULL,3200毫米,法国汤姆逊·布朗特军械公司,390千克,80年代中期,NULL,NULL,320毫米,NULL,NULL
爆炸物,炸弹,斯弗伍（SFW）CBU-97/B子母炸弹,NULL,头部定时/近炸引信,NULL,{'$oid': '5cc93438831b973d657f2541'},http://images.huanqiu.com/sarons/2014/03/035a621bd1e0f1218a3d132d632f31e8.jpg,美国,NULL,2340毫米,达信防务系统公司,450千克,20世纪80年代初,"
名称“斯弗伍”是“传感器引爆武器”的英文译名。是由达信防务系统公司公司于80年代初开始研制，主要装备美国海、空军的各型作战飞机以及北约各国的作战飞机。该弹具有远距防区外、投射后不管、对地多目标攻击能力的特点。1993年开始进入美国空军服役。
",NULL,406毫米,NULL,520毫米(闭合）/1070毫米(展开）
爆炸物,炸弹,JP233反跑道子母炸弹,NULL,触发引信（小炸弹）,NULL,{'$oid': '5cc93438831b973d657f2542'},NULL,英国,NULL,6550毫米,杭廷工程公司,2335千克,1977年,"
JP233反跑道子母炸弹是专门为战术攻击机进行反航空兵作战、攻击空军基地而研制的高速低空反机场跑道子母炸弹。杭廷工程公司于1980开始研制，并于1987年开始服役，1991年用于海湾战争。主要装备于英国的“狂风”GRI战斗机和北约组织各国其他攻击型飞机，主要攻击机场、交通枢纽、破坏工事和杀伤有生力量等。
",NULL,840毫米,NULL,1360mm(含215颗HB876的子母炸弹)，1600mm(含30颗SC357的子母炸弹)
爆炸物,炸弹,巴特120 反坦克炸弹,NULL,触发引信,NULL,{'$oid': '5cc93438831b973d657f2543'},NULL,法国,NULL,1500毫米,法国汤姆逊·布朗特军械公司,34千克,NULL,NULL,NULL,120毫米,NULL,NULL
爆炸物,炸弹,117/118型MK系列减速炸弹,NULL,No960/FEU-80,NULL,{'$oid': '5cc93438831b973d657f2544'},NULL,英国,NULL,2000毫米,朴茨茅斯航空公司,296千克,60年代,"
117/118型MK系列减速炸弹是为适应现代战术攻击飞机实施高速、低空突防轰炸和超低空水平轰炸发展的一类新型航空炸弹。于60年代初开始研制，可以改装到英国现役普通低阻炸弹上和美国的MK80系列低阻炸弹上。广泛装备英国海、空军的作战部队。
",NULL,420毫米,NULL,430mm(MK1/2带No118减速尾翼装置)
爆炸物,炸弹,布姆400模式字母炸弹,NULL,定时引信(子母弹箱)，触发引信(小弹),NULL,{'$oid': '5cc93438831b973d657f2545'},NULL,法国,NULL,3200毫米,法国汤姆逊·布朗特军械公司,390千克,70年代末、80年代初,NULL,NULL,320毫米,NULL,十字形尾翼
爆炸物,炸弹,250kg/400kg/1000kg 激光制导炸弹,NULL,近炸引信/触发引信,NULL,{'$oid': '5cc93438831b973d657f2546'},NULL,法国,NULL,3610毫米,法国马特拉公司，汤姆逊-CSF公司,250千克,NULL,NULL,NULL,324毫米,NULL,十字形尾翼
爆炸物,炸弹,贝加卢BLG66 通用字母炸弹,NULL,定时引信（字母弹箱），触发引信（小炸弹）,NULL,{'$oid': '5cc93439831b973d657f2547'},NULL,法国,NULL,3330毫米,法国马特拉公司，汤姆逊·布朗特军械公司,305千克,70年代中期,NULL,NULL,360毫米,NULL,十字形
爆炸物,炸弹,РБK-500/ПTАБ-1M反坦克子母炸弹,NULL,弹头引信一个,NULL,{'$oid': '5cc93439831b973d657f2548'},NULL,苏/俄,NULL,1950毫米,全俄防务出口总公司,427千克,20世纪六七十年代,NULL,NULL,450毫米,NULL,圆环箭羽形
爆炸物,炸弹,GBU-29/30制导炸弹,NULL,触发或非触发引信,NULL,{'$oid': '5cc93439831b973d657f2549'},NULL,美国,NULL,NULL,麦道公司，洛克希德·马丁公司,1000千克,20世纪80年代末,"
该弹属于80年代末美国海/空军联合实施的一项称之为“先进炸弹系列”的计划。拟装备美国海/空军的各型飞机。目前还处于研制状态。
",NULL,460毫米,NULL,NULL
爆炸物,炸弹,ЗБ-500ГД/ШМ燃烧炸弹,NULL,弹体中部引信一个,NULL,{'$oid': '5cc93439831b973d657f254a'},NULL,苏/俄,NULL,2503毫米,全俄防务出口总公司,317.5千克,20世纪六七十年代,NULL,NULL,500毫米,NULL,无
爆炸物,炸弹,ХАБ-250毒气炸弹,NULL,无,NULL,{'$oid': '5cc9343a831b973d657f254b'},NULL,苏/俄,NULL,2050毫米,全俄防务出口总公司,130千克,20世纪六七十年代,NULL,NULL,475毫米,NULL,圆环箭羽形
爆炸物,炸弹,КАБ-500Л激光制导炸弹,NULL,NULL,NULL,{'$oid': '5cc9343a831b973d657f254c'},NULL,苏/俄,NULL,3050毫米,国家研究生产协会,534千克,1972年,NULL,NULL,400毫米,NULL,十字形
爆炸物,炸弹,БЕТАБ-150ДС/500ШП反跑道炸弹,NULL,弹体引信1个,NULL,{'$oid': '5cc9343a831b973d657f254d'},NULL,苏/俄,NULL,2510毫米,全俄防务出口总公司,380千克,20世纪六七十年代,NULL,NULL,325毫米,NULL,4片十字形尾翼
爆炸物,炸弹,白星眼（Walleye)电视制导炸弹,NULL,NULL,NULL,{'$oid': '5cc9343a831b973d657f254e'},NULL,美国,NULL,3400毫米,海军军械试验站马丁·马丽埃塔·奥兰多宇航公司 休斯飞机公司,510千克,20世纪60年代,"
该炸弹是20世纪60年代美国海军在“小斗犬”GM-12的基础上研制的新型的电视制炸弹。主要装备于美国空/海军的各种作战飞机。是二战后第一个参加越南战争的电视炸弹。
",NULL,390毫米,NULL,1160毫米
爆炸物,炸弹,B53核炸弹,NULL,主动雷达引信,NULL,{'$oid': '5cc9343a831b973d657f254f'},http://images.huanqiu.com/sarons/2014/03/322282ab1eb02df893225cb313fe3efa.jpg,美国,NULL,3760毫米,洛斯阿拉莫斯国家试验室,4022千克,1958年,"
该弹是应美国战略空军司令部的的要求发展的战略核炸弹，装备美国战略轰炸机B-52。1958年开始研制，1961年投产，1962年开始服役，1965年停产，总共生产约340颗。
",NULL,1027毫米,NULL,1800毫米
爆炸物,炸弹,КАБ-500КР,NULL,NULL,NULL,{'$oid': '5cc9343a831b973d657f2550'},NULL,苏/俄,NULL,3050毫米,国家研究生产协会,560千克,1975年,NULL,NULL,350毫米,NULL,十字形
爆炸物,炸弹,B57核炸弹,NULL,主动雷达引信,NULL,{'$oid': '5cc9343a831b973d657f2551'},http://images.huanqiu.com/sarons/2014/03/deb3083749115ec2bf226df6dbd7c96d.jpg,美国,NULL,2997毫米,洛斯阿拉莫斯国家试验室,222千克,20世纪60年代,"
该弹是美国60年代初发展的多功能、轻型、小当量、反潜、反舰、对地攻击的新一代战术核炸弹，装备美国空军、海军、和海军陆战队的战略、战术攻击飞机。1960年开始研制，1967年5月停产，总共生产3100颗。
",NULL,349毫米,NULL,520毫米
爆炸物,炸弹,П-50T教练炸弹,NULL,弹头引信一个,NULL,{'$oid': '5cc9343a831b973d657f2552'},NULL,苏/俄,NULL,1044毫米,全俄防务出口总公司,NULL,20世纪六七十年代,NULL,NULL,203毫米,NULL,圆环箭羽形
爆炸物,炸弹,加图尔(Gator)CBU-78/89子母雷,NULL,头部近炸引信FMU-140/B,NULL,{'$oid': '5cc9343a831b973d657f2553'},http://images.huanqiu.com/sarons/2014/03/58ce41875b30e368292aa66c1d276f61.jpg,美国,NULL,2150毫米,航空喷气军械公司,222千克,20世纪80年代,"
该子母雷由原航空喷气机械公司、现奥林军械公司于80年代中期开始研制。该炸弹装备美国海/空军的各型作战飞机以及北约各国的作战飞机。1986年开始服役，1991年CBU-78/B首次用于海湾战争，摧毁伊拉克的各种地面目标。
",NULL,335毫米,NULL,440毫米(闭合）/1070毫米(展开）
爆炸物,炸弹,РБK-500/БETАБ-25反跑道子母炸弹,NULL,弹头引信一个,NULL,{'$oid': '5cc9343b831b973d657f2554'},NULL,苏/俄,NULL,2500毫米,全俄防务出口总公司,525千克,20世纪六七十年代,NULL,NULL,450毫米,NULL,圆环箭羽形
爆炸物,炸弹,B83核炸弹,NULL,主动雷达引信,NULL,{'$oid': '5cc9343b831b973d657f2555'},http://images.huanqiu.com/sarons/2014/03/ed74388d56d9e024a23a5217055d9a92.jpg,美国,NULL,3660毫米,劳伦斯利弗莫尔国家试验室,1088千克,20世纪70年代末,"
该弹是美国70年代末发展的大当量、自由降落、高速低空攻击的新一代战略核炸弹，以取代老式的B28、B43、B53核炸弹，装备美国空军的B-1B战略轰炸机，专门用来攻击加固的洲际弹道导弹地下发射井、发射设施、指挥控制设施，加固的核武器存贮场等重要目标。1984年开始服役，现在依旧生产。
",NULL,460毫米,NULL,900毫米
爆炸物,炸弹,C3B反潜制导炸弹,NULL,水压引信,NULL,{'$oid': '5cc9343b831b973d657f2556'},NULL,苏/俄,NULL,1300毫米,全俄防务出口总公司,94千克,20世纪六七十年代,NULL,NULL,211毫米,NULL,圆环箭羽形
爆炸物,炸弹,丹尼尔（Denel）低阻通用炸弹,NULL,0SA771头部机械触发/延时引信，SA772尾部机械触发/延时引信 ,NULL,{'$oid': '5cc9343b831b973d657f2557'},NULL,南非,NULL,765毫米,丹尼尔公司,466千克,80年代,"
丹尼尔（Denel）低阻通用炸弹是南非丹尼尔公司在美国的MK80系列低阻通用爆破炸弹的基础上，于80年代为南非空军研制的新型低阻爆破炸弹。用于北约组织各国和其他国家空军的高速飞机外挂投弹。装备于南非空军的“幻影”F-1、“幻影”3、“英帕拉”等作战飞机，用于战术攻击飞机实施高速、低空突防轰炸，尤其是超低空水平轰炸。
",NULL,95毫米,NULL,NULL
爆炸物,炸弹,超十字制动伞（SBRPS）减速炸弹,NULL,弹头/弹尾引信,NULL,{'$oid': '5cc9343b831b973d657f2558'},NULL,南非,NULL,NULL,优伊克公司,NULL,80年代,"
超十字制动伞（SBRPS）减速炸弹是南非优伊克公司于80年代在南非现役MK81/82低阻炸弹的基础上，为南非空军研制的，其减速装置称之为“超十字制动减速伞系统”。装备南非空军的“幻影”F-1、“幻影”3、“英帕拉”等作战飞机，适用于北约组织各国和其他国家空军的高速飞机外挂投弹。
",NULL,273毫米,NULL,NULL
爆炸物,炸弹,奥法尔（Opher）红外制导炸弹,NULL,弹头/弹尾/头尾两用引信,NULL,{'$oid': '5cc9343c831b973d657f2559'},NULL,以色列,NULL,3430毫米,以色列埃尔比特公司,325千克,80年代初,"
奥法尔（Opher）红外制导炸弹是由以色列埃尔比特公司自筹资金于80年代初开始研制的，拟装备以色列空军的现代战术攻击飞机，满足以色列空军实施精确空地轰炸的需求，又充分利用以色列空军武库中的美国MK82/83通用爆破炸弹，并为利于外销出口，采用北约标准的356mm双弹耳。主要攻击敌指挥部、地下掩蔽部、加坚的掩体、桥梁、地空导弹阵地、海上舰艇等。
",NULL,273毫米,NULL,700mm(MK82）
爆炸物,炸弹,姆伍-1（MW-1) 子母炸弹,NULL,定时引信(子母弹箱)，触发/定时引信(小弹),NULL,{'$oid': '5cc9343c831b973d657f255a'},NULL,德国,NULL,5330毫米,德国火箭技术公司,4700千克,NULL,NULL,NULL,1320毫米,NULL,无
爆炸物,炸弹,КАБ-1500КР电视制导炸弹,NULL,NULL,NULL,{'$oid': '5cc9343c831b973d657f255b'},NULL,苏/俄,NULL,NULL,国家研究生产协会,1500千克,20世纪70年代,NULL,NULL,NULL,NULL,十字形扩展式
爆炸物,炸弹,КАБ-1500Л激光制导炸弹,NULL,NULL,NULL,{'$oid': '5cc9343c831b973d657f255c'},NULL,苏/俄,NULL,4600毫米,国家研究生产协会,1560千克,20世纪70年代,NULL,NULL,580毫米,NULL,十字形扩展式
爆炸物,炸弹,姆德斯(MDS)子母炸弹,NULL,定时引信(子母弹箱)，触发/定时引信(小弹),NULL,{'$oid': '5cc9343c831b973d657f255d'},NULL,德国,NULL,4500毫米,德国火箭技术公司,2000千克,NULL,NULL,NULL,630毫米,NULL,无
爆炸物,炸弹,金字塔（Pyramid）电视制导炸弹,NULL,NULL,NULL,{'$oid': '5cc9343c831b973d657f255e'},NULL,以色列,NULL,2000毫米,拉斐尔公司,263千克,80年代,"
金字塔（Pyramid）电视制导炸弹是以色列拉斐尔公司在引进美国60年代初期研制的“白星眼”电视制导炸弹的基础上，于80年代开始研制，1989年开始进入以色列空军服役。装备于以色列空军的A-4、F-4E、F-15、F-16、“幼狮”等作战飞机。
",NULL,273毫米,NULL,1000mm
爆炸物,炸弹,断头台（Guillotine）激光制导炸弹,NULL,弹头/弹尾/头尾两用引信,NULL,{'$oid': '5cc9343c831b973d657f255f'},NULL,以色列,NULL,NULL,以色列飞机工业公司,900千克,90年代初,断头台（Guillotine）激光制导炸弹是在“怪兽”激光制导炸弹的基础上，为更好地满足以色列空军的现代战术攻击飞机实施精神空地轰炸的需求，并充分利用以色列空军武库中的美国MK82/83/84通用爆破炸弹而改进发展的。由以色列飞机工业公司于90年代初开始研制，1992年完成研制，随后进入现役。主要用于攻击敌指挥部、地下掩蔽部、桥梁、地空导弹阵地、海上舰艇等。,NULL,457毫米,NULL,NULL
爆炸物,炸弹,阿赛马（Aserma）低阻杀伤炸弹,230mm（MK81）,弹头/弹尾引信,NULL,{'$oid': '5cc9343d831b973d657f2560'},NULL,南非,NULL,1780毫米,阿赛马公司,122千克,80年代,"
阿赛马（Aserma）低阻杀伤炸弹是南非阿赛马公司在美国的MK80系列低阻通用爆破炸弹的基础上，于80年代为南非空军研制的新型低阻杀伤炸弹。适用于北约组织各国和其他国家空军的高速飞机外挂投弹、战术攻击飞机实施高速、低空突防轰炸和超低空水平轰炸。主要用来大面积杀伤敌有生力量、轻型装甲车辆等目标。
",NULL,230毫米,NULL,NULL
爆炸物,炸弹,符布伍(VBW)子母炸弹,NULL,定时引信(子母弹箱)，触发引信(小弹),NULL,{'$oid': '5cc9343d831b973d657f2561'},NULL,德国,NULL,4000毫米,德国火箭技术公司,350千克,1977年,NULL,NULL,550毫米,NULL,无
爆炸物,炸弹,布耳(BR)低阻爆破/杀伤炸弹,NULL,弹头引信MU5/9，弹尾引信MU8(爆破型)，VTE60近炸引信(杀伤型),NULL,{'$oid': '5cc9343d831b973d657f2562'},NULL,西班牙,NULL,1400毫米,西班牙埃克斯帕尔炸药公司,50千克,1980年,NULL,NULL,180毫米,NULL,NULL
爆炸物,炸弹,阿弗德斯(AFDS)子母炸弹,NULL,定时引信(子母弹箱)，触发/近炸引信(小弹),惯性制导系统,{'$oid': '5cc9343d831b973d657f2563'},NULL,德国,NULL,3470毫米,德国戴勒姆-本茨宇航公司(DASA),600千克,80年代末,NULL,NULL,630毫米,NULL,NULL
爆炸物,炸弹,阿布勒-250 （ABL-250）子母炸弹,NULL,定时引信(子母弹箱)，触发引信(小弹),NULL,{'$oid': '5cc9343d831b973d657f2564'},NULL,西班牙,NULL,2250毫米,西班牙国际技术公司,250千克,80年代初,NULL,NULL,335毫米,NULL,4片稳定尾翼
爆炸物,炸弹,阿尔法CB470子母炸弹,NULL,弹头机械音信,NULL,{'$oid': '5cc9343e831b973d657f2565'},NULL,南非,NULL,2600毫米,丹尼尔公司,NULL,70年代,"
阿尔法CB470子母炸弹70年代由津巴布韦的前身—罗德西亚的南非技术人员设计的，用来杀伤人员。但由于当时缺乏近炸引信技术，将小炸弹制成圆形，外壳用橡皮包裹，与篮球相似，具有弹性，称之为“弹跳式炸弹”。装备与南非空军的“幻影”F-1、“幻影”3、“英帕拉”等作战部队。
",NULL,419毫米,NULL,NULL
爆炸物,炸弹,德伍斯-24/39(DWS-24/39) 子母炸弹,NULL,近炸引信(子母弹箱)，触发引信(小弹),惯性制导系统,{'$oid': '5cc9343e831b973d657f2566'},NULL,德国,NULL,3500毫米,德国火箭技术公司,600千克,NULL,NULL,NULL,630毫米,NULL,NULL
爆炸物,炸弹,布尔普（BRP）减速炸弹,NULL,弹头引信KAPPA3/KEMA型(爆破/杀伤型)，GAMMA侧向引信(爆破型),NULL,{'$oid': '5cc9343e831b973d657f2567'},NULL,西班牙,NULL,1420毫米,西班牙埃克斯帕尔炸药公司,50千克,80年代中期,NULL,NULL,180毫米,NULL,NULL
爆炸物,炸弹,布尔法330(BRFA)反跑道炸弹,NULL,INFA双电子引信(尾部),NULL,{'$oid': '5cc9343e831b973d657f2568'},NULL,西班牙,NULL,3000毫米,西班牙埃克斯帕尔炸药公司,330千克,80年代中后期,NULL,NULL,300毫米,NULL,十字形
爆炸物,炸弹,阿尔德(ALD)通用爆破/杀伤炸弹,NULL,弹头引信,NULL,{'$oid': '5cc9343e831b973d657f2569'},NULL,西班牙,NULL,1380毫米,西班牙国际技术公司,57千克,1983年,NULL,NULL,178毫米,NULL,NULL
爆炸物,炸弹,阿什（ASH）减速炸弹,NULL,弹头引信(TF-4000E型),NULL,{'$oid': '5cc9343e831b973d657f256a'},NULL,西班牙,NULL,2150毫米,西班牙国际技术公司,262千克,80年代中期,NULL,NULL,290毫米,NULL,NULL
爆炸物,炸弹,布米330（BME）子母炸弹,NULL,BME双电子引信(子母弹箱头部)，电子定时/触发引信(小炸弹),NULL,{'$oid': '5cc9343e831b973d657f256b'},NULL,西班牙,NULL,2250毫米,西班牙埃克斯帕尔炸药公司,317千克,80年代中期,NULL,NULL,350毫米,NULL,十字形
爆炸物,炸弹,布耳普斯(BRP.S)减速炸弹,NULL,NULL,NULL,{'$oid': '5cc9343f831b973d657f256c'},NULL,西班牙,NULL,NULL,西班牙埃克斯帕尔炸药公司,NULL,80年代中后期,NULL,NULL,NULL,NULL,NULL
爆炸物,炸弹,巴尔布（BARB）反雷达制导炸弹,NULL,弹头/弹尾引信,NULL,{'$oid': '5cc9343f831b973d657f256d'},NULL,南非,NULL,NULL,格里纳克尔航空公司,450千克,80年代末,"
巴尔布（BARB）反雷达制导炸弹是南非格里纳克尔航空电子公司在南非现役250kg口径的MK82低阻爆破杀伤炸弹的基础上研制的，为南非空军提供了低成本的反雷达制导炸弹。于80年代末开始研制，1992年该弹公开展出。装备与南非空军的“幻影”F-1、“幻影”3、“英帕拉”等作战飞机。
",NULL,273毫米,NULL,NULL
爆炸物,炸弹,AV-BAFG-120/250低阻通用炸弹,NULL,弹头/弹尾引信,NULL,{'$oid': '5cc9343f831b973d657f256e'},NULL,巴西,NULL,2200毫米,阿维布拉斯宇航工业公司,250千克,80年代,"
AV-BAFG-120/250低阻通用炸弹是巴西阿维布拉斯宇航工业公司在美国的MK80系列低阻通用爆破炸弹的基础上、于80年代为巴西空军研制的新型低阻爆破炸弹。该系列炸弹装备于巴西空军的F-5、EMB-312、EMB-326、AMX等战斗机。图为F-5挂载AV-BAFG-120炸弹。
",NULL,273毫米,NULL,NULL
爆炸物,炸弹,BK-BR50/125/250/500 低阻爆破炸弹,NULL,弹头机械引信M1Mod2/M2181，弹尾机械引信M2Mod2/M2282,NULL,{'$oid': '5cc93440831b973d657f256f'},NULL,阿根廷,NULL,3000毫米,航空技术系统公司,500千克,90年代,NULL,NULL,350毫米,NULL,NULL
爆炸物,炸弹,AV-BI-220/250/375/400 燃烧炸弹,NULL,弹头/弹尾引信,NULL,{'$oid': '5cc93440831b973d657f2570'},NULL,巴西,NULL,3630毫米,阿维布拉斯宇航工业公司,362千克,80年代,"
AV-BI-220/250/375/400 燃烧炸弹是巴西阿维布拉斯宇航工业公司在美国的50年代的燃烧炸弹的基础上、于80年代为巴西空军研制的新型燃烧炸弹。该系列炸弹装备于巴西空军的F-5、EMB-312、EMB-326、AMX等战斗机。图为空军战机挂载该型炸弹。
",NULL,480毫米,NULL,NULL
爆炸物,炸弹,250/500/1500/3000kg2型爆破炸弹,NULL,弹头/弹尾引信,NULL,{'$oid': '5cc93440831b973d657f2571'},NULL,中国,NULL,3300毫米,中国北方工业（集团）总公司,2840千克,60年代,"
250/500/1500/3000kg2型爆破炸弹是在前苏联фAБ-M54系列爆破炸弹基础上改进研制的。60年代中期服役，属于高阻爆破炸弹，适装备于中国空/海军的H-5、H-6、Q-5、J-5、J-6、J-7、J-8等各种作战飞机。用于炸弹舱内挂和中高/空投弹，主要装备中国空、海军的轰炸机和强击机。
",NULL,820毫米,NULL,NULL
爆炸物,炸弹,BRP/BRPS/FAS减速炸弹,NULL,弹头/弹尾/侧部引信,NULL,{'$oid': '5cc93440831b973d657f2572'},NULL,阿根廷,NULL,3000毫米,航空技术系统公司,500千克,90年代,NULL,NULL,350毫米,NULL,NULL
爆炸物,炸弹,AV-BP-250反跑道炸弹,NULL,触发延时引信,NULL,{'$oid': '5cc93440831b973d657f2573'},NULL,巴西,NULL,3000毫米,阿维布拉斯宇航工业公司,250千克,80年代中期,"
AV-BP-250反报道炸弹是巴西阿维布拉斯宇航工业公司于80年代中期为巴西空军研制的新型反跑道炸弹。装备战术攻击飞机，遂行反航空兵作战任务，对敌空军基地、尤其是机场跑道实施高速低空攻击。该系列炸弹装备于巴西空军的F-5、EMB-312、EMB-326、AMX等战斗机。
",NULL,230毫米,NULL,NULL
