制造商,生产年限,类型,名称,大类,数量,有效射程,_id,图片,产国,全枪重,关注度,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
史密斯-韦森公司,1907年-1915年,手枪,史密斯-韦森新世纪手动退壳型转轮手枪,枪械与单兵,20000,NULL,{'$oid': '5cc93250831b973d657f1a71'},NULL,美国,1.1千克,NULL,NULL,NULL,"
该枪是当时史密斯-韦森系列的主导产品，因为枪管下方有三重转轮锁而称为“三重锁”。共生产了大约20000支，其中超过13000支发射0.44英寸史密斯-韦森枪弹，少量发射发射0.45英寸柯尔特枪弹、0.44英寸史密斯-韦森苏制枪弹、0.450英寸ELEV枪弹和0.44-40英寸温彻斯特转枪弹。1915年～1917年间为英国陆军生产了5000支，发射0.455英寸温普利枪弹。
",转轮,11.43毫米,6发,298毫米
NIITOCHMASH（中央精密机械研究所）,20世纪70年代,手枪,SPP-1手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93250831b973d657f1a72'},http://images.huanqiu.com/sarons/2013/08/c53be481e55f731d98e7792156215ae8.jpg,苏/俄,0.95千克,NULL,NULL,NULL,"
SPP-1是一款多枪管4发手枪，供海军作战人员在水下使用。它使用4发弹夹装弹。该枪不像通常那样使用带膛线的枪管发射手枪弹，而是发射长箭弹，并依靠水流确定箭弹的稳定性。这款武器的射程很短，其有效射程取决于水深，水深为5米和40米时分别为17米和6米。
",NULL,4.5毫米,4发,244毫米
意大利伯莱塔公司,1986年,手枪,伯莱塔M93R手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93250831b973d657f1a73'},http://images.huanqiu.com/sarons/2013/08/f1503fbaee86a4531be29b1d757f10a8.jpg,意大利,1.129千克,NULL,NULL,NULL,"
意大利伯莱塔公司在继承92型手枪的基础上为意大利特种部队研制的一种全自动手枪，现已停产。其最初是为由意大利反恐部队设计，是为在其改进后也为本国警察和军队所使用。
",自动枪支,9毫米,20发,240毫米
意大利伯纳德利公司,1986年,手枪,伯纳德利P-018,枪械与单兵,NULL,NULL,{'$oid': '5cc93250831b973d657f1a74'},http://images.huanqiu.com/sarons/2013/08/5f4e01d953ad0c0c0a92de34bdd3cbee.jpg,意大利,0.998千克,NULL,NULL,NULL,"
伯纳德利P-018为传统的双动式自动手枪。另有一款紧凑型，其全枪长109毫米，枪管长102毫米，弹匣容量14发。尽管它是为军队和警察专门设计的，但在商业销售方面更为成功。
",自动枪支,9毫米,15发,213毫米
柯尔特公司,1917年-1945年,手枪,柯尔特M1917转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93250831b973d657f1a75'},http://images.huanqiu.com/sarons/2013/08/cb513f493d085a34a85d833cb3e7507f.jpg,美国,1.1千克,NULL,NULL,第一次世界大战,"
柯尔特M1917型左轮手枪是第一次世界大战时的历史名枪，它是柯尔特M1909左轮手枪的改进型，该枪于1917年投入生产，所以被称为柯尔特M1917型左轮手枪。1917年，由于手枪短缺，美国军方要求柯尔特和史密斯-韦森生产转轮手枪以填补空缺，但要求这种转轮手枪能够发射柯尔特自动手枪使用的0.45英寸自动手枪弹。因此M1917成为新制式武器，它采用较短的转轮，以便使用两个三发弹夹将0.45英寸的无底缘ACP枪弹装入弹巢，并让退壳杆能够退出弹壳。该枪在二战期间一直在服役。
",转轮枪支,11.43毫米,6发,273毫米
NULL,1929年-1945年,手枪,0.38英寸Mark IV型转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93250831b973d657f1a76'},http://images.huanqiu.com/sarons/2013/08/2c3fb381f16ed81e5fd3c1a4723eb336.jpg,英国,0.76千克,NULL,NULL,二战,"
该枪是韦伯利公司为满足英国陆军的需求而设计的一款口径0.38英寸的转轮手枪，但军方后来采用了恩菲尔德的设计，因此这款枪投入了商业市场。二战期间，英军方采购了100000支，并一直使用到1956年。
",NULL,9.652毫米,6发,266毫米
意大利伯莱塔公司,2003年,手枪,伯莱塔P×4“风暴”手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93251831b973d657f1a77'},http://images.huanqiu.com/sarons/2013/08/a7271204b0a042fdfb91e3e7aab56d3b.jpg,意大利,0.78千克,NULL,NULL,NULL,"
伯莱塔P×4“风暴”手枪（Beretta Px4 Storm）是由意大利伯莱塔公司为个人防卫和执法机关使用而设计和生产的半自动手枪。主要作为执法机构用枪。服务于加拿大边境服务局，南非警察局，委内瑞拉国民警卫队，美国警方等部门。
",自动枪支,9毫米,20发,193毫米
意大利伯莱塔公司,1934年-1950年,手枪,伯莱塔1934型手枪,枪械与单兵,1080000,NULL,{'$oid': '5cc93251831b973d657f1a78'},NULL,意大利,0.75千克,NULL,NULL,二战,"
伯莱塔1934型手枪是一款紧凑型半自动手枪，二战期间大量装备意大利陆军。该枪外观与M1931相似，但通过敞开的套筒和枪身铭文很容易分辨。
",自动枪支,9毫米,7发,150毫米
柯尔特公司,1986年,手枪,柯尔特眼镜蛇转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93251831b973d657f1a79'},http://images.huanqiu.com/sarons/2013/08/5ec8978e85ecb80d3ecba5907abdbcfa.jpg,美国,1.3千克,NULL,NULL,NULL,"
柯尔特眼镜蛇转轮手枪是鲁格GP100和史密斯-韦森0.357英寸马格努姆转轮手枪的竞争对手。
",转轮枪支,9毫米,6发,280毫米
伊热夫斯克机械厂,1980年,手枪,PSM手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93251831b973d657f1a7a'},NULL,苏/俄,0.46千克,NULL,NULL,NULL,"
PSM（俄语：Пистолет Самозарядный Малогабаритный，意为：紧凑型半自动手枪）是一种由苏联KBP仪器设计局于1969年设计的防身用手枪，旨在提供给执法部门及军官使用。该枪在1973年于伊热夫斯克机械厂正式投产。该枪采用自由枪机式自动方式，外观小巧，表面无突出部分，便于隐藏。它采用独特的瓶颈式枪弹和非膨胀弹头，具有极大的侵彻力，可击穿防弹衣。该枪原先是打算提供给苏联军队中的高阶军官作自卫之用，但考虑到此枪的紧凑枪身，令其不久更成为了克格勃和警察的常用武器。
",半自动枪支,5.45毫米,8发,155毫米
柯尔特公司,1927年-1986年,手枪,柯尔特特种侦探转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93251831b973d657f1a7b'},http://images.huanqiu.com/sarons/2013/08/787c0cfc16181ce6aa89fa75a4001e5c.jpg,美国,0.595千克,NULL,NULL,NULL,NULL,NULL,9.652毫米,6发,171毫米
意大利伯菜塔公司,1975年 - 至今,手枪,伯菜塔M92手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93251831b973d657f1a7c'},http://images.huanqiu.com/sarons/2013/11/eb57c0e9faf0f8e813fde5604bd78f52.jpg,意大利,0.85千克,NULL,NULL,NULL,NULL,自动枪支,9毫米,15发,217毫米
中央精密机械工程研究院,1995年,手枪,PSS微声手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93251831b973d657f1a7d'},NULL,苏/俄,0.7千克,NULL,NULL,NULL,"
PSS（俄语：Пистолет самозарядный специальный，意为：半自动特种手枪），是由苏联中央精密机械工程研究院研制的一种特种手枪。7.62毫米PSS微声手枪也称Vul，是一种近距离特种部队所用手枪，它采用自由枪机式自动原理，并使用一种独特方法消除射击特征。并没有在枪口安装消声器，而是发射一种特制的7.62×42毫米枪弹。平头弹头与弹壳前缘相连，发射时枪弹中的活塞将弹头推入枪管而活塞被弹壳的凹口卡住，这样所有的发射火焰和噪音都被限制在弹壳内。我们见到的大多数Pss手枪都有基本的涂饰，这表明它们的服役时间不长；另外，除套筒左侧的序列号外，没有任何枪支有其他铭文。
",半自动枪支,7.62毫米,6发,165毫米
西班牙加比隆多公司,1953年至1970年,手枪,Ruby Extra转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93251831b973d657f1a7e'},http://images.huanqiu.com/sarons/2013/08/ccb20a69223d8ca665bdbbb921c53158.jpg,西班牙,1.1千克,NULL,NULL,NULL,NULL,NULL,7.65毫米,6发,162毫米
韦伯利公司,1885年-1912年,手枪,韦伯利0.455英寸WG型转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93252831b973d657f1a7f'},http://images.huanqiu.com/sarons/2013/08/3b26a3c1b7e784288ce8aa1d159083ee.jpg,英国,1.138千克,NULL,NULL,NULL,"
该系列由韦伯利公司设计师迈克尔·考夫曼设计，所以其姓名的首字母缩写和一个数字刻在枪上，旨在表明他对每支枪拥有专利权。该枪的很多改进都成了韦伯利的标准设计，该枪被英国军官和野外旅行者大量购买。WG被认为是韦伯利政府型（WebleyGovernment）的缩写，也有人说是镫形锁扣设计者韦伯利。格林（WebleyGreen）的缩写。
",NULL,11.557毫米,6发,286毫米
韦伯利公司,1901年-1936年,手枪,0.32英寸袖珍型无击锤转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93252831b973d657f1a80'},NULL,英国,0.48千克,NULL,NULL,NULL,"
除使用0.320英寸口径转轮手枪弹外，该枪还可根据需要使用0.32英寸柯尔特长枪弹或短枪弹以及0.32英寸史密斯-韦森转轮手枪弹。外层镀镍，采用贝壳握把。尽管生产多年，总产量不超过1万支，但很常见。
",NULL,8.128毫米,6发,178毫米
柯尔特公司,1898年-1944年,手枪,柯尔特新制式转轮手枪,枪械与单兵,360000,NULL,{'$oid': '5cc93252831b973d657f1a81'},http://images.huanqiu.com/sarons/2013/08/b43439122b7709120b882bd9b06fe396.jpg,美国,1.2千克,NULL,NULL,美西战争义和团运动第二次布尔战争第一次世界大战第二次世界大战朝鲜战争越南战争,"
该枪从19世纪90年代作为军用转轮手枪开始研发，直到1917年才被采用，但此后不断生产，到1944年停产时生产了大约360000支，其中大部分发射0.45英寸柯尔特转轮手枪弹或0.44英寸史密斯-韦森俄制转轮手枪弹，但有很少一部分使用0.44/0.40英寸温彻斯特枪弹和0.476英寸爱莱枪弹。
",转轮枪支,12.09毫米,6发,275毫米
宪章武器公司（Charter Arms）,1964年,手枪,Charter Arms探险者转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93252831b973d657f1a82'},http://images.huanqiu.com/sarons/2013/08/ba542908289da774bbf242cd82ed445b.jpg,美国,0.525千克,NULL,NULL,NULL,NULL,NULL,11.176毫米,6发,188毫米
英国韦伯利公司,1915年-1939年,手枪,韦伯利0.455英寸MarkIV转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93252831b973d657f1a83'},http://images.huanqiu.com/sarons/2013/08/eb7b2cc1e847160f3f6fd10250867516.jpg,英国,1.1千克,NULL,NULL,NULL,NULL,NULL,11.557毫米,6发,286毫米
英国韦布利-斯科特公司,1896年-1939年,手枪,韦伯利Mark III型转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93252831b973d657f1a84'},NULL,英国,0.504千克,NULL,NULL,NULL,NULL,NULL,9.65毫米,6发,205毫米
英国韦布利斯科特公司及欧美各国军火商,1878年-1939年,手枪,斗牛犬转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93252831b973d657f1a85'},NULL,英国,0.525千克,NULL,NULL,NULL,NULL,NULL,11.43毫米,6发,159毫米
美国柯尔特公司,1955年-1999年,手枪,柯尔特蟒蛇转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93252831b973d657f1a86'},http://images.huanqiu.com/sarons/2013/08/74291349f504dcfa94995420c0637fb9.jpg,美国,0.935千克,NULL,NULL,NULL,NULL,NULL,9毫米,6发,241毫米
柯尔特公司,1889年-1919年,手枪,柯尔特新型海军/陆军/海军陆战队转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93253831b973d657f1a87'},http://images.huanqiu.com/sarons/2013/08/2063b27c601d75b911c79fa28b45423b.jpg,美国,0.965千克,NULL,NULL,NULL,"
该枪有三种型号：新陆军型采用胡桃木握把，平滑顺手；新海军型采用硬橡胶握把；新海军陆战队型采用方格花纹胡桃木圆形握把。新海军型枪管有5条膛线，海军陆战队型发射0.38英寸特种转轮枪弹，而不是0.38英寸柯尔特转轮手枪长弹。所有型号的转轮都逆时针转动，与史密斯-韦森型转轮手枪的区别在于退壳杆没有支撑。
",NULL,9.652毫米,6发,280毫米
英国皇家恩菲尔德武器厂,1931年至1955年,手枪,恩菲尔德0.38英寸Mk I型转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93253831b973d657f1a88'},http://images.huanqiu.com/sarons/2013/08/c5dbda787cc2defa670ba95377b16fe3.jpg,英国,0.48千克,NULL,NULL,第二次世界大战朝鲜战争,NULL,NULL,9.65毫米,6发,260毫米
韦伯利公司,1889年-1913年,手枪,韦伯利0.455英寸MarkⅣ／v转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93253831b973d657f1a89'},NULL,英国,1千克,NULL,NULL,NULL,"
MarkIV转轮手枪的生产年限为1889年-1913年，基本上与MarkIII相同，但口径为0.455英寸且使用优质钢材制成；它是英国陆军在南非战争中使用的主要手枪之一。英国政府采购了大约37000支，它们使用的枪管长4英寸；在民用市场，还有枪管长6英寸以及口径为0.23英寸和0.476英寸的型号。MarkV转轮手枪的生产年限为1913年-1915年，基本上与MarkIV相同，但将转轮直径增大了0.027英寸。还有枪管长4英寸和6英寸的民用和军用型号。有些民用型号的枪管长7.5英寸，其中一些还采用了梅特福膛线。该枪基于政府采购合同生产了大约28000支。
",NULL,11.557毫米,6发,235毫米
比利时FN公司,1998年,手枪,FN5-7手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93253831b973d657f1a8a'},NULL,比利时,0.618千克,NULL,NULL,NULL,NULL,自动枪支,5.7毫米,20发,208毫米
美国柯尔特公司,1983年,手枪,柯尔特Mark IV 70／80系列手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93253831b973d657f1a8b'},http://images.huanqiu.com/sarons/2013/08/14130384b3b1ec03702604ef3133f48c.jpg,美国,1.1千克,NULL,NULL,NULL,"
该枪是发射0.45英寸ACP枪弹的柯尔特1911／1911A1手枪系列的后续产品，采用击针保险。
",自动枪支,11.43毫米,8发,216毫米
GMC,1942年-1943年,手枪,解放者型手枪,枪械与单兵,1000000,NULL,{'$oid': '5cc93253831b973d657f1a8c'},http://images.huanqiu.com/sarons/2013/08/1bd799026d63974a0474c6fea1dd8015.jpg,美国,0.98千克,NULL,NULL,第二次世界大战,"
“解放者”（Liberator）手枪是一种非常简陋的单发滑膛手枪，这种手枪是二战期间美国的OSS（战略情报局，是CIA的前身）散发给被轴心国占领地区的抵抗组织所使用的简易武器。“解放者”手枪的正式名称是FP-45，即“.45口径信号枪”（Flare Projector Caliber .45）的缩写，“信号枪”这个名称估计也是来用迷惑敌方情报机构的。这是一款滑膛手枪，1944年-1945年大量生产，被众多反抗力量和游击队使用。其射程较近，单发发射，共计生产1000000支，并免费分发。现在已经很少见，主要由收藏者收藏。其空握把内可装5发枪弹，退壳时必须使用铅笔或类似的工具。
",自动枪支,11.43毫米,1发,141毫米
酷楠武器公司（Coonan Inc）,1980年,手枪,Coonan手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93253831b973d657f1a8d'},http://images.huanqiu.com/sarons/2013/08/f9f553533c755f7ca16811c4f1754d3a.jpg,美国,1.4千克,NULL,NULL,NULL,"
该枪是基于柯尔特政府型手枪制造，采用不锈钢结构，进行了加长和内部结构改进，以便使用底缘发火的0.357英寸马格努姆转轮手枪弹。最初的10年共生产了大约5000支，大部分采用B系列无铰链枪管。少量使用153毫米枪管和标准套筒，还有专供军官学校学生使用的缩短型。
",自动枪支,9.068毫米,7发,266毫米
美国鲁格-斯特姆公司,1987年,手枪,鲁格P-85型手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93254831b973d657f1a8e'},http://images.huanqiu.com/sarons/2013/08/e1f474169bdc0649aae72eb712f59287.jpg,美国,0.91千克,NULL,NULL,NULL,"
鲁格P-85式9毫米手枪是美国鲁格公司于1987年研制的一种自动手枪。1991年，采用新式击针和待击解脱/保险装置，命名为P85MK11式。还有一种被称为“待击解脱杆”的P85式手枪，现定名为P89DC式。该枪没有手动保险装置，代之以长行程扳机机构和击发装置里的保险阻铁。
",自动枪支,9毫米,15发,200毫米
赫克勒-科赫有限公司,1980年,手枪,赫克勒-科赫P7手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93254831b973d657f1a8f'},NULL,德国,0.95千克,NULL,NULL,NULL,NULL,半自动手枪,9毫米,8发,171毫米
美国柯尔特公司,1985年,手枪,柯尔特军官用ACP／ACP LW手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93254831b973d657f1a90'},http://images.huanqiu.com/sarons/2013/08/f5a2a3fb798fa7bdb9a718f0e1ad6dd2.jpg,美国,0.68千克,NULL,NULL,NULL,NULL,自动枪支,11.43毫米,6发,184毫米
比利时FN公司,1910年-1939年,手枪,勃朗宁M1910手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93254831b973d657f1a91'},NULL,比利时,0.6千克,NULL,NULL,NULL,NULL,半自动枪支,7.65毫米,7发,153毫米
赫克勒-科赫机械制造厂,1964年-1990年,手枪,赫克勒-科赫HK4手枪,枪械与单兵,38000,NULL,{'$oid': '5cc93254831b973d657f1a92'},NULL,德国,0.96千克,NULL,NULL,NULL,NULL,半自动手枪,9毫米,8发,157毫米
鲁格-斯特姆公司,1949年,手枪,鲁格标准型手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93254831b973d657f1a93'},http://images.huanqiu.com/sarons/2013/08/04317ca65153fd4c6fcae516b8ff16b7.jpg,美国,1千克,NULL,NULL,NULL,NULL,自动枪支,6.88毫米,9发,222毫米
赫克勒-科赫有限公司,1970年-1990年,手枪,赫克勒-科赫P9／P9S手枪,枪械与单兵,485,NULL,{'$oid': '5cc93254831b973d657f1a94'},http://images.huanqiu.com/sarons/2013/08/fcc53848c92dbcf1e36bd29fe8c9b2bc.jpg,德国,0.88千克,NULL,NULL,NULL,"
该枪为赫克勒-科赫公司首款采用后膛闭锁的军用手枪，采用复杂的滚柱闭锁延迟后座系统，这与该公司生产的步枪和机枪相似。此枪设计上使用子弹的9×19毫米鲁格弹，从1965年设计和1969年至1978年期间进行生产，这些手枪只是生产了485 把，在意义上不是很成功。然而，双动操作版本的P9S相对的更受到欢迎，而且生产的数量更大。
",半自动手枪,9毫米,9发,192毫米
比利时FN公司,1980年至今,手枪,勃朗宁BDA380手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93254831b973d657f1a95'},http://images.huanqiu.com/sarons/2013/08/7cd899f9ca19dc33aebdee8d7344e824.jpg,比利时,0.64千克,NULL,NULL,NULL,NULL,自动枪支,9毫米,13发,173毫米
毛瑟公司,1914年-1934年；1934年-1945年,手枪,毛瑟1910/1934手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93255831b973d657f1a96'},http://images.huanqiu.com/sarons/2013/08/83ae7d4a47dff1b987940f13d9ac460d.jpg,德国,0.6千克,NULL,NULL,NULL,"
该枪是1910年设计生产的6.35毫米手枪的增大型。在一战期间成为军官配枪，随后改称M1914型进行商业销售。1934年对握把及其他方面做了细微改进，称为M1934，供商业销售，并在二战期间装备德国军队。
",NULL,6.35毫米,8发,153毫米
毛瑟工厂,1937年-1945年；1964年-1984年,手枪,毛瑟HSC手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93255831b973d657f1a97'},http://images.huanqiu.com/sarons/2013/08/96b2b8e2cc6ed870fa7a4a5ae868be7f.jpg,德国,0.6千克,NULL,NULL,NULL,"
这款双动后坐式手枪是为对应瓦尔特PP手枪的挑战而生产的。1945年以前的产品主要供军用，1964年以后的产品则主要供民用。1984年，毛瑟公司停止生产并把生产权转让给了意大利Renat0Gamba公司，但该公司经营困难，在20世纪90年代重组为SAB公司，并再次将HSC手枪投入生产，但产量很少。
",自动手枪,7.65毫米,8发,152毫米
美国柯尔特公司,1911年,手枪,柯尔特M1911／M1911A1手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93255831b973d657f1a98'},http://images.huanqiu.com/sarons/2013/08/8203e7e1343e6d724bba6faad1e7a04f.jpg,美国,1.1千克,NULL,NULL,一战，二战，朝鲜战争，越南战争,"
M1911自动手枪作为美国军队的制式手枪长达70多年。虽然在1985年美军更新制式手枪（M9手枪）后M1911A1被替代，各种M1911手枪仍然被许多公司生产，提供给军队、执法机构、保安人员和民间爱好者。该枪采用枪管短后坐工作原理，射击方式为半自动。
",自动枪支,11.43毫米,7发,216毫米
史密斯-韦森公司,1988年,手枪,史密斯-韦森第3代0.45英寸手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93255831b973d657f1a99'},http://images.huanqiu.com/sarons/2013/08/85bf450bfc461ceb7172e68a059622c0.jpg,美国,1.1千克,NULL,NULL,NULL,"
史密斯-韦森公司1988年生产的自动手枪系列是根据执法部门和军事专家的意见设计生产的。该系列手枪采用双动式扳机和三大保险装置，固定枪管衬套可提高射击准度和方便拆卸，三点瞄准系统便于快速瞄准，斜式弹匣便于更换，扳机扣力也有很大改进。有各种口径和表面处理方式的型号。
",自动枪支,11.43毫米,11发,200毫米
赫克勒-科赫有限公司,1995年,手枪,赫克勒-科赫SOCOM Mark 23M0d 0手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93255831b973d657f1a9a'},http://images.huanqiu.com/sarons/2013/08/4487f9e63d3947a9d7177336d321d8d7.jpg,德国,1.2千克,NULL,NULL,NULL,"
1990年，美国特种作战司令部（SOCOM）应要求研发一款0.45英寸口径的自动手枪，其精度必须比M1911A1高，并装备消声器和激光发射器。最终的成果是一款双动手枪，它采用击锤击发，并使用勃朗宁枪管下降式闭锁系统。
",NULL,11.43毫米,12发,245毫米
比利时FN公司,1903年-1939年,手枪,勃朗宁M1903手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93255831b973d657f1a9b'},http://images.huanqiu.com/sarons/2013/08/03f37aaa34725e26636a0a07d29f0a0e.jpg,比利时,0.91千克,NULL,NULL,NULL,"
勃朗宁M1903手枪或FN M1903（又名勃朗宁No.2），是由比利时枪械设计师约翰·勃朗宁于1902年设计的一款半自动手枪。1903年由比利时FN公司及美国柯尔特公司获得授权生产，发射9x20毫米SR勃朗宁长枪弹。
",半自动枪支,9毫米,7发,205毫米
奥地利斯太尔曼利夏公司，德国布鲁加·托梅公司,1993年至今,手枪,斯太尔SPP手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93255831b973d657f1a9c'},http://images.huanqiu.com/sarons/2013/08/e4fe512dee25be8ae69fd70ddb2aded5.jpg,德国,1.3千克,NULL,NULL,NULL,"
SPP（特种用途手枪）是TMP（战术冲锋手枪）的自动型。因其尺寸小巧，火力强大和优越的整体性能而备受军队、警察的青睐。
",自动枪支,9毫米,30发,282毫米
美国柯尔特公司,1983年,手枪,柯尔特政府型0.380英寸手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93256831b973d657f1a9d'},http://images.huanqiu.com/sarons/2013/08/53f507fcf85151e7252beff836af3bff.jpg,美国,0.73千克,NULL,NULL,NULL,"
柯尔特政府型0.380英寸手枪于1983年面世，其是在M1911手枪基础上进行小型化设计，并改为发射低威力的0.380英寸勃朗宁短弹的一种袖珍手枪。该枪有多种式样，使用者多为女性和手形较小的用户。该枪的发射机构经过简化，取消了握把背部较为复杂的击锤簧座和握把保险，改成简单的一体式握把，但保留了手动保险，并设置有类似Series 80的击针自动保险机构。
",自动枪支,9.652毫米,7发,152毫米
史密斯-韦森公司,1954年-1980年,手枪,史密斯-韦森M39手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93256831b973d657f1a9e'},NULL,美国,0.75千克,NULL,NULL,越南战争,"
史密斯韦森M39是美国军队于1954年测试的一种半自动手枪，与短命的M44属于同一系列，两者极为相似，只是M39为单动设计。其后因美军放弃寻找新的手枪，此枪在1955年被改在民用市场上销售，亦是史密斯韦森公司的第一代半自动手枪。由于曾被美国海军海豹部队以及伊利诺伊州警察采用过，所以此枪被普遍认为是一种相当具有突破性的手枪。基于M39演变出了多种改进型，大量装备美国海军和特别部队。
",半自动枪支,9毫米,8发,188毫米
奥地利斯太尔曼利夏公司,1912年-1945年,手枪,斯太尔M1912手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93256831b973d657f1a9f'},http://images.huanqiu.com/sarons/2013/08/34020d4ff9ddaa8d135b0926e4aee641.jpg,奥地利,1千克,NULL,NULL,一战，二战,"
斯太尔M1912手枪，通常又被称为“斯太尔-哈恩”，是奥地利斯太尔曼利夏公司于1911年依据罗斯-斯太尔M1907半自动手枪，为当时的奥匈帝国军队设计研发的一款手枪。1912年列装部队，被称为M1912手枪。
",自动枪支,9毫米,8发,216毫米
赫克勒-科赫有限公司,1992年,手枪,赫克勒-科赫USP手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93256831b973d657f1aa0'},http://images.huanqiu.com/sarons/2013/08/e3ba557f03a743eecec1f1b468ee3ade.jpg,德国,0.83千克,NULL,NULL,NULL,"
该手枪是德国赫克勒-科赫有限公司为满足民用市场、执法部门和军方的需要而设计的，有0.40英寸和9毫米两种口径。它在传统结构的基础上，融进了多项革新，是一支实用的手枪。发射0.40英寸史密斯-韦森手枪弹的USP手枪命名为USP40式，于1993年4月开始生产。发射9毫米帕拉贝鲁姆手枪弹的USP手枪命名为USP9式，于1993年7月开始生产。
",自动手枪,9毫米,13发,194毫米
萨维奇公司,1907年-1928年,手枪,萨维奇手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93256831b973d657f1aa1'},http://images.huanqiu.com/sarons/2013/08/a961b944f6dab127855ed1fbf7cf4895.jpg,美国,0.625千克,NULL,NULL,第一次世界大战,"
萨维奇手枪，因其商标是头带羽毛冠的印地安人头像，所以萨维奇手枪在我国俗称“野人牌手枪”。所有萨维奇手枪外形都非常相似，有3种不同的型号：采用锯齿状击锤和锯齿花纹套筒设计的1907型；采有锯齿状花纹套筒、握把保险装置和无击锤设计的1915型；采用扳齿击锤、楔形握把的1915型。20世纪50年代，大量1915型（美国商业产品）被葡萄牙军队购买，因此在南欧被广泛使用，极为常见。
",自动枪支,11.43毫米,10发,167毫米
毛瑟有限公司,1912年-1945年,手枪,毛瑟M1912军用手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93257831b973d657f1aa2'},http://images.huanqiu.com/sarons/2013/08/28b61a3424f2861e1f234a75735be957.jpg,德国,1.3千克,NULL,NULL,NULL,"
基于毛瑟“扫帚把”(因其握把像扫帚把而得名)手枪生产的型号很多，但M1912(C／12)为军用型号，它使用最广泛，除保险外在各型号中较为典型。1914年-1918年生产的该型号手枪使用9×19毫米巴拉贝鲁姆手枪弹，其握把处印有大型数字“9”并涂成红色。
",自动手枪,7.63毫米,10发,318毫米
奥地利格洛克公司,1995年至今,手枪,格洛克26型手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93257831b973d657f1aa3'},NULL,奥地利,0.616千克,NULL,NULL,NULL,"
格洛克26（Glock 26）是由奥地利格洛克公司设计及生产的手枪，是格洛克17的袖珍型版本，发射9毫米鲁格弹，标准弹匣为10发。
",9毫米,9毫米,10发,160毫米
美国史密斯-韦森公司,1989年,手枪,史密斯-韦森第3代9mm手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93257831b973d657f1aa4'},NULL,美国,1.1千克,NULL,NULL,NULL,"
史密斯-韦森（S&W）公司生产的M3913手枪（史密斯-韦森第三代9毫米手枪）在美国市场几乎无人问津。然而墙内开花墙外香，该枪被日本警察厅大量采用后成为知名度较高的枪型，经常在一盛重大事件的现场露面。日本采用的是表面经亚光处理的M3913警用型，该枪威力适中，外形小巧，比较适合亚洲人的手型，是专为女性设计的手枪。
",自动手枪,9毫米,11发,190毫米
