大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,乘员与载员,车长,最大行程,关注度,宽度,简介,最大速度,战斗全重
坦克装甲车辆,主战坦克,“百夫长”坦克,二战末期,NULL,3.01米,{'$oid': '5cc932c7831b973d657f1d69'},http://images.huanqiu.com/sarons/2013/11/a6025d9e1e8ac8e60c34d14cdd94b911.jpg,英国,履带式,12人,7.6米,450公里,NULL,3.38米,百夫长坦克是英国在二次世界大战末期开发的主战坦克，虽然在战争结束前有6辆原型车送到欧洲战场，可是并未赶上任何战斗。,35公里/小时,57300千克
坦克装甲车辆,主战坦克,T43/M103 重型坦克,1948年,NULL,3.2米,{'$oid': '5cc932c7831b973d657f1d6a'},http://images.huanqiu.com/sarons/2013/11/ec340fdbcf07a436fc7cca326b6bd6d9.jpg,美国,履带式,4人,6.91米,130公里,NULL,3.71米,"
T43/M103 重型坦克虽然性能不断提升，部队对其的评价也不错，但是其将近60吨左右的重量无法适应于每个战场，尤其是越南战争便因为其过重而无法投入使用。再加上M60中型坦克的推出，更是加速了M103的退场时间。M103于1977年宣布从第一线退役，美国重坦克时代也到此画上休止符。
",34公里/小时,59000千克
坦克装甲车辆,主战坦克,T-29重型坦克,1944年,普雷斯特钢铁车辆公司,3.2米,{'$oid': '5cc932c7831b973d657f1d6b'},http://images.huanqiu.com/sarons/2013/11/f732bc7f08ec0a4a8ce641ff9f336863.jpg,美国,履带式,6人,11.57米,100公里,NULL,3.8米,"
T29重型坦克是美国在1944年3月开始，用于对抗德军新型重型坦克的美国重型坦克工程。后来由于美国陆军司令部不赞成发展这样的重型车辆，而且战争在这些问题被解决之前已经结束了，因此，仅仅有一小批实验车被造出来。
",35公里/小时,64000千克
坦克装甲车辆,主战坦克,T30/T34/T32坦克,1945年,NULL,2.45米,{'$oid': '5cc932c7831b973d657f1d6c'},http://images.huanqiu.com/sarons/2013/11/a38ebe9e969de70f7c6117375acef59b.jpg,美国,履带式,4人,6.75米,465公里,NULL,3米,"
T30重型坦克是一个美国的二战坦克工程，目的是为了对抗类似于虎I坦克,虎II坦克,猎虎式驱逐战车等德军新式坦克和类似于IS重型坦克的苏军坦克。它与T29重型坦克同时被设计出来。

T34，是T29改进版本。武器装备有120mm高射炮及一个120mm枪。只有两种原型车。

1944年年底美国陆军要求改进M26""潘兴""坦克，这便是后来的T32。由于当时欧洲战场对重型坦克的需求比较大，所以T32进度非常快。1945年4月10日，该型坦克的全比例模型组装完毕。但T32重型坦克最终没能量产，也没有任何的参战记录。
",55公里/小时,30900千克
坦克装甲车辆,主战坦克,M48坦克,1950年10月,克莱斯勒公司（Chrysler CorporationUS）,3.1米,{'$oid': '5cc932c7831b973d657f1d6d'},NULL,美国,履带式,4人,9.3米,463公里,NULL,3.65米,NULL,48公里/小时,49600千克
坦克装甲车辆,主战坦克,“佐勒菲卡尔”主战坦克,1999年,伊朗伊斯兰革命卫士公司,2.5米,{'$oid': '5cc932c7831b973d657f1d6e'},NULL,伊朗,履带式,3人,9.2米,450公里,NULL,3.6米,NULL,70公里/小时,52000千克
坦克装甲车辆,主战坦克,IS-3坦克,1944年11月,NULL,2.45米,{'$oid': '5cc932c8831b973d657f1d6f'},http://images.huanqiu.com/sarons/2013/11/97f2ff47bd7171b16d9e26e8dca6760c.jpg,苏/俄,履带式,4人,9.85米,185公里,NULL,3.15米,"
IS坦克师种苏联二战时代开始的坦克系列，它是以约瑟夫·斯大林（Iosif Stalin）的名字命名的。德国将它称为JS坦克，而俄文写作ИС坦克。它的出现主要是由于德国的虎式坦克和黑豹坦克的冲击。1944年7月“虎王”首次参战后，苏联立刻开始研制更强的重型坦克。杜克霍夫领导的设计组，充分吸收苏联T-34中型坦克的装甲原理，重新设计了IS-3重型坦克的炮塔和底盘。IS-3重型坦克其整体防弹性能达到了几乎完美的境界。
",37公里/小时,46.5千克
坦克装甲车辆,主战坦克,M60坦克,未知,NULL,3.2米,{'$oid': '5cc932c8831b973d657f1d70'},http://images.huanqiu.com/sarons/2013/11/25c0e938c286b0c5085d589231f0f664.jpg,美国,履带式,4人,6.94米,480公里,NULL,3.6米,"
M60坦克是在M48A2坦克基础上研制而成的主战坦克，由克莱斯勒公司的特拉华防务工厂制造。从1960年开始M60坦克改在该公司的底特律坦克工厂生产。与M48A2坦克相比，主要是采用了新的105毫米火炮、改进型火控系统和柴油机等，火力加强，最大行程大为提高。
",48公里/小时,50700千克
坦克装甲车辆,主战坦克,TAM坦克,1974年,联邦德国蒂森·亨舍尔公司,2.43米,{'$oid': '5cc932c8831b973d657f1d71'},NULL,德国,履带式,4人,8.23米,590公里,NULL,3.29米,NULL,75公里/小时,30000千克
坦克装甲车辆,主战坦克,E-25驱逐战车,20世纪40年代左右,保时捷、阿格斯和阿得勒,2.17米,{'$oid': '5cc932c8831b973d657f1d72'},NULL,德国,履带式,4人,NULL,NULL,NULL,NULL,"
 
",NULL,27000千克
坦克装甲车辆,主战坦克,T57/T58重型坦克,1950年,NULL,NULL,{'$oid': '5cc932c8831b973d657f1d73'},http://images.huanqiu.com/sarons/2013/11/97cade4d0e2ba953aa262ed798c9753d.jpg,美国,履带式,NULL,NULL,NULL,NULL,NULL,NULL,35.4公里/小时,NULL
坦克装甲车辆,主战坦克,FV4201“酋长”坦克 ,1961年,里兰德公司,2.9米,{'$oid': '5cc932c8831b973d657f1d74'},http://images.huanqiu.com/sarons/2013/11/31799bdbab74a9b2284c3bf08a45f84d.jpg,英国,履带式,4人,7.5米,500公里,NULL,3.5米,"
1958年，英国陆军正式下达了设计""酋长""式主战坦克（FV4201）的任务书。里兰德公司在1959年初制成第一个1：1的木模型，到年底造出第一辆样车，1961年，""酋长""式坦克首次公开展出。
",48公里/小时,55000千克
坦克装甲车辆,主战坦克,IS-4坦克,1944年3月,车里雅宾斯克工厂,2.73米,{'$oid': '5cc932c8831b973d657f1d75'},NULL,苏/俄,履带式,4人,9.9米,240公里,NULL,3.09米,NULL,37公里/小时,46738千克
坦克装甲车辆,主战坦克,E-50标准战斗坦克,未知,NULL,2.6米,{'$oid': '5cc932c9831b973d657f1d76'},http://images.huanqiu.com/sarons/2013/11/646d57943ddf038f52024429356db91b.jpg,德国,履带式,NULL,NULL,NULL,NULL,NULL,NULL,60公里/小时,NULL
坦克装甲车辆,主战坦克,E-75标准战斗坦克,未知,NULL,NULL,{'$oid': '5cc932c9831b973d657f1d77'},http://images.huanqiu.com/sarons/2013/11/9abdbf7b6760c3370ccd034c33aa758c.jpg,德国,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50公里/小时,80000千克
坦克装甲车辆,主战坦克,E-100超重型坦克,未知,德国阿道拉公司,3.32米,{'$oid': '5cc932c9831b973d657f1d78'},NULL,德国,履带式,6人,8.7米,120公里,NULL,4.48米,NULL,40公里/小时,140000千克
坦克装甲车辆,主战坦克,64式轻型坦克,20世纪70年代初,台湾省台中市战车发展中心,3米,{'$oid': '5cc932c9831b973d657f1d79'},http://images.huanqiu.com/sarons/2014/04/fc63cabb707e0be857713d9b359f9964.jpg,中国,履带式,4人,8.212米,161公里,NULL,3.198米,NULL,72公里/小时,23495千克
坦克装甲车辆,主战坦克,VFM-5轻型坦克,1986年,英国维克斯公司防卫系统分部（Vickers Defence Systems DivisionGB）,2.62米,{'$oid': '5cc932c9831b973d657f1d7a'},NULL,美国,履带式,4人,8.6米,482公里,NULL,2.69米,NULL,70公里/小时,19700千克
坦克装甲车辆,主战坦克,X1A1轻型坦克,20世纪70年代初,伯纳迪尼工业与贸易公司,2.45米,{'$oid': '5cc932ca831b973d657f1d7b'},http://images.huanqiu.com/sarons/2013/11/f1a16ec2f7dfd3bc40510edbdb54e394.jpg,巴西,履带式,4人,6.36米,520公里,NULL,2.4米,NULL,60公里/小时,17000千克
坦克装甲车辆,主战坦克,M41轻型坦克,1947年,NULL,2.71米,{'$oid': '5cc932ca831b973d657f1d7c'},NULL,美国,履带式,4人,5.819米,161公里,NULL,3.2米,NULL,72公里/小时,23500千克
坦克装甲车辆,主战坦克,猎虎式坦克歼击车（Jagdtiger Sd. Kfz. 186）,1944年7月,NULL,2.8米,{'$oid': '5cc932ca831b973d657f1d7d'},NULL,德国,履带式,6人,10.65米,120公里,NULL,3.6米,"
猎虎式坦克歼击车（Jagdtiger Sd. Kfz. 186）是二战时期德国装备的一种反坦克自行火炮，从1944年后期一直服役到战争结束。在东线和西线的战事中都有使用。猎虎式反坦克驱逐战车是二战时期投入使用的最重的装甲战斗车辆。
",34公里/小时,71700千克
坦克装甲车辆,主战坦克,M551谢里登轻型坦克/侦察车,20世纪60年代初,NULL,2.946米,{'$oid': '5cc932ca831b973d657f1d7e'},http://images.huanqiu.com/sarons/2013/11/7e5747be6aa8859259c64cfdb8aab953.jpg,美国,履带式,4人,6.299米,600公里,NULL,2.819米,"
M551谢里登轻型坦克是美国的轻型坦克，专门作为空降部队使用的空投坦克，M-551由通用汽车研发。
",65公里/小时,15830千克
坦克装甲车辆,主战坦克,IS-7新式重型坦克,1946年,NULL,2.73米,{'$oid': '5cc932ca831b973d657f1d7f'},NULL,苏/俄,履带式,4人,9.9米,240公里,NULL,3.09米,"
IS坦克是一种苏联二战时代开始的坦克系列，它是以约瑟夫·斯大林（Iosif Stalin）的名字命名的。它的出现主要是由于德国的虎式坦克和黑豹坦克的冲击。
",37公里/小时,46000千克
坦克装甲车辆,主战坦克,九四式骑兵装甲车,20世纪20年代末30年代初,NULL,NULL,{'$oid': '5cc932ca831b973d657f1d80'},NULL,日本,履带式,2人,NULL,NULL,NULL,NULL,"
此型骑兵战车装备骑兵旅团与日军野战师团的骑兵联队，搜索联队，用于引导步兵冲击，快速突袭与对敌追击任务，94式骑兵装甲车不具备92式骑兵战车的强火力，但防护能力较高，此型骑兵战车数量较大，在中国战场上造成了巨大伤亡。
",40公里/小时,3200千克
坦克装甲车辆,主战坦克,九五式轻战车,1935年,三菱公司,2.28米,{'$oid': '5cc932ca831b973d657f1d81'},NULL,日本,履带式,3人,4.38米,250公里,NULL,2.07米,NULL,48公里/小时,7400千克
坦克装甲车辆,主战坦克,九二式装甲汽车,1931年,NULL,NULL,{'$oid': '5cc932cb831b973d657f1d82'},http://images.huanqiu.com/sarons/2013/11/4a5f1cdd27a066d0e39f9f18c759087f.jpg,日本,履带式,NULL,NULL,NULL,NULL,NULL,NULL,40公里/小时,NULL
坦克装甲车辆,主战坦克,九七式骑兵装甲车,1932年,NULL,2.38米,{'$oid': '5cc932cb831b973d657f1d83'},http://images.huanqiu.com/sarons/2013/11/611a78416714c43c9d1d9f423bd546d0.jpg,日本,履带式,2人,5.5米,210公里,NULL,2.34米,"
该车型为94式骑兵战车的发展型，有更好的抗弹造型，并换装了柴油发动机，提高了生存能力，最重要的改进是97式骑兵战车安装了94式37毫米战车炮，具备了相当强的反战车能力，尤其是后期的97式骑兵战车还安装了1式37毫米战车炮，反战车火力比日军95式轻战车还强，此型骑兵战车在太平洋战争初期也发挥了巨大威力，但战争后期97式骑兵战车则完全无法与美军的新式中型坦克抗衡。
",38公里/小时,15800千克
坦克装甲车辆,主战坦克,九七式指挥战车,1939年,NULL,NULL,{'$oid': '5cc932cb831b973d657f1d84'},NULL,日本,履带式,4人,NULL,NULL,NULL,NULL,NULL,40公里/小时,14300千克
坦克装甲车辆,主战坦克,"XK2""黑豹""主战坦克",1995年,NULL,NULL,{'$oid': '5cc932cb831b973d657f1d85'},NULL,韩国,履带式,3人,NULL,NULL,NULL,NULL,"
韩国XK2“黑豹”新型主战坦克是由韩国国防研究局和Rotem公司（现代发动机公司的分部）根据XK2计划研制的。据研制者称，该设计采用的全部是韩国设计和研发方案，不必再购买国外生产商的许可证。坦克的研制、研究与试验计划耗资2.3亿美元，用时7年（1995-2002年）。
",70公里/小时,58000千克
坦克装甲车辆,主战坦克,M3中型坦克,1941年8月–1942年12月1日,NULL,3.12米,{'$oid': '5cc932cb831b973d657f1d86'},NULL,美国,履带式,7人,5.64米,193公里,NULL,2.72米,"
M3中型坦克，是第二次世界大战前期的著名坦克。M3中型坦克系列的总生产量达6258辆，而且它有许多与众不同之处，在世界战车发展史中，占有一定的地位。

在英国服役时，原装采用带车长指挥圆顶炮塔的M3坦克，被英军称作“李将军式”（简称李式，M3 Lee），源自南军将军—罗伯特·李。英军早期采购的是拆除指挥圆顶并采用新炮塔的“格兰特将军式”（简称格兰特式，M3 Grant），源自北军中的著名将领—尤利塞斯·S·格兰特。美军只称其为M3中型坦克，没有使用“李”或“格兰特”的称号。
",26公里/小时,27220千克
坦克装甲车辆,主战坦克,M2轻型坦克,1935年,岩岛兵工厂（Rock Island Arsenal ）,2.65米,{'$oid': '5cc932cb831b973d657f1d87'},http://images.huanqiu.com/sarons/2013/12/4438dbfbc5cad5f924b6565cd453940b.jpg,美国,履带式,4人,4.43米,320公里,NULL,2.47米,"
M2轻型坦克（M2 Light Tank），是美国在二战期间使用的轻型坦克，在太平洋战争初期的战斗中使用。虽然只有少数M2参加战斗，但却是二战期间美国轻型坦克发展路线的重要一步。
",58公里/小时,11600千克
坦克装甲车辆,主战坦克,97式中战车,1937年,日本三菱重工业公司,2.38米,{'$oid': '5cc932cb831b973d657f1d88'},http://images.huanqiu.com/sarons/2013/12/086d2d563d964286b25428ab85b5fc9e.jpg,日本,履带式,4人,5.516米,210公里,NULL,2.34米,NULL,38公里/小时,15000千克
坦克装甲车辆,主战坦克,IKV-91轻型坦克,1970年,AB赫格隆和索纳公司 ,2.32米,{'$oid': '5cc932cc831b973d657f1d89'},NULL,瑞典,履带式,4人,8.85米,500公里,NULL,3米,NULL,65公里/小时,16300千克
坦克装甲车辆,主战坦克,M5(Stuart)轻型坦克,1942年,凯迪拉克汽车公司,2.64米,{'$oid': '5cc932cc831b973d657f1d8a'},http://images.huanqiu.com/sarons/2013/12/9dd24dcccd90ea74083fdecbcac7f9cc.jpg,美国,履带式,3人,4.53米,173公里,NULL,2.24米,"
M5轻型坦克（Stuart tank；M3/M5轻型坦克）是第二次世界大战中美国制造数量最多的轻型坦克。欧洲战场上所使用的英军以美国南北战争名将斯图亚特为M3和M5坦克命名。在英国，它同时拥有“甜心”（Honey）的非官方昵称。美国陆军则仅以“M3轻型坦克”和“M5轻型坦克”作为官方名称。

斯图亚特坦克是美国以及其盟国在二战使用最广泛的轻型坦克，从欧洲、北非到菲律宾，甚至是东南亚丛林以及岛屿上皆有斯图亚特的踪迹。并在租借法案的推广下陆续提供给苏联、中华民国、法国、南斯拉夫、葡萄牙及若干中南美国家使用，其中有部分甚至持续使用至1996年。
",43公里/小时,14700千克
坦克装甲车辆,主战坦克,95式轻战车,1933年7月,NULL,2.28米,{'$oid': '5cc932cc831b973d657f1d8b'},NULL,日本,履带式,3人,4.3米,250公里,NULL,2.07米,NULL,40公里/小时,7400千克
坦克装甲车辆,主战坦克,X1A2轻型坦克,1979年,伯纳迪尼工业与贸易公司,2.45米,{'$oid': '5cc932cc831b973d657f1d8c'},NULL,巴西,履带式,3人,7.1米,600公里,NULL,2.6米,NULL,55公里/小时,19000千克
坦克装甲车辆,主战坦克,快速部署部队轻型坦克(RDF/LT) ,1980年10月,NULL,2.286米,{'$oid': '5cc932cc831b973d657f1d8d'},NULL,美国,履带式,3人,8.235米,500公里,NULL,2.54米,NULL,64公里/小时,13426千克
坦克装甲车辆,主战坦克,94式轻战车,1933～1934年,NULL,1.63米,{'$oid': '5cc932cc831b973d657f1d8e'},NULL,日本,履带式,2人,3.36米,200公里,NULL,1.62米,NULL,40公里/小时,3450千克
坦克装甲车辆,主战坦克,M2中型坦克,1939年,岩岛兵工厂,2.82米,{'$oid': '5cc932cd831b973d657f1d8f'},NULL,美国,履带式,6人,5.38米,210公里,NULL,2.59米,"
它是美国第一种大规模生产的中型坦克，标志着主流坦克由轻型向中型的转变。该型坦克并未派往海外战场，全部装备美军用于在本土的坦克兵训练。
",42公里/小时,18700千克
坦克装甲车辆,主战坦克,T-99“阿玛塔”坦克,2013年（原型车）,乌拉尔车辆厂,NULL,{'$oid': '5cc932cd831b973d657f1d90'},NULL,苏/俄,履带式,NULL,NULL,NULL,NULL,NULL,"
T-99 Armata(通用战车 Universal Combat Platform Object 195)是俄国研发中的战车专案，作为T-90系列的下一代接班战车，设计大幅承接未量产的黑鹰战车。但是该平台预计不只可以作为战车还能改成步兵战车、运兵车、化学车、自行火炮等多种陆军战斗车，简化后勤维修零件，可视为俄国陆军版的史崔克坦克版。
",NULL,NULL
坦克装甲车辆,主战坦克,M22/蝉/Locust空降坦克,1941年5月-1945年,马蒙-惠灵顿公司,1.85米,{'$oid': '5cc932cd831b973d657f1d91'},NULL,美国,履带式,3人,3.94米,217公里,NULL,2.16米,NULL,64公里/小时,7400千克
坦克装甲车辆,主战坦克,95式重战车,1935年9月,NULL,2.89米,{'$oid': '5cc932cd831b973d657f1d92'},NULL,日本,履带式,5人,6.47米,110公里,NULL,2.69米,NULL,22公里/小时,26000千克
坦克装甲车辆,主战坦克,T-24中型坦克,1931年,NULL,2.81米,{'$oid': '5cc932ce831b973d657f1d93'},NULL,苏/俄,履带式,5人,6.5米,140公里,NULL,3米,"
T-24是苏联于1931年生产的中型坦克。该坦克仅生产了24辆，且从未在战斗行动中被目击到。这是位于乌克兰的哈尔科夫工厂(KhPZ)生产的第一种坦克，该厂后来负责生产了著名的T-34和T-54坦克。T-24的悬挂系统之前已成功应用于苏联的第一种专用火炮牵引车。
",25公里/小时,18500千克
坦克装甲车辆,主战坦克,M36/杰克逊/Jackson驱逐战车,20世纪40年代,福特公司,3.28米,{'$oid': '5cc932ce831b973d657f1d94'},NULL,美国,NULL,5人,7.46米,240公里,NULL,3.05米,"
M36驱逐战车（M36 tank destroyer），美军正式名称M36火炮机动载具，是在第二次世界大战期间使用的美国驱逐战车。美军将其命名为杰克逊（Jackson，以纪念美国内战期间著名的南军将领汤玛士·乔纳森·“石墙”·杰克逊），英军则使用“重击手”（Slugger）的称呼。除此之外，当时的美军部队也常称它“TDs”（美军当时以TDs一词来称呼所有驱逐战车）。
",42公里/小时,29000千克
坦克装甲车辆,主战坦克,三式轻战车 ,1944-1945年,NULL,NULL,{'$oid': '5cc932ce831b973d657f1d95'},NULL,日本,NULL,3人,NULL,250公里,NULL,NULL,NULL,40公里/小时,7.6千克
坦克装甲车辆,主战坦克,二式轻战车,1942-1945年,NULL,NULL,{'$oid': '5cc932ce831b973d657f1d96'},NULL,日本,履带式,3人,NULL,300公里,NULL,NULL,NULL,50公里/小时,7200千克
坦克装甲车辆,主战坦克,M26/潘兴/Pershing重型坦克,1943年4月,NULL,2.78米,{'$oid': '5cc932ce831b973d657f1d97'},http://images.huanqiu.com/sarons/2014/04/d933619906fc524e20979eabb8ec5007.jpg,美国,NULL,5人,8.65米,161公里,NULL,3.51米,NULL,40公里/小时,41900千克
坦克装甲车辆,主战坦克,M4/谢尔曼/Sherman中型坦克,1941年－1945年,NULL,2.74米,{'$oid': '5cc932ce831b973d657f1d98'},NULL,美国,履带式,5人,5.84米,120公里,NULL,2.62米,"
M4中型坦克是第二次世界大战时美国开发、制造的坦克。通称谢尔曼，又译雪曼或薛曼（Sherman），这个名字是英军起的，来源是美国南北战争北军的将军威廉·特库赛·谢尔曼。谢尔曼坦克是二战中产量最大的坦克之一，其产量达49234辆。
",48公里/小时,30300千克
坦克装甲车辆,主战坦克,98式轻战车,1942-1945年,NULL,NULL,{'$oid': '5cc932ce831b973d657f1d99'},NULL,日本,履带式,3人,NULL,300公里,NULL,NULL,NULL,50公里/小时,7400千克
坦克装甲车辆,主战坦克,九八式改轻战车 ,1942－1945年,NULL,NULL,{'$oid': '5cc932ce831b973d657f1d9a'},NULL,日本,NULL,3人,NULL,300公里,NULL,NULL,NULL,50公里/小时,7.4千克
坦克装甲车辆,主战坦克,M24/霞飞/Chaffee轻型坦克,20世纪40年代,卡迪拉克汽车分公司，马塞-哈里斯公司,2.77米,{'$oid': '5cc932cf831b973d657f1d9b'},http://images.huanqiu.com/sarons/2013/12/fd1eebf30dbcf3b5885985dbf7b5b868.jpg,美国,履带式,5人,5.56米,161公里,NULL,3米,NULL,56公里/小时,18400千克
坦克装甲车辆,主战坦克,四式轻战车,1944年,NULL,2.028米,{'$oid': '5cc932cf831b973d657f1d9c'},NULL,日本,NULL,3人,4.3米,240公里,NULL,2.07米,NULL,40公里/小时,8400千克
坦克装甲车辆,主战坦克,一式中战车 ,1940-1943/6,三菱重工,2.38米,{'$oid': '5cc932cf831b973d657f1d9d'},NULL,日本,NULL,5人,5.73米,210公里,NULL,2.33米,NULL,44公里/小时,17100千克
坦克装甲车辆,主战坦克,五式中战车,1945年,NULL,3.1米,{'$oid': '5cc932cf831b973d657f1d9e'},NULL,日本,履带式,5人,8.467米,200公里,NULL,3.05米,"
 五式中战车（被美军所缴获、尚未完成的五式战车样车是旧日本陆军于第二次世界大战后期所研制的一种中型坦克，其比当时日本拥有的最先进中战车——四式中战车来的更重型、战斗力更强。

 
",45公里/小时,37000千克
坦克装甲车辆,主战坦克,三式中战车,1944年,三菱重工,2.61米,{'$oid': '5cc932cf831b973d657f1d9f'},NULL,日本,NULL,5人,5.73米,210公里,NULL,2.33米,NULL,38.8公里/小时,18800千克
坦克装甲车辆,主战坦克,97式改中战车,1942-1945年,NULL,2.38米,{'$oid': '5cc932cf831b973d657f1da0'},NULL,日本,NULL,4人,5.5米,210公里,NULL,2.34米,NULL,38公里/小时,15800千克
坦克装甲车辆,主战坦克,四式中战车,1945 年,三菱重工,2.61米,{'$oid': '5cc932cf831b973d657f1da1'},NULL,日本,履带式,5人,5.73米,250公里,NULL,2.33米,NULL,45公里/小时,30000千克
坦克装甲车辆,主战坦克,玛蒙-哈宁顿CTLS轻型坦克,20世纪40年代,NULL,2.36米,{'$oid': '5cc932cf831b973d657f1da2'},NULL,美国,NULL,2人,3.86米,100公里,NULL,2.33米,"
玛蒙-哈宁顿CTLS轻型坦克（Marmon-Herrington CTLS）是二战时期美军的轻型坦克。在珍珠港事件后，驻守珍珠港的玛蒙-哈宁顿CTLS被美国海军陆战队用于阿拉斯加州北部，名为T14及T15。
",48公里/小时,8400千克
坦克装甲车辆,主战坦克,M18/地狱猫/Hellcat坦克歼击车,1943年2月,NULL,2.58米,{'$oid': '5cc932d0831b973d657f1da3'},http://images.huanqiu.com/sarons/2013/12/1d00560779ce7e4f4e1d22affa5a812e.jpg,美国,NULL,5人,6.66米,169公里,NULL,2.87米,"
M18地狱猫式坦克歼击车（M18 Hellcat）为美军在第二次世界大战时开发的一款坦克歼击车。它是美军在二战时所有履带装甲战斗车辆中行走速度最快的一款战车，故有“地狱猫”（Hellcat）的称号。
",88公里/小时,18000千克
坦克装甲车辆,主战坦克,九一式重战车,1931-1945年,NULL,NULL,{'$oid': '5cc932d0831b973d657f1da4'},NULL,日本,NULL,5人,NULL,NULL,NULL,NULL,NULL,25公里/小时,NULL
坦克装甲车辆,主战坦克,五式轻战车,1945年,NULL,NULL,{'$oid': '5cc932d0831b973d657f1da5'},NULL,日本,NULL,4人,NULL,220公里,NULL,NULL,NULL,39公里/小时,10000千克
坦克装甲车辆,主战坦克,T30重型坦克,1945年4月（实验模型）,NULL,3.2米,{'$oid': '5cc932d0831b973d657f1da6'},http://images.huanqiu.com/sarons/2013/12/8126b9a3c79994441f6f7d24ef08f8c7.jpg,美国,NULL,6人,10.9米,NULL,NULL,3.8米,"
T30重型坦克是一个美国的二战坦克工程，目的是为了对抗类似于虎I坦克,虎II坦克，猎虎式驱逐战车等德军新式坦克和类似于IS重型坦克的苏军坦克。它与T29重型坦克同时被设计出来。该坦克最终未能量产，也未能参加实战。
",NULL,64700千克
坦克装甲车辆,主战坦克,M10/3in GMC T35坦克歼击车,1942年9月,通用动力公司,2.57米,{'$oid': '5cc932d0831b973d657f1da7'},NULL,美国,NULL,5人,6.83米,300公里,NULL,3.05米,"
M10坦克歼击车（M10 tank destroyer）是美军在第二次世界大战期间所使用的一款坦克歼击车。当时的美军部队一般都称它作“TDs”（美军当时以TDs一词来称呼所有坦克歼击车），而其官方名称为3in GMC M10s。英国在租借法案下也装备了大量的M10坦克歼击车，被称为“狼獾”式（Wolverine）或“阿奇里斯”式（Achilles）。
",51公里/小时,29600千克
坦克装甲车辆,主战坦克,89式乙型中战车,1935-1945年,NULL,2.56米,{'$oid': '5cc932d0831b973d657f1da8'},NULL,日本,NULL,4人,5.75米,170公里,NULL,2.18米,NULL,25公里/小时,13600千克
坦克装甲车辆,主战坦克,T-26轻型坦克,20世纪30年代初,NULL,2.41米,{'$oid': '5cc932d0831b973d657f1da9'},http://images.huanqiu.com/sarons/2013/12/dcbed8d5830881f5a00d22ceece6bb75.jpg,苏/俄,NULL,3人,4.88米,225公里,NULL,3.41米,"
T-26坦克是苏联红军自1930年代开始所使用的一型轻型步兵坦克。它广范的被使用于1930年代的多次冲突及第二次世界大战之中，直到1960年代自芬兰退役为止。T-26是苏联在1931年于英国维克斯六吨坦克（维克斯MK.E A型坦克）的设计基础上自行生产改进的版本。T-26也常被认为是1930年代最为成功的坦克设计之一。苏联一共生产超过11,000辆T-26坦克，远超过同一时期其他国家生产的任何坦克。
",30公里/小时,10500千克
坦克装甲车辆,主战坦克,T-70轻型坦克,1942年1月,NULL,2.04米,{'$oid': '5cc932d0831b973d657f1daa'},http://images.huanqiu.com/sarons/2013/12/74a9889d012c33207a19a9002d6fc67c.jpg,苏/俄,NULL,2人,4.29米,360公里,NULL,2.32米,"
T-70轻型坦克是苏联红军于第二次世界大战中使用的轻型坦克，用来取代T-60的侦查与T-50支援步兵的用途。其2种衍生车，一种为T-80轻型坦克是一种更先进的T-70改装车，装有双人炮塔，而它直到苏联放弃轻型坦克时，仅有少量被生产了出来。而另一种则为T-90自走防空炮，其以T-70的底盘和双联机枪结合而成的。
",45公里/小时,9200千克
坦克装甲车辆,主战坦克,BT-2轻型坦克,20世纪30年代初,NULL,2.29米,{'$oid': '5cc932d1831b973d657f1dab'},NULL,苏/俄,履带式,3人,14.5米,250公里,NULL,5.66米,"
BT坦克意即快速坦克，由最初的BT-1至BT-7共有7个型号(有时BT-7M也被称为BT-8)，BT坦克是第二次世界大战时T-34坦克的前身。BT-2是BT首种量产型，1932年面世，武装是37毫米口径反坦克炮一门。
",86公里/小时,14.5千克
坦克装甲车辆,主战坦克,T-34中型坦克,1940年1月（第一批生产型），1940年6月（量产）,NULL,2.45米,{'$oid': '5cc932d1831b973d657f1dac'},http://images.huanqiu.com/sarons/2013/12/2e70fd7f8100be072b983f014814a782.jpg,苏/俄,NULL,4人,6.75米,465公里,NULL,3米,"
T-34是苏联于1940年到1958年生产的中型坦克，被认为这是第二次世界大战期间最好的坦克，在坦克发展史上具有重要地位，而且其设计思路对后世的坦克发展有着深远及革命性的影响。T-34坦克由工程师科什金所设计。1940年6月出厂。1940年开始装备苏军，1941年6月22日在白俄罗斯格罗德诺首次参战。改良型号T-34/76、T-34/85；衍生车种OT-34。
",55公里/小时,30900千克
坦克装甲车辆,主战坦克,百式100吨重战车,1942-1944年12月  ,NULL,NULL,{'$oid': '5cc932d1831b973d657f1dad'},NULL,日本,NULL,11人,NULL,NULL,NULL,NULL,日本陆军研制的第1种战车战型战车，主要用途是打击对方坦克，同样为多炮塔结构，在主炮塔前部有2个安装1门37mm战车炮的副炮塔，至于主炮是1门大正14年式105mm高射炮，火力十分强大，这型重战车火力强大，装甲厚重，很具威力。,25公里/小时,100000千克
坦克装甲车辆,主战坦克,T-40轻型水陆坦克,1939年,第37工厂的H·阿斯特洛夫设计组,1.9米,{'$oid': '5cc932d1831b973d657f1dae'},NULL,苏/俄,NULL,2人,4.1米,450公里,NULL,2.33米,"

",45公里/小时,5900千克
