飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,战地机型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2014/01/bbf672646350351c4559d0bdb1989d22.jpg,欧洲直升机公司,NULL,NULL,565千米,埃里森250-C20B,NULL,双发,飞行器,多用途直升机,NULL,德国,NULL,1276千克,NULL,242千米每小时,BO 105双发涡轮轴轻型直升机,{'$oid': '5cc9316c831b973d657f145b'},1967年2月16日,NULL,9.8米,3米,NULL,2500千克,单旋翼,11.9米
亚音速,http://images.huanqiu.com/sarons/2014/01/0d6225ab880ceb029d3b2c72b247b7f6.jpg,恩斯特龙直升机公司,NULL,NULL,483千米,莱康明HIO-360-F1AD,NULL,单发,飞行器,多用途直升机,NULL,美国,NULL,712千克,NULL,189千米每小时,恩斯特龙F28/280单发活塞式轻型通用直升机,{'$oid': '5cc9316c831b973d657f145c'},1962年5月27日,NULL,9.8米,2.7米,NULL,1179千克,单旋翼,8.9米
亚音速,http://images.huanqiu.com/sarons/2014/01/71af7ea1d28b025f8f16acdb92f651cb.jpg,欧洲直升机公司,NULL,NULL,640千米,透博梅卡Arriel 2B1,NULL,单发,飞行器,多用途直升机,NULL,法国,NULL,1377千克,NULL,287千米每小时,EC130 单发涡轮轴轻型直升机,{'$oid': '5cc9316c831b973d657f145d'},1999年6月,NULL,10.7米,3.6米,NULL,2427千克,单旋翼,12.6米
亚音速,http://images.huanqiu.com/sarons/2014/01/7224de35002df92459a1c11c2fd4bdee.jpg,欧洲直升机公司（法国航宇公司）,NULL,NULL,666千米,透博梅卡Arriel 2B,NULL,NULL,飞行器,多用途直升机,NULL,法国,NULL,1174千克,NULL,287千米每小时,AS 350 “松鼠/单星”单发涡轮轴轻型直升机,{'$oid': '5cc9316c831b973d657f145e'},1974年6月27日,NULL,10.7米,3.1米,1978年初,2250千克,单旋翼,12.9米
亚音速,http://images.huanqiu.com/sarons/2014/01/ec5851aa2912f3bdf1cca61a933f224c.jpg,欧洲直升机公司/川崎重工,NULL,NULL,700千米,透博梅卡Arriel 1E2 ,NULL,双发,飞行器,多用途直升机,NULL,法国,NULL,1792千克,NULL,268千米每小时,BK 117/EC 145 双发涡轮轴中型直升机,{'$oid': '5cc9316c831b973d657f145f'},1979年6月13日,NULL,11米,13米,1983年初,3585千克,单旋翼,13米
亚音速,http://images.huanqiu.com/sarons/2014/01/f1bd07e3ebf42afd1a1b22e7188808c7.jpg,欧洲直升机公司,NULL,NULL,732千米,透博梅卡Arrius 2F发动机,NULL,单发,飞行器,多用途直升机,NULL,中国,NULL,991千克,NULL,278千米每小时,EC120“蜂鸟”单发涡轮轴轻型直升机,{'$oid': '5cc9316d831b973d657f1460'},1995年6月9日,NULL,10米,3.4米,1998年1月23日,1715千克,单旋翼,11.5米
亚音速,http://images.huanqiu.com/sarons/2014/01/06787fdf68696b82b05ab3a06f3744fb.jpg,恩斯特龙直升机公司,NULL,NULL,806千米,罗-罗250-C20W ,NULL,单发,飞行器,多用途直升机,NULL,美国,NULL,760千克,NULL,231千米每小时,恩斯特龙480单发涡轮轴轻型直升机,{'$oid': '5cc9316d831b973d657f1461'},1989年10月,NULL,9.8米,3米,1994年,1293千克,单旋翼,9.1米
亚音速,http://images.huanqiu.com/sarons/2014/01/623aba202fc4c20be924c77ba7a1ce38.jpg,欧洲直升机公司（法国航宇公司）,NULL,NULL,859千米,透博梅卡Arriel 2C turboshaft,NULL,双发,飞行器,多用途直升机,NULL,法国,NULL,2411千克,NULL,287千米每小时,AS 365“海豚” 双发涡轮轴中型直升机,{'$oid': '5cc9316d831b973d657f1462'},1975年1月24日,NULL,11.9米,4米,NULL,4300千克,单旋翼,13.7米
NULL,http://images.huanqiu.com/sarons/2014/01/59cc4b416c8bc2d69eefcda68d1ddfda.jpg,欧洲直升机公司,NULL,NULL,830千米,透博梅卡Arriel 2C2,NULL,双发,飞行器,多用途直升机,NULL,法国,NULL,2618千克,NULL,315千米每小时, EC155 双发涡轮轴中型直升机,{'$oid': '5cc9316d831b973d657f1463'},1997年6月17日,NULL,12.6米,4.4米,1999年3月,4920千克,单旋翼,14.4米
亚音速,http://images.huanqiu.com/sarons/2014/01/595420fc3cca79091c60e21f7644f330.jpg,麦道直升机公司,NULL,NULL,633千米,罗尔斯·罗伊斯250涡轮轴发动机,NULL,单发,飞行器,多用途直升机,NULL,美国,NULL,952千克,NULL,250千米每小时,MD 600N单发涡轮轻型直升机,{'$oid': '5cc9316d831b973d657f1464'},1994年11月22日,NULL,8.4米,2.7米,1997年6月6日,1860千克,单旋翼,11.3米
亚音速,http://images.huanqiu.com/sarons/2014/01/f20b9f48dd7eefd0a73ecfd3a4bd328b.jpg,米里设计局,NULL,NULL,440千米,伊索托夫GTD-350涡轮轴发动机,NULL,单发,飞行器,多用途直升机,NULL,苏/俄,NULL,2372千克,NULL,210千米每小时,米里设计局 米-2 “甲兵” 双发涡轮轻型直升机,{'$oid': '5cc9316e831b973d657f1465'},1961年9月22日,NULL,14.5米,3.8米,NULL,3550千克,NULL,17.4米
亚音速,http://images.huanqiu.com/sarons/2014/01/ad75c05ff3a1299a2edd6984290362da.jpg,喀山飞机制造厂,NULL,NULL,635千米,普-惠PW207K涡轮轴发动机,NULL,双发,飞行器,多用途直升机,NULL,苏/俄,NULL,1900千克,NULL,275千米每小时,喀山飞机制造厂安萨特双发涡轴轻型通用直升机,{'$oid': '5cc9316e831b973d657f1466'},1999年8月17日,NULL,11.5米,3.4米,NULL,3300千克,单旋翼,13.5米
亚音速,http://images.huanqiu.com/sarons/2014/01/5a6ec0bbc866c0ba7f5eb06d933dad61.jpg,卡莫夫设计局,NULL,"
卡-226直升机是卡-126的改良型，机头、垂直尾翼、方向舵和乘客舱的形状都作了改进。卡-226直升机在1990年的美国达拉斯Heli-Expo直升机展会上发布，但直到1997年9月4日才试飞。
",600千米,透博梅卡Arrius 2G1,NULL,单发,飞行器,多用途直升机,NULL,苏/俄,NULL,NULL,NULL,214千米每小时,卡-226“谢尔盖”双发涡轮轻型直升机,{'$oid': '5cc9316e831b973d657f1467'},1997年9月4日,NULL,13米,4.2米,2002年,3400千克,共轴双旋翼,8.1米
亚音速,http://images.huanqiu.com/sarons/2014/01/605ee964f97bcba68936bf1e2cbcd63a.jpg,米里设计局,NULL,NULL,360千米,VOKBM  M-14V活塞发动机,前进飞机制造厂,NULL,飞行器,多用途直升机,NULL,苏/俄,NULL,950千克,NULL,225千米每小时,米里设计局  米-34“蜂鸟”单发轻型直升机,{'$oid': '5cc9316e831b973d657f1468'},1986年11月17日,NULL,10米,2.8米,NULL,1450千克,单旋翼,11.4米
亚音速,NULL,NULL,NULL,"
UH-12（United Helicopters）直升机由斯坦利·希勒设计，是1948年的360型直升机的派生机型。UH-12最初是为美国军方生产的H-23 Raven直升机，该机型于1983年停产，但后来又制造了部分机型：最初由罗杰森·希勒公司制造，然后是希勒飞机公司。UH-12直升机共计交付了2595架。
",373千米,透博梅卡Arriel 2B,希勒飞机公司,单发,飞行器,多用途直升机,NULL,美国,NULL,1174千克,NULL,154千米每小时,希勒UH-12单发活塞式轻型通用直升机,{'$oid': '5cc9316e831b973d657f1469'},1948年,NULL,10.8米,3.1米,NULL,2250千克,平直翼,12.4米
亚音速,http://images.huanqiu.com/sarons/2014/01/baa0f0014499fb052976f27ab2ffc261.jpg,罗宾逊直升机公司,NULL,NULL,322千米,达信·莱卡明O一360活塞发动机,NULL,单发,飞行器,多用途直升机,NULL,美国,NULL,389千克,NULL,190千米每小时,罗宾逊 R22单发活塞式轻型直升机,{'$oid': '5cc9316f831b973d657f146a'},1975年8月28日,NULL,7.7米,2.7米,1979年10月,635千克,单旋翼,8.8米
亚音速,http://images.huanqiu.com/sarons/2014/01/05b5805e4d77542b2e618ee270cd73e2.jpg,波兰斯威德尼克公司,NULL,NULL,860千米,罗尔斯·罗伊斯250涡轮轴发动机,NULL,单发,飞行器,多用途直升机,NULL,波兰,NULL,1050千克,NULL,88千米每小时,PZL斯威德尼克SW一4 Maluch单发涡轮轻型直升机,{'$oid': '5cc9316f831b973d657f146b'},1996年10月29日,NULL,9米,3.1米,2004年11月15日,1800千克,单旋翼,10.6米
NULL,http://images.huanqiu.com/sarons/2014/01/88de468b2f4a68fc46c98754be2689cd.jpg,休斯直升机公司/麦道直升机公司,NULL,NULL,431千米,罗尔斯·罗伊斯250涡轮轴发动机,NULL,单发,飞行器,多用途直升机,NULL,美国,NULL,672千克,NULL,282千米每小时,MD 500单发涡轮轻型直升机,{'$oid': '5cc9316f831b973d657f146c'},1969年初,NULL,8.1米,2.7米,NULL,1361千克,单旋翼,8.6米
亚音速,http://images.huanqiu.com/sarons/2014/01/6e3d035d7ccef2f321386e2e6268809c.jpg,卡莫夫设计局,NULL,"
卡-32“蜗牛-C”直升机是与海军机型卡-27同时研制的，具有典型的同轴反转式卡莫夫旋翼。第一架卡-32直升机于1980年1月11日试飞，1981年末在明斯克展出。该机型共计交付了超过170架。
",800千米,伊索托夫TV3-117V,NULL,双发,飞行器,多用途直升机,NULL,苏/俄,NULL,6500千克,NULL,250千米每小时,卡-32“蜗牛-C”双发涡轮中型直升机,{'$oid': '5cc9316f831b973d657f146d'},1980年1月11日,NULL,15.9米,5.4米,NULL,11000千克,共轴双旋翼,12.3米
NULL,http://images.huanqiu.com/sarons/2014/01/2638e0e3429dea1012472ba8212fd2f3.jpg,麦道直升机公司,NULL,NULL,375千米,罗尔斯·罗伊斯250涡轮轴发动机,NULL,单发,飞行器,多用途直升机,NULL,美国,NULL,493千克,NULL,281千米每小时,麦道直升机公司MD 520N单发涡轮轴轻型直升机,{'$oid': '5cc9316f831b973d657f146e'},1989年12月29日,NULL,8.3米,2.7米,1991年10月31日,1157千克,单旋翼,9.8米
亚音速,http://images.huanqiu.com/sarons/2014/01/12aee9ab2df125b311b2e0a925a528cf.jpg,麦道直升机公司,NULL,NULL,542千米,普-惠PW200涡轮轴发动机,NULL,双发,飞行器,多用途直升机,NULL,美国,NULL,1531千克,NULL,296千米每小时,麦道直升机公司MD“探险者”双发涡轮轻型直升机,{'$oid': '5cc9316f831b973d657f146f'},1992年12月18日,NULL,10.3米,3.7米,1994年12月16日,2835千克,单旋翼,11.8米
亚音速,http://images.huanqiu.com/sarons/2014/01/84fd33f155eb023a0af08ce9757ae6d8.jpg,NULL,4人,"
贝尔 UH-1N Twin Huey（UH-1N 双休伊）是在1968年推出的中型军用直升机，UH-1N具有15个座位，包括1名飞行员及14名乘客，而执行运输任务时内部容量达220平方尺（6.23平方米），外力负载可达5000磅（2268公斤）。
",615千米,加拿大普惠集团T400-CP-400 涡轮轴发动机,贝尔直升机公司,双发,飞行器,多用途直升机,NULL,美国,NULL,2721.5千克,NULL,220千米每小时,UH-1N直升机,{'$oid': '5cc93170831b973d657f1470'},NULL,NULL,14.6米,4.4米,1968年,4762.7千克,单旋翼,12.69米
亚音速,http://images.huanqiu.com/sarons/2014/01/752cf5f59c3f614d93552592de154a40.jpg,美国西科斯基公司,NULL,"
世界上第一架实用型直升机VS-300，1939年9月14日诞生于美国。仅过一年，美国陆军就决定购买VS-300的改进型VS-316直升机，编号R-4，这是世界上最早参军的直升机。
",800千米,1× 富兰克林 4AC-199-E,NULL,双发,飞行器,多用途直升机,NULL,美国,NULL,NULL,NULL,300千米每小时,VS-300直升机,{'$oid': '5cc93170831b973d657f1471'},NULL,NULL,9.14米,3.05米,NULL,NULL,单旋翼,8.53米
亚音速,http://images.huanqiu.com/sarons/2014/01/e6fc96cc35986dc68579e3a2d0803190.jpg,西科斯基直升机公司,NULL,NULL,481千米,莱特R-1820活塞发动机或普-惠PT6T Twin-Pac涡轮轴发动机,NULL,双发,飞行器,多用途直升机,NULL,美国,NULL,3583千克,NULL,222千米每小时,西科斯基S-58中型直升机,{'$oid': '5cc93170831b973d657f1472'},1954年3月8日,NULL,17.1米,4.9米,1956年,6350千克,单旋翼,17.3米
亚音速,http://images.huanqiu.com/sarons/2014/01/5ff65825c54ea1705189188860eda45d.jpg,罗宾逊直升机公司,NULL,NULL,643千米,达信·莱卡明-540活塞发动机,NULL,单发,飞行器,多用途直升机,NULL,美国,NULL,657.7千克,NULL,209千米每小时,罗宾逊 R44单发活塞式轻型直升机,{'$oid': '5cc93170831b973d657f1473'},1990年3月31日,NULL,10.1米,3.3米,1993年初,1143千克,单旋翼,11.7米
亚音速,http://images.huanqiu.com/sarons/2014/01/833cae8e45dc4af1cbe56346f8a67986.jpg,卡夫卡设计局,NULL,"
1976年7月28日，一架命名为卡-252TB“蜗牛-B”的原型机首飞，后来，该机被更名为卡-29TB。1985年开始服役。卡-31(早期叫做卡-29RLD）是专门的空中预警/电子战改型，卖给了印度。大约生产了61架卡-29/-31。图示为卡-31。
",NULL,伊索托夫 TV3-117VMAR,NULL,NULL,飞行器,多用途直升机,NULL,苏/俄,NULL,6500千克,NULL,NULL,卡-29/-31“蜗牛-B”海军型突击直升机,{'$oid': '5cc93170831b973d657f1474'},1976年7月28日,NULL,14.5米,5.6米,1985年,12200千克,共轴双旋翼,12.5米
亚音速,http://images.huanqiu.com/sarons/2014/01/b17abf44fa64b877a324c24f8d1fce50.jpg,NULL,4人,NULL,NULL,一台T63-A-5A或t63-A-700涡轮轴发动机，630马力（485kW）,NULL,双发,飞行器,多用途直升机,NULL,美国,NULL,722千克,NULL,370千米每小时,MH-6小鸟式直升机,{'$oid': '5cc93170831b973d657f1475'},NULL,NULL,8.3米,3米,NULL,1406千克,单旋翼,9.8米
亚音速,http://images.huanqiu.com/sarons/2014/01/454ff80079a0a7462bddfd665a4fb646.jpg,施韦策飞机公司,NULL,NULL,360千米,达信·莱卡明HIO-360活塞发动机,NULL,单发,飞行器,多用途直升机,NULL,美国,NULL,499千克,NULL,169千米每小时,施韦策（休斯)300 单发活塞式轻型直升机,{'$oid': '5cc93171831b973d657f1476'},1956年10月,NULL,8.2米,2.7米,NULL,930千克,单旋翼,9.4米
亚音速,http://images.huanqiu.com/sarons/2014/01/4f866df8afd522ef861040febcf99898.jpg,NULL,NULL,"
W-3的米-2血统单一，原型机于1979年11月16日首飞；生产了几种变种机型，此外，还评估了一些一次性的专门改型。大约有124架W3被生产或订购。图示为W-3A。
",745千米,PZL-10B,波兰直升机制造商（PZL Swidnik）,双发,飞行器,多用途直升机,NULL,波兰,NULL,3850千克,NULL,260千米每小时,W-3“斯拉夫”多用途直升机,{'$oid': '5cc93171831b973d657f1477'},1979年11月16日,NULL,15.7米,5.1米,NULL,6400千克,单旋翼,18.8米
亚音速,http://images.huanqiu.com/sarons/2014/01/9093108caad5c8760d6ec20be9a247c7.jpg,NULL,NULL,NULL,398千米,盖瑞特TSE331涡轮轴发动机,NULL,双发,飞行器,多用途直升机,NULL,美国,NULL,2177千克,NULL,183千米每小时,Whisper Jet（西科斯基)S-55QT单发涡轮轻型直升机,{'$oid': '5cc93171831b973d657f1478'},NULL,NULL,15.3米,4.7米,NULL,3597千克,NULL,19米
亚音速,http://images.huanqiu.com/sarons/2014/01/81d6cb03debb06f4a284ba9aae2aba78.jpg,施韦策飞机公司,NULL,NULL,590千米,罗尔斯·罗伊斯250型涡轮轴发动机,NULL,单发,飞行器,多用途直升机,NULL,美国,NULL,549千克,NULL,195千米每小时,施韦策330单发涡轮轻型直升机,{'$oid': '5cc93171831b973d657f1479'},1988年6月14日,NULL,8.4米,3.4米,1993年中期,1156千克,单旋翼,9.5米
亚音速,http://images.huanqiu.com/sarons/2014/01/7dc12412000a7097b0523a0e924045ac.jpg,西科斯基直升机公司,NULL,NULL,839千米,普-惠PT6B或透博梅卡·阿赫耶涡轮轴发动机,NULL,双发,飞行器,多用途直升机,NULL,美国,NULL,3177千克,NULL,287千米每小时,西科斯基S-76 双发涡轮中型直升机,{'$oid': '5cc93171831b973d657f147a'},1977年3月13日,NULL,13.4米,4.4米,1979年年初,5301千克,单旋翼,16米
亚音速,http://images.huanqiu.com/sarons/2014/01/cf876cd0328c6c6e07a3d6dd2634572a.jpg,NULL,NULL,"
X-49A Speedhawk是由皮亚塞茨基（Piasecki）飞机公司以SH-60海鹰改装的高速飞行试验直升机。于2007年6月30日进行了约15分钟的首次试飞，至2007年10月，X-49已试飞24次共19小时，只生产了一架。
",NULL,两台通用电气T700-GE-701C 发动机,西科斯基（原产），皮亚塞茨基公司（改装及试验）,双发,飞行器,多用途直升机,NULL,美国,NULL,6190千克,16米,NULL,X-49试验机,{'$oid': '5cc93171831b973d657f147b'},2007年7月30日,NULL,NULL,5.23米,NULL,9927千克,单旋翼,20米
亚音速,http://images.huanqiu.com/sarons/2014/01/3c0c37daf43bfddd354e115894e7174b.jpg,NULL,NULL,NULL,476千米,两台Pratt & Whitney Canada PW206E或PW207E发动机,麦道飞机公司（MD）,双发,飞行器,多用途直升机,NULL,美国,NULL,1531千克,NULL,252千米每小时,麦道MD-902直升机,{'$oid': '5cc93172831b973d657f147c'},NULL,NULL,10.34米,3.66米,NULL,1860千克,单旋翼,11.84米
亚音速,http://images.huanqiu.com/sarons/2014/01/8df67c1cb806395a6cb5df82d5884a45.jpg,昌河飞机工业集团公司，意大利阿古斯特公司,NULL,NULL,1019千米,普惠206C,昌河飞机工业集团公司,双发,飞行器,多用途直升机,NULL,中国,NULL,1760千克,12.85米,NULL,CA109直升机,{'$oid': '5cc93172831b973d657f147d'},1971年8月4日（A109原型机）,NULL,NULL,4.84米,1976年（A109最初生产型）,2938千克,单旋翼,13.04米
亚音速,http://images.huanqiu.com/sarons/2014/01/8751a8ba8cd72be51867dc616f04b178.jpg,贝尔直升机公司,NULL,"
贝尔-212直升机是美国贝尔直升机公司在UH-1基础上发展的军民两用通用型直升机。美国军用编号UH-1N。民用型贝尔-212，又称“双212”，主要用于载客、救护、近海石油开发等任务。 

贝尔 UH-1N Twin Huey（UH-1N 双休伊）是在1968年推出的中型军用直升机，UH-1N具有15个座位，包括1名飞行员及14名乘客，而执行运输任务时内部容量达220平方尺（6.23平方米），外力负载可达5000磅（2268公斤）。
",420千米,2台加拿大普惠集团（Pratt & Whitney Canada）T400-CP-400 涡轮轴发动机， 1800 轴马力（1342 千瓦）900 轴马力,NULL,单发,飞行器,多用途直升机,NULL,美国,NULL,2721.5千克,14.6米,185千米每小时,贝尔212直升机,{'$oid': '5cc93172831b973d657f147e'},NULL,NULL,14.6米,4.4米,1968年,4762.7千克,单旋翼,12.69米
亚音速,NULL,NULL,NULL,NULL,973千米,双发涡轮式发动机,中国哈尔滨航空工业（集团）有限公司,双发,飞行器,多用途直升机,NULL,中国,NULL,1975千克,NULL,296千米每小时,H410G公安警用型直升机,{'$oid': '5cc93172831b973d657f147f'},NULL,NULL,11.93米,3.97米,2005年7月26日,4100千克,单旋翼,13.68米
