制造商,生产年限,类型,名称,大类,有效射程,数量,_id,图片,产国,全枪重,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
巴雷特枪械公司,NULL,狙击枪,M82A1M狙击步枪,枪械与单兵,1850米,NULL,{'$oid': '5cc93247831b973d657f1a34'},NULL,美国,1447.8千克,NULL,NULL,NULL,半自动枪支,12.7毫米,10发,1150毫米
匈牙利技术公司,NULL,狙击枪,猎豹M1狙击枪,枪械与单兵,2000米,NULL,{'$oid': '5cc93248831b973d657f1a35'},NULL,匈牙利,15千克,NULL,NULL,NULL,非自动枪支,12.7毫米,5发,150毫米
英国精密国际公司,1988年,狙击枪,AWP狙击枪,枪械与单兵,800米,3000,{'$oid': '5cc93248831b973d657f1a36'},http://images.huanqiu.com/sarons/2014/01/67b81e28994494ed27ef7d9af0cd0466.jpg,英国,6.5千克,NULL,阿富汗战争，伊拉克战争,NULL,NULL,7.62毫米,10发,1120毫米
巴雷特枪械公司,1987年,狙击枪,M82A2狙击步枪,枪械与单兵,1800米,NULL,{'$oid': '5cc93248831b973d657f1a37'},NULL,美国,12.24千克,NULL,NULL,NULL,半自动枪支,12.7毫米,10发,1409毫米
意大利伯莱塔公司,20世纪80年代,狙击枪,伯莱塔7.62毫米狙击枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93249831b973d657f1a38'},NULL,意大利,5.55千克,NULL,NULL,NULL,非自动枪支,7.62毫米,5发,1165毫米
美国陆军特种部队—第10特种小队(10th Special Forces Group),1980年,狙击枪,M25狙击步枪,枪械与单兵,900米,NULL,{'$oid': '5cc93249831b973d657f1a39'},NULL,美国,4.9千克,NULL,海湾战争，伊拉克战争,NULL,半自动枪支,7.62毫米,20发,113毫米
巴雷特枪械公司,1990年—1995年,狙击枪,巴雷特M90狙击步枪,枪械与单兵,1800米,NULL,{'$oid': '5cc93249831b973d657f1a3a'},http://images.huanqiu.com/sarons/2014/01/4b6027f74c7c2b5926c0b8487c8255e0.jpg,美国,9.98千克,NULL,NULL,NULL,半自动枪支,12.7毫米,5发,1143毫米
雷明顿武器公司,1988年11月,狙击枪,M24式7.62mm狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc93249831b973d657f1a3b'},NULL,美国,5.27千克,NULL,NULL,NULL,非自动枪支,7.62毫米,5发,1161毫米
岩岛兵工厂，春田公司,1969年,狙击枪,M21狙击步枪,枪械与单兵,690米,NULL,{'$oid': '5cc93249831b973d657f1a3c'},http://images.huanqiu.com/sarons/2014/01/5e9a18c0f5a55121167ff9eac5ec34f2.jpg,美国,5.27千克,NULL,越战，海湾战争，阿富汗战争，伊拉克战争,NULL,半自动枪支,7.62毫米,20发,1118毫米
雷明登武器公司,2001年,狙击枪,M40A3狙击步枪,枪械与单兵,900米,NULL,{'$oid': '5cc93249831b973d657f1a3d'},http://images.huanqiu.com/sarons/2014/01/1515ea6bb5b422158ad7760b7fdb2943.jpg,美国,7.5千克,NULL,阿富汗战场，伊拉克战场,NULL,非自动枪支,7.62毫米,5发,1124毫米
美国CheyTac公司,NULL,狙击枪,M200狙击枪,枪械与单兵,2000米,NULL,{'$oid': '5cc93249831b973d657f1a3e'},NULL,美国,14.06千克,NULL,NULL,NULL,NULL,10.36毫米,7发,1187.45毫米
岩岛兵工厂,NULL,狙击枪,MK12狙击步枪,枪械与单兵,900米,NULL,{'$oid': '5cc9324a831b973d657f1a3f'},http://images.huanqiu.com/sarons/2014/01/14c35cccfca683c0f862be689bebf827.jpg,美国,7千克,NULL,NULL,NULL,NULL,5.56毫米,20发,1003毫米
罗巴公司,NULL,狙击枪,罗巴QR2-F狙击步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324a831b973d657f1a40'},http://images.huanqiu.com/sarons/2014/01/2e5647d984ba574fbadc4038f9e21bf5.jpg,美国,3.6千克,NULL,海湾战争,NULL,NULL,7.82毫米,20发,965毫米
KBP设计局,NULL,狙击枪,VSK-94狙击枪,枪械与单兵,400米,NULL,{'$oid': '5cc9324a831b973d657f1a41'},http://images.huanqiu.com/sarons/2014/01/90aae42b53abdf0eba033a4f6a4913d9.jpg,苏/俄,2.8千克,NULL,NULL,NULL,NULL,9毫米,20发,932毫米
