飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/08/fb2d3f0b326420cdd962e46883a10902.jpg,北美航空公司,2人,"
为了进一步提高已臻一流的配备“灰背隼”发动机的“野马”的性能，北美公司于1943年年初着手改造B-51的机身。最终结果就是XP-51D，1944年，采用泪滴型座舱罩且机身更加洗练的P-51D加入服役。P-51K是P-51D的变种机型。
",1520千米,一台帕卡德V-1650-7发动机,NULL,单发,飞行器,战斗机,美国,1957年,3463千克,11.28米,703千米每小时,P-51D/K“野马”,{'$oid': '5cc93097831b973d657f0f96'},1943年11月17日,NULL,NULL,3.71米,1944年,5488千克,平直翼,9.83米
亚音速,http://images.huanqiu.com/sarons/2013/08/265f29840815a204a0e7fe59eefb4cff.jpg,北美航空公司,1人,"
P-51B是从为满足英国的新型战斗机招标而制造的创纪录的P-51A“野马”发展而来的，P-51A采用阿里逊发动机，而P-51B配备的则是罗-罗公司的“灰背隼（Merhn）”发动机，其优秀的性能足以和当时德国主力的Bf 109和Fw 190等杰出战机对抗甚至占优。虽然在使用V-1650-3时期的P-51B/C型尚有诸多问题，对轴心国的一线级战机并非全面性的优势，但已展现各方面优秀的潜能、并为盟军及时提供战略需求上理想的护航机，而且设计上也已经为后续的机型奠下良好的基础。
",640千米,帕卡德V-1650-3发动机,NULL,单发,飞行器,战斗机,美国,NULL,3166千克,11.28米,702千米每小时,P-51B/C“野马”,{'$oid': '5cc93097831b973d657f0f97'},1942年11月13日,NULL,NULL,4.16米,1943年12月,5352千克,平直翼,9.83米
亚音速,http://images.huanqiu.com/sarons/2013/08/7b3475312754413aecec6a05b50f482a.jpg,格鲁曼公司,2人,"
格鲁曼FF/SF战斗机，是美国海军装备的第一种可以收放起落架的舰载战斗机，也是格鲁曼战斗机同美国海军结缘70年的开始。
",1480千米,莱特R-1820-78“旋风”发动机,格鲁曼公司,单发,飞行器,战斗机,美国,1940年,1500千克,10.51米,333千米每小时,格鲁曼FF/SF,{'$oid': '5cc93097831b973d657f0f98'},1933年12月,NULL,NULL,3.4米,1933年,2190千克,平直翼,7.47米
超音速,http://images.huanqiu.com/sarons/2013/08/3e51caab3f212e1a756daaad5473b2fe.jpg,康维尔公司,1人,NULL,2173千米,普-惠J57-P-23A发动机,NULL,单发,飞行器,战斗机,美国,NULL,9144千克,11.62米,1327千米每小时,F-102“三角剑”截击战斗机,{'$oid': '5cc93097831b973d657f0f99'},1953年10月24日（YF-102）,NULL,NULL,6.46米,1956年4月,14187千克,三角面,20.84米
亚音速,http://images.huanqiu.com/sarons/2013/08/f1d112f27dcb67ffb23de05f0833e85d.jpg,共和飞机公司,1人,"
P-47“雷电”战斗机（Thunderbolt）由共和飞机公司制造，是美国陆军航空军（美国空军前身）在二次大战中后期的主力战斗机之一，也是当时最大型的单引擎战斗机，其后期的M / N型更排得进二战时盟军最快的螺旋桨战斗机之前列。除了在空战中表现优异，P-47更适合于执行对地攻击任务。除了美国陆军航空军外，也有其他盟军空军部队使用P-47战斗机。由于的机身明显较其他种战机壮硕肥胖许多，故当时被昵称为""水罐""(Jug)。15686架的产量使P-47位居美国战机产量的第一位，其中D型机的12602架，更是世界军机单一机型生产量第一位。
",760千米,普-惠R-2800-59“双黄蜂”发动机,NULL,单发,飞行器,战斗机,美国,1955年,4536千克,12.43米,688千米每小时,P-47“雷电”战斗机,{'$oid': '5cc93098831b973d657f0f9a'},1941年5月6日,NULL,NULL,4.32米,NULL,8800千克,平直翼,11.02米
亚音速,http://images.huanqiu.com/sarons/2013/08/7807f72bb261c6a6cf9801b0d47b12f5.jpg,诺斯洛普公司,3人,NULL,1600千米,两台普-惠R-2800-65“双黄蜂”发动机,NULL,双发,飞行器,战斗机,美国,NULL,9510千克,20.12米,594千米每小时,P-61“黑寡妇”战斗机,{'$oid': '5cc93098831b973d657f0f9b'},1942年5月21日,NULL,NULL,4.32米,1943年11月,14696千克,平直翼,14.91米
亚音速,http://images.huanqiu.com/sarons/2013/08/fa4cfb6fdbe8dacf867ce0bdd0023034.jpg,NULL,1人,NULL,1239千米,普-惠R-1830-86“双黄蜂”发动机,格鲁曼飞机制造厂,单发,飞行器,战斗机,美国,1945年,2674千克,11.58米,515千米每小时,F4F/FM“野猫”战斗机,{'$oid': '5cc93098831b973d657f0f9c'},1937年9月2日,NULL,NULL,3.45米,1940年12月,3604千克,平直翼,8.76米
亚音速,http://images.huanqiu.com/sarons/2013/08/77ded6abb3dec098ed02128a70c9e0d7.jpg,NULL,1人,NULL,3138千米,普-惠J75-P-17发动机,康维尔飞机公司,单发,飞行器,战斗机,美国,1988年,10802千克,11.67米,2393千米每小时,F-106“三角标枪”截击机,{'$oid': '5cc93098831b973d657f0f9d'},1956年12月26日,NULL,NULL,6.18米,1959年6月,17350千克,三角面,21.55米
亚音速,http://images.huanqiu.com/sarons/2013/08/a584b99db0b4c2235b4dbb9df13927e2.jpg,美国格鲁曼公司,2人,NULL,1931千米,两台普-惠R-2800-34W“双黄蜂”发动机,NULL,双发,飞行器,战斗机,美国,NULL,7380千克,15.7米,700千米每小时,F7F“虎猫”战斗机,{'$oid': '5cc93098831b973d657f0f9e'},1943年11月3日,NULL,NULL,5.05米,NULL,11666千克,平直翼,13.83米
亚音速,http://images.huanqiu.com/sarons/2013/08/f0df39183438241ab2cd0afde8c5a6c8.jpg,美国舍维尔斯基公司（Seversky）,1人,"
P-35A飞机，是美国陆军航空队第一架单座全金属战斗机，配备伸缩起落架与全封式座舱。它象征着美国军用航空发展的一个新阶段。P-35A由共和（Republic）飞机公司的前身舍维尔斯基（Seversky）设计生产。
",1529千米,一台普-惠R-1830-45“双黄蜂”发动机,NULL,单发,飞行器,战斗机,美国,NULL,2075千克,10.97米,499千米每小时,P-35A,{'$oid': '5cc93098831b973d657f0f9f'},1935年4月（SEV-2XP）,NULL,NULL,2.97米,NULL,3050千克,平直翼,8.18米
亚音速,http://images.huanqiu.com/sarons/2013/08/a4bbe685366d1f00c1ad1cf5b675858f.jpg,美国沃特公司（Chance Vought）,1人,F4U“海盗”（F4U Corsair）战斗机是美国沃特公司为美国海军所研发的一种舰载机与陆基战斗机，于第二次世界大战至朝鲜战争期间（1942-1952）在美军服役，朝鲜战争后，F4U仍在部分国家服役直到1960年代。二战的太平洋战场上，F4U与F6F并为美国海军主力，成为日本战斗机的强劲对手。大战结束后，据美国海军统计，F4U的击落比率为11:1，即每击落11架敌机才有1架被击落，拥有着骄人的战绩。,1617千米,一台普-惠R-2800-18W“双黄蜂”发动机,NULL,单发,飞行器,战斗机,美国,NULL,4175千克,12.47米,718千米每小时,F4U/FG-1“海盗”,{'$oid': '5cc93098831b973d657f0fa0'},1940年5月29日,NULL,NULL,4.5米,1942年9月,6654千克,平直翼,10.26米
亚音速,http://images.huanqiu.com/sarons/2013/08/3a85afc133baa290f6a71d804f68855e.jpg,美国洛克希德公司,1人,"
P-38“闪电”战斗机，是二战时期由美国洛克希德公司生产的一款双引擎战斗机。这架飞机的用途十分广泛，可执行多种任务，包括远程的拦截、制空、护航、侦查、对地攻击、俯冲轰炸和水平轰炸等。P-38在西南太平洋战场得到了最广泛也最成功的应用，其最为知名的一役，便是1943年4月18日的长距离拦截任务，P-38成功击落日本联合舰队司令山本五十六座机。
",764千米,两台阿里逊V-1710-89／91发动机,NULL,双发,飞行器,战斗机,美国,1949年,5797千克,15.85米,666千米每小时,P-38“闪电”,{'$oid': '5cc93098831b973d657f0fa1'},1939年1月27日,NULL,NULL,3米,1941年,9798千克,平直翼,11.53米
亚音速,http://images.huanqiu.com/sarons/2013/11/c9cd257f740590726158d711b272212d.jpg,沈阳飞机设计研究所,1人,"
歼-6，仿制自前苏联的MIG-19，北约代号同为""Farmer""（农夫）。歼-6战机为中国自主生产第一代超音速战机，从1964年首架交付使用，1986年停产，2010年6月12日，国产歼6飞机正式退出空军编制序列。歼-6是中国人民解放军空军于1960至1970年代的主力，也是中国航空工业生产装备数量最多的机型，共生产了逾4千5百架，远超过该型飞机于苏联的数量，该机同时出口到了许多国家。
",2318千米,WP-6型发动机2台,NULL,单发,飞行器,战斗机,中国,2006年,5447千克,9.04米,1255千米每小时,歼-6系列战斗机,{'$oid': '5cc93099831b973d657f0fa2'},1959年9月23日,NULL,NULL,3.85米,1962年4月29日,8824千克,后掠翼,14.64米
亚音速,http://images.huanqiu.com/sarons/2013/08/df9d9311e5a202b1f70c730b65286bdf.jpg,NULL,2人,NULL,1850千米,普-惠R-1830-S3C“双黄蜂”发动机,共和飞机制造公司（舍维尔斯基）,单发,飞行器,战斗机,美国,NULL,2078千克,10.97米,508千米每小时,AT-12“卫兵”,{'$oid': '5cc93099831b973d657f0fa3'},1937年年底,NULL,NULL,2.99米,NULL,3474千克,平直翼,8.2米
亚音速,http://images.huanqiu.com/sarons/2013/08/cfdb6554f5db907526814df2d1657e53.jpg,前苏联米高扬飞机设计局,1人,NULL,2900千米,两台RD-33涡轮扇叶发动机,NULL,双发,飞行器,战斗机,苏/俄,NULL,8175千克,11.4米,2817千米每小时,米格-29“支点”战斗机,{'$oid': '5cc93099831b973d657f0fa4'},1977年10月6日,NULL,NULL,4.7米,1983年,18000千克,后掠翼,17.3米
亚音速,NULL,格鲁曼公司,1人,"
受FF-1成功的鼓舞，格鲁曼飞机制造厂顺理成章地在同一生产线上开始了单翼战斗机的设计——金属蒙皮机身、织物蒙皮的金属机翼、大功率星形发动机（一台普-惠“双小黄蜂”发动机），以及收放式起落架。该设计被格鲁曼飞机制造厂命名为G-8，后改为F2F，于1932年6月提交给美国海军，同年11月接到了生产一架XF2F原型机的合同。
",1328千米,莱特R-1820-22“旋风”发动机,格鲁曼公司,单发,飞行器,战斗机,美国,1941年,1478千克,9.75米,425千米每小时,格鲁曼F2F/F3F,{'$oid': '5cc93099831b973d657f0fa5'},1933年10月18日（XF2F-1）,NULL,NULL,2.84米,NULL,2042千克,双翼,7.07米
亚音速,http://images.huanqiu.com/sarons/2013/08/3bbfa3144ff4a9076b2e3d7714a04b8d.jpg,前苏联苏霍伊设计局,2人,NULL,3500千米,两台上星/留里卡AL-21F-3A涡轮喷气发动机,NULL,双发,飞行器,战斗机,苏/俄,NULL,5000千克,17.6米,2670千米每小时,苏-24“击剑手”战斗轰炸机,{'$oid': '5cc93099831b973d657f0fa6'},1970年1月,NULL,NULL,5米,1974年,35000千克,后掠翼,24.5米
亚音速,http://images.huanqiu.com/sarons/2013/08/f9b8d2838ac1f540665360fd3a0b92fb.jpg,苏霍伊设计局,1人,"
苏-35（英语：Sukhoi Su-35，俄语：КБ Сухой Су-35）战斗机，北约代号“侧卫-E”或“超侧卫”（Flanker-E、Super Flanker）是苏霍伊设计局在苏-27战斗机的基础上研制的深度改进型单座双发、超机动多用途重型战斗机，在战斗机世代上属于第四代战斗机改进型号，即第四代半战斗机。

苏-37是改良版的苏-35，于1996年4月首飞。
",4000千米,2台AL-35F 涡轮发动机,NULL,双发,飞行器,战斗机,苏/俄,NULL,17500千克,15.2米,2500千米每小时,苏-35/苏-37“侧卫-E”  全天候防空战斗机,{'$oid': '5cc93099831b973d657f0fa7'},1988年6月28日,NULL,NULL,6.43米,NULL,34000千克,后掠翼,22.2米
亚音速,NULL,美国托马斯-摩尔斯公司，美国波音公司,1人,"
MB-3型飞机，是1919年由美国托马斯-摩尔斯公司为美国海军生产的一款新型单座单发双翼战斗机。后来波音公司也加入MB-3的生产行列。数年服役之后，转为教练机。1928年，该型机最终退役。
",435千米,莱特-希斯潘诺（Wright-HisPano）H-3发动机,NULL,单发,飞行器,战斗机,美国,1928年,778千克,7.92米,227千米每小时,MB-3,{'$oid': '5cc93099831b973d657f0fa8'},1919年2月21日,NULL,NULL,2.34米,1919年3月,1152千克,双翼,6.1米
超音速,http://images.huanqiu.com/sarons/2013/11/bcb9026e7f9b56baeb78506b1bd5c2f4.jpg,成都飞机工业公司,1人,"
歼-7，仿制自前苏联的MIG-21，北约代号同为""Fishbed""（鱼窝）。歼-7型战斗机是中国仿制前苏联米格-21战斗机生产的喷气式战斗机，是中国空军和海军航空兵装备规模最大的战斗机之一。该机依靠本身具有飞行性能好、轻小灵活、低成本、高效率和使用维护简单等技术特点。 歼-7已于2006年停产。
",1480千米,涡喷7,NULL,单发,飞行器,战斗机,中国,NULL,5275千克,8.32米,2177千米每小时,歼-7系列战斗机,{'$oid': '5cc93099831b973d657f0fa9'},1966年1月17日,NULL,NULL,4.1米,1967年,8655千克,三角面,13.95米
亚音速,NULL,NULL,1人,NULL,1050千米,普-惠R-1830-57“双黄蜂”发动机,共和飞机制造公司,单发,飞行器,战斗机,美国,1944年（中国）,2720千克,10.97米,573千米每小时,共和43“长矛”,{'$oid': '5cc93099831b973d657f0faa'},1940年年中,NULL,NULL,4.27米,NULL,3847千克,平直翼,8.69米
亚音速,http://images.huanqiu.com/sarons/2013/11/0fdfff8e8eac366ab24c97742ddff6b0.jpg,沈阳飞机制造厂,1人,NULL,2020千米,涡喷-5型离心式喷气发动机,NULL,单发,飞行器,战斗机,中国,1959年,3939千克,9.6米,1145千米每小时,歼-5战斗机,{'$oid': '5cc93099831b973d657f0fab'},1956年7月19日,NULL,NULL,3.8米,1956年,6000千克,后掠翼,11.68米
亚音速,http://images.huanqiu.com/sarons/2013/08/fc09d7ea0e38a06ca8e2501603f7dcd2.jpg,北美航空公司,1人,NULL,1014千米,莱特R-1820-77“旋风”9发动机,NULL,单发,飞行器,战斗机,美国,1950（秘鲁）,2114千克,11.35米,435千米每小时,NA-50/-68和P-64,{'$oid': '5cc9309a831b973d657f0fac'},1939年年初,NULL,NULL,2.74米,NULL,2717千克,平直翼,8.23米
超音速,http://images.huanqiu.com/sarons/2013/11/711d2ee550bdf00384f2f65dbb50e373.jpg,沈阳飞机公司,1人,"
    歼8战斗机（歼-8或称J-8），昵称“空中美男子”，北约命名为“长须鲸”（Finback），是我国基于MiG-21的基础上独立进行重大改进研发而成的高空高速歼击机，主要承担制空与拦截任务。解放军从2011年开始除役老旧的歼-8机型。截止2011年，在中国人民解放军空军及海军航空兵阵容中，仍在服役歼-8数量约为300架。
",4000千米,2具涡喷-13A-II型涡喷发动机,NULL,双发,飞行器,战斗机,中国,2011年10月,982千克,9.34米,2339千米每小时,歼-8系列战斗机,{'$oid': '5cc9309a831b973d657f0fad'},1969年7月5日,NULL,NULL,5.41米,1980年,17800千克,三角面,21.52米
超音速,NULL,南昌飞机制造厂,1人,NULL,1167千米,1台WP-6Z,NULL,单发,飞行器,战斗机,中国,NULL,3172千克,7.19米,1300千米每小时,歼-12战斗机,{'$oid': '5cc9309a831b973d657f0fae'},1969年,NULL,NULL,3.73米,未有服役,5295千克,三角面,10.66米
超音速,http://images.huanqiu.com/sarons/2014/01/c14a47b5fd2ba8ad68fb41d0c19b7dff.jpg,NULL,NULL,"
歼-7B是歼-7II的出口型，1982年5月首飞，使用涡喷-7B延寿型发动机。B型可挂西方的近距空空导弹，主要是法国魔术R.550近距空空导弹，也可挂国产霹雳-2导弹。因此携带的导弹武器也成为了识别该型号的一个有力依据。B型曾出口到伊拉克和苏丹。
",NULL,涡喷-7B延寿型发动机,NULL,单发,飞行器,战斗机,中国,NULL,NULL,NULL,NULL,歼-7B/M型 战斗机,{'$oid': '5cc9309a831b973d657f0faf'},1982年5月,NULL,NULL,NULL,NULL,NULL,三角面,NULL
亚音速,http://images.huanqiu.com/sarons/2014/05/9740362a04043683a6e08ffc38697811.jpg,沈阳飞机工业集团,1人,"
歼-15（英文：J-15，中文绰号：飞鲨“Fēishā”，英文：Flying Shark，北约代号：侧卫D型，英文：Flanker-D）是中国参考从乌克兰获得苏-33战斗机原型机T-10K-3号机以国产歼-11战斗机为基础进而研制和发展的重型双发舰载战斗机，该机研制由中国航空工业集团公司沈阳飞机工业集团承担。歼-15在战斗机世代划分上属于第四代战斗机改进型，即第四代半战斗机。
",3500千米,FWS-10H国产发动机,沈阳飞机工业集团,双发,飞行器,战斗机,中国,NULL,17500千克,15米,2940千米每小时,歼-15战斗机,{'$oid': '5cc9309a831b973d657f0fb0'},2012年11月3日,NULL,NULL,5.82米,NULL,32500千克,后掠翼,22.28米
超音速,NULL,沈阳飞机公司,1人,NULL,3790千米,AL-31/WS-10涡扇发动机,NULL,双发,飞行器,战斗机,中国,NULL,16380千克,14.7米,2876千米每小时,歼-11BS战斗机 ,{'$oid': '5cc9309a831b973d657f0fb1'},NULL,NULL,NULL,5.93米,NULL,33000千克,后掠翼,21.9米
超音速,NULL,成都飞机设计研究所,NULL,NULL,NULL,NULL,NULL,双发,飞行器,战斗机,中国,NULL,NULL,NULL,NULL,歼-9战斗机,{'$oid': '5cc9309a831b973d657f0fb2'},1969年7月5日,NULL,NULL,NULL,未服役,NULL,三角面,NULL
亚音速,http://images.huanqiu.com/sarons/2013/11/b0692b96703a7ecacfbbbfec0a2f0ea6.jpg,NULL,1人,NULL,810千米,BMW 801 D-2发动机,福克-沃尔夫飞机制造厂,单发,飞行器,战斗机,德国,1945年,NULL,10.5米,635千米每小时,FW-190“百舌鸟”战斗机,{'$oid': '5cc9309a831b973d657f0fb3'},1939年 6月 1日,NULL,NULL,3.96米,1941年 8月,4300千克,平直翼,8.85米
超音速,http://images.huanqiu.com/sarons/2013/11/c5d882a4b7b7fb34d556b9501ca07b3f.jpg,米高扬设计局,1人,NULL,3000千米,2台R-15BD-300涡喷发动机,NULL,双发,飞行器,战斗机,苏/俄,NULL,15000千克,13.95米,1200千米每小时,米格-25战斗机,{'$oid': '5cc9309a831b973d657f0fb4'},1964年,NULL,NULL,5.7米,NULL,37500千克,后掠翼,22.3米
超音速,NULL,NULL,1人,NULL,4390千米,国产涡扇10大推力涡扇发动机,NULL,双发,飞行器,战斗机,中国,NULL,15700千克,14.95米,2879千米每小时,歼-11B战斗机 ,{'$oid': '5cc9309b831b973d657f0fb5'},NULL,NULL,NULL,5.94米,NULL,33000千克,后掠翼,21.94米
超音速,NULL,中国航空工业集团公司（AVIC）成都飞机公司,1人,NULL,3500千米,AL-31F发动机,NULL,单发,飞行器,战斗机,中国,NULL,8840千克,9.75米,2450千米每小时,J-10B战斗机,{'$oid': '5cc9309b831b973d657f0fb6'},NULL,NULL,NULL,5.43米,NULL,19277千克,鸭式,16.43米
亚音速,http://images.huanqiu.com/sarons/2013/11/3208c851090988e9f88121a1dc8ca53f.jpg,巴伐利亚飞机厂,1人,"
20世纪30年代，希特勒政权为实现侵略扩张计划，开始大力扩建空军。1934年，德国空军发出招标，要求研制一种接替He51型双翼机的新一代战斗机。巴伐利亚飞机厂（即Be）主任设计师梅塞施米特设计的Be109型单发单座单翼全金属活塞式战斗机在竞争试飞中逐一击败He112、Ar80和Fw159三种机型后，成为此后十年间纳粹空军的最主要的主力战斗机。因此“梅塞施米特”几乎成为大战时德国空军的代名词。1938年7月，巴伐利亚飞机厂更名为梅塞施米特飞机厂，故Bf109亦改名Me109，但一般仍称Bf109。
",700千米,一台Daimler Benz DB 605D发动机，功率1850马力,NULL,单发,飞行器,战斗机,德国,1965年（西班牙空军）,2630千克,9.92米,686千米每小时,ME-109战斗机,{'$oid': '5cc9309b831b973d657f0fb7'},1935年5月29日,NULL,NULL,2.5米,1937年,4405千克,后掠翼,9.07米
亚音速,http://images.huanqiu.com/sarons/2013/11/7db32a21f74f4f2e9bd929e08018eb7b.jpg,前苏联苏霍伊设计局,1人,"
苏-25TM/苏-39是在俄罗斯80年代初期提出的T8M（苏-25T）计划的基础上发展而来的。首架根据T-8M计划研制的原型机苏-25T于1984年就进行了首飞。后来，设计局在其已研制出的几架原型机的基础上，于90年代生产了8架苏-25T预生产型。当时，T-8M计划已经被进一步修改为T-8TM计划，其机型也在原型机苏-25T的基础上通过增强武器系统和航空电子系统改名为苏-25TM（也即现在的苏-39）。在1995年，设计局共生产了3架苏-39原型机，其中一架是新制造的，两架由苏-25T预生产型飞机改装而成。苏-39的发展工作到1997年完成，并开始按照俄罗斯空军的试验计划进行飞行试验。主要设计特点除了有限的机体改进设计之外，苏-39的机体主要是基于苏-25UB设计的。
",2500千米,2台图曼斯基R-195涡喷发动机,前苏联苏霍伊设计局,双发,飞行器,战斗机,苏/俄,NULL,9500千克,15.33米,950千米每小时,苏-25改进型/苏-25TM/苏-39,{'$oid': '5cc9309b831b973d657f0fb8'},1995年,NULL,NULL,4.8米,NULL,21500千克,后掠翼,14.52米
超音速,http://images.huanqiu.com/sarons/2013/11/fa031f69a79fdf1aeaac201feebf4517.jpg,俄罗斯联邦联合航空制造公司旗下苏霍伊航空集团,1人,"
俄罗斯第五代战机T-50为单座双发重型战机，具备隐身性能好、起降距离短、超机动性能、超音速巡航等特点。其超音速巡航速度可达每小时1450千米，作战半径1100千米，战斗载荷可达6吨，内置4个武器舱，能实现飞行性能和隐身性能的良好结合。
",5500千米, 2×Lyulka AL-41F后燃器，数字控制涡轮风扇发动机,NULL,双发,飞行器,战斗机,苏/俄,NULL,17500千克,14米,2135千米每小时,T-50战斗机,{'$oid': '5cc9309b831b973d657f0fb9'},2010年1月29日（原型机）,NULL,NULL,4.8米,NULL,37000千克,后掠翼,19.8米
亚音速,http://images.huanqiu.com/sarons/2014/01/503890a2c46f28386da3771b6c26373a.jpg,三菱重工,1人,NULL,2519千米,火星二三型乙（1900马力）,NULL,单发,飞行器,战斗机,日本,1945年8月,2839千克,10.8米,655千米每小时,J2M雷电局地战斗机,{'$oid': '5cc9309b831b973d657f0fba'},1942年3月20日,NULL,NULL,3.81米,NULL,3211千克,平直翼,9.7米
亚音速,http://images.huanqiu.com/sarons/2014/01/c623bbc050283acabc640367ed30d3cf.jpg,NULL,1人,NULL,1782千米,中岛荣12型空冷复列星型14汽缸,中岛飞行机株式会社,单发,飞行器,战斗机,日本,1943年,1912千克,12米,436千米每小时,A6M2-N/二式水上战斗机,{'$oid': '5cc9309b831b973d657f0fbb'},1941年,NULL,NULL,4.3米,NULL,2880千克,平直翼,10.1米
亚音速,http://images.huanqiu.com/sarons/2014/01/2e71595eccf0d825ae2382954f3626c3.jpg,麦克唐纳公司,1人,"
XF-88战斗机是美国空军基于第二次世界大战期间为轰炸机护航的经验下，期望以喷射动力设计一架战斗机在航程上能够比美过去二战时期担任护航的前辈。官方给予这架原型机的正式名称是巫毒（Voodoo），同样的名字延续使用在以XF-88为基础放大的F-101战斗机上。
",2779千米,西屋j34-we-22加力涡扇发动机,NULL,单发,飞行器,战斗机,美国,NULL,5507千克,12.09米,1136千米每小时,XF-88战斗机,{'$oid': '5cc9309b831b973d657f0fbc'},NULL,NULL,NULL,5.26米,NULL,8392千克,后掠翼,16.51米
亚音速,NULL,NULL,3人,"
亨舍尔Hs 124（Henschel Hs 124）是德国在二次世界大战时所开发的双引擎战斗轰炸机的原型机种。在出产了两架Hs 124原型机后，有关方面就停止了Hs 124的开发。
",4200千米, 2×BMW 132Dc星型发动机 ， 870 hp（640 kW）,亨舍尔,单发,飞行器,战斗机,德国,NULL,4250千克,18.2米,435千米每小时,Hs 124战斗机,{'$oid': '5cc9309b831b973d657f0fbd'},1936年,NULL,NULL,3.75米,NULL,7230千克,平直翼,14.5米
亚音速,http://images.huanqiu.com/sarons/2014/01/50bfbc0010bfae472090dd81307e07e9.jpg,川西公司,1人,NULL,2055千米,1台中岛誉42型复列星型气冷18缸发动机,NULL,单发,飞行器,战斗机,日本,NULL,3500千克,12.5米,685千米每小时,J6K1 阵风 陆上战斗机,{'$oid': '5cc9309c831b973d657f0fbe'},NULL,NULL,NULL,4.13米,NULL,4886千克,平直翼,10.11米
亚音速,http://images.huanqiu.com/sarons/2014/01/5f34d42e9db500f7d3068f4c5505707a.jpg,井町勇/土井武夫,2人,"
二式复座战斗机“屠龙”是川崎航空机研发的双发动机重型战斗机，能作长程护航，对舰攻击，对地轰炸，截击轰炸机和夜间战斗机等多种用途，乘员两名，分别是前方飞行员和后方机枪手，机枪手还要负责装填炮弹和为斜射机枪瞄准开火，日军称它为“屠龙”，“二式复战”，盟军称为NICK。
",2000千米,两具三菱Ha-102气冷式发动机(各1050匹马力),川崎重工,单发,飞行器,战斗机,日本,1945年,4000千克,15.02米,540千米每小时,Ki-45屠龙/2式复座战斗机 ,{'$oid': '5cc9309c831b973d657f0fbf'},1941年5月,NULL,NULL,3.7米,1941年10月,5500千克,平直翼,11米
亚音速,http://images.huanqiu.com/sarons/2014/01/bcea56ca3a8cb20377fe38fed2bd6b50.jpg,NULL,1人,"
Ar68战斗机是德国在1930年代片面终止履行《凡尔赛条约》之后自行设计并服役于德国空军的战斗机，同时这也是德国空军所使用最后一款双翼战斗机。

Ar 68曾经参与西班牙内战，与苏联支援的战斗机争夺空优，在面对苏联空军I-16战斗机时，因为性能居于劣势而退出战场，改由最新服役的Bf 109接任。作为秃鹰军团装备的Ar.68战斗机，所以此战斗机有“秃鹰的双翼战机”之称。
",415千米,一台容克斯Jumo 210 Da液冷式发动机,阿拉度公司,单发,飞行器,战斗机,德国,1940年,1840千克,11米,305千米每小时,Ar 68战斗机,{'$oid': '5cc9309c831b973d657f0fc0'},1943年,NULL,NULL,3.28米,1936年,2475千克,双翼,9.5米
亚音速,http://images.huanqiu.com/sarons/2014/01/1e73be7ba5b9d333cc173a77f3b27a1a.jpg,NULL,1人,"
90式舰上战斗机是1928年美国波音公司推出P-12战斗机给美国陆军航空队(美国空军的前身)采用，美国海军也把此种战机改为舰载机并称为F4B。

日本海军也看中了F4B，买了两架给中岛飞行机做仿制，设计师是吉田孝雄，这就是90式舰上战斗机的由来。但90式并非单纯的F4B的仿制型，其内部结构采用了英国斗牛犬式战斗机的设计，吉田孝雄的工作是如何把此两种美英战斗机合二为一，发动机方面沿用了已有的3式舰上战斗机的寿二型发动机(450匹马力)，1930年90式试飞时就因为发动机问题而表现欠佳，1932年90式改用寿二改型发动机(580匹马力)后才获军方采用为A2N/90式舰上战斗机。
",600千米,中岛寿二改型风冷式发动机(580匹马力),中岛飞机公司,单发,飞行器,战斗机,日本,NULL,1000千克,9.37米,304千米每小时,A2N/90式舰上战斗机,{'$oid': '5cc9309c831b973d657f0fc1'},1930年,NULL,NULL,3.025米,NULL,1550千克,双翼,6.18米
亚音速,http://images.huanqiu.com/sarons/2014/01/53adfb0cb0aa43ba738d57a245e7fc81.jpg,迪莱苏贝特格蒂赫,1人,"
德国的“信天翁”D战斗机的最大特征，是有一个纺锤般的流线形木制机身。这种硬壳构造的机身比强度高，中弹后生存性好，且不难制造。“信天翁”D成为世界上最早成批生产的采用硬壳构造的飞机。信天翁D式是一款平衡或者说平庸的飞机，里希特霍芬的主要座机便是信天翁，但他评价说这是一架“新手”的飞机，其手感平稳，但老手就觉得过于呆板，远不如 Dr.I或者“骆驼”那样拥有灵敏到危险的不规则运动能力。
",NULL,一台梅塞德斯D.III a,阿尔巴特罗斯飞机厂,单发,飞行器,战斗机,德国,NULL,687千克,9.04米,187千米每小时,信天翁D．Ⅲ,{'$oid': '5cc9309c831b973d657f0fc2'},1917年,NULL,NULL,2.85米,NULL,937千克,双翼,7.33米
亚音速,http://images.huanqiu.com/sarons/2014/01/f80f8fe73e20c04328107833736705b4.jpg,NULL,1人,NULL,2000千米,三菱重工“Ha－43”四二型引擎,NULL,单发,飞行器,战斗机,日本,1945年8月15日,3525千克,11.11米,750千米每小时,J7W1震电战斗机,{'$oid': '5cc9309c831b973d657f0fc3'},1945年8月3日,NULL,NULL,3.55米,NULL,4950千克,鸭式,9.76米
