飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2014/01/232d17cbbcfd6ca78ae3fd73a063378f.jpg,NULL,NULL,RQ-11是用手发射的小型无人机，为营及以下部队提供支援。2003年首次飞行，随后进入美国特种作战部队司令部服役。2004年美国陆军将它作为标准的短距无人机系统使用，到2007年年中共有2469架飞行器（包括老式的RQ-11A）在使用。2007年1月，美国陆军宣布将使用中的型别作为其“未来战斗系统”Ⅱ级无人机。,10千米,Aveox 27/26/7简易电动马达,NULL,单发,飞行器,无人机,美国,NULL,1.9千克,1.4米,81.5千米每小时,RQ-11渡鸭无人机,{'$oid': '5cc9310d831b973d657f124d'},2003年,NULL,NULL,NULL,NULL,平直翼,0.9米
亚音速,http://images.huanqiu.com/sarons/2014/01/309eb13c75bc96a3dc549de31ba692a7.jpg,中科院,NULL,"
锐鸢无人机是“中翔二号”无人机(UAV)的量产名称，为中科院以翔鹰计划代号为名，自主研发的无人飞机，是一款全天候、长滞空时间、多用途、战术型无人飞机系统。此系统具有全球定位导航、自动飞行控制、电子反干扰、即时影像传输等功能。目前以本岛地面部署，进行战场侦察、不对称作战与提供天然灾害救灾资讯为主。
",600千米,NULL,NULL,单发,飞行器,无人机,中国,NULL,453千克,7.6米,180千米每小时,锐鸢无人机,{'$oid': '5cc9310d831b973d657f124e'},NULL,NULL,1.8米,NULL,450千克,平直翼,5.7米
超音速,NULL,洛克希德公司,NULL,"
D-21无人侦察机（Lockheed D-21）是美国空军所使用的一款三倍音速长程战略侦察机，取代原先的A-12侦察机。D-21无人侦察机从1962年10月开始研发，原本称为洛克希德Q-12设计案。
",5550千米,RJ43-MA-20S4冲压发动机,NULL,双发,飞行器,无人机,美国,1971年,NULL,5.79米,3560千米每小时,D-21侦察机,{'$oid': '5cc9310d831b973d657f124f'},1964年,NULL,2.14米,1969年,5000千克,三角面,12.8米
亚音速,http://images.huanqiu.com/sarons/2014/01/e56d0f5486fdc1fa6a4678a4623aa3be.jpg,波音公司,NULL,"A160T是原由Frontier Systems设计的""蜂鸟""无人旋翼机(波音于2004年购入)的采用涡轮发动机的改型，该机于6月完成首飞。其能执行持久情报、监视和侦察，以及目标捕获、定向引导、通信中继和精确补给等任务。",9150千米,一台普惠加拿大PW207  发动机,NULL,单发,飞行器,无人机,美国,NULL,1134千克,NULL,258千米每小时,A160T“蜂鸟”无人直升机,{'$oid': '5cc9310d831b973d657f1250'},2002年,10.973米,NULL,NULL,NULL,单旋翼,10.7米
亚音速,http://images.huanqiu.com/sarons/2014/01/5064bc823666785867745091ebee8746.jpg,诺思罗普-格鲁曼公司,NULL,"
RQ-180无人机，是位于美国51区的一款秘密无人隐形侦察机，由诺思罗普-格鲁曼公司研发制造。RQ-180无人机与X-47B无人机外形相似，尤其是无尾翼和“蝙蝠式机翼”的外形设计。RQ-180无人机的设计用于在争议地区空域进行侦察探测，与已退役的SR-71“黑鸟”高速战略侦察机作用类似，这款无人机可能用于对朝鲜、伊朗或中国进行侦察。同时，它也有能力进行电子战，它的大小和续航时间与全球鹰无人机相似，能连续飞行24小时到距离基地1200海里（约合2200公里）远的地方。
",2200千米,2台GE公司的CF-34中等涵道比涡扇发动机,诺思罗普-格鲁曼公司,单发,飞行器,无人机,美国,NULL,14630千克,40米,NULL,RQ-180无人隐形侦察机,{'$oid': '5cc9310d831b973d657f1251'},NULL,NULL,NULL,NULL,14641千克,飞翼,NULL
亚音速,NULL,NULL,NULL,NULL,NULL,一台11.2千瓦(15马力)带远程启动的Minarelli两冲程引擎,希伯尔电子有限公司,单发,飞行器,无人机,奥地利,NULL,43千克,NULL,NULL,Comcopter5.1近程直升机,{'$oid': '5cc9310d831b973d657f1252'},NULL,3.09米,0.8米,NULL,68千克,单旋翼,2.68米
亚音速,http://images.huanqiu.com/sarons/2014/01/db4d7b22df2b39f671620e97cea37e23.jpg,NULL,NULL,"
1985年美国取得它的生产权之后立即普及到陆、海军和陆战队中，“先锋”无人机为美海军及海军陆战队使用的无人空中侦察系统。

主要用于侦察、目标搜索和战损评估等；海军“先锋”则使用舰载发射架，主要观测弹着点。美军在海湾战争中共出动“先锋”共183个架次，合计飞行时间1083.1小时。
",185千米,汽油活塞发动机,NULL,单发,飞行器,无人机,美国,NULL,205千克,5.2米,120千米每小时,先锋RQ-2无人机,{'$oid': '5cc9310e831b973d657f1253'},NULL,NULL,1米,NULL,NULL,平直翼,4.27米
亚音速,NULL,赖安航空公司,NULL,"
BQM-34火蜂无人机是美国特里达因·瑞安飞机公司研制的一种装涡轮喷气发动机、可回收并重复使用的无人驾驶靶机，也是世界上生产数量最多的无人机之一。

1960年1月“火蜂”进行了首次生产型的飞行。它共生产7400架,包括早期的 Q-2/KDA型号。它是在世界上最广为人知的无人机,同时也是广大中国人最熟识的美国无人机。

主要任务是用于鉴定各种空对空和地对空武器系统，并用以训练战斗机驾驶员和防空部队等。它的有些改型还能执行侦察、电子战、飞行试验、携带炸弹或导弹进行对地攻击等任务。
",1282千米,一台J-69-41A涡喷发动机,NULL,单发,飞行器,无人机,美国,NULL,680千克,3.9米,1176千米每小时,BQM-34火蜂无人机,{'$oid': '5cc9310e831b973d657f1254'},1960年1月,NULL,2.1米,NULL,1135千克,后掠翼,7米
亚音速,http://images.huanqiu.com/sarons/2014/01/e2bfb15dc5d185ead316e23f468deaaa.jpg,科达拉(Codarra)高级系统公司,NULL,NULL,25千米,电机(镍/镉电池)  双叶推进螺旋桨,科达拉(Codarra)高级系统公司,单发,飞行器,无人机,澳大利亚,NULL,NULL,2.5米,50千米每小时,天神无人机,{'$oid': '5cc9310e831b973d657f1255'},NULL,NULL,NULL,NULL,3.5千克,平直翼,NULL
亚音速,NULL,NULL,NULL,NULL,NULL,一个小型单缸活塞式引擎 双叶片螺旋桨,中国西安(ASN)技术集团,单发,飞行器,无人机,中国,NULL,NULL,3米,90千米每小时,ASN-1轻型无人机,{'$oid': '5cc9310e831b973d657f1256'},NULL,NULL,NULL,NULL,NULL,单旋翼,1.8米
