大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,乘员与载员,车长,最大行程,关注度,宽度,简介,最大速度,战斗全重
坦克装甲车辆,装甲运兵车,“撒拉逊”装甲人员运输车,1952年,NULL,2.463米,{'$oid': '5cc932e6831b973d657f1e30'},NULL,英国,轮式,12人,5.233米,400公里,NULL,2.539米,"
英国研制的FV600(6×6)系列装甲车，第一批3个型号包括FV601萨拉丁装甲车、FV602指挥车和FV603撒拉逊装甲人员输送车。当时由于马来西亚战争的紧急需要，优先考虑研制FV603撒拉逊车。1952年完成第一辆样车并投产，生产持续到1972年，总计生产了1838辆。
",72公里/小时,10170千克
坦克装甲车辆,装甲运兵车,WZ523装甲人员运输车,1984年,NULL,2.73米,{'$oid': '5cc932e6831b973d657f1e31'},http://images.huanqiu.com/sarons/2013/11/3a670eed9b8c6984f6650a982b7ac746.jpg,中国,轮式,12人,6.02米,600公里,NULL,2.55米,NULL,80公里/小时,11200千克
坦克装甲车辆,装甲运兵车,ARK履带式两栖支援车,未知,NULL,2.767米,{'$oid': '5cc932e6831b973d657f1e32'},NULL,法国,履带式,2人,6.96米,500公里,NULL,2.45米,NULL,60公里/小时,12800千克
坦克装甲车辆,装甲运兵车,潘哈德VCR装甲人员运输车 ,1975年,潘哈德和勒瓦索尔机械制造公司,2.694米,{'$oid': '5cc932e6831b973d657f1e33'},http://images.huanqiu.com/sarons/2013/11/55b499259bf8fa167d4b20ff547957cb.jpg,法国,轮式,12人,4.875米,800公里,NULL,2.478米,"
该车由法国潘哈德公司投资研制，于1979年正式公布，系VCR(6×6)装甲人员输送车的(4×4)车型，用以代替该公司1971年生产的M3(4×4)装甲人员输送车，该车有95%的部件与VCR(6×6)车通用。
",100公里/小时,7800千克
坦克装甲车辆,装甲运兵车,卡达“瓦利德”装甲人员运输车,1960年,纳赛尔汽车厂,2.3米,{'$oid': '5cc932e6831b973d657f1e34'},NULL,埃及,轮式,10人,6.12米,800公里,NULL,2.57米,"
瓦利德轮式装甲人员输送车，由埃及纳赛尔汽车厂研制，该车于1967年中东战争中首次使用。该车无论在外观还是在作用方面都类似于苏联6ТР-40型轮式装甲人员输送车，区别仅在于载员舱侧甲板垂直安装，而不是倾斜安装。
",86公里/小时,12000千克
坦克装甲车辆,装甲运兵车,OT-64C(1)(SKOT-2A)装甲人员运输车,1959年,捷克斯洛伐克 CS  ,2.71米,{'$oid': '5cc932e6831b973d657f1e35'},http://images.huanqiu.com/sarons/2013/11/a656c10b2653f0236eb539badafb3ab3.jpg,捷克,轮式,17人,7.44米,710公里,NULL,2.55米,NULL,94.4公里/小时,14500千克
坦克装甲车辆,装甲运兵车,“狮”式(Simba)轻型战车,1992年,BAE系统公司地面系统分部,2.19米,{'$oid': '5cc932e7831b973d657f1e36'},http://images.huanqiu.com/sarons/2013/11/d6f527da1403741ebaf58f85d9c27570.jpg,英国,NULL,11人,5.35米,660公里,NULL,2.5米,NULL,100公里/小时,11200千克
坦克装甲车辆,装甲运兵车,BTR-152装甲人员运输车,1950年,俄罗斯国有生产工厂,2.63米,{'$oid': '5cc932e7831b973d657f1e37'},http://images.huanqiu.com/sarons/2013/11/ff148ef4636e3d4815a204930f3236c3.jpg,苏/俄,轮式,19人,6.55米,600公里,NULL,2.32米,NULL,75公里/小时,9910千克
坦克装甲车辆,装甲运兵车,帕提亚模块化装甲车,2001年,帕提亚防务集团公司,2.3米,{'$oid': '5cc932e7831b973d657f1e38'},http://images.huanqiu.com/sarons/2013/11/069eacc6a24907137af0571ad5782041.jpg,芬兰,轮式,11人,7.7米,800公里,NULL,2.8米,NULL,100公里/小时,28000千克
坦克装甲车辆,装甲运兵车,“游骑兵”装甲人员运输车,20世纪70年代末,达信海上与地面系统公司,1.981米,{'$oid': '5cc932e7831b973d657f1e39'},NULL,美国,轮式,8人,4.699米,482公里,NULL,2.019米,"
20世纪70年代末，如今的达信海上与地面系统公司自行投资研发了“游骑兵”(Ranger)。之后美国空军选中了其成品车，用作警务保安装甲反应/护送卡车，在空军基地等重要地区巡逻。
",112.65公里/小时,4536千克
坦克装甲车辆,装甲运兵车,野牛”装甲人员运输车,1988年,加拿大通用汽车公司柴油机分部,2.21米,{'$oid': '5cc932e8831b973d657f1e3a'},NULL,加拿大,NULL,10人,NULL,665公里,NULL,2.5米,"
“野牛”装甲人员运输车是1988年加拿大通用汽车公司柴油机分部(今加拿大通用动力公司地面系统加拿大分部)自行投资设计并制造了一种8×8装甲人员运输车的样车。该车采用为美国海军陆战队生产过的轻型装甲车(LAV)(请参阅该条)的底盘和传动部件。后来加拿大陆军为后备队订购了199辆该车的改进型，称之为“野牛”，第一批量产车完成于20世纪90年代末。
",100公里/小时,12936千克
坦克装甲车辆,装甲运兵车,BTR-90装甲人员运输车,1994年,阿尔扎马斯(Arzamas)兵工厂,2.975米,{'$oid': '5cc932e8831b973d657f1e3b'},http://images.huanqiu.com/sarons/2013/11/ae2b9daa1393871f632bf6a80b52ed56.jpg,苏/俄,轮式,10人,7.64米,800公里,NULL,3.2米,"
从许多方面讲，BTR-90就是早期BTR-80的升级版，防护级别更高、内部容量更大、武器威力更大、机动性更高。一小批BTR-90正服役于俄罗斯内政部。
",100公里/小时,20920千克
坦克装甲车辆,装甲运兵车,“卫士”装甲人员运输车/BTR-3U/BTR-3E,20世纪90年代中期,ADCOM国际集团,2.86米,{'$oid': '5cc932e8831b973d657f1e3c'},http://images.huanqiu.com/sarons/2013/11/388577f17b7ae58f0fb2ad4d02f233f6.jpg,乌克兰,轮式,9人,7.65米,800公里,NULL,2.9米,"
“卫士”装甲人员运输车，该车也被称为BTR-3U/BTR-3E，“卫士”在布局上与BTR-80很相似：车长和驾驶员位于前部，战斗舱位于中央，动力装置在后部。主要区别在于该车的车长和驾驶员位置后方的车顶线提高，可获得更大的内部容量，增加了车辆的总体高度和重量。可安装多种武器系统。“卫士”具备完全两栖能力，在水中由车尾安装的单个喷水器推进。入水前车体正面竖起防浪板，车底排水泵启动。标准设备包括中央轮胎压力调节系统、前四个轮胎上的动力转向装置。
",100公里/小时,16400千克
坦克装甲车辆,装甲运兵车,西班牙VAP3550两栖车,1978年,NULL,2.5米,{'$oid': '5cc932e8831b973d657f1e3d'},http://images.huanqiu.com/sarons/2013/11/19d16e3a9bdbbc44c7a8a9433158bea9.jpg,西班牙,轮式,18人,8.85米,800公里,NULL,2.5米,"
VAP3550两栖车是为了满足西班牙海军对能够从通用登陆舰(LSTS)或其它两栖艇自行登陆，并能在内陆崎岖不平的路面行驶的车辆的需求而制造的。VAP为其出口名称，在西班牙该车被称作“毕加索”3550。
",87公里/小时,12500千克
坦克装甲车辆,装甲运兵车,TAB-77装甲人员运输车,20世纪60年代,苏联高尔基汽车厂,1.92米,{'$oid': '5cc932e8831b973d657f1e3e'},http://images.huanqiu.com/sarons/2013/11/ab39b092f76f2775904cda31a16a9b6c.jpg,罗马尼亚,轮式,11人,7.4米,550公里,NULL,2.95米,"
TAB-77型(8×8)轮式装甲人员输送车是按照苏联БТР-70装甲人员输送车生产的产品。该车的动力为1台柴油机而不是БТР-70上的2台汽油机，炮塔与罗马尼亚生产的TAB-72车的炮塔相同。具备完全两栖能力。
",83公里/小时,13350千克
坦克装甲车辆,装甲运兵车,6640G型两栖货物运输车,1980年,依维柯公司(意大利，博尔查诺),2.7米,{'$oid': '5cc932e8831b973d657f1e3f'},NULL,意大利,轮式,3人,8.2米,600公里,NULL,2.5米,"
依维柯6640G型两栖货物运输车于1980年对外发布，与依维柯公司早期6640A(4×4)型两栖货物运输车非常相似。由于6640G更为坚实的结构与相对稍长的轮距，整车的重量也有很大提升。6640G配置了更为强劲的柴油发动机和自动传动装置，在水上由喷水推进器推进。
",100公里/小时,8700千克
坦克装甲车辆,装甲运兵车,帕提亚XA-200装甲人员运输车,1982年,NULL,2.6米,{'$oid': '5cc932e8831b973d657f1e40'},http://images.huanqiu.com/sarons/2013/11/9ec9f8092e7fe74f1430b27997238a6f.jpg,芬兰,轮式,11人,7.45米,800公里,NULL,2.95米,"
由于地缘和历史的原因，芬兰军队多采用苏制武器装备，到了20世纪80年代初期，原采购的苏制装备性能已显落后。随着芬兰工业实力的增强，芬兰军方想独立研制本国的武器装备，XA-180装甲车便是为了替代过时的苏制BTR-60装甲车而研制的一种，最新车型为XZ-200系列装甲车。
",90公里/小时,22000千克
坦克装甲车辆,装甲运兵车,“野马”(Bronco)全地形履带运输车,NULL,NULL,2.2米,{'$oid': '5cc932e9831b973d657f1e41'},http://images.huanqiu.com/sarons/2014/02/4e228667b83338d6bda9bce3904f0bbe.jpg,新加坡,履带式,16人,8.6米,NULL,NULL,2.3米,"
这款被称为“野马”(Bronco)的全地形履带运输车是一款多用途的铰接履带运输车，可以通过不同配置以满足从人员和货物的运输到战地指挥所和武器平台等多种不同需求。该车的设计目的旨在穿越各种地形，包括淤泥、雪地和沼泽。该车可以涉过深达1.2米的水路障碍并且在经过少许准备具备两栖能力。重型无缝橡胶履带的应用降低了ATTC的行驶噪音。
",60公里/小时,15000千克
坦克装甲车辆,装甲运兵车,VAB装甲人员运输车,1972年,雷诺车辆工业公司和克勒索-卢瓦尔工业公司,2.06米,{'$oid': '5cc932e9831b973d657f1e42'},NULL,法国,轮式,12人,5.98米,1000公里,NULL,2.49米,NULL,92公里/小时,13000千克
坦克装甲车辆,装甲运兵车,美国AAAV先进两栖突击车,1995年,美国通用动力公司地面系统部,3.2米,{'$oid': '5cc932e9831b973d657f1e43'},http://images.huanqiu.com/sarons/2013/11/a3dba5d481172b7a63c6890a4321aade.jpg,美国,履带式,21人,10.556米,643公里,NULL,3.632米,"
由美国通用动力公司地面系统部为美国海军陆战队研制成功了一种先进的两栖突击车（AAAV）。
",72.41公里/小时,34476千克
坦克装甲车辆,装甲运兵车,ACMAT装甲人员运输车,1980年,大西洋机械制造厂,2.205米,{'$oid': '5cc932e9831b973d657f1e44'},NULL,法国,轮式,10人,NULL,1600公里,NULL,2.1米,"
该车一种样式是顶棚全封闭，车身侧面各有三扇可滑动的防弹窗，乘员可通过它们在车内使用轻武器向外射击。另一种是敞顶式，侧甲板从中间铰合，可向外向下展开以便迅速下车或还击。全封闭式车能添加空气调节系统，可被用作指挥车或通信车。
",95公里/小时,7800千克
坦克装甲车辆,装甲运兵车,TAB-71装甲人员运输车,1971年,苏联高尔基汽车厂,2.7米,{'$oid': '5cc932e9831b973d657f1e45'},http://images.huanqiu.com/sarons/2013/11/911a76197239f594c8a23bd41218afb0.jpg,罗马尼亚,轮式,11人,7.22米,500公里,NULL,2.83米,TAB-71(8×8)首次公开亮相是在1972年，是罗马尼亚对前苏联BTR-60PB(8×8)的翻版，但至少有两项主要改进：更强劲的发动机(140马力发动机×2台，而苏制车辆为2台90马力发动机)，仰角更高适用于防空的机枪。TAB-71具备完全两栖能力，由车尾单个喷水器推进。有中央轮胎压力调节系统。炮塔手动旋转，机枪手动俯仰范围为-5°～+85°。,95公里/小时,11000千克
坦克装甲车辆,装甲运兵车,M3半履带车,20世纪40年代,NULL,2.26米,{'$oid': '5cc932e9831b973d657f1e46'},http://images.huanqiu.com/sarons/2013/12/b81b87ab981519600bb54c52722554a0.jpg,美国,NULL,13人,6.18米,282公里,NULL,2.22米,"
M3人员运输半履带车是由美国、英国和其同盟于第二次世界大战及冷战时所用的装甲车辆。M3大约共生产了43000辆，并在美国陆军、美国海军陆战队，以及英国和苏联红军中，于各个前线服役。
",72公里/小时,9300千克
坦克装甲车辆,装甲运兵车,77式两栖装甲运输车,1965年4月,中国北方车辆研究所,2.16米,{'$oid': '5cc932ea831b973d657f1e47'},NULL,中国,履带式,2人,7.15米,370公里,NULL,3.2米,"
77式两栖装甲运兵车是中国自行研制的第一代水陆装甲运兵车，分为77-1两栖装甲输送车和77-2两栖装甲输送车。该车是以63式两栖坦克底盘为基础，去掉坦克炮塔，将原车战斗舱的装甲板加高作为运载舱。能搭载20名步兵抗风浪能力三级风1.2m浪高，备有夜视仪。
",64公里/小时,18760千克
坦克装甲车辆,装甲运兵车,最新外贸型6X6轮式装甲输送车,未知,NULL,2.05米,{'$oid': '5cc932ea831b973d657f1e48'},http://images.huanqiu.com/sarons/2013/11/d001b4a909775a30f984435d283953dc.jpg,中国,轮式,9人,6.84米,1000公里,NULL,3米,"
现代战争环境和任务的变化特点，以及轮式装甲车辆特有的性能优势决定了轮式装甲车辆主要以输送步兵为主，并伴随主战坦克作战。装备数量最为庞大的还是轮式装甲输送车。从新型轮式装甲车辆的技术支撑来看，通过大马力发动机、H型传动技术、液气可调悬架等先进技术的开发，为新型轮式装甲车辆的研发提供了技术储备。最新外贸型6X6轮式装甲输送车在此环境下诞生。
",100公里/小时,16000千克
坦克装甲车辆,装甲运兵车,BA-22装甲车,20世纪40年代,NULL,NULL,{'$oid': '5cc932ea831b973d657f1e49'},http://images.huanqiu.com/sarons/2013/12/d910aa02b5afd78455de630c57612106.jpg,苏/俄,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
坦克装甲车辆,装甲运兵车,“博拉格”(boragh)装甲输送车,1987年,沙希德·科拉多茨工业集团,2.45米,{'$oid': '5cc932ea831b973d657f1e4a'},http://images.huanqiu.com/sarons/2013/11/148376ebb1d9aec2755e7c9b57add5d8.jpg,伊朗,履带式,11人,6.65米,500公里,NULL,3.25米,"
伊朗最近研制的“博拉格”(Boragh)装甲输送车，已在沙希德·科拉多茨工业集团公司投产。该公司是伊朗国防工业组织(DIO)的一部分，它有5万雇员工作在海陆空武器装备领域。 “博拉格”装甲输送车的车体基型在许多方面与俄罗斯-1相似，但是“博拉格”装甲输送车显然不是任何现有的全履带式车辆的直接仿制品，它综合了俄罗斯、中国和美国车辆和分系统特点以满足本国的需求。
",65公里/小时,13000千克
坦克装甲车辆,装甲运兵车,“博拉格”(boragh)装甲输送车,1997年,伊朗国防工业机构沙希德·科拉杜兹工业公司,2.45米,{'$oid': '5cc932ea831b973d657f1e4b'},http://images.huanqiu.com/sarons/2013/11/4815511036c5f04ac3a1b09da62d5212.jpg,伊朗,NULL,11人,6.65米,500公里,NULL,3.25米,"
“博拉格”(boragh)装甲输送车是服役于伊朗陆军的主力装甲车。该车由伊朗国防工业机构沙希德·科拉杜兹工业公司研制，研制工作始于1986年，首辆样车于1987年问世。经过一系列严格的试验和精心的改进，“博拉格”装甲车于1997年设计定型并投入生产。“博拉格”装甲输送车与俄罗斯BMP-1步兵战车有几分相似，战斗全重13吨，乘员3人，载员8人，车长6.65米，车宽3.25米，车高2.45米，最大速度65千米/小时，最大行程450～500千米。
",65公里/小时,13000千克
坦克装甲车辆,装甲运兵车,64式轮式装甲输送车,1961年,NULL,NULL,{'$oid': '5cc932ea831b973d657f1e4c'},NULL,中国,轮式,23人,NULL,NULL,NULL,NULL,64式轮式装甲输送车（代号521）是我国自行研制的第一代轮式装甲输送车，主要用于长江以北地区，担任向前沿阵地输送人员、弹药及边防巡逻用车的任务，还可改装成通讯指挥、侦察和战地救护等特殊用车。,65公里/小时,9200千克
坦克装甲车辆,装甲运兵车,ZSL92A型(WMZ551B)轮式装甲人员输送车,NULL,中国北方工业公司,2.87米,{'$oid': '5cc932ea831b973d657f1e4d'},NULL,中国,轮式,12人,6.8米,800公里,NULL,2.86米,"
WMZ551B轮式装甲人员输送车以国产WZ551A轮式装甲车的底盘为基础，由中国北方工业公司牵头研发的外贸型轮装甲车。
",100公里/小时,15300千克
坦克装甲车辆,装甲运兵车,日本一式装甲运兵车,NULL,NULL,NULL,{'$oid': '5cc932eb831b973d657f1e4e'},NULL,日本,履带式,15人,NULL,NULL,NULL,NULL,主要装备机甲师团，战车师团以及一些精锐野战师团。,42公里/小时,6500千克
坦克装甲车辆,装甲运兵车,“纳美尔”装甲运兵车,20世纪80年代,NULL,NULL,{'$oid': '5cc932eb831b973d657f1e4f'},NULL,以色列,履带式,15人,NULL,500公里,NULL,NULL,“纳美尔”装甲运兵车在以军现役主力“梅卡瓦”坦克的技术平台基础上研发，其出色的装甲防护能力可以抵御重型反坦克武器的攻击。它自重约60吨，可搭载12名武装步兵，最高时速可达60公里/小时。预计首批“纳美尔”装甲运兵车将于2009年底前装备以军。,60公里/小时,60000千克
坦克装甲车辆,装甲运兵车,90式（YW-535）履带式装甲输送车,20世纪90年代,NULL,1.7米,{'$oid': '5cc932eb831b973d657f1e50'},http://images.huanqiu.com/sarons/2013/11/6db4b24fc3f1de95df6645fddb9d27c4.jpg,中国,NULL,15人,6.744米,500公里,NULL,3.148米,NULL,65公里/小时,14400千克
坦克装甲车辆,装甲运兵车,M113型装甲运兵车,1950年,食品机械公司和凯萨铝化学公司,2.5米,{'$oid': '5cc932eb831b973d657f1e51'},http://images.huanqiu.com/sarons/2013/11/f9b4fd404924498784a09fd392b2381d.jpg,美国,轮式,13人,4.863米,480公里,NULL,2.686米,"M113是一种美国生产的装甲运兵车，外销世界上诸多国家，以便宜好用、改装方便著称于世，在近代军事史有重要地位。M113采用全履带配置并有部分两栖能力，也有越野能力，在公路上可以高速行驶。M113家族有极多的变型版可以担任运输到火力支援等等战场角色，超过80,000辆的生产量遍布世界。虽然它不是坦克但是也能设计成战斗载具，M113在越战时期甚至是装甲覆盖最完全的载具，也使得后续的诸多装甲步兵战车从它获得灵感，至今21世纪M113各种改型依然在服役，并且在最近被选为史上10大步兵战车第一名。",66公里/小时,12300千克
坦克装甲车辆,装甲运兵车,蒂莫尼轮式装甲人员输送车,1973年,爱尔兰技术投资有限公司（Technology Investments LimitedIE）,2.11米,{'$oid': '5cc932eb831b973d657f1e52'},http://images.huanqiu.com/sarons/2014/01/073459eae34d99fc9c58cc349baecf51.jpg,爱尔兰,轮式,12人,4.95米,1000公里,NULL,2.745米,NULL,95公里/小时,9980千克
坦克装甲车辆,装甲运兵车,TAB-72轮式装甲人员输送车,1971年,苏联高尔基汽车厂,2.7米,{'$oid': '5cc932eb831b973d657f1e53'},NULL,罗马尼亚,履带式,11人,7.22米,500公里,NULL,2.83米,"
TAB-72型（8×8）装甲人员输送车是罗马尼亚于1971年按照苏联BTR-60型轮式装甲人员输送车生产的，未装顶装甲和炮塔。1971年8月首次展出TAB-72轮式装甲人员输送车的改进型TAB-72型，并于1973年投产。
",95公里/小时,11000千克
坦克装甲车辆,装甲运兵车,6.40BL,二战后,大西洋机械制造厂,2.21米,{'$oid': '5cc932eb831b973d657f1e54'},NULL,法国,轮式,18人,7米,1600公里,NULL,2.1米,"
TPK 6.40VBL(6×6)装甲人员输送车采用同TPK 4.20VBL车的同样底盘与车体前部部件，但在车后部安置全封闭的载员舱。步兵坐在车体两侧长椅上，车体每侧开4个观察窗。车体后部开有两个向外打开的后门，门上有1个能用盖板防护的防弹观察窗。车顶部中心位置安装单人炮塔及7.62mm机枪，车长使用顶装潜望镜瞄准。也可安装克勒索-卢瓦尔公司(Creusot-Loire)的TLi单人炮塔及M2 HB 12.7mm机枪，还可安装米兰导弹发射系统等。
",95公里/小时,8600千克
坦克装甲车辆,装甲运兵车,水牛轮式装甲人员输送车,1985年,潘哈德和勒瓦索尔机械制造公司,2米,{'$oid': '5cc932ec831b973d657f1e55'},NULL,法国,轮式,12人,4.6米,900公里,NULL,2.4米,"
水牛(Buffalo)(4×4)装甲人员输送车由法国潘哈德公司投资研制，于1985年中期首次展出。它实际上是M3(4×4)装甲人员输送车的改进型，增加外部储存装置并选用107kW(145马力)的6V汽油机或70kW(95马力)的柴油机，用以代替M3装甲人员输送车。其变型车有指挥车、81mm自行迫击炮、国内安全车(车前安装清理障碍的液压推土铲)、工程车和救护车等。
",100公里/小时,6200千克
坦克装甲车辆,装甲运兵车,M59履带式装甲人员输送车,1953年12月,食品机械化学公司军械分部,2.387米,{'$oid': '5cc932ec831b973d657f1e56'},http://images.huanqiu.com/sarons/2014/01/da20655bbb2fac496b3992df6a58a987.jpg,美国,履带式,12人,5.613米,164公里,NULL,3.263米,"
M59履带式装甲人员输送车于1953年12月定型，系针对M75造价高又不能水上行驶的缺点而设计的改进型车辆，成本比M75降低了一半多。从1954年2月到1959年2月到1959年3月，食品机械化学公司共制造M59履带式装甲人员输送车4000多辆，取代了部队原装备的M75非水陆两用车。但M59履带式装甲人员输送车功率不足，仅能在很平静的水域中使用，于1960年停止生产，1961年被M113型装甲人员输送车取代。
",51.5公里/小时,19323千克
坦克装甲车辆,装甲运兵车,TPK 4.20VBL轮式装甲输送车,二战后, 大西洋机械制造厂 ,2.01米,{'$oid': '5cc932ec831b973d657f1e57'},http://images.huanqiu.com/sarons/2014/01/162cb72297f4dbf694cd7bc04e4380cf.jpg,法国,轮式,16人,5.98米,1600公里,NULL,2.1米,"
TPK 4.20VBL(4×4)装甲人员输送车的车体由厚度5.8mm的镍铬钼钢板焊接。战斗时玻璃窗可用上边铰接的盖板防护。驾驶员和车长通过两个侧门上、下车，侧门还开有防弹玻璃窗，他们上方还各有1个舱盖。车体两侧各开4个防弹观察窗，载员舱两侧有长椅。为使于步兵迅速下车，该车侧甲板在中间部位能向外，向下打开。为了加强车体防护力，载员舱也可设计成全封闭式，舱内可装12.7mm或7.62mm机枪。必要时车内可装汤姆逊·布朗特迫击炮。
",95公里/小时,7300千克
坦克装甲车辆,装甲运兵车,44型轮式装甲人员输送车,1983年,联邦汽车有限公司,2.286米,{'$oid': '5cc932ec831b973d657f1e58'},NULL,美国,轮式,9人,6.045米,1287公里,NULL,2.438米,"
该车由美国联邦信号公司(Federal Signal Corporation)分公司联邦汽车有限公司投资研制，1983年完成第一辆样车。该车可装备不同武器，适用多种用途，能在各种地形和气候条件下使用，具有优越的两栖性能，入水前无需准备，浮渡时车体露出一定高度，载员可由顶部窗口自由出入，并可在水上进行射击。
",105公里/小时,NULL
坦克装甲车辆,装甲运兵车,M-60P履带式装甲人员输送车,未知,NULL,2.385米,{'$oid': '5cc932ec831b973d657f1e59'},http://images.huanqiu.com/sarons/2014/01/d9c44bb4bfd153af70242631bedcb045.jpg,前南斯拉夫,履带式,13人,5.02米,400公里,NULL,2.77米,NULL,45公里/小时,11000千克
坦克装甲车辆,装甲运兵车,瑞士MR8系列轮式装甲人员输送车,20世纪50年代,莫瓦格公司,2.2米,{'$oid': '5cc932ec831b973d657f1e5a'},NULL,瑞士,轮式,5人,5.31米,40公里,NULL,2.2米,"
20世纪50年代，莫瓦格公司投资研制MR8（4×4）轮式装甲车系列，其中装甲人员输送车称MR8-01。联邦德国国防军曾试验该车，并于1950～1960年从该公司购买20辆生产型车。后来，联邦德国的蒂森·亨舍尔（Thyssen Henschel）公司生产了600辆，这两种车都装备于联邦德国国防军和警察部队，称SW1和SW2型。SW1为装甲人员输送车，在某些车上装有推土铲；SW2装有20mm机关炮的炮塔。1978年，蒂森·亨舍尔公司研制了TM170型装甲人员输送车以取代SW1和SW2型，定名为SW4型。
",80公里/小时,8200千克
坦克装甲车辆,装甲运兵车,法哈轮式装甲人员输送车,1986年,联邦德国蒂森·亨舍尔公司,2.1米,{'$oid': '5cc932ec831b973d657f1e5b'},NULL,德国,轮式,12人,6米,800公里,NULL,2.45米,"
法哈轮式装甲人员输送车是联邦德国蒂森·亨舍尔(Thyssen Henschel)公司根据中东战争经验，为满足埃及陆军需要而设计的装甲车。该车在联邦德国称TH390型，实质上是采用奔驰(Benz)公司的LAP1117/32卡车底盘，安装了装甲车体，应用了大量的民用标准部件，1986年末生产出第一辆样车。
",84公里/小时,11250千克
坦克装甲车辆,装甲运兵车, 联邦德国HWK11履带式装甲人员输送车,1963年, 蒂森·亨舍尔公司,1.59米,{'$oid': '5cc932ed831b973d657f1e5c'},http://images.huanqiu.com/sarons/2014/01/818644918db3d69de5a857e2f14a7cc2.jpg,德国,履带式,12人,5.05米,320公里,NULL,2.53米,"
该车是HWK10装甲车系列中的一种车型，该系列是在50年代后期由卡塞尔的亨舍尔工厂(Henschel-Werke of Kassel)研制的。1963年完成首辆样车，第二年开始投产，目前已停产，现在墨西哥装备使用。
",65公里/小时,11000千克
坦克装甲车辆,装甲运兵车,BTR-70装甲运输车,NULL,NULL,2.32米,{'$oid': '5cc932ed831b973d657f1e5d'},http://images.huanqiu.com/sarons/2014/01/eee056272ebc23405a6ffe67b1782136.jpg,苏/俄,轮式,10人,7.535米,600公里,NULL,2.8米,NULL,80公里/小时,11500千克
坦克装甲车辆,装甲运兵车,FV603撒拉逊轮式装甲人员输送车,1952年,阿尔维斯有限公司,2.463米,{'$oid': '5cc932ed831b973d657f1e5e'},http://images.huanqiu.com/sarons/2014/01/51e83060bbef9e118ae35668dc6c94ba.jpg,英国,轮式,12人,5.233米,400公里,NULL,2.539米,"
二次大战后不久，英国开始研制FV600(6×6)系列装甲车，第一批3个型号包括FV601萨拉丁装甲车、FV602指挥车和FV603撒拉逊装甲人员输送车。当时由于马来西亚战争的紧急需要，优先考虑研制FV603撒拉逊车。1952年完成第一辆样车并投产，生产持续到1972年，总计生产了1838辆。在50年代和60年代初该车一直是英军制式装甲人员输送车。从1963年起才逐渐被FV432履带式装甲人员输送车所取代。
",72公里/小时,10170千克
坦克装甲车辆,装甲运兵车,乌鲁图EE-11轮式装甲人员输送车,1972年,恩格萨特种工程公司,2.125米,{'$oid': '5cc932ed831b973d657f1e5f'},NULL,巴西,轮式,13人,6.1米,105公里,NULL,2.65米,"
乌鲁图EE-11轮式装甲人员输送车是巴西恩格萨公司为陆军和海军陆战队研制的轮式(6×6)装甲人员输送车，从1970年开始设计，同年7月完成第一辆样车，1972年正式投产。它采用了卡斯卡维尔(Cascaver)EE-9装甲侦察车许多部件，经不断改进，共有MK1～MK3等5个型号和专为巴西海军陆战队使用的水陆两用型。到1984年，该车总产量已超过1500辆。 恩格萨公司是巴西生产轮式装甲车的最大厂商，订购该车的国家有南美、非洲、中东等10多个国家。
",105公里/小时,14000千克
坦克装甲车辆,装甲运兵车,海盗轮式装甲人员输送车,1984年,泰特拉达因公司,1.86米,{'$oid': '5cc932ed831b973d657f1e60'},http://images.huanqiu.com/sarons/2014/01/7ae2a17adbbae36cd1643df8fca81388.jpg,美国,轮式,4人,5.56米,1030公里,NULL,2.02米,"
该车以通用汽车(Grneral Motors)公司的K20(4×4)轻型卡车底盘为基础。该底盘曾经泰特拉达因公司改造，对动力装置和悬挂装置等做了修改，以满足整车全重5t的要求。目前该公司正扩大该装甲车的用途，如用作武器发射平台，指挥/控制车及护送车等。
",161公里/小时,5000千克
坦克装甲车辆,装甲运兵车,智利VTP-2埃斯卡拉博轮式装甲人员输送车,1982年,卡登工业公司,2.22米,{'$oid': '5cc932ee831b973d657f1e61'},NULL,美国,轮式,12人,5.37米,600公里,NULL,2.32米,"
该车是智利卡登工业公司投资，根据奔驰公司的尤尼莫格越野车底盘研制，于1981～1982年完成第一辆样车。车体可用6mm或8mm钢板制成，采用6mm钢板时，车体重2500kg，8mm钢板时车体重3300kg。VTP-2埃斯卡拉博轮式装甲人员输送车可作81mm自行迫击炮、霍特、米兰或陶式反坦克导弹发射车、106mm自行无坐力炮、TCM-20双管20mm自行高炮、通信指挥车、国内安全车、救护车和消防车。
",100公里/小时,8600千克
坦克装甲车辆,装甲运兵车,意大利新型轮式装甲族,1984年初,伊维科防务车辆分部,1.9米,{'$oid': '5cc932ee831b973d657f1e62'},http://images.huanqiu.com/sarons/2014/01/6cf55e48d6640ecb3434c5610cbd6a0c.jpg,意大利,轮式,12人,6.7米,800公里,NULL,2.9米,"
1984年初，意大利菲亚特(FIAT)公司投资研制新型轮式装甲车族。该车族由AVL6634型4×4轻型装甲车、AVM6633型(4×4)中型装甲车和AVH6636型(6×6)重型装甲车3个基型车组成。计划AVM6633型车将代替6614型/6616型装甲车；AVH6636型加长车体可演变成(8×8)型式，安装105mm火炮后，作为反坦克歼击车并提供出口。
",100公里/小时,16500千克
