大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,关注度,乘员与载员,车长,最大行程,宽度,简介,最大速度,战斗全重
坦克装甲车辆,步兵战车,ASV150装甲安全车/防暴车,1996年,达信海上与地面系统公司,2.59米,{'$oid': '5cc932b7831b973d657f1d1b'},http://images.huanqiu.com/sarons/2014/02/5aea0c4eebf3a5babc05c46605a78e11.jpg,美国,轮式,NULL,4人,6.07米,708公里,2.56米,"
ASV 150是在凯迪拉克·盖奇达信LAV-150ST基础上进一步研发而成的，未来达信公司将只供应ASV150。ASV 150在LAV-150ST之上有许多改进，包括将旧式悬架更换为一种可在恶劣地形上更好地行驶的新型独立悬架。钢制车体安装了德国IBD公司开发的附加被动装甲。
",100公里/小时,13408千克
坦克装甲车辆,步兵战车,M1114装甲车,1994年,O’Gara_Hess&Eisenhardt公司(美国，俄亥俄州，费厄菲尔德),1.9米,{'$oid': '5cc932b7831b973d657f1d1c'},http://images.huanqiu.com/sarons/2013/11/901ec0f5912199471261d9f0560918be.jpg,美国,轮式,NULL,4人,4.57米,443公里,2.3米,"
M1114本质就是一种能力增强车，即由O’Gara_Hess&Eisenhardt公司升级装甲的AM通用高机动多用途轮式车辆(4×4)，可为乘车者提供对7.62毫米穿甲攻击、炮弹碎片和地雷的360°防护。
",125公里/小时,5489千克
坦克装甲车辆,步兵战车,LAV-300装甲战车,1979年,凯迪拉克·盖奇公司,2.7米,{'$oid': '5cc932b8831b973d657f1d1d'},http://images.huanqiu.com/sarons/2013/11/7d33d8496f4a6b7caf26b899685eefc8.jpg,美国,轮式,NULL,12人,6.4米,925公里,2.54米,"
“突击队员”(Commando)LAV-300装甲战车，是美国卡迪拉克·盖奇公司独家投资研制的轮式装甲战车。从V～150装甲车族谈起，从60年代到80年代初，美国卡迪拉克·盖奇公司发展了V-100、V-200和V-150等一系列“突击队员”装甲车，其中装备数量最多的是V-150，现在称为LAV-150装甲车。1971年，V-100和V-200停产，而LAV-150则一枝独秀，发展了10多种装备不同武器的装甲车，形成了一个庞大的车族。
",105公里/小时,14696千克
坦克装甲车辆,步兵战车,VN3轮式装甲车,2000年,中国北方工业公司,2.2米,{'$oid': '5cc932b8831b973d657f1d1e'},http://images.huanqiu.com/sarons/2013/11/7131c4ea8126200af23ac6ac2fccb2fa.jpg,中国,轮式,NULL,10人,4.45米,600公里,2.2米,VN3轮式装甲车是一种全轮驱动、具有高机动性和突击能力、体积小、重量轻、打击能力较强、适于空中投送且具有良好地面机动性的先进轻型装甲战斗车辆，主要装备快速反应部队、行动，并可根据用户需要变形 。我国的VN3研制工作从2000年开始，目前综合性能已接近国外先进轮式装甲车。,110公里/小时,6000千克
坦克装甲车辆,步兵战车,NVH-1步兵战车,1985年~1986年,中国北方工业(集团)总公司与英国维克斯公司防务系统分部,2.77米,{'$oid': '5cc932b8831b973d657f1d1f'},NULL,中国,履带式,NULL,11人,6.125米,500公里,3.06米,"
1985~1986年，中国北方工业(集团)总公司与英国维克斯公司防务系统分部联合设计，研制出该车样车，参加了1986年北就国际防务展览会和射击行驶表演。该车是中国85式装甲输送车底盘与维克斯公司用于英国武士式步兵战车的双人炮塔相结合的产物，是531履带式装甲车族中的成员。
",65公里/小时,16000千克
坦克装甲车辆,步兵战车,ZSL90式/WZ551轮式装甲车原型车,未知,NULL,2.89米,{'$oid': '5cc932b8831b973d657f1d20'},http://images.huanqiu.com/sarons/2013/11/53319e28da113323b7006b913383d15b.jpg,中国,履带式,NULL,11人,6.65米,NULL,2.8米,"
WZ551轮式装甲车于1986年首次展出，系中国北方工业公司利用高机动性民用汽车的零部件研制而成的形式装甲车。主要变形车有120毫米自行迫击炮，装25毫米机关炮的装甲车及装90毫米105毫米炮的装甲战斗车辆。
",70公里/小时,15000千克
坦克装甲车辆,步兵战车,“美洲豹”战斗工兵车,1991年,NULL,2.65米,{'$oid': '5cc932b8831b973d657f1d21'},http://images.huanqiu.com/sarons/2013/11/a4d9fa37090b1e02d75fb740fe1c0533.jpg,以色列,履带式,NULL,10人,7.55米,NULL,3.38米,"
以色列的“美洲豹”（Puma）战斗工兵车和德国的一种新型步兵战车（infantry fighting vehicle, IFV）有着相同的名称，但不能混为一谈。“美洲豹”战斗工兵车也是利用“百夫长”坦克的底盘改装而成。它在1991年左右加入部队服役。
",45公里/小时,51000千克
坦克装甲车辆,步兵战车,“阿奇扎里特”装甲运兵,1988年,NULL,2米,{'$oid': '5cc932b8831b973d657f1d22'},http://images.huanqiu.com/sarons/2013/11/645be24e0b69572a6caf3f316717df2f.jpg,以色列,履带式,NULL,10人,6.2米,600公里,3.6米,"
在1967年和1973年的战争中，以色列缴获了数百辆前苏联生产的T-55型坦克，其中许多是阿拉伯人遗弃的完好坦克。经过改装，安装新的机枪、发动机和火控设备后，它们装备了以色列的后备役旅。
",62公里/小时,44000千克
坦克装甲车辆,步兵战车,ZBD-2000轻型履带式伞兵步战车,未知,北方工业公司,2米,{'$oid': '5cc932b9831b973d657f1d23'},http://images.huanqiu.com/sarons/2013/11/5c4ee7781e83453c33d4f64ac7385501.jpg,中国,轮式,NULL,7人,5.3米,500公里,2.6米,ZBD-2000轻型履带式伞兵步战车现已服役我解放军海军陆战队。这种新的高速两栖车族的发展表明，我国正致力于对两栖突击能力。ZBD2000类似美国远征战斗车辆的概念，虽然配备重装甲保护。车辆有一个大的焊接船体，专为高速游泳。,68公里/小时,9000千克
坦克装甲车辆,步兵战车,92式（WZ551）轮式装甲车,未知,NULL,2.8米,{'$oid': '5cc932b9831b973d657f1d24'},http://images.huanqiu.com/sarons/2013/11/e27e498ca5e3a308659fd51c8ba86d11.jpg,中国,轮式,NULL,12人,6.63米,800公里,2.8米,"
92式轮式步兵战车是中国第一种大量装备的轮式步战，具有机动性好、可靠性高、维修简便、燃料消耗少等优点，缩短了与国外同类先进步兵战车的差距。
",85公里/小时,15300千克
坦克装甲车辆,步兵战车,九五式公路铁路两用装甲车 ,未知,NULL,2.54米,{'$oid': '5cc932b9831b973d657f1d25'},NULL,日本,履带式,NULL,6人,4.9米,NULL,2.56米,"
九五式公路铁路两用装甲车具有铁路巡逻与伴随掩护步兵用途，前期主要用于支援步兵作战，后期主要做铁路巡逻保卫使用，这种装甲车为履带式，可以迅速由铁路运行状态，变更为公路运行状态，在保护铁路线用途上，威胁力极大，随时都可以开下铁路追击破坏者。
",72公里/小时,8700千克
坦克装甲车辆,步兵战车,ZFB-05系列轻型轮式装甲车,2008年,中国陕西宝鸡特种车辆厂,NULL,{'$oid': '5cc932ba831b973d657f1d26'},http://images.huanqiu.com/sarons/2013/11/11578d276373b11592c9caa970816174.jpg,中国,轮式,NULL,11人,NULL,NULL,NULL,"
ZFB05是一款5吨级的轻型轮式装甲车，主要用于出口。填补了我国这一吨级装甲车型的空白。 ZFB05是由中国第一家进军军事装备生产的民营企业—陕西宝鸡专用汽车有限公司“名誉出品”，防护方面，基本达到了国际防暴车标准—德国DIN52290标准中第4级甚至第5级防护。加强了对探身操作机枪的射手保护，防护级别比目前我国大多数主战坦克对高射机枪射手的保护还要高。
",110公里/小时,NULL
坦克装甲车辆,步兵战车,LAV-AD防空装甲车,未知,美国洛克希德·马丁公司,2.69米,{'$oid': '5cc932ba831b973d657f1d27'},http://images.huanqiu.com/sarons/2013/11/cd0db62b3f19b1ca967b4ab06255560f.jpg,美国,轮式,NULL,9人,6.4米,660公里,2.5米,"
LAV-AD“轻型防空装甲车”是美国洛克希德·马丁公司研制的一种弹箭炮三结合防空武器系统，主要用来对付固定翼飞机和直升机，也可使用火炮对付地面目标。 该系统采用海军陆战队提供的轻型装甲车(8×8)底盘，其炮塔由“运动衫”防空炮塔改进而来，装备一门25毫米GAU12/U5管加特林炮、一个7管HYDRA70火箭发射器和8枚 “毒刺”地空导弹。配装的传感器有前视红外、昼间电视、激光测距仪和自动跟踪与火控系统。 “轻型防空装甲车”的战斗全重为13.2吨，有两名作战人员，弹药携带量为990发25 毫米炮弹和16枚“毒刺”导弹。
",100公里/小时,13200千克
坦克装甲车辆,步兵战车,九一式装甲汽车,未知,NULL,2.95米,{'$oid': '5cc932ba831b973d657f1d28'},NULL,日本,轮式,NULL,NULL,6.58米,NULL,1.9米,"
九一式装甲汽车伴随掩护步兵用途，在中国战场大量运用，初期用于地面战斗，后期用于后方巡逻警戒。
",40公里/小时,7000千克
坦克装甲车辆,步兵战车,WJ08式警用装甲防暴车,未知,  ,3.047米,{'$oid': '5cc932ba831b973d657f1d29'},http://images.huanqiu.com/sarons/2013/11/f75c508c62242fd13fc9b25d8a87358d.jpg,中国,轮式,NULL,11人,6.8米,600公里,2.84米,WJ08式警用装甲防暴车是在中国WZ551式军用装甲车的基础上发展的一款警用装甲车，具有世界先进水平。 首次公开亮相是在国庆60周年大阅兵中，组成车辆第8梯队的就是武警“雪豹”突击队驾驶的该型防暴车。该车通体白色，装饰有金色警徽，装有多种武器，具有多种作战能力，极大提高了武警部队处置各类突发事件的能力，比同类型的老装备性能有了很大提高。,110公里/小时,14600千克
坦克装甲车辆,步兵战车,BA-5装甲车,1935年,NULL,NULL,{'$oid': '5cc932ba831b973d657f1d2a'},http://images.huanqiu.com/sarons/2013/12/bfc09a21067d30dea662255c47a7630d.jpg,苏/俄,NULL,NULL,5人,NULL,NULL,NULL,NULL,NULL,8100千克
坦克装甲车辆,步兵战车,一号A型坦克,1934年,NULL,1.72米,{'$oid': '5cc932ba831b973d657f1d2b'},NULL,德国,履带式,NULL,NULL,4.02米,145公里,2.06米,"
一号坦克初期生产型。参与了西班牙内战、比起西班牙共和国军装备的T-26明显居于劣势，为了对付相较而言性能更为优秀的T-26，因此一部分换装了意大利制20毫米机炮，从1934到1936年停产为止生产了818辆。
",37公里/小时,5400千克
坦克装甲车辆,步兵战车,BAD-2两栖车,1930年-1940年,NULL,NULL,{'$oid': '5cc932bb831b973d657f1d2c'},http://images.huanqiu.com/sarons/2014/01/bb7a260d75eea15d7696698b7c87fe07.jpg,苏/俄,履带式,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
坦克装甲车辆,步兵战车,M2半履带车,1938年,怀特汽车公司,2.26米,{'$oid': '5cc932bb831b973d657f1d2d'},http://images.huanqiu.com/sarons/2013/12/1715055608fb0a301aa027e7c25405ac.jpg,美国,NULL,NULL,9人,5.96米,320公里,2.2米,"
M2半履带车（M2 Half Track）是美国在二战生产的军用装甲车辆。第一辆正式版本的M2半履带车在1941年投入战场。M2系列因为通用性高，在二战及战后被不断升级和改良以延长服役寿命，阿根廷陆军一直沿用升级版的M9半履带车至2006年，并把这批M9捐赠给玻利维亚。
",40公里/小时,9000千克
坦克装甲车辆,步兵战车,M38/猎狼犬/ Wolfhound装甲车,1944年,通用汽车公司,1.98米,{'$oid': '5cc932bc831b973d657f1d2e'},http://images.huanqiu.com/sarons/2013/12/a72d1a24becc38e9f9d597c67ba549be.jpg,美国,NULL,NULL,4人,5.11米,483公里,2.44米,"
M38猎狼犬(M38 Wolfhound)是二战美军的6x6装甲车，1944年由通用汽车公司的雪佛兰生产，原意用于替换M8灰狗装甲车系列，但在1945年二战结束，M38计划取消，只有小量试验型。
",97公里/小时,6900千克
坦克装甲车辆,步兵战车,T17/猎鹿犬/Deerhound装甲车,1942年10月,NULL,2.36米,{'$oid': '5cc932bc831b973d657f1d2f'},http://images.huanqiu.com/sarons/2013/12/5c4954ad086e315547d4a09afe19f06d.jpg,美国,NULL,NULL,5人,5.49米,724公里,2.69米,"
T17猎鹿犬(T17 Deerhound)及T17E1是二战时期的美军装甲车，美军并没有把它放在前线，但T17E1猎鹿犬(T17E1 Staghound)被英军及英联邦国家在二战中使用。
",89公里/小时,14000千克
坦克装甲车辆,步兵战车,日本13式机动坦克,2008年,日防卫省技术研究本部,2.87米,{'$oid': '5cc932bc831b973d657f1d30'},http://images.huanqiu.com/sarons/2013/11/c4e15e781d80087e324795b05fa13b4d.jpg,日本,轮式,NULL,4人,8.45米,NULL,2.98米,NULL,100公里/小时,26000千克
坦克装甲车辆,步兵战车,BA-27M装甲车,1931年,NULL,NULL,{'$oid': '5cc932bc831b973d657f1d31'},http://images.huanqiu.com/sarons/2013/12/93a499c3eb9a2efe3c5102708bd7bead.jpg,苏/俄,NULL,NULL,4人,NULL,400公里,NULL,NULL,48公里/小时,4500千克
坦克装甲车辆,步兵战车,T27装甲车,1944年,斯图贝克（Studebaker）制造商,NULL,{'$oid': '5cc932bc831b973d657f1d32'},NULL,美国,NULL,NULL,4人,NULL,NULL,NULL,"
T27装甲车(T27 Armored Car)是美军在1944年二战后期由斯图贝克（Studebaker）开发的装甲车试验型。T27是8轮的装甲车，第1、2、4轴为躯动轴，可载4名车组人员，装有两把勃朗宁M1919机枪及37毫米主炮，卡迪拉克8汽缸汽油引擎。T27项目因为被M8灰狗取代最终取消，只有两架T27在1944年完成生产。
",NULL,NULL
坦克装甲车辆,步兵战车,一号防空坦克,1941年,NULL,NULL,{'$oid': '5cc932bd831b973d657f1d33'},NULL,德国,履带式,NULL,5人,NULL,NULL,NULL,NULL,NULL,5800千克
坦克装甲车辆,步兵战车,LT-38轻型坦克,30年代初,捷克斯洛伐克斯柯达厂,2.4米,{'$oid': '5cc932bd831b973d657f1d34'},http://images.huanqiu.com/sarons/2014/01/85857006cdad3d82b81344fbb52bd33d.jpg,捷克,履带式,NULL,4人,4.61米,250公里,2.14米,"
在第二次世界大战初期，捷克的LT-38轻型坦克是很有名气的一种坦克。除了它本身的性能不错之外，还由于德国人利用它制造出一系列变型车，在战场上发挥了不小的作用。

LT-38轻型坦克，德国人称PZ.38(t)是捷克斯洛伐克斯柯达厂制造的LTvz-38轻坦克，德军编号Sd.Kfz140 PZ.38(t)，由著名的斯科达（Skoda）兵工厂所制造，于1938年末起服役于捷军，1939年3月德国并吞捷克之后，鉴于此车设计优良，遂以PZ.38(t)的名号继续使用，一直到大战后期都还能看到此车的变种继续为德国在各地奋战。
",42公里/小时,9500千克
坦克装甲车辆,步兵战车,一号坦克/PzKpfw I,1932年,NULL,1.72米,{'$oid': '5cc932bd831b973d657f1d35'},http://images.huanqiu.com/sarons/2014/01/14ba66e4315e5cbb15e38bd5326362cb.jpg,德国,履带式,NULL,2人,NULL,140公里,2.06米,NULL,37公里/小时,5400千克
坦克装甲车辆,步兵战车,FCM36坦克,1936年7月9日,索玛公司、法国地中海冶金造船厂,2.2米,{'$oid': '5cc932be831b973d657f1d36'},NULL,法国,履带式,NULL,2人,4.51米,225公里,2.14米,NULL,24公里/小时,12350千克
坦克装甲车辆,步兵战车,LT-35轻型坦克,1935年10月30日,CKD公司,2.35米,{'$oid': '5cc932bf831b973d657f1d37'},http://images.huanqiu.com/sarons/2014/01/c7c1be4c1d653f796c406bff7ff1aeb4.jpg,捷克,履带式,NULL,4人,4.9米,190公里,2.1米,LT-35轻型坦克是一种性能相当不错的坦克。它是LT-38轻型坦克的前身。其总生产量在200辆以上。二战初期，捷克被德国吞并后， LT-35和LT-38轻型坦克全部被德军缴获。在二战中，德军广泛利用了这批坦克，德国人将 LT-35称之为 PZkpfw35(t)坦克，括号中的“t”表示是从捷克缴获的坦克。在德国法西斯的仆从军——罗马尼亚、保加利亚和匈牙利的军队中，也可以见到 LT-35坦克的踪影。罗马尼亚的第一皇家机甲师中，有126辆LT-35 坦克，罗军的编号为R02坦克。匈 牙利特许生产的坦克称为T-21／T-22坦克，T-22型后来又改称为M40坦克。 M40坦克的总生产量达到1322辆。 此外， LT-35坦克还出口到瑞士、瑞典、伊朗和秘鲁等许多国家。可见，LT-35坦克还是T当时很有影响的一种坦克。,35公里/小时,NULL
坦克装甲车辆,步兵战车,TNH坦克,1937年,布莱达公司,NULL,{'$oid': '5cc932bf831b973d657f1d38'},http://images.huanqiu.com/sarons/2014/01/bc389d36b09147fc763a94ade29e81b8.jpg,捷克,履带式,NULL,3人,NULL,200公里,NULL,"
在LT-35轻型坦克定型前后，捷克SDK（后为SDK/布莱达公司）还研制出一批出口型坦克，包括AH-IV型和LT-H型轻型坦克，后两种坦克比较有名。

1937年，出口型的TNH轻型坦克定型。大约有50辆TNH坦克卖给了伊朗，有90辆TNH坦克卖给了瑞典，并称之为TNH-S坦克。
",38公里/小时,NULL
坦克装甲车辆,步兵战车,6×6型ARMA装甲车,2010年,奥托卡（Otokar）公司,2.223米,{'$oid': '5cc932bf831b973d657f1d39'},http://images.huanqiu.com/sarons/2014/01/5d34354288937f60c14d467347328581.jpg,土耳其,轮式,NULL,10人,6.428米,700公里,2.708米,NULL,105公里/小时,18500千克
坦克装甲车辆,步兵战车,雷诺R40战车,1935年,雷诺公司,2.13米,{'$oid': '5cc932c0831b973d657f1d3a'},NULL,法国,NULL,NULL,2人,4.02米,NULL,1.87米,NULL,20公里/小时,12000千克
坦克装甲车辆,步兵战车,LT-34轻型坦克,1934年,CKD公司,NULL,{'$oid': '5cc932c1831b973d657f1d3b'},http://images.huanqiu.com/sarons/2014/01/52b3e1abb63db20a9854f124925e35d0.jpg,捷克,履带式,NULL,4人,NULL,NULL,NULL,NULL,NULL,NULL
坦克装甲车辆,步兵战车,KH-50轻型坦克,1924年,斯柯达公司,2.4米,{'$oid': '5cc932c1831b973d657f1d3c'},NULL,捷克,履带式,NULL,2人,4.5米,NULL,2.3米,"
捷克斯洛伐克原是东欧一个工业较发达的国家，后分为捷克和斯洛伐克。捷克的皮鞋早已闻名于世，而捷克的斯柯达大客车也在许多国家的大地上奔驰。这个斯柯达公司，正是捷克早期坦克的生产厂家之一。

捷克是二战前为数不多的坦克生产国之一。早在1924年，捷克便制成了轮履合一式的kh-50轻型坦克。
",NULL,6800千克
