制造商,生产年限,类型,名称,大类,有效射程,数量,_id,图片,产国,全枪重,关注度,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
美国斯特姆-鲁格公司,1994年至今,冲锋枪,鲁格MP-9冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc9323a831b973d657f19de'},NULL,美国,3千克,NULL,600发/分,NULL,"
鲁格MP-9冲锋枪，是由美国鲁格公司为美国的执法部门设计研制的一款紧凑型半自动冲锋枪。该型枪基于乌齐冲锋枪设计而成，1995年在美国推出并销售。
",半自动枪支,9毫米,34发,556毫米
前南斯拉夫扎斯塔瓦武器公司,1957年-1990年,冲锋枪,56型冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc9323a831b973d657f19df'},http://images.huanqiu.com/sarons/2013/08/417b83003cb1180d66b000f95d48a703.jpg,前南斯拉夫,3千克,NULL,600发/分,前南斯拉夫内战,"
56型是49型的替代品，设计更简单，更易于制造。外型方面，它类似于德国MP40，内在设计也有一些类似之处。可折叠枪托直接仿造自MP40枪托，握把也如此。枪机经过了简化，复进簧为单个大型弹簧。该枪可安装刺刀，总体而言是一款设计优良的现代武器。事实上，该枪发射7.62毫米前苏联手枪弹，这带来了缺陷，如果发射停止作用更好的枪弹，该枪将更加精良。因此，其后续型号65型发射9毫米巴拉贝姆手枪弹，用于出口，但销量不大。
",NULL,7.62毫米,32发,870毫米
德国赫克勒-科赫公司,1970年至今,冲锋枪,赫克勒-科赫MP5SD冲锋枪,枪械与单兵,135米,NULL,{'$oid': '5cc9323a831b973d657f19e0'},http://images.huanqiu.com/sarons/2013/08/32ac0fb120a3d12153cdaaa41340e4fe.jpg,德国,2.9千克,NULL,800发/分,NULL,NULL,自动枪支,9毫米,30发,550毫米
伯明翰小型武器公司（BSA），恩菲尔德兵工厂等,1941年-1942年,冲锋枪,司登Mark 1冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc9323a831b973d657f19e1'},NULL,英国,3.3千克,NULL,550发/分,二战,"
司登冲锋枪（Sten，有时写作STEN或Sten gun）是英国在二战时期大量制造及装备的9×19毫米冲锋枪，英军一直采用至1960年代。司登冲锋枪是一种低成本、易于生产的武器。子枪型司登Mark 1冲锋枪是司登冲锋枪第一种版本，造工较好，在改为Mk II前Mk I共生产了约10万把。
",NULL,9毫米,32发,896毫米
美国通用汽车公司,1942年-1944年,冲锋枪,M3冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc9323b831b973d657f19e2'},http://images.huanqiu.com/sarons/2013/08/893713ab46bf55be1a66877d5f9d04aa.jpg,美国,3.7千克,NULL,450发/分,NULL,NULL,NULL,11.43毫米,30发,745毫米
伯明翰小型武器公司（BSA），恩菲尔德兵工厂等,1943年-1945年,冲锋枪,司登Mark ⅡS冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc9323b831b973d657f19e3'},http://images.huanqiu.com/sarons/2013/08/ba1cca78f58238e32b2bb90736252f20.jpg,英国,3.5千克,NULL,450发/分,二战,"
该枪是“消声型司登”，最初是为秘密行动部队生产的，但后来也装备英国陆军的巡逻部队和突袭部队。它采用Mark II的基本结构，但枪机更轻，枪管和消声器采用一体化设计，可安装在机匣内面以取代常规枪管。为防止烫手，消声器外面包有粗帆布套。
",NULL,9毫米,32发,900毫米
德国赫克勒-科赫公司,2002年至今,冲锋枪,赫克勒-科赫MP7单兵自卫武器,枪械与单兵,200米,NULL,{'$oid': '5cc9323b831b973d657f19e4'},http://images.huanqiu.com/sarons/2013/08/6198150e9c02da34ff9b7947100d96f7.jpg,德国,1.5千克,NULL,950发/分,伊拉克战争,NULL,自动枪支,4.6毫米,40发,540毫米
美国自动武器公司,1919年-1942年,冲锋枪,汤普森M1928／M1冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc9323b831b973d657f19e5'},http://images.huanqiu.com/sarons/2013/08/a9fd5e00dc8acc9b21eebd8c365d0b17.jpg,美国,4.78千克,NULL,120发/分,NULL,NULL,NULL,11.43毫米,30发,811毫米
美国军用武器装备公司,1970年-1980年,冲锋枪,英格拉姆轻型冲锋枪,枪械与单兵,80米,NULL,{'$oid': '5cc9323b831b973d657f19e6'},http://images.huanqiu.com/sarons/2013/08/2646733c8cce902f6f4748c67a4d7ad2.jpg,美国,2.84千克,NULL,1145发/分,NULL,"
英格拉姆轻型冲锋枪，是现代名枪之一，由美国戈登·B·英格拉姆于1964年开始设计，美国军用武器装备公司1969年开始生产。目前，该枪装备美国、英国、玻利维亚、哥伦比亚、危地马拉、洪都拉斯、以色列、葡萄牙、委内瑞拉等国家的警察和特种部队。
",自动枪支,9毫米,30发,798毫米
NULL,1958年-1965年,冲锋枪,K-50M冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc9323b831b973d657f19e7'},http://images.huanqiu.com/sarons/2013/08/425966e13273695f704113c00fe2c410.jpg,越南,3.4千克,NULL,600发/分,越南战争,NULL,NULL,7.62毫米,40发,756毫米
美国KRISS公司,2009年,冲锋枪,KRISS Vector冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc9323b831b973d657f19e8'},http://images.huanqiu.com/sarons/2013/11/5960f0589c0ef57d85b160e912ff902c.jpg,美国,2.27千克,NULL,1200发/分,NULL,NULL,NULL,11.43毫米,25发,617毫米
图拉仪器设计局（KBP）,2004年,冲锋枪,pp2000冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc9323b831b973d657f19e9'},http://images.huanqiu.com/sarons/2013/11/c4cb3bb462914535bbbe7535230425b7.jpg,苏/俄,1.4千克,NULL,800发/分,NULL,NULL,NULL,9毫米,44发,555毫米
NULL,NULL,冲锋枪,P90TR冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc9323b831b973d657f19ea'},NULL,比利时,3.1千克,NULL,900发/分,NULL,NULL,NULL,5.7毫米,50发,500毫米
韩国大宇集团,2003年,冲锋枪,大宇K7冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc9323b831b973d657f19eb'},http://images.huanqiu.com/sarons/2013/11/6140bd08d7cd2adead34a02d0185e57d.jpg,韩国,4千克,NULL,1100发/分,印度尼西亚反游击行动,"

",NULL,9毫米,30发,800毫米
NULL,1985年,冲锋枪,1985年式7.62毫米微声冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc9323c831b973d657f19ec'},NULL,中国,2.5千克,NULL,800发/分,NULL,"
中国1985年设计定型的第二代微声冲锋枪。是1985年式轻型冲锋枪的变型枪。
",NULL,7.62毫米,30发,NULL
NULL,1998年,冲锋枪,UMP45冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc9323c831b973d657f19ed'},http://images.huanqiu.com/sarons/2014/01/edf74b53547525b3e955034a198e1a73.jpg,美国,2.47千克,NULL,700发/分,NULL,NULL,自动枪支,11.43毫米,25发,695毫米
捷克Česká Zbrojovka Uherský Brod,2007年,冲锋枪,CZ蝎式EVO 3 A1冲锋枪,枪械与单兵,50米,NULL,{'$oid': '5cc9323c831b973d657f19ee'},http://images.huanqiu.com/sarons/2013/11/ca4a631aced462eae95bff28f0cf3f6d.jpg,捷克,3.26千克,NULL,1150发/分,NULL,"
CZ蝎式EVO 3 A1（英语：Scorpion Evo 3 A1）是一枝由捷克Česká Zbrojovka Uherský Brod（简称：CZ-UB）公司所设计及生产的冲锋枪，发射9 × 19 毫米口径手枪子弹。名字当中的“蝎式”意味着它继承了蝎式冲锋枪的名字。
",NULL,9毫米,30发,670毫米
CBJ技术有限公司,2000年,冲锋枪,CBJ-MS冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc9323c831b973d657f19ef'},http://images.huanqiu.com/sarons/2013/11/fc9a7879b93b43dba28c8ffc7fe9cbc9.jpg,瑞典,3.05千克,NULL,700发/分,NULL,NULL,NULL,9毫米,30发,535毫米
NULL,NULL,冲锋枪,1985年式7.62毫米轻型冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc9323c831b973d657f19f0'},NULL,中国,1.9千克,NULL,780发/分,NULL,"
中国1985年设计定型的第二代轻型冲锋枪，与1985年式7.62毫米微声冲锋枪形成一个小的枪族。列为中国人民解放军的制式装备。
",NULL,7.62毫米,30发,628毫米
