飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2014/01/c935ab408ed987b9bb211c7c3689b35e.jpg,中岛重工,2人,NULL,904千米,中岛寿二型改风冷式发动机(630匹马力),NULL,单发,飞行器,侦察机,日本,NULL,1320千克,10.98米,301千米每小时,E8N九五式水上侦察机,{'$oid': '5cc930fc831b973d657f11e9'},1935年,NULL,3.84米,1945年,NULL,双翼,8.81米
亚音速,http://images.huanqiu.com/sarons/2014/01/6d33a3bb478e51a6b5e958fa146e6fc4.jpg,中岛重工,2人,NULL,1019千米,中岛寿二改型风冷式发动机(580匹马力),NULL,单发,飞行器,侦察机,日本,NULL,1270千克,10.97米,232千米每小时,九O式二号水上侦察机,{'$oid': '5cc930fc831b973d657f11ea'},1930年,NULL,3.96米,NULL,NULL,双翼,8.86米
亚音速,http://images.huanqiu.com/sarons/2014/01/5e4a5e45a75f3f8eadc709f430264b6f.jpg,台湾航空工业发展中心,2人,"
T-CH-1中兴号教练机（英语：AIDC T-CH-1，法语：AIDC T-CH-1 Chung-Hsing）是全世界第一架采用涡轮引擎的螺旋桨教练机，为台湾航空工业发展中心自介寿号后，于1970年11月以美国T-28木马式教练机为基础开发的一种螺旋桨中级教练机。
",2010千米,莱康明T53-1-701A涡轮引擎,NULL,单发,飞行器,侦察机,中国,NULL,2608千克,12.19米,592千米每小时,T-CH-1中兴号教练机,{'$oid': '5cc930fd831b973d657f11eb'},NULL,NULL,NULL,NULL,5057千克,平直翼,10.26米
亚音速,http://images.huanqiu.com/sarons/2014/01/692bd9fbe7bb60dd53e3c1005908e45f.jpg,NULL,2人,"
八八式侦察机是珍珠港事件前旧日本陆军使用的侦察机。由川崎重工业设计制造，为昭和时代初期旧日本陆军代表性的军用机。
",1420千米,BMW水冷十二汽缸引擎（450马力）,川崎重工业,单发,飞行器,侦察机,日本,NULL,1750千克,15.2米,220千米每小时,八八式侦察机,{'$oid': '5cc930fd831b973d657f11ec'},NULL,NULL,3.4米,NULL,2800千克,双翼,12.8米
亚音速,http://images.huanqiu.com/sarons/2014/01/9afeff364aff4bb3e0d3738ec79d471b.jpg,Arado,2人,"
低单翼水上飞机，设计做为舰载弹射起飞的水上侦察机，是德国大型战舰的标准装备。稍后发展的型号为岸基型。主要用于侦察和反舰，飞行特性很好并十分可靠。一共制造了546架。也有一种使用中央浮舟体取代双浮舟体的“B”系列，但十分罕见。
",1094千米,BMW132Dc880hp发动机,NULL,单发,飞行器,侦察机,德国,NULL,2535千克,12.5米,310千米每小时,Arado系列战机,{'$oid': '5cc930fd831b973d657f11ed'},NULL,NULL,5.2米,NULL,3558千克,平直翼,11.1米
亚音速,http://images.huanqiu.com/sarons/2014/01/3dca4047b081819b6660cb8b39f6c094.jpg,三菱重工业,2人,"
九二式侦察机是珍珠港事件前旧日本陆军使用的侦察机。由三菱重工业设计制造，为首度搭载日本国产引擎之军用飞机。
",1100千米, 三菱九二式气冷九汽缸引擎（420马力）,三菱重工业,单发,飞行器,侦察机,日本,NULL,1060千克,12.75米,220千米每小时,九二式侦察机,{'$oid': '5cc930fd831b973d657f11ee'},1931年,NULL,3.48米,NULL,1770千克,平直翼,8.52米
亚音速,http://images.huanqiu.com/sarons/2014/01/4bce69d6cf4a9ead9bb56b6632c16eb4.jpg,三菱重工业,2人,"
百式司令部侦察机，又称百式司侦、新司侦，正式编号ki-46，为旧日本陆军的复座侦察机。由三菱重工业设计制造，设计负责人为久保富夫工程师。作为九七式司令部侦查机的后继机种而从1940年开始使用，盟军的官方代号为Dinah。
",2474千米,三菱1式（HA102）复列星型气冷14缸发动机,NULL,双发,飞行器,侦察机,日本,NULL,3263千克,14.7米,604千米每小时,ki-46/百式司令部侦察机,{'$oid': '5cc930fd831b973d657f11ef'},NULL,NULL,3.88米,NULL,5050千克,平直翼,11米
亚音速,http://images.huanqiu.com/sarons/2014/01/b7247f554930fbb12028ca080833b29f.jpg,爱知飞行社,2人,"
瑞云水上侦察机(编号E16A)是日本帝国海军最后的水上侦察机，1941年以""十六试水上侦察机""为题目委托爱知飞行社研制，当中要求最快时速为463公里/小时和最远航程为2500公里，并要求能挂上250公斤炸弹执行俯冲轰炸和良好的机动性兼任水上战斗机。
",2420千米,三菱金星五四型风冷式发动机(1300匹马力),NULL,单发,飞行器,侦察机,日本,1945年,2713千克,12.8米,448千米每小时,E16A瑞云水上侦察机,{'$oid': '5cc930fe831b973d657f11f0'},1942年,NULL,4.47米,NULL,3800千克,平直翼,10.84米
亚音速,http://images.huanqiu.com/sarons/2014/01/2194d5bc8a74ea4d025ae19c37b638bd.jpg,横须贺海军工厂,2人,"
横厂式水上侦察机，原名横厂式ロ号甲型水上侦察机，为横须贺海军工厂为旧日本海军开发的单机复叶复座双浮舟式水上侦察机。1923年12月改名为横厂式水上侦察机。
",778千米,瓦斯电BE式 水冷6汽缸（130马力）,NULL,单发,飞行器,侦察机,日本,NULL,1000千克,15.69米,155千米每小时,横厂式水上侦察机,{'$oid': '5cc930fe831b973d657f11f1'},1917年,NULL,3.67米,NULL,NULL,双翼,10.16米
亚音速,http://images.huanqiu.com/sarons/2014/01/ba84e02c65ab790d71c198e878bbef65.jpg,三菱重工业,2人,"
九七式司令部侦察机，简称为九七司侦，编号ki-15，是日本帝国陆军使用的双座侦察机。由三菱重工业设计制造，设计负责人为河野文彦。盟军代号“Babs”，为首台飞至欧洲的日制飞机。自1936年到1941年为止，共生产437架。
",2400千米,中岛94式（HA-8）星型风冷9缸发动机,NULL,NULL,飞行器,侦察机,日本,NULL,1400千克,12米,480千米每小时,ki-15/97式司令部侦察机,{'$oid': '5cc930fe831b973d657f11f2'},1936年,NULL,3.35米,NULL,2300千克,平直翼,8.7米
亚音速,http://images.huanqiu.com/sarons/2014/01/cc6aad46016195c437dcc910f02afd99.jpg,NULL,6人,NULL,3200千米,2台普拉特＆惠特尼R-2800/S.1A4-G“双黄蜂”发动机,NULL,双发,飞行器,侦察机,英国,NULL,12797千克,29.48米,361千米每小时,Vicker.Warwick救援机,{'$oid': '5cc930fe831b973d657f11f3'},NULL,NULL,5.64米,1943年,20455千克,平直翼,20.88米
亚音速,NULL,NULL,2人,"
零式水上观测机为日本最后的双翼机，机身和机翼是铝合金制，浮舟采用一大两小，其和机身的连接用支柱和张线都大为简化，F1M1原本采用700匹马力光一型发动机，但试飞时发现稳定性不足，曾发生在水中翻机，三菱为此修改机翼形状并改为带上反角，增加垂直尾翼面积和把浮舟略为增大，马力方面进一步采用800匹马力瑞星一三型风冷式发动机，于是不论在速度，机动性和稳定性方面都合格，此为F1M2。
",1070千米,三菱瑞星一三型风冷式发动机(800匹马力),三菱重工,单发,飞行器,侦察机,日本,1945年,1928千克,11米,370千米每小时,F1M2/零式水上观测机,{'$oid': '5cc930fe831b973d657f11f4'},1940年,NULL,4米,NULL,2550千克,双翼,9.5米
亚音速,NULL,海军航空技术厂,2人,"
日本海军二战时期研制的最后一种岸基侦察机，1944年日本海军下达18试陆上侦察机任务计划书给海军航空技术厂，要求设计一种陆基高空高速侦察机，要求这种飞机能在10000米高度以超过700公里/小时的速度持续飞行。
",3610千米,3400马力 爱知 HA70-01 型倒立M型液冷24缸发动机×1,海军航空技术厂,单发,飞行器,侦察机,日本,NULL,6015千克,14米,741千米每小时,R2Y景云陆上侦察机,{'$oid': '5cc930fe831b973d657f11f5'},1945年4月,NULL,4.24米,NULL,9400千克,平直翼,13.05米
亚音速,http://images.huanqiu.com/sarons/2014/01/3a05b0e65e4087f3f672865f13ef4883.jpg,立川飞机公司,2人,"
九八式直接协同侦察机，简称为九八式直协侦察机或九八直协，正式标号ki-36，美军代号为“Ida”。为第二次世界大战时期旧日本陆军使用的侦察机，由立川飞机公司设计制造。
",1300千米,HA13甲 气冷九汽缸引擎（515马力）,立川飞机公司，川崎重工,单发,飞行器,侦察机,日本,NULL,1247千克,11.8米,348千米每小时,ki-36/98式直接协同侦察机,{'$oid': '5cc930fe831b973d657f11f6'},NULL,NULL,3.3米,NULL,1649千克,平直翼,8米
亚音速,NULL,雅科夫列夫设计局,NULL,"
Yak-26是在Yak-25的基础上研制的单座双发全天候截击机。Yak-27与Yak-26研制时间基本相同，外形和性能也十分相似。1955年原型机首飞，1957年开始生产。该型机共生产了180架。
",1300千米,2台РД-9F涡轮喷气式发动机，单台推力3850kg,雅科航空器集团,双发,飞行器,侦察机,苏/俄,NULL,7005千克,11米,1270千米每小时,雅克-27 全天候截击机,{'$oid': '5cc930ff831b973d657f11f7'},1955年,NULL,NULL,NULL,10530千克,平直翼,20.5米
亚音速,http://images.huanqiu.com/sarons/2014/01/dbf9b918f9729cfd5fd0a1d4c058cb6e.jpg,波利卡波夫 ,2人,"
波-2(Po-2)，初期称乌-2(U-2)，是苏联波利卡波夫设计局设计的的一种多用途双翼机，苏联称之为“玉米”（俄语：Кукурузник，来自俄语中“玉米(кукуруза)”一词），北约代号为“骡”（英语：Mule）。该机结构简单，性能可靠，可作为多种用途，如农用机、运输机、轰炸机、侦察机等。该机是历史上产量第二多的飞机，也是产量最多的双翼机，总产量达40,000架以上。
",630千米, 1×M-11D 5缸活塞发动机，每个93千瓦（125马力）,波利卡波夫设计局 ,单发,飞行器,侦察机,苏/俄,NULL,770千克,11.4米,152千米每小时,波-2/乌-2侦察机,{'$oid': '5cc930ff831b973d657f11f8'},1927年6月24日 ,NULL,3.1米,1929年,1350千克,双翼,8.17米
