制造商,生产年限,类型,名称,大类,有效射程,数量,_id,图片,产国,关注度,全枪重,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
美国柯尔特武器公司,1943年-1954年,机枪,勃朗宁M1919A6机枪,枪械与单兵,1400米,NULL,{'$oid': '5cc93268831b973d657f1b2d'},http://images.huanqiu.com/sarons/2013/08/a6ab893613a0bfee2d55b9e5414ea9b1.jpg,美国,NULL,14.7千克,600发/分,NULL,"
M1919A6式机枪是根据美国陆军在第二次世界大战期间的紧急需要而设计生产的。此枪是M1919A4式的改进型，1943年作为班用轻机枪代替勃朗宁自动步枪。该枪远谈不上轻便，不过是在M1919A4机枪的基础上添加了肩托、两脚架和消焰器。它笨重而令人讨厌，所有使用者都打心眼里讨厌它。大多数使用者要求去掉肩托和两脚架，还原为M1919A4标准型，并安装三脚架。人们一直认为将勃朗宁自动步枪作为班用自动武器更合适。M60机枪面世后，A6便没有存在的理由。随着时间的推移，旧式武器无疑会被新式武器代替而退出部队，且这种情况将不断发生，尤其是在中美洲。
",NULL,7.62毫米,NULL,1346毫米
新加坡技术动力,20世纪80年代早期,机枪,Ultimax 100轻机枪,枪械与单兵,650米,80000,{'$oid': '5cc93268831b973d657f1b2e'},http://images.huanqiu.com/sarons/2013/11/6dfd2dc33ae1ae8a15764546dff0cb61.jpg,新加坡,NULL,6.8千克,600发/分,印尼及菲律宾反游击行动2001年阿富汗战争2006年斐济军事政变2011年利比亚内战,"
Ultimax 100轻机枪由新加坡的新加坡技术动力（Singapore Technologies Kinetics）制造，定位为班用机枪，是新加坡军队的制式轻机枪，作为支援武器使用。波斯尼亚、克罗地亚共和国、斐济、洪都拉斯、印尼、巴布亚新几内亚、秘鲁、菲律宾等国亦有装备，亦曾被美国海军陆战队作步兵自动步枪（Infantry Automatic Rifle，IAR）计划招标测试，但最后中标的是黑克勒-科赫的HK416的衍生型，HK IAR，并且被美国海军陆战队命名为M27 IAR。
",NULL,5.56毫米,NULL,1024毫米
麦克唐纳·道格拉斯直升机公司，英国皇家军械公司,1980年,机枪,休斯EX34链式机枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93268831b973d657f1b2f'},NULL,美国,NULL,17.8千克,520发/分,NULL,NULL,NULL,7.62毫米,NULL,1250毫米
NULL,1959年,机枪,M68 (Rachot)机枪,枪械与单兵,2000米,NULL,{'$oid': '5cc93268831b973d657f1b30'},http://images.huanqiu.com/sarons/2013/08/06ec8377616d74a941356b24fdd3d163.jpg,捷克,NULL,8.7千克,800发/分,NULL,"
M68是一款通用机枪，最初为M59，使用7.62×54毫米底缘发火枪弹，并装备捷克军队，后为出口而改装成使用7.62毫米北约制式枪弹。M59被大量出口，它采用特制的固定式弹链，而M68使用北约标准M13可分解式弹链。M68机枪有轻枪管型和重枪管型，后者装备三脚架以提供持续火力支援；还有称为Rachot-T机载型。另外，还提供转换套件，可用于将口径从苏制7.62毫米转换为7.62毫米北约制式以及将Rachot-T转换为地面机枪。
",NULL,7.62毫米,NULL,1115毫米
NULL,1943年-1968年,机枪,佳留诺夫SG43机枪,枪械与单兵,1100米,NULL,{'$oid': '5cc93268831b973d657f1b31'},http://images.huanqiu.com/sarons/2013/08/fc56bf12c44773f878c19318ecb3805f.jpg,苏/俄,NULL,13.6千克,650发/分,第二次世界大战，朝鲜战争,"
二战期间，由于马克沁1910机枪的耗损，SG43机枪取代它成为前苏联装备的标准中型机枪。二战临近结束时，SG43重机枪又改进成SGM重机枪，这两种重机枪均作为营级武器配发。可惜的是，佳留诺夫在他设计的机枪装备部队之前就去世了，因而他生前未能享受到SG43重机枪所获得的声誉。
",NULL,7.62毫米,NULL,1120毫米
美国通用电气公司,1963年至今,机枪,米尼冈M134机枪,枪械与单兵,1500米,NULL,{'$oid': '5cc93268831b973d657f1b32'},http://images.huanqiu.com/sarons/2013/08/f31132f4793fdcadc108e2b7a55e33ea.jpg,美国,NULL,28.6千克,6000发/分,越南战争,"
该机枪英文名Minigun，是由美国人理查·乔登·加特林(RichardJordanGatling，一译格林，故此枪也被译作格林机枪)在1860年代设计的手动型多管机关枪，是第一支实用化的机枪。美国陆军型号称为M134型加特林（Gatling）速射机枪，用途广泛，美国空军型号称为GAU-2 B/A型，美国海军型号称为GAU-17/A型。目前，这种速射机枪最高射速高达6,000发/每分钟，被称为世界上射速最快的机枪，人称""火神炮""。
",NULL,7.62毫米,NULL,800毫米
美国萨科防务公司,1994年,机枪,M60E3机枪,枪械与单兵,1100米,NULL,{'$oid': '5cc93268831b973d657f1b33'},http://images.huanqiu.com/sarons/2013/08/5066b53466cad301c70ed0229febf678.jpg,美国,NULL,16千克,550发/分,越南战争，柬埔寨内战，柬越战争，海湾战争，阿富汗战争 (2001年)，伊拉克战争，北爱尔兰问题，柬泰边境冲突，哥伦比亚武装冲突，2011年利比亚内战，墨西哥毒品战争,NULL,NULL,7.62毫米,NULL,1077毫米
NULL,1981年,机枪,1975年式14.5毫米高射机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93269831b973d657f1b34'},NULL,中国,NULL,140千克,600发/分,NULL,NULL,NULL,14.5毫米,80发,2930毫米
NULL,1967年,机枪,1967年式7.62毫米通用机枪,枪械与单兵,800米,NULL,{'$oid': '5cc93269831b973d657f1b35'},NULL,中国,NULL,24千克,300发/分,NULL,"
中国1967年设计定型的一种通用机枪，1959年开始研制，1970年投产并交付部队使用，是中国研制的第一种通用机枪。
",NULL,7.62毫米,NULL,1650毫米
NULL,1962年,机枪,日本62式7.62毫米通用机枪,枪械与单兵,600米,NULL,{'$oid': '5cc93269831b973d657f1b36'},NULL,日本,NULL,10.7千克,600发/分,NULL,"
该枪在研制过程中吸取了法国“霍奇基斯”、英国“布仑”和美国“刘易斯”机枪的优点，最明显的是活塞有单独的活塞簧，机框较重，缓冲器缓冲效果好。
",NULL,7.62毫米,NULL,1200毫米
布鲁诺兵工厂,NULL,机枪,ZB37式重机枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93269831b973d657f1b37'},NULL,捷克,NULL,18.66千克,700发/分,NULL,"
ZB37式重机枪（ZB vz.37）和ZB26式轻机枪也同为捷克布鲁诺兵工厂的出品，vz.37为一种气冷式重机枪，其外销型又名M53重机枪，vz.37在捷克被德国合并后也为德军所用，中国国民政府曾在1937年抗日战争爆发后买了1,000挺，但祇有850挺经香港和仰光运交，用于沿黄河的防线、浙江、宜昌和鄂西等地驻防。
",NULL,7.92毫米,NULL,1095毫米
汉阳兵工厂,1910年10月10日,机枪,三十节7.92毫米重机枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93269831b973d657f1b38'},NULL,中国,NULL,15.5千克,600发/分,NULL,"
中国汉阳兵工厂仿照美国“勃朗宁”M1917式重机枪研制的一种重机枪。因其制成时间恰为民国10年10月10日，所以命名为“三十节”重机枪。
",NULL,7.92毫米,NULL,960毫米
NULL,NULL,机枪,中国1981年式7.62毫米轻机枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93269831b973d657f1b39'},NULL,中国,NULL,5.15千克,700发/分,NULL,NULL,NULL,7.62毫米,NULL,1004毫米
捷克布鲁诺兵工厂中国各地兵工厂,由1924年开始,机枪,ZB26式轻机枪,枪械与单兵,550米,NULL,{'$oid': '5cc93269831b973d657f1b3a'},http://images.huanqiu.com/sarons/2014/01/f35a5e42e810a0664a299bd2d2866e8c.jpg,捷克,NULL,10.5千克,500发/分,第二次世界大战中国抗日战争印度支那战争国共内战朝鲜战争越战,"
ZB26式轻机枪是捷克国营兵工厂所生产的一款轻机枪。此枪外表最大特色是其20发装弹匣在枪身上方，这令其瞄准基线要移向弹匣左侧，而其轮型表尺也是其外貌特征之一，ZB26另一个特点是枪管过热可快速更换，其枪管上的提把不单方便更换枪管同时也方便持枪。此枪当时曾外销各国，英国仿制者称为布伦轻机枪，而后德国合并捷克后改称之为MG26(t)轻机枪（t是捷克的意义），在德军中此枪主要供党卫军使用。
",NULL,7.92毫米,NULL,1150毫米
V.A. 狄格特亚耶夫工厂,1999年,机枪,Pecheneg通用机枪,枪械与单兵,1500米,NULL,{'$oid': '5cc93269831b973d657f1b3b'},http://images.huanqiu.com/sarons/2013/11/29c852a44bb6a7b460356b3a4f2b8dd6.jpg,苏/俄,NULL,12.7千克,800发/分,第二次车臣战争，达吉斯坦武装冲突，2008年南奥塞梯战争，2011年叙利亚内战,NULL,NULL,7.62毫米,NULL,1145毫米
新加坡科技动力公司,1985年-现在,机枪,Ultimax 100轻机枪 ,枪械与单兵,460米,NULL,{'$oid': '5cc93269831b973d657f1b3c'},NULL,新加坡,NULL,6.8千克,600发/分,2001年阿富汗战争，2006年斐济军事政变，2011年利比亚内战,NULL,NULL,NULL,NULL,1024毫米
NULL,1989年7月,机枪,QJY88通用机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93269831b973d657f1b3d'},http://images.huanqiu.com/sarons/2013/11/646ad177ad349e2dd348e610531076b0.jpg,中国,NULL,11.8千克,1000发/分,NULL,NULL,NULL,5.8毫米,NULL,1151毫米
NULL,NULL,机枪,日本大正11年式6.5毫米轻机枪 ,枪械与单兵,600米,NULL,{'$oid': '5cc9326a831b973d657f1b3e'},NULL,日本,NULL,10.22千克,100发/分,NULL,NULL,NULL,6.5毫米,NULL,1105毫米
AAI公司,2003年,机枪,LSAT机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc9326a831b973d657f1b3f'},NULL,美国,NULL,4.45千克,650发/分,NULL,NULL,自动枪支,5.56毫米,NULL,916毫米
NULL,NULL,机枪,日本96式6.5毫米轻机枪 ,枪械与单兵,600米,NULL,{'$oid': '5cc9326a831b973d657f1b40'},NULL,日本,NULL,10.22千克,100发/分,NULL,"
原打算用于取代大正11年式轻机枪，但最终与后者一起服役。主要组成、结构原理与大正11年式机枪相同。九六式轻机枪是继“歪把子”之后，日本侵略者装备的新一代制式轻机枪。中国抗日武装力量将该型机枪称为“拐把子”。
",NULL,6.5毫米,30发,1105毫米
