_id,参战情况,图片,口径,类型,数量,名称,生产年限,简介,全枪重,有效射程,全枪长,制造商,弹匣容弹量,大类,发射性能,战斗射速,产国
{'$oid': '5cc93248831b973d657f1a36'},阿富汗战争，伊拉克战争,http://images.huanqiu.com/sarons/2014/01/67b81e28994494ed27ef7d9af0cd0466.jpg,7.62毫米,狙击枪,3000,AWP狙击枪,1988年,,6.5千克,800米,1120毫米,英国精密国际公司,10发,枪械与单兵,NULL,NULL,英国
{'$oid': '5cc93248831b973d657f1a37'},NULL,,12.7毫米,狙击枪,NULL,M82A2狙击步枪,1987年,,12.24千克,1800米,1409毫米,巴雷特枪械公司,10发,枪械与单兵,半自动枪支,NULL,美国
{'$oid': '5cc93249831b973d657f1a38'},NULL,,7.62毫米,狙击枪,NULL,伯莱塔7.62毫米狙击枪,20世纪80年代,,5.55千克,NULL,1165毫米,意大利伯莱塔公司,5发,枪械与单兵,非自动枪支,NULL,意大利
{'$oid': '5cc93249831b973d657f1a39'},海湾战争，伊拉克战争,,7.62毫米,狙击枪,NULL,M25狙击步枪,1980年,,4.9千克,900米,113毫米,美国陆军特种部队—第10特种小队(10th Special Forces Group),20发,枪械与单兵,半自动枪支,NULL,美国
{'$oid': '5cc93249831b973d657f1a3a'},NULL,http://images.huanqiu.com/sarons/2014/01/4b6027f74c7c2b5926c0b8487c8255e0.jpg,12.7毫米,狙击枪,NULL,巴雷特M90狙击步枪,1990年—1995年,,9.98千克,1800米,1143毫米,巴雷特枪械公司,5发,枪械与单兵,半自动枪支,NULL,美国
{'$oid': '5cc93249831b973d657f1a3b'},NULL,,7.62毫米,狙击枪,NULL,M24式7.62mm狙击步枪,1988年11月,,5.27千克,800米,1161毫米,雷明顿武器公司,5发,枪械与单兵,非自动枪支,NULL,美国
{'$oid': '5cc93249831b973d657f1a3c'},越战，海湾战争，阿富汗战争，伊拉克战争,http://images.huanqiu.com/sarons/2014/01/5e9a18c0f5a55121167ff9eac5ec34f2.jpg,7.62毫米,狙击枪,NULL,M21狙击步枪,1969年,,5.27千克,690米,1118毫米,岩岛兵工厂，春田公司,20发,枪械与单兵,半自动枪支,NULL,美国
{'$oid': '5cc93249831b973d657f1a3d'},阿富汗战场，伊拉克战场,http://images.huanqiu.com/sarons/2014/01/1515ea6bb5b422158ad7760b7fdb2943.jpg,7.62毫米,狙击枪,NULL,M40A3狙击步枪,2001年,,7.5千克,900米,1124毫米,雷明登武器公司,5发,枪械与单兵,非自动枪支,NULL,美国
{'$oid': '5cc93249831b973d657f1a3e'},NULL,,10.36毫米,狙击枪,NULL,M200狙击枪,NULL,,14.06千克,2000米,1187.45毫米,美国CheyTac公司,7发,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc9324a831b973d657f1a3f'},NULL,http://images.huanqiu.com/sarons/2014/01/14c35cccfca683c0f862be689bebf827.jpg,5.56毫米,狙击枪,NULL,MK12狙击步枪,NULL,,7千克,900米,1003毫米,岩岛兵工厂,20发,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc9324a831b973d657f1a40'},海湾战争,http://images.huanqiu.com/sarons/2014/01/2e5647d984ba574fbadc4038f9e21bf5.jpg,7.82毫米,狙击枪,NULL,罗巴QR2-F狙击步枪,NULL,,3.6千克,NULL,965毫米,罗巴公司,20发,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc9324a831b973d657f1a41'},NULL,http://images.huanqiu.com/sarons/2014/01/90aae42b53abdf0eba033a4f6a4913d9.jpg,9毫米,狙击枪,NULL,VSK-94狙击枪,NULL,,2.8千克,400米,932毫米,KBP设计局,20发,枪械与单兵,NULL,NULL,苏/俄
