名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
CRJ100/200双发涡轮风扇支线客机,飞行器,860千米每小时,21.2米,两台通用电气CF34系列涡轮风扇发动机,1991年5月10日,双发,NULL,NULL,3046千米,{'$oid': '5cc9314f831b973d657f13c8'},庞巴迪宇航公司,http://images.huanqiu.com/sarons/2013/12/6c25cea00cca83b9f47cb8dadf4e27f2.jpg,6.2米,13700千克,1992年10月29日,加拿大,NULL,支线,"
CRJ100／200机型由“挑战者”喷气式公务机发展而来，机身作了加长，用于支线飞行。1989年3月31日获得正式许可证，1991年5月10日首飞，第一架飞机于1992年10月29日交付汉莎城市快运公司。CRJ100／200机型共交付1054架。图为CRJ100。
",NULL,后掠翼,52人,26.8米,21500千克
SATIC超级运输机“大白鲸”,飞行器,742千米每小时,44.8米,两台CF6-80C2A8型涡扇发动机,1994年9月13日,双发,NULL,NULL,1666千米,{'$oid': '5cc93150831b973d657f13c9'},NULL,http://images.huanqiu.com/sarons/2013/12/d32c988d15586b3695cb25d20fdbc645.jpg,17.2米,86000千克,1996年1月,英国,亚音速,支线,,国际特殊飞行器运输公司（SATIC）,后掠翼,4人,56.2米,155000千克
福克50／60双发涡旋桨短程客机,飞行器,537千米每小时,29米,PWl20涡轮螺旋桨发动机,1985年12月28日,双发,NULL,NULL,2252千米,{'$oid': '5cc93150831b973d657f13ca'},NULL,http://images.huanqiu.com/sarons/2013/12/4abf125f65ba6139e74ba0bdb7b6935f.jpg,8.3米,12250千克,1987年8月7日,荷兰,亚音速,支线,,荷兰福克公司,后掠翼,60人,25.3米,20820千克
肖特360 双发涡桨短程支线客机,飞行器,400千米每小时,22.8米,普-惠PT6A六桨叶涡轮螺旋桨发动机,1981年6月1日,双发,NULL,NULL,745千米,{'$oid': '5cc93150831b973d657f13cb'},NULL,http://images.huanqiu.com/sarons/2013/12/0cc5ce9cb328e4bef38ff39a5a126405.jpg,7.3米,6440千克,1982年12月1日,英国,NULL,支线,,英国肖特公司,NULL,41人,21.6米,10387千克
洛克希德L188 Electra四发涡桨中短程客机,飞行器,652千米每小时,30.2米,阿里逊501四桨叶涡轮螺旋桨发动机,1957年12月6日,四发,NULL,NULL,3534千米,{'$oid': '5cc93151831b973d657f13cc'},NULL,http://images.huanqiu.com/sarons/2013/12/538c5d09b2d81402377b6c5bb00275d2.jpg,10米,26036千克,1959年1月12日,美国,亚音速,支线,,美国洛克希德公司,平直翼,101人,31.8米,51256千克
图-104/骆驼 喷气式客机,飞行器,820千米每小时,34.54米,两台米库林AM-3涡轮喷气发动机,1955年7月17日,双发,NULL,NULL,2650千米,{'$oid': '5cc93151831b973d657f13cd'},图波列夫设计局,http://images.huanqiu.com/sarons/2014/01/e6973029b272cb921c65a041c65b7f1e.jpg,11.9米,41600千克,NULL,苏/俄,亚音速,支线,"
图-104（俄语：Ту-104，北约代号：骆驼[Camel]）是一型由苏联图波列夫设计局设计的双引擎喷气式客机。它是在图-16轰炸机（中国仿制型号称为轰-6）的基础上设计制造的。1956年9月在莫斯科—伊尔库茨克航线进行首次商业运营。图-104是苏联第一种，世界上继英国的“彗星”客机之后第二种投入商业运营的喷气式客机。
",图波列夫设计局,后掠翼,122人,40.05米,76000千克
 萨博340双发涡桨短程支线客机,飞行器,522千米每小时,22.8米,通用电气CT7四桨叶涡轮螺旋桨发动机,1983年1月25日,双发,NULL,NULL,1611千米,{'$oid': '5cc93151831b973d657f13ce'},NULL,http://images.huanqiu.com/sarons/2013/12/3fef6ff2bbb66a81dc0512fc41d38eec.jpg,7米,8140千克,1984年6月15日,瑞典,亚音速,支线,,瑞典萨博公司,平直翼,39人,19.7米,13155千克
仙童 多尼尔328双发涡桨短程支线客机,飞行器,620千米每小时,21米,普-惠PWl19六桨叶涡轮螺旋桨发动机,1991年12月6日,双发,NULL,NULL,1666千米,{'$oid': '5cc93152831b973d657f13cf'},NULL,http://images.huanqiu.com/sarons/2013/12/b543cc9dc3bb2faefb2fe2daeeeacba2.jpg,7.2米,8922千克,1993年10月21日,德国,亚音速,支线,,德国多尼尔公司,平直翼,35人,21.3米,13989千克
中航工业西飞运-7（新舟60）涡桨支线客机,飞行器,460千米每小时,29.2米,普-惠PWl27四桨叶涡轮螺旋桨发动机,1970年12月25日,双发,NULL,NULL,2450千米,{'$oid': '5cc93152831b973d657f13d0'},NULL,http://images.huanqiu.com/sarons/2013/12/d07cba3d0b9926ca5f2dc7c863a3bfa6.jpg,8.9米,14900千克,1986年,中国,NULL,支线,,中航工业西飞,平直翼,62人,24.7米,21800千克
福克F-10商业飞机,飞行器,195千米每小时,24.1米,普惠公司“黄蜂系列” 星型引擎,1920年,双发,NULL,NULL,1280千米,{'$oid': '5cc93152831b973d657f13d1'},NULL,http://images.huanqiu.com/sarons/2014/01/2684808c17249edc2285bc546636dd42.jpg,3.86米,3500千克,NULL,美国,亚音速,支线,,福克飞行器公司,平直翼,14人,15.41米,5900千克
萨博2000双发涡桨中短程支线客机,飞行器,682千米每小时,24.8米,罗尔斯·罗伊斯(艾利逊)AE2100A六桨叶涡轮螺旋桨发动机,1992年3月26日,双发,NULL,NULL,222千米,{'$oid': '5cc93152831b973d657f13d2'},NULL,http://images.huanqiu.com/sarons/2013/12/09244f2f7a29f1a9ef0bea448f8ac44e.jpg,7.7米,13800千克,1994年9月,瑞典,亚音速,支线,,瑞典萨博公司,后掠翼,60人,27.3米,22800千克
NAMC  YS-11双发涡桨短程支线客机,飞行器,469千米每小时,32米,罗尔斯·罗伊斯公司达特涡轮螺旋桨发动机,1962年8月30日,双发,NULL,NULL,1092千米,{'$oid': '5cc93152831b973d657f13d3'},NULL,http://images.huanqiu.com/sarons/2013/12/ca45731edd9a9f1833e269c1da3c4310.jpg,9米,15500千克,1965年3月,日本,亚音速,支线,,日本飞机制造公司,后掠翼,62人,26.3米,24500千克
