名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
布里顿-诺曼 BN-2A“海岛人”双发轻型飞机,飞行器,315千米每小时,14.94米,2×莱康明O-540-E4C5或者IO-540发动机,1965年6月13日,双发,NULL,NULL,1863千米,{'$oid': '5cc9312c831b973d657f1304'},NULL,http://images.huanqiu.com/sarons/2013/12/3645d48c86f62d1c642857e795f3fbac.jpg,4.18米,1667千克,1967年8月,英国,亚音速,通用飞机,,布里顿-诺曼公司,平直翼,11人,10.86米,2994千克
GAF“牧民”双发涡桨轻型短距起降飞机,飞行器,313千米每小时,16.5米,罗尔斯·罗伊斯(阿里逊)250涡轮螺旋桨发动机,1971年7月23日,单发,NULL,NULL,1074千米,{'$oid': '5cc9312d831b973d657f1305'},澳大利亚政府飞机工厂,http://images.huanqiu.com/sarons/2013/12/cc2b6c74619d0811c9f94564249e2a2b.jpg,5.5米,NULL,1975年12月18日,澳大利亚,亚音速,通用飞机,,NULL,平直翼,19人,14.4米,NULL
塞斯纳208“大篷车”单发涡桨轻型飞机,飞行器,341千米每小时,15.9米,普拉特-惠特尼公司PT6A-114,1982年12月9日,单发,NULL,NULL,1680千米,{'$oid': '5cc9312d831b973d657f1306'},NULL,http://images.huanqiu.com/sarons/2013/12/6c3b4c36ec7b831db0c5a047558ab701.jpg,4.27米,1979千克,1985年,美国,亚音速,通用飞机,,美国塞斯纳公司,平直翼,14人,12.7米,3969千克
Ae 270“幽灵”单发涡轮螺旋桨轻型飞机,飞行器,500千米每小时,13.82米,1×加拿大普惠PT6A-66A-42A,2000年7月,单发,NULL,NULL,2981千米,{'$oid': '5cc9312d831b973d657f1307'},捷克飞机公司,http://images.huanqiu.com/sarons/2013/12/6fd1c8d5b70def67fa3d846d0b08f8c3.jpg,4.78米,2300千克,NULL,捷克,亚音速,通用飞机,"
Ae 270是20世纪90年代初由前捷克斯洛伐克的Aero Vodochody公司发布的机型，最初命名为L-270。该机型足由JanMikula设计的一种9／10座级通用飞机，2000年7月首飞，这之前经历了数次设计改动。2000年7月之前，Ibis宇航公司已经作为一家合资企业，由Aero Vodochody公司和中国台湾航空工业开发公司共同设立。Ae 270于2005年12月12日获得欧洲航空安全局颁发的型号合格证。该机型共计获得了73架订单。
",NULL,后掠翼,10人,12.23米,3670千克
塞斯纳441“征服”Ⅱ双发涡桨公务机,飞行器,547千米每小时,15.04米,2×Garrett TPE331-8-403S，单台636 shp (474 kW),1975年8月26日,双发,NULL,NULL,4064千米,{'$oid': '5cc9312d831b973d657f1308'},NULL,http://images.huanqiu.com/sarons/2013/12/57dcf0559f9829d44cb5d1fd663d0808.jpg,4.01米,2577千克,NULL,美国,NULL,通用飞机,,赛斯纳飞行器公司（Cessna）,单旋翼,12人,11.89米,4468千克
L-410 Turbolet双发涡轮螺旋桨短程通勤和通用飞机,飞行器,380千米每小时,20米,2×Walter M601E，每台559 kW (750 hp),1969年4月16日,双发,NULL,NULL,1380千米,{'$oid': '5cc9312d831b973d657f1309'},捷克Let公司,http://images.huanqiu.com/sarons/2013/12/e538397690184d9df779812209ff8b82.jpg,5.83米,3985千克,NULL,捷克,亚音速,通用飞机,"
Let Kunovice工厂在获得前苏联机型的特许生产之后开始设计一种双发运输机，以满足前苏联及东欧诸国的需要。原型机于1969年4月16日首飞，最初装载的是PT6A发动机，生产机型换装了瓦尔特公司涡轮螺旋桨发动机。L-410机型于1971年未进入斯洛伐克航空公司开始服役。该机型共计交付了1001架。
",NULL,平直翼,19人,14.42米,6400千克
德·哈维兰DHC-3“水獭”活塞式轻型短距起降飞机,飞行器,247千米每小时,17.7米,普-惠R-1340-S1H1-G Wasp活塞发动机,1951年12月12日,单发,NULL,NULL,1410千米,{'$oid': '5cc9312d831b973d657f130a'},NULL,http://images.huanqiu.com/sarons/2013/12/a6a536513104c35fff589955700dd3cd.jpg,3.8米,2010千克,1952年,加拿大,亚音速,通用飞机,,德·哈维兰公司,平直翼,12人,12.8米,3629千克
塞斯纳500“奖状”Ⅰ双发涡桨中型公务机,飞行器,745千米每小时,14.4米,2×加拿大普惠JT15D-1B,1969年9月15日,双发,NULL,NULL,2459千米,{'$oid': '5cc9312e831b973d657f130b'},NULL,http://images.huanqiu.com/sarons/2013/12/16326fcdb32b9a03da19464338d3dfcb.jpg,4.4米,3008千克,1976年12月21日,美国,NULL,通用飞机,,赛斯纳飞行器公司（Cessna）,后掠翼,9人,13.3米,5375千克
多尼尔228双发涡桨轻型通用飞机,飞行器,428千米每小时,17米,霍尼韦尔(AuiedSignal)TPE331涡轮螺旋桨发动机,1981年的3月28日,双发,NULL,NULL,1038千米,{'$oid': '5cc9312e831b973d657f130c'},NULL,http://images.huanqiu.com/sarons/2013/12/cc08ac64119506bd2b4e27abfa66f949.jpg,4.9米,3258千克,1982年2月,德国,亚音速,通用飞机,,德国多尼尔公司,平直翼,21人,16.6米,6400千克
Grob SPn双发涡扇轻型公务机,飞行器,753千米每小时,14.86米,威廉姆斯公司FJ44-3A涡轮风扇发动机,2005年7月,双发,NULL,NULL,3425千米,{'$oid': '5cc9312e831b973d657f130d'},NULL,http://images.huanqiu.com/sarons/2013/12/bf53b935fa780191267c268653734238.jpg,5.12米,NULL,NULL,德国,亚音速,通用飞机,,德国Grob公司,后掠翼,10人,14.81米,NULL
吉普斯兰GA8“空中货车”单发活塞式轻型飞机,飞行器,241千米每小时,12.4米,达信·莱卡明IO-540-K1A5活塞发动机,1995年3月3日首飞,单发,NULL,NULL,1352千米,{'$oid': '5cc9312e831b973d657f130e'},NULL,http://images.huanqiu.com/sarons/2013/12/b328dcb7cb223894a8d9f870b96a3ab6.jpg,3.9米,997千克,2004年,澳大利亚,亚音速,通用飞机,,澳大利亚吉普斯航空公司,平直翼,8人,8.9米,1814千克
德·哈维兰DHC-2“海狸”单发活塞式轻型短距起降飞机,飞行器,225千米每小时,14.63米,普-惠公司R-985活塞发动机或PT6A涡轮螺旋桨发动机,1947年8月16日,单发,NULL,NULL,2318千米,{'$oid': '5cc9312e831b973d657f130f'},NULL,http://images.huanqiu.com/sarons/2013/12/9d53c7aee5fc35839294d79ff7cda797.jpg,2.74米,1295千克,1948年3月,加拿大,NULL,通用飞机,,德·哈维兰飞机公司,平直翼,7人,9.22米,NULL
德·哈维兰DHC-6“双水獭”双发涡桨轻型飞机,飞行器,314千米每小时,19.8米,普-惠PT6A-34/PT6A-35涡轮螺旋桨发动机,1965年5月20日,双发,NULL,NULL,1832千米,{'$oid': '5cc9312e831b973d657f1310'},NULL,http://images.huanqiu.com/sarons/2013/12/5d4fc4e3d81b3cf95f40f62f0457c00d.jpg,5.9米,3121千克,1966年7月,加拿大,亚音速,通用飞机,,德·哈维兰公司,平直翼,22人,15.77米,5670千克
塞斯纳404“巨人”双发活塞式公务机和通勤客机,飞行器,430千米每小时,14.2米,2×Continental Motors GTSIO-520-M，单台375 hp (280 kW),1975年2月26日,双发,NULL,NULL,3410千米,{'$oid': '5cc9312f831b973d657f1311'},NULL,http://images.huanqiu.com/sarons/2013/12/b501e1fddc2369e35c768a3b837a33fc.jpg,4米,2192千克,NULL,美国,亚音速,通用飞机,"
塞斯纳404“巨人”基本上是402B机型的加长版，加大垂直尾翼，水平尾翼带有上反角，装载了功率更大的大陆公司发动机，总重量更大。1975年2月26日首飞，1976年10月交付第一架飞机。共计交付了396架。
",塞斯纳飞机公司,平直翼,12人,12米,3810千克
塞斯纳401/402/411双发活塞式公务机和通勤客机,飞行器,394千米每小时,13.5米,2×Continental TSIO-520-VB，每台325 hp (240 kW),1965年8月26日,单发,NULL,NULL,2379千米,{'$oid': '5cc9312f831b973d657f1312'},NULL,http://images.huanqiu.com/sarons/2013/12/058ea9cb7026ed05a32b44f7ace8bf18.jpg,3.5米,1845千克,NULL,美国,亚音速,通用飞机,"
塞斯纳401/402/411系列飞机是20世纪50年代中期启动的五座或六座级公务运输机项目的产物，401型和402型同时研制，采用相同的机身和发动机。首飞日期是1965年8月26日。交付使用情况是：401型交付546架，402型交付1645架，411型交付302架。（图为塞斯纳411）
",NULL,平直翼,11人,11.1米,3107千克
BD-700“全球快车双发涡轮风扇远程公务机,飞行器,935千米每小时,28.7米,2×Rolls-Royce BR710A2-20,1996年10月13日,双发,NULL,NULL,9852千米,{'$oid': '5cc9312f831b973d657f1313'},加拿大庞巴迪公司,http://images.huanqiu.com/sarons/2013/12/c81572a2dbd34293d98bf110aa03bfd6.jpg,7.6米,23224千克,1999年7月8日,加拿大,NULL,通用飞机,"
BD-700“全球快车”机型的研制是为了满足市场对超远程喷气式公务机的潜在需求。该机型在1991年10月举行的全国公务机协会大会上发布，采用“挑战者”机型的机身截面和CrJ的机舱长度，并装配新型超临界机翼。1996年10月13日首飞，1999年7月8日交付第一架飞机。该机型共计交付了202架。
",NULL,后掠翼,21人,30.3米,44452千克
塞斯纳404“校长” 双发活塞式公务机,飞行器,436千米每小时,13.5米,NULL,1968年11月1日,双发,NULL,NULL,2036千米,{'$oid': '5cc9312f831b973d657f1314'},NULL,http://images.huanqiu.com/sarons/2013/12/3f2060ee0ff62bde61f453eec043c0d0.jpg,3.5米,NULL,NULL,美国,亚音速,通用飞机,,赛斯纳飞行器公司（Cessna）,平直翼,8人,11.1米,NULL
以色列飞机工业公司“阿拉瓦”双发涡桨轻型短距起降飞机,飞行器,326千米每小时,20.96米,普-惠公司PT6A-34涡轮螺旋桨发动机，单台559 kW (750 shp),1969年11月27日,双发,NULL,NULL,1056千米,{'$oid': '5cc93130831b973d657f1315'},NULL,http://images.huanqiu.com/sarons/2013/12/1ac7d018ba59a7d327918eaec08e7b93.jpg,5.21米,3999千克,NULL,以色列,亚音速,通用飞机,,以色列飞机工业公司,平直翼,26人,12.69米,6804千克
“猎鹰”50三发涡轮风扇远程公务机,飞行器,915千米每小时,18.86米,3×Garrett TFE731-3-1C，单台16.5 kN (3700 lbf),1976年11月7日,三发,NULL,NULL,6480千米,{'$oid': '5cc93130831b973d657f1316'},NULL,http://images.huanqiu.com/sarons/2013/12/a7db55f9f7f6533b4daea372cd513f7e.jpg,6.98米,9163千克,1979年初,法国,亚音速,通用飞机,,达索,后掠翼,11人,18.52米,17600千克
达索“猎鹰”20/200 双发涡轮风扇企业及通用飞机,飞行器,862千米每小时,16.3米, 2×General Electric CF700-2D-2，每台20 kN (4500 lbf),1965年1月1日（换发）,单发,NULL,NULL,3350千米,{'$oid': '5cc93130831b973d657f1317'},NULL,http://images.huanqiu.com/sarons/2013/12/7db6da36cfee86789efe77b5feb99dfa.jpg,5.32米,7530千克,1965年6月,法国,亚音速,通用飞机,,NULL,平直翼,16人,17.15米,13000千克
Helio“信使” 单发轻型短距起降飞机,飞行器,257千米每小时,11.9米,莱卡明活塞发动机,1953年,单发,NULL,NULL,1060千米,{'$oid': '5cc93130831b973d657f1318'},NULL,http://images.huanqiu.com/sarons/2013/12/e2aa4f51fae2ea2db468b439f83eb2fa.jpg,2.7米,NULL,NULL,美国,亚音速,通用飞机,,Helio飞机公司,平直翼,6人,9.5米,NULL
塞斯纳421“金鹰”双发活塞式公务机,飞行器,475千米每小时,12.53米, 2×Continental GTSIO-520-L,1965年10月14日,双发,NULL,NULL,2755千米,{'$oid': '5cc93130831b973d657f1319'},NULL,http://images.huanqiu.com/sarons/2013/12/a169e35ec530c1c02cc6f5336069b24e.jpg,3.49米,2041千克,NULL,美国,亚音速,通用飞机,,赛斯纳飞行器公司（Cessna）,平直翼,8人,11.09米,3379千克
塞斯纳425“海盗”／“征服”l双发涡桨公务机,飞行器,489千米每小时,13.5米,2×加拿大普惠PT6A-112,1978年9月12日,双发,NULL,NULL,2480千米,{'$oid': '5cc93130831b973d657f131a'},NULL,http://images.huanqiu.com/sarons/2013/12/ecadb3c4b5850af0a7a03fca642dd763.jpg,3.8米,2244.4千克,1980年11月,美国,亚音速,通用飞机,,NULL,平直翼,8人,10.9米,3719.5千克
达索“猎鹰”10/100双发涡轮风扇小型公务机,飞行器,912千米每小时,13.08米,2×Garrett TFE731-2,1970年12月1日,双发,NULL,NULL,3560千米,{'$oid': '5cc93131831b973d657f131b'},NULL,http://images.huanqiu.com/sarons/2013/12/eaabe5742a34389de32722114a574c46.jpg,4.61米,4880千克,1973年11月,法国,亚音速,通用飞机,,达索飞机制造公司,后掠翼,10人,13.86米,8500千克
CL -600“挑战者”双发涡轮风扇中型公务机,飞行器,882千米每小时,19.61米,2×General Electric CF34-3A，每台40.7 kN (9140 lbf),1978年11月8日,双发,NULL,NULL,6236千米,{'$oid': '5cc93131831b973d657f131c'},加拿大庞巴迪公司,http://images.huanqiu.com/sarons/2013/12/d068b0e864b24013a9fe0e18443bbb2a.jpg,6.3米,9292千克,1980年12月30日,加拿大,亚音速,通用飞机,"
CL-600“挑战者”飞机起源于比尔·李尔设计的一种14座快速公务机LearStar 600。Canadair公司获得了该机型的独家权利，于1976年10月29日启动该项目，并于1978年11月8日实现首飞。首飞之前，该机型已被重新命名为‘“挑战者”。第一架“挑战者”于1980年12月30日交付。该机型共计交付了697架。
",NULL,平直翼,21人,20.85米,19550千克
BD-100“挑战者”300双发涡轮风扇超级中型公务机,飞行器,891千米每小时,19.46米,2×Honeywell HTF7000,2001年8月14日,双发,NULL,NULL,5741千米,{'$oid': '5cc93131831b973d657f131d'},加拿大庞巴迪公司,http://images.huanqiu.com/sarons/2013/12/a79ebf82f68d1043e3790fa84cd95dc0.jpg,6.2米,10591千克,2001年12月23日,加拿大,亚音速,通用飞机,"
1997年6月的巴黎航空展上首次公布了一种新机型Model 70，这是一种超级中型公务机，能够以很高的巡航速度飞越大陆。该项目在2年后正式启动，2001年8月14日首飞，并命名为BD-100“大陆”，2002年9月8日重新命名为“挑战者”300。2003年5月31日获得加拿大交通部颁发的型号合格证，同年12月23日，第一架飞机交付给Flexjet公司。“挑战者”300机型共计交付了105架。
",NULL,后掠翼,18人,20.93米,17622千克
比奇“空中国王”200/300双发涡桨轻型公务机和多用途运输机,飞行器,545千米每小时,16.61米,2×加拿大普惠PT6A-42，单台850 shp (635kW),1972年10月27日,双发,NULL,NULL,3338千米,{'$oid': '5cc93131831b973d657f131e'},美国比奇飞机公司,http://images.huanqiu.com/sarons/2013/12/3cb2109ff935e3e351b2082df8da6f43.jpg,4.57米,3520千克,1973年,美国,亚音速,通用飞机,"
1970年10月开始设计“超级空中国王”200机型(1996年去掉了名称中的“超级”二字)，1972年10月27日首飞，次年开始服役。自1981年开始销售高性能的B200机型。“空中国王”200／300共计交付了2423架。
",NULL,平直翼,14人,13.34米,5670千克
达索“猎鹰”2000双发涡轮风扇远程宽体公务机,飞行器,1041千米每小时,19.33米,2×加拿大普惠PW308C,1993年3月4日,双发,NULL,NULL,6020千米,{'$oid': '5cc93132831b973d657f131f'},NULL,http://images.huanqiu.com/sarons/2013/12/aff0c8001571d76ce782c1f1c01202d6.jpg,7.06米,9405千克,NULL,法国,亚音速,通用飞机,,法国达索系统(Dassault)公司,后掠翼,11人,20.23米,18597千克
比奇“空中国王”90/100双发涡桨公务机,飞行器,491千米每小时,14米,2 × Garrett TPE-331-6-251B或-252,1964年1月20日,双发,NULL,NULL,2455千米,{'$oid': '5cc93132831b973d657f1320'},美国比奇飞机公司,http://images.huanqiu.com/sarons/2013/12/0141bd0a06a5cbc2eced622d7876e5bb.jpg,4.7米,3212千克,NULL,美国,亚音速,通用飞机,"
“空中国王”源自“空中女王”，采用加压机舱，原型机于1964年1月20日首飞，之后于同年开始交付使用。“空中国王”机型投产之后一直保持连续不断的发展。“空中国王”90制造了1996架，“空中国王”100制造了394架。
",NULL,平直翼,14人,12.17米,5352千克
“日蚀”500 双发涡轮风扇甚轻型公务机,飞行器,685千米每小时,11.4米,2×加拿大普惠PW610F,2002年8月26日,双发,NULL,NULL,2084千米,{'$oid': '5cc93132831b973d657f1321'},NULL,,3.4米,1610千克,2002年10月,美国,亚音速,通用飞机,,日蚀飞机公司,后掠翼,6人,10.1米,2699千克
达索“猎鹰”7X三发涡轮风扇大座舱公务机,飞行器,953千米每小时,25.2米,3×加拿大普惠PW307A,2005年5月5日,双发,NULL,NULL,11000千米,{'$oid': '5cc93132831b973d657f1322'},NULL,http://images.huanqiu.com/sarons/2013/12/2f67b645c428437ef5e9cf830a869fa0.jpg,7.86米,15456千克,NULL,法国,亚音速,通用飞机,,法国达索系统(Dassault)公司,后掠翼,22人,23.19米,31750千克
比奇“空中国王”350双发涡桨公务机,飞行器,584千米每小时,17.7米,2×普惠PT6A-60A,1988年9月,双发,NULL,NULL,2515千米,{'$oid': '5cc93132831b973d657f1323'},美国比奇飞机公司,http://images.huanqiu.com/sarons/2013/12/4b9e526e1527488c95d2fcda160d03ac.jpg,4.4米,4321千克,1990年3月6日,美国,亚音速,通用飞机,"
“空中国王”350飞机是“空中国王”300的发展机型，机身作了加长。该机型于1988年9月首飞，在1989年的全国公务机协会(NBAA)大会上推出。获得通勤飞机型号合格证，1990年3月6日开始交付使用。“空中国王”350共计交付了473架。
",NULL,后掠翼,13人,14.2米,6804千克
EMB-121“新谷”双发涡轮螺旋桨企业运输机,飞行器,466千米每小时,14.1米,2具加拿大普惠PT6A-135涡轮螺旋桨发动机,1976年10月10日,双发,NULL,NULL,2278千米,{'$oid': '5cc93133831b973d657f1324'},NULL,http://images.huanqiu.com/sarons/2013/12/17fff74c0eb07d93a039647f42fb613f.jpg,4.8米,3500千克,1977年,巴西,亚音速,通用飞机,,巴西航空工业公司,平直翼,9人,12.3米,5670千克
“湾流”V／G500／G550 双发涡轮风扇大型超远程公务机,飞行器,941千米每小时,28.5米,2×Rolls-RoyceBR710，每台15385 lbf (68.44 kN),NULL,双发,NULL,NULL,12500千米,{'$oid': '5cc93133831b973d657f1325'},NULL,http://images.huanqiu.com/sarons/2013/12/e8129ff82f680540e09434dffbd56b1e.jpg,7.9米,21900千克,2004年,美国,亚音速,通用飞机,,NULL,平直翼,21人,29.4米,41300千克
比奇390“首相”Ⅰ双发涡轮风扇轻型公务机,飞行器,854千米每小时,13.56米,2×Williams FJ44-2A，单台2300 lbf (10.23 kN),1998年12月22日,双发,NULL,NULL,2648千米,{'$oid': '5cc93133831b973d657f1326'},美国比奇飞机公司,http://images.huanqiu.com/sarons/2013/12/f3aa010e5004539515bc605729589ca8.jpg,4.67米,3627千克,NULL,美国,亚音速,通用飞机,"
比奇390“首相”I飞机于1994年初开始在比奇飞机公司设计，起初命名为PD374，后来改为PD390。飞机的技术细节于1995年6月披露，同年9月在NBAA大会上启动项目。新机型，即第一架仅以“雷声(Raytheon)”命名的飞机，于1998年12月22日首飞，2001年3月23日获得联邦航空管理局颁发的型号合格证，随后于同年开始交付使用。2002年开始恢复使用“比奇”名称。比奇390“首相”I共计交付了155架。
",NULL,后掠翼,8人,14.02米,5670千克
达索“猎鹰”900三发涡轮风扇远程公务机,飞行器,1066千米每小时,19.33米,3×霍尼韦尔TFE731-5BR-1C，单台 21.13 kN (4750 lbf),1983年5月27日(发布),双发,NULL,NULL,7400千米,{'$oid': '5cc93133831b973d657f1327'},NULL,http://images.huanqiu.com/sarons/2013/12/bd1e3b672079422a97f2fce8502eda8e.jpg,7.55米,10255千克,NULL,法国,亚音速,通用飞机,,法国达索系统(Dassault)公司,后掠翼,21人,20.21米,20640千克
“湾流”IV/G300／G350／G400／G450 双发涡轮风扇大型远程公务机,飞行器,936千米每小时,23.7米,2×Rolls-Royce Tay 611-8发动机,1985年9月19日,双发,NULL,NULL,7805千米,{'$oid': '5cc93133831b973d657f1328'},NULL,http://images.huanqiu.com/sarons/2013/12/23f4f33955ff551b6cfc2c63680df37f.jpg,7.4米,16100千克,1987年春季,美国,亚音速,通用飞机,,NULL,后掠翼,21人,26.9米,33203千克
“西风”双发中型公务机,飞行器,868千米每小时,13.65米,通用电气公司CJ610涡轮喷气发动机或盖瑞特TFE731涡轮风扇发动机,1970年9月,双发,NULL,NULL,4430千米,{'$oid': '5cc93134831b973d657f1329'},NULL,http://images.huanqiu.com/sarons/2014/01/e82e075b4b7a613f0e3ac35eb2a7d83f.jpg,4.81米,6010千克,NULL,以色列,亚音速,通用飞机,,以色列飞机工业公司,平直翼,12人,15.93米,10660千克
PZL-104Wilga单发活塞式轻型通用飞机,飞行器,208千米每小时,11.3米,Textron Lycoming IO-540,1962年4月24日,单发,NULL,NULL,1390千米,{'$oid': '5cc93134831b973d657f132a'},NULL,http://images.huanqiu.com/sarons/2014/01/9fe1e9573ce57ce7fb690dbb189ca860.jpg,3米,870千克,NULL,波兰,亚音速,通用飞机,"
PzL-104是一种能够在崎岖跑道上起降的上单翼飞机，于20世纪60年代初期开始研制，原型机wilga1于1962年4月24日首飞，随后彻底进行了重新设计并于1963年8月实现了wilga 2的首飞。PzL-104的部分早期机型在印度尼西亚的Lipnur Gelatik公司也有制造。最新wilga 2000机型仍在产。
",波兰PZL公司,平直翼,4人,8.1米,1300千克
Robin DR400“小王子”/“海豚”/“少校”/“摄政王”单发活塞式轻型旅行飞机和教练机,飞行器,260千米每小时,8.7米,一台LycomingO-360-A3A发动机,1972年5月15日,单发,NULL,NULL,1453千米,{'$oid': '5cc93134831b973d657f132b'},法国Robin,http://images.huanqiu.com/sarons/2014/01/305456afc51e39fe51cfbf770d53235a.jpg,2.2米,600千克,NULL,法国,亚音速,通用飞机,"
DR 400“小王子”从Jodel尾轮(橇)式飞机发展而来，具有Jodel机型的机翼，并采用四座机舱和前三点式起落架。DR 400于1972年5月15日首飞，随后发展成许多改进机型，用于不同的用途，目前旅行飞机和滑翔机拖航飞机仍在产。交付使用的DR400飞机超过1700架。
",NULL,后掠翼,4人,7米,1100千克
Learjet 23双发涡喷轻型公务机,飞行器,903千米每小时,10.8米,通用电气公司CJ610涡轮喷气发动机,1963年10月7日,双发,NULL,NULL,2945千米,{'$oid': '5cc93134831b973d657f132c'},NULL,http://images.huanqiu.com/sarons/2014/01/8e564087efb17058e862e7ec9e02466f.jpg,3.7米,2790千克,NULL,美国,亚音速,通用飞机,,美国盖茨·利尔喷气公司,后掠翼,10人,14.5米,5670千克
Learjet 31双发涡扇轻型公务机,飞行器,860千米每小时,13.36米,霍尼韦尔TFE731涡轮风扇发动机,1987年5月11日,双发,NULL,NULL,2691千米,{'$oid': '5cc93134831b973d657f132d'},NULL,http://images.huanqiu.com/sarons/2014/01/9f898b8462acadb11c39fc496763d307.jpg,3.75米,4471千克,1988年夏季,美国,亚音速,通用飞机,,美国盖茨·利尔喷气公司,后掠翼,9人,14.83米,7030千克
Robin HR100“王室”/“狩猎旅行”/R.1180 Aiglon单发活塞式轻型飞机,飞行器,251千米每小时,9.08米,1×Lycoming O-360-A3AD,1969年4月3日,单发,NULL,NULL,1625千米,{'$oid': '5cc93134831b973d657f132e'},法国Robin公司,http://images.huanqiu.com/sarons/2014/01/477d089a856ea81306cc30827cff8d88.jpg,2.38米,650千克,NULL,法国,亚音速,通用飞机,"
HR.100采用下单翼、全金属设计，具有带整流罩的固定前三点式起落架和能够容纳4人的密封舱。HR.100于1969年4月3日首飞，1971年投产。与Robin公司以前Jodel机型所不同的是，HR.100机型放弃了传统的弯曲翼型。HR.100总共交付了174架。
",NULL,平直翼,4人,7.26米,NULL
格鲁曼G-159“湾流”Ⅰ双发涡轮螺旋桨行政运输机,飞行器,560千米每小时,23.9米,2 × Rolls-Royce Dart 529,1958年8月14日,双发,NULL,NULL,4087千米,{'$oid': '5cc93135831b973d657f132f'},NULL,http://images.huanqiu.com/sarons/2013/12/db11264a8ecac4f3c67c53fdffd99479.jpg,6.9米,9934千克,1959年6月,美国,亚音速,通用飞机,,格鲁曼,平直翼,26人,19.4米,15921千克
霍克4000双发涡轮风扇中型公务机,飞行器,890千米每小时,18.8米,普-惠公司PW308A涡轮风扇发动机,2001年8月11日,双发,NULL,NULL,6180千米,{'$oid': '5cc93135831b973d657f1330'},NULL,http://images.huanqiu.com/sarons/2014/01/81dca414bc9c7b18815b36eae41b8f6a.jpg,6米,10659千克,2004年夏季,美国,亚音速,通用飞机,,雷声飞机公司,后掠翼,14人,21.1米,17917千克
G-1159“湾流”Ⅱ/Ⅲ双发涡轮风扇大型远程公务机,飞行器,928千米每小时,23.7米,2×Rolls-Royce Spey 511-8,1966年10月2日,双发,NULL,NULL,6760千米,{'$oid': '5cc93135831b973d657f1331'},NULL,http://images.huanqiu.com/sarons/2013/12/81be0a61cdac1ea263364e245dffc65d.jpg,7.4米,16576千克,1967年12月,美国,亚音速,通用飞机,,NULL,平直翼,23人,25.3米,31615千克
霍克400双发涡轮风扇喷气式公务机和军用教练机,飞行器,866千米每小时,13.26米,2×加拿大普惠JT15D-5,1978年8月29日,双发,NULL,NULL,3135千米,{'$oid': '5cc93135831b973d657f1332'},NULL,http://images.huanqiu.com/sarons/2013/12/148385ea9216b188d898f9930bbf10f3.jpg,4.24米,4558千克,1986年6月,美国,亚音速,通用飞机,,比奇公司,平直翼,10人,14.76米,7303千克
银河G200双发涡轮风扇超级中型公务机,飞行器,900千米每小时,17.7米,2×加拿大普惠PW306A,1997年12月25日,双发,NULL,NULL,6300千米,{'$oid': '5cc93135831b973d657f1333'},NULL,http://images.huanqiu.com/sarons/2013/12/d5f3deb48cd0d292b2c2f37c785758db.jpg,6.5米,8709千克,2000年1月,美国,亚音速,通用飞机,,湾流宇航公司（以色列飞机工业公司）,后掠翼,20人,19米,16080千克
霍克1000双发涡轮风扇远程中型公务机,飞行器,870千米每小时,15.7米,加拿大普惠PW-305,1989年6月16日,双发,NULL,NULL,6736千米,{'$oid': '5cc93136831b973d657f1334'},NULL,http://images.huanqiu.com/sarons/2013/12/4f4892c1dd9c6882d56df015d87dcd97.jpg,5.2米,7810千克,1991年12月,美国,亚音速,通用飞机,,英国航宇公司，雷声公司,后掠翼,17人,16.4米,14060千克
Piper PA-32“切诺基·六”/“长矛”/“萨拉托加”单发活塞式轻型旅行飞机/公务机,飞行器,324千米每小时,10米,1×Lycoming IO-540-K1A5 300 hp (225 kW),1963年12月6日,单发,NULL,NULL,1590千米,{'$oid': '5cc93136831b973d657f1335'},美国派珀（Piper）飞机公司,http://images.huanqiu.com/sarons/2014/01/6298e8aae5bd103f8ff68203d396bf9b.jpg,2.4米,811千克,1965年,美国,亚音速,通用飞机,"
PA-32是由PA-28-235发展而来的机型，具有更高的空间，6个座位，机身作了加长，采用加固的起落架和更大的尾翼。“切诺基·六”机型于1963年12月6日首飞，1965年中开始交付使用。“切诺基·六”机型在巴西也有制造，名为EMB-720“米努诺”。“萨拉托加”机型采用了新型机翼和燃油喷射发动机，“长矛”则安装T型尾翼。PA-32各机型的总交付量超过7200架。
",NULL,平直翼,6人,8.4米,1633千克
Piper PA-30/39“双科曼奇”双发活塞式轻型飞机,飞行器,312千米每小时,11米,Lycoming IO-320-B1A发动机,1962年11月7日,双发,NULL,NULL,1650千米,{'$oid': '5cc93136831b973d657f1336'},美国派珀（Piper）飞机公司,http://images.huanqiu.com/sarons/2014/01/358bc7fbd4b72ff68bf458b31c000df5.jpg,2.5米,1002千克,1963年,美国,亚音速,通用飞机,"
PA-30是PA-24“科曼奇”飞机的双发发展机型，该机型于1962年11月7日首飞，1963年夏季开始交付使用。PA-30之后，PA-39机型引入了可反推的螺旋桨。总交付量如下：PA-30共交付2001架，PA-39共交付155架。（图为Piper PA-30）
",NULL,平直翼,4人,7.7米,1690千克
