_id,参战情况,图片,类型,名称,生产年限,简介,大类,制造商,关注度,产国
{'$oid': '5cc9329f831b973d657f1c7f'},NULL,,迷彩服,81式伪装衣（1988年产）,1988年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329f831b973d657f1c80'},NULL,,迷彩服,林地迷彩服,90年代,"
在解放军全面配发制式迷彩服前，有部队自行研制迷彩服。这里介绍广州军区少量配发的林地迷彩。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329f831b973d657f1c81'},NULL,,迷彩服,空降部队林地迷彩服,90年代,"
在中国人民解放军全面配发制式迷彩服前，空降部队曾少量配发的林地迷彩服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329f831b973d657f1c82'},NULL,,迷彩服,陆自沙漠迷彩服,2012年,,枪械与单兵,NULL,NULL,日本
{'$oid': '5cc9329f831b973d657f1c83'},NULL,,迷彩服,迷彩服III型,2007年,,枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932a0831b973d657f1c84'},NULL,,迷彩服,87式海洋迷彩服,NULL,"
为了提升南海守礁士兵在浅水海域环境的伪装，我军设计出87式海洋迷彩服替代了三色水波纹迷彩，后几经改版逐渐成为海军陆战队的制式迷彩服。87式海洋迷彩服由蓝色、白色、褐色及绿色组成四色变形迷彩，在海岛及滩涂水际环境有较好的防目视侦察作用，主要配发给海军陆战队及部分海军舰艇官兵。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc932a0831b973d657f1c85'},NULL,,迷彩服,87式荒漠迷彩冬作训服,1991年,"
我军在87式林地迷彩的模式上设计出87式荒漠迷彩冬作训服、87式海洋迷彩服及87式城市迷彩服等四款迷彩，从而构成了87式迷彩系列。

87式荒漠迷彩冬作训服，于1991年推出，迷彩图案由土黄色、棕色、褐色及绿色组成，类似法军的“中欧迷彩”，式样采用派克式。主要适用于荒原、高原、沙漠以及冬季北方地区，具备一定的防目视侦察作用。但只是少量配发给驻藏部队。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc932a0831b973d657f1c86'},NULL,,迷彩服,实验锯齿式迷彩服,1976年,"
实验锯齿式迷彩（BW Truppenversuch 76 Sägezahnmuster）于上个世纪70年代末推出。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a0831b973d657f1c87'},NULL,,迷彩服,航自数码迷彩服(试装版),NULL,,枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932a0831b973d657f1c88'},NULL,,迷彩服,点状迷彩（II型）,1991年,,枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932a0831b973d657f1c89'},NULL,,迷彩服,实验点状式迷彩服,1976年,"
实验点状式迷彩服（BW Truppenversuch 76 Punkttarnmuster），与实验锯齿式迷彩服同年推出，均配发德国军队。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a0831b973d657f1c8a'},NULL,,迷彩服,航空自卫队新型迷彩作业服,2009年,,枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932a0831b973d657f1c8b'},NULL,,迷彩服,航自野战迷彩服,1988年,,枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932a1831b973d657f1c8c'},NULL,,迷彩服,沙漠迷彩服,2008年,,枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932a1831b973d657f1c8d'},NULL,,迷彩服,实验斑点迷彩服B型,1989年,"
70年代末，西德、法国、丹麦及比利时不约而同地委托荷兰国防物资研究中心开发新一代军用被服，其后荷兰推出了现代班点迷彩的雏彩，并由丹麦（78式、84式及98式迷彩）及比利时空军率先采用。但法国基于政治理由，不想与德国采用类似军服而自行发展出中欧迷彩。而德国国防部则迟至1987年才正式采用斑点迷彩为联邦国防军制式被服。实验斑点迷彩服B型（FlecktarnmusterB）于1989年推出。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a1831b973d657f1c8e'},NULL,,迷彩服,沙漠迷彩服,2004年,"
    沙漠迷彩（Wüstentarn），德国于2004年推出。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a1831b973d657f1c8f'},NULL,,迷彩服,海自数码迷彩服,2012年推出,,枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932a1831b973d657f1c90'},NULL,,迷彩服,“碎裂块”迷彩,1935年,,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a2831b973d657f1c91'},NULL,,迷彩服,三色林地迷彩服A,1988年,"
    由浅绿色、深绿色和棕色构成，1988年推出，主要供苏联空降兵和海军陆战队使用；20世纪90年代俄罗斯也配发给内政部部队使用，同时，乌克兰军队也使用该模式。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a2831b973d657f1c92'},NULL,,迷彩服,仿意大利迷彩版,1931年,,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a2831b973d657f1c93'},NULL,,迷彩服,丛林斑点迷彩服,1991年,"
    丛林斑点迷彩（Flecktarnmuster）由浅绿色、绿色、灰色、暗绿色、红褐色和黑色构成。自1991年起配发给统一后的德国国防军，大约在1995年全军换装完毕。除了一般的战斗服及中棉袄外，尚有供装甲兵使用的连身服及冬季用的Gore-tex外套（德国是欧洲唯一使用Gore-tex物料的国家，其他各国一般采用荷兰的Sympatex物料生产防风、防水外套）。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a2831b973d657f1c94'},NULL,,迷彩服,二式荒漠斑点迷彩服,2001年,"
    二式荒漠斑点迷彩服（2nd Desert Flecktarn pattern）， 为德国国防军2001年装备，使用至今。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a2831b973d657f1c95'},NULL,,迷彩服,三色林地迷彩服B,NULL,"
    与三色林地迷彩服A为同一时期的另一款三色林地迷彩服，由浅紫色、深紫色和深绿色构成。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a2831b973d657f1c96'},NULL,,迷彩服,迷彩跳伞服,二战前后,,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a3831b973d657f1c97'},NULL,,迷彩服,陆自摩托兵迷彩,NULL,,枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932a3831b973d657f1c98'},NULL,,迷彩服,城市斑点迷彩服,NULL,"
    很多人认为德国现役斑点迷彩源于二战后期德国党卫队的M1944型迷彩，其实不然（瑞士军方采用的92式迷彩才是44型迷彩的现代版），德国现役斑点迷彩的真正起源是70年代末荷兰国防物资研究中心的一个军用服饰研究项目。这个为大家介绍城市斑点迷彩服。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a3831b973d657f1c99'},NULL,,迷彩服,热带伪装迷彩服,1993年,,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a3831b973d657f1c9a'},NULL,,迷彩服,悬铃木（Plane tree）,1940年～1944年,"
首次将迷彩大量投入实战的却是二战时期的纳粹德国的武装党卫军（SS）。Plane tree A,B pattern，悬铃木（俗称法国梧桐）A,B模式，是其研制的其中一款。迷彩主体的明亮色由滚筒印染来完成，剩余的暗色部分则仍由手工完成。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a3831b973d657f1c9b'},NULL,,迷彩服,橡树叶AB型(也叫EF型) ,1940年～1945年,,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a3831b973d657f1c9c'},NULL,,迷彩服,狙击手城市迷彩服,1943年,"
    狙击手城市迷彩套装由前苏联1943年推出。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a4831b973d657f1c9d'},NULL,,迷彩服,冬季迷彩服,NULL,"
    二战期间，前苏联装备的冬季迷彩套装。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a4831b973d657f1c9e'},阿富汗战争,,迷彩服,绿色版迷彩服,NULL,"
    绿色版双面KZM迷彩服，前苏联曾与阿富汗战争时期使用过。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a4831b973d657f1c9f'},NULL,,迷彩服,棕榈树（椰子树）C型,1940年～1942年,,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a4831b973d657f1ca0'},NULL,,迷彩服,豌豆型(Dot pattern ),NULL,,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a4831b973d657f1ca1'},NULL,,迷彩服,雾边（模糊边缘）D型,二战时期,,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a4831b973d657f1ca2'},NULL,,迷彩服,”雷柏“迷彩服,NULL,"
    “雷柏”迷彩服，据传源自于德国二战时期的”人体“模式，很多东欧国家都有模仿制作使用。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a4831b973d657f1ca3'},阿富汗战争,,迷彩服,山地迷彩服,NULL,"
    前苏联山地迷彩服，在阿富汗战争曾大量配发。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a5831b973d657f1ca4'},NULL,,迷彩服,黄色版连头套迷彩服,1975年,"
    KZM（黄色版）连头套迷彩服，1975年推出，供侦察兵、工兵和汽车兵使用。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a5831b973d657f1ca5'},NULL,,迷彩服,三色迷彩服,1943年,,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a5831b973d657f1ca6'},NULL,,迷彩服,人体型(body pattern),二战前后,,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932a5831b973d657f1ca7'},NULL,,迷彩服,绿色叶片连体迷彩服,NULL,"
    二战期间，苏联使用的一种绿色叶片连体迷彩套装。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a6831b973d657f1ca8'},NULL,,迷彩服,伪装网（麻绳编织）,50年代,    用麻绳编织而成的上半身全覆盖式伪装网，使用者可根据不同的环境在网上绑缚相应的草、树叶或布条来实施伪装，这种伪装网由于成本低廉、使用简单，因而从50年代至今仍被解放军及武警一线作战人员广为使用。   这种伪装网主要用于轻装或需简单伪装的任务需要，或需要具有较高姿态活动的地理环境，缺点是伪装不周全。,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc932a6831b973d657f1ca9'},NULL,,迷彩服,阿米巴迷彩服,NULL,"
    具有独特苏军风格的“阿米巴迷彩”分为棕色和绿色。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a6831b973d657f1caa'},NULL,,迷彩服,伪装服（草原色调）,NULL,"
    以麻绳和棉线为主材的青草/草原色调全身全覆盖式伪装服，质量最大、穿着闷热，适用于温带草原、平原的植被环境。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc932a6831b973d657f1cab'},NULL,,迷彩服,棕色叶片迷彩服,NULL,"
   二战期间为前苏联所装备的一种棕色叶片迷彩连体套装。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a6831b973d657f1cac'},NULL,,迷彩服,制式伪装网（防红外）,NULL,"
    制式防红外线侦察伪装网,最大的特点是透气、通风，且穿着舒适。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc932a6831b973d657f1cad'},NULL,,迷彩服,伪装服（可附加植物）,NULL,"
     以麻绳和布条为主材的全身全覆盖式伪装服，可附加相应的天然植物，伪装效果和覆盖率较好，适用于草原、平原或草丛较多的任务环境，在树林或树丛里也有不错的伪装效果；但在浓密的灌木林移动极易被树枝勾缠，反而造成行动的暴露。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc932a6831b973d657f1cae'},NULL,,迷彩服,蓝色叶片连体迷彩服,NULL,"
    是前苏联二战期间所使用的蓝色叶片连体迷彩套装。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a6831b973d657f1caf'},NULL,,迷彩服,制式侦察伪装服（防红外）,NULL,"
    供我军侦察兵使用的制式防红外线侦察伪装服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc932a6831b973d657f1cb0'},NULL,,迷彩服,双面雪地迷彩服,NULL,"
    二战期间，前苏联所使用的一种双面雪地迷彩服。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a7831b973d657f1cb1'},NULL,,迷彩服,绿色叶片迷彩服套装,NULL,"
    前苏联于1943年-1945年推出的另几款绿色叶片迷彩套装。
",枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc932a7831b973d657f1cb2'},NULL,,迷彩服,伪装服（以草为主）,NULL,"
   美军狙击手以草为主材的一种伪装服。
",枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a7831b973d657f1cb3'},NULL,,迷彩服,波浪网型沙漠伪装服,NULL,"
  我军所使用的一种波浪网型沙漠伪装服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc932a7831b973d657f1cb4'},NULL,,迷彩服,NWU（Navy Working Uniform，海军工作服）,2006年发布,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a7831b973d657f1cb5'},NULL,,迷彩服,伪装服（麻绳和棉线编织）,NULL,"
    这种伪装服的材料以麻绳和棉线为主，适用于草原、平原或草丛较多的任务环境，在树林或树丛里也有不错的伪装效果。
",枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a7831b973d657f1cb6'},NULL,,迷彩服,通用迷彩样式（Universal Camouflage Pattern）,2005年开始配发,"
ACU(Army Combat Uniform)是美国陆军采用的作战迷彩军服,由美国陆军纳堤克士兵中心（U.S. Army Natick Soldier Center）和一些部队共同设计完成的。美国陆军在2004年6月14日宣布换装计划后，于2005年开始配发。

UCP是通用迷彩样式（Universal Camouflage Pattern）的缩写，美国陆军开发作战服（ACU）的数码迷彩图案。
",枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a7831b973d657f1cb7'},NULL,,迷彩服,新型雪地伪装服,NULL,"
    为高寒地区官兵所采用新型的雪地伪装服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc932a7831b973d657f1cb8'},海湾战争,,迷彩服,沙漠伪装服,NULL,"
    1991年海湾战争中美国狙击手制作的其中一种沙漠伪装服。
",枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a8831b973d657f1cb9'},NULL,,迷彩服,狙击手伪装服,NULL,"
   也许着重于阵地战，二战早期狙击手的伪装较简单，除了穿迷彩服外就是在过肩的伪装网上绑上树叶。
",枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a8831b973d657f1cba'},NULL,,迷彩服,持久自由行动迷彩样式（OCP）,2010年以后,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a8831b973d657f1cbb'},NULL,,迷彩服,狙击手自制伪装衣,NULL,"
   狙击手用人工伪装材料或天然伪装材料自行制作的伪装衣（服）。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc932a8831b973d657f1cbc'},NULL,,迷彩服,全身全覆盖式伪装服,NULL,"
    以布条为制作主材的全身全覆盖式伪装服。
",枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a8831b973d657f1cbd'},NULL,,迷彩服,上半身半覆盖式伪装服,NULL,"
    如图海军陆战队狙击手身穿上半身半覆盖式伪装服，主要用于轻装或需简单伪装的任务需要，或需要具有较高姿态活动的地理环境，这种伪装服较为轻便，制作非常简单，通风散热性最好；但伪装的遮盖率是最小的，暴露的几率大。
",枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a8831b973d657f1cbe'},NULL,,迷彩服,六色沙漠迷彩服（DBDU）,1981-1993年,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a9831b973d657f1cbf'},NULL,,迷彩服,上半身半覆盖式伪装衣,NULL,"
    如图为身着以麻绳和棉线为主材的上半身半覆盖式伪装衣的陆上自卫队狙击手。
",枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932a9831b973d657f1cc0'},NULL,,迷彩服,上半身半覆盖式伪装服（林地/森林色调）,NULL,"
   这种伪装服仅对上半身背部进行覆盖，主要用于轻装或需简单伪装的任务需要，或需要具有较高姿态活动的地理环境。这种伪装服最为轻便，制作较简单，并且通风、散热性最好；但伪装的遮盖率是最小的，暴露的几率大。
",枪械与单兵,NULL,NULL,波兰
{'$oid': '5cc932a9831b973d657f1cc1'},NULL,,迷彩服,全身全覆盖式仿生伪装服（雪地）,NULL,"
    全身全覆盖式仿生（雪地）伪装服，波兰特种部队GROM使用。
",枪械与单兵,NULL,NULL,波兰
{'$oid': '5cc932a9831b973d657f1cc2'},NULL,,迷彩服,披风衣（以草伪装）,NULL,,枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932a9831b973d657f1cc3'},NULL,,迷彩服,波浪网型伪装服,NULL,"
   这种伪装服的材料多是在伪装网上以尼龙、破布条或塑料制成假叶子，具有一定的防水性（不吸水），适用于灌木或乔木的环境。此种伪装服又可分为两类：一类是以模仿灌木（BUSH）为主的伪装服，这种外观看似波浪网型的伪装服，很适合雨林、沼泽、湿地或沿岸灌木的植被环境；另一类是以模仿灌木或树叶堆（RAG）为主的伪装服，多以枯树叶为模仿/伪装对象。多以枯叶色调居多，因为落叶灌木或落叶乔木很少会在充满绿叶时落叶，除非是以常绿灌木或乔木为伪装对象。

    这里介绍的这种以模仿灌木（BUSH）为主的伪装服，外观看似波浪网型的伪装服，很适合雨林、沼泽、湿地或沿岸灌木的植被环境。
",枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a9831b973d657f1cc4'},NULL,,迷彩服,制式半活动叶片仿生伪装服,NULL,"
    一套完整的伪装服由里到外包括三大部分：基本服，在肘部和膝部加强缝补的迷彩服或连体衣；伪装服，由基本底网（军用伪装网）和人工伪装材料（麻绳、线或布条）两种材料编制而成；天然伪装材料，外附在伪装服上的天然植物。这里介绍制式半活动叶片仿生伪装服。
",枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932a9831b973d657f1cc5'},NULL,,迷彩服,全身全覆盖式伪装服,NULL,"
    日本制式波浪网型全身全覆盖式伪装服。
",枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932aa831b973d657f1cc6'},NULL,,迷彩服,海军陆战队作战服MCCUU (MARPAT),2002年-2004年,"
MCCUU（Marine Corps Combat Utility Uniform，海军陆战队作战服），是专门为海军陆战队设计的，也是美军最早正式装备的数码迷彩作战服。迷彩叫做MARPAT（海军陆战队迷彩）。

MARPAT是MarinePattern（海军陆战队迷彩样式）的缩写，有丛林、沙漠和雪地三种。最早的设计中包括了城市迷彩，但没有被采用。2001年开始野外试验，2002年发布并开始装备部队，2004年装备完成。MARPAT迷彩除了颜色，其他地方与加拿大的CADPAT并没有太大的区别。
",枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932aa831b973d657f1cc7'},NULL,,迷彩服,伪装衣,NULL,"
    二战初期旧日军狙击手的伪装手段较简单，一般是在伪装网插上树叶、草片等植物。
",枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932aa831b973d657f1cc8'},NULL,,迷彩服,蓑衣（椰树叶）,NULL,"
    以椰树叶做蓑衣状的伪装，作为狙击手他们还可以得到一种爬树器具，那是一种固定在鞋上，有两对道钉的金属构造的装备。这种类似于电话接线员使用的装备能让士兵快速地爬到树冠上进行隐蔽。他们还经常会用安全索将自己固定在树木顶端，在中近距离上向前或向后伏击前进中的盟军部队。
",枪械与单兵,NULL,NULL,日本
{'$oid': '5cc932aa831b973d657f1cc9'},NULL,,迷彩服, ABU（空军作战服）,2007年,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932aa831b973d657f1cca'},NULL,,迷彩服,全身全覆盖式伪装服,NULL,"
    用棉线和麻绳做成的全身全覆盖式伪装服，注意其中间是有拉链的。
",枪械与单兵,NULL,NULL,波兰
{'$oid': '5cc932aa831b973d657f1ccb'},NULL,,迷彩服,迷彩网巾,NULL,"
训练中的狙击手只是覆盖一块迷彩网巾。
",枪械与单兵,NULL,NULL,法国
{'$oid': '5cc932aa831b973d657f1ccc'},NULL,,迷彩服,丛林四色迷彩(BDU),NULL,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932ab831b973d657f1ccd'},NULL,,迷彩服,伪装网（巾）,NULL,"
这种伪装网（巾）不算是伪装服，最大的特点是透气、通风，使用便捷；但使用的环境有一定要求，在某些特殊的环境（如植被稀少的沙漠或岩石地区）也能发挥不错的伪装效果。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932ab831b973d657f1cce'},NULL,,迷彩服,制式仿生连体伪装服,NULL,"
    法国特种部队狙击手有时也会使用这种制式仿生连体伪装服。
",枪械与单兵,NULL,NULL,法国
{'$oid': '5cc932ab831b973d657f1ccf'},NULL,,迷彩服,后半身全覆盖式伪装服（枯草色调）,NULL,"
   以模仿灌木或树叶堆（RAG）为主的后半身全覆盖式枯草色调伪装服，材料以尼龙、破布条为主。重点伪装人体的背部，有时伪装部位会延伸到肩部或胸部，适用于像草地或树叶堆这类低隐蔽性的植被环境。狙击手在使用时多是趴在地上，所以身体的正面很少伪装，是最为常见的一种伪装服。
",枪械与单兵,NULL,NULL,波兰
{'$oid': '5cc932ab831b973d657f1cd0'},NULL,,迷彩服,伪装服（枯草沙漠/雪地/林地）,NULL,"
伊朗一种枯草沙漠色调、雪地色调及林地色调伪装服。
",枪械与单兵,NULL,NULL,伊朗
{'$oid': '5cc932ab831b973d657f1cd1'},NULL,,迷彩服,全身全覆盖式伪装服（非制式）,NULL,"
以布条为主材的全身全覆盖式伪装服（非制式）。
",枪械与单兵,NULL,NULL,法国
{'$oid': '5cc932ab831b973d657f1cd2'},NULL,,迷彩服,全身覆盖式伪装服（林地色调）,NULL,"
林地色调全身覆盖式伪装服，伪装效果最好，但穿着闷热，质量大行动不便。
",枪械与单兵,NULL,NULL,伊朗
{'$oid': '5cc932ab831b973d657f1cd3'},NULL,,迷彩服,伪装服（尼龙或塑料）,NULL,"
配备伊朗第65空降旅狙击手的是""Bushrag""（模仿/伪装成矮灌木丛或树叶堆的伪装服），以尼龙或塑料制成假叶子，具有一定防水性，使用于灌木或乔木环境。
",枪械与单兵,NULL,NULL,伊朗
{'$oid': '5cc932ab831b973d657f1cd4'},NULL,,迷彩服,上半身半覆盖式伪装服,NULL,"
如图穿戴上半身半覆盖式伪装服的法国外籍雇佣兵团狙击手。
",枪械与单兵,NULL,NULL,法国
{'$oid': '5cc932ac831b973d657f1cd5'},NULL,,迷彩服,制式仿生连体伪装服(林地/雪地),NULL,"
    法国制式仿生连体伪装服有林地迷彩和雪地迷彩两种色调，主要配发给特种部队使用。
",枪械与单兵,NULL,NULL,法国
{'$oid': '5cc932ac831b973d657f1cd6'},NULL,,迷彩服,迷彩伪装网,NULL,"
这种迷彩伪装网有利于快速移动，但缺点是伪装不周全。
",枪械与单兵,NULL,NULL,英国
{'$oid': '5cc932ac831b973d657f1cd7'},NULL,,迷彩服,波浪网型伪装服,NULL,"
墨西哥狙击手使用的波浪网型的全身全覆盖式伪装服（BUSH）。
",枪械与单兵,NULL,NULL,墨西哥
{'$oid': '5cc932ac831b973d657f1cd8'},NULL,,迷彩服,伪装网巾,NULL,"
二战时期巷战中的狙击手大多用网巾作伪装。
",枪械与单兵,NULL,NULL,英国
{'$oid': '5cc932ac831b973d657f1cd9'},NULL,,迷彩服,波浪网型伪装服,NULL,"
德国所装备使用的一种全身全覆盖式波浪网型的伪装服。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932ac831b973d657f1cda'},NULL,,迷彩服,仿生伪装服,NULL,"
墨西哥陆军特种部队GAFE配备仿生伪装服。
",枪械与单兵,NULL,NULL,墨西哥
{'$oid': '5cc932ad831b973d657f1cdb'},NULL,,迷彩服,纵纹蜥蜴迷彩服,1981年,,枪械与单兵,NULL,NULL,新加坡
{'$oid': '5cc932ad831b973d657f1cdc'},NULL,,迷彩服,通用4号迷彩服,80年代中期,,枪械与单兵,NULL,NULL,新加坡
{'$oid': '5cc932ad831b973d657f1cdd'},NULL,,迷彩服,伪装服（麻绳和棉线）,NULL,"
以麻绳和棉线为主、伪装成草丛或草堆的全身全覆盖式伪装服。
",枪械与单兵,NULL,NULL,墨西哥
{'$oid': '5cc932ad831b973d657f1cde'},NULL,,迷彩服,09年数码迷彩服,2009年,"
2009年，新加坡武装部队推出了两个系列的数码迷彩取代以前的林地迷彩。温带版本由棕色、黑色绿色及苔藓绿组成，沙漠版本由沙色背景以及深褐色和棕褐色组成。
",枪械与单兵,NULL,NULL,新加坡
{'$oid': '5cc932ad831b973d657f1cdf'},NULL,,迷彩服,海军灰色数码迷彩服,2012年,"
海军灰色数码迷彩在2012年推出。
",枪械与单兵,NULL,NULL,新加坡
{'$oid': '5cc932ad831b973d657f1ce0'},NULL,,迷彩服,麻袋布伪装服,NULL,,枪械与单兵,NULL,NULL,英国
{'$oid': '5cc932ad831b973d657f1ce1'},NULL,,迷彩服,伪装服（麻绳、棉线及天然草）,NULL,"
以麻绳、棉线及天然草制成的上半身半覆盖式伪装服，主要用于轻装或需简单伪装的任务需要，或需要具有较高姿态活动的地理环境（如山地、雪地、沙漠等）。这种伪装服最为轻便，制作也非常简单，并且通风、散热性最好；但伪装的遮盖率是最小的，暴露的几率大。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc932ae831b973d657f1ce2'},NULL,,迷彩服,12年数码迷彩服,2012年,,枪械与单兵,NULL,NULL,新加坡
{'$oid': '5cc932ae831b973d657f1ce3'},NULL,,迷彩服,虎纹斑迷彩服,1960年-1975年,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932ae831b973d657f1ce4'},NULL,,迷彩服,猎鸭人式迷彩服,1942年-1967年,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932ae831b973d657f1ce5'},越战,,迷彩服,M1948 ERDL迷彩服,60年代,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932ae831b973d657f1ce6'},NULL,,迷彩服,灰色数码迷彩服,NULL,,枪械与单兵,NULL,NULL,新加坡
{'$oid': '5cc932af831b973d657f1ce7'},NULL,,迷彩服,实验污点迷彩服,1942年,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932af831b973d657f1ce8'},NULL,,迷彩服,M65 ERDL迷彩服,1968年-1980年,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932af831b973d657f1ce9'},NULL,,迷彩服,蜥蜴迷彩服,NULL,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932af831b973d657f1cea'},NULL,,迷彩服,M1942葡萄叶迷彩服,1943年-1970年,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932af831b973d657f1ceb'},NULL,,迷彩服,M1942 HBT双面迷彩服,NULL,,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932b0831b973d657f1cec'},NULL,,迷彩服,M1942 云块迷彩服,1943年-1970年,"
M1942云块迷彩服（clouds pattern），为美军在1943年-1970年装备使用。
",枪械与单兵,NULL,NULL,美国
{'$oid': '5cc932b0831b973d657f1ced'},NULL,,迷彩服,E式迷彩服,1975年,"
E式迷彩服，美军在1975年装备使用。也曾在越战中使用。
",枪械与单兵,NULL,NULL,美国
