名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量,挂载点
C-17“环球霸王Ⅲ”,飞行器,830千米每小时,51.7米,四台普-惠F117-PW-100发动机,1991年9月15日,四发,NULL,NULL,NULL,11600千米,{'$oid': '5cc93114831b973d657f127e'},波音公司,http://images.huanqiu.com/sarons/2013/08/8e371a72ed789033b2791ee59c703342.jpg,16.8米,125645千克,1993年8月14日,美国,亚音速,运输机,,波音公司,后掠翼,154人,53米,285750千克,NULL
C-22,飞行器,1001千米每小时,32.92米,三台普-惠JT8D-9A发动机,1967年7月27日,三发,NULL,NULL,NULL,4392千米,{'$oid': '5cc93114831b973d657f127f'},波音公司,http://images.huanqiu.com/sarons/2013/08/f81d15868640d83cf554b03b67dd7452.jpg,10.36米,46675千克,1967年,美国,亚音速,运输机,"
波音C-22又称为波音727，波音727是一款中程三引擎窄体客机，由美国波音公司所生产研发，载客量由149人至189人，航程达2400至2700海里。波音727采用普惠JT8D引擎，采用T型尾翼，引擎放在机身后方，其中二号引擎放在机身上方、尾翼下方，由S型管连接引擎和进气口。尽管是全球最成功的客机之一，波音727还是未能在美国军队中得到广泛使用。
",波音公司,后掠翼,93人,46.69米,95027千克,NULL
JRS-1/OA-8通用运输机,飞行器,306千米每小时,26.21米,两台普-惠R-1690-52发动机,1937年（JRS-1）,单发,NULL,NULL,NULL,1247千米,{'$oid': '5cc93114831b973d657f1280'},NULL,http://images.huanqiu.com/sarons/2013/08/82d1358511c48168be7a3f0e6d63b11e.jpg,5.38米,5783千克,1937年,美国,亚音速,运输机,"
JRS-1型飞机是美国西科斯基公司S-43型的军用版。第二次世界大战前夕，被美国海军和海军陆战队作为运输勤务飞机使用。尽管产量很少，西科斯基的两栖机却历经了第二次世界大战的整个过程。
",美国西科斯基公司,平直翼,19人,15.6米,8662千克,NULL
T-29/R4Y/C-131,飞行器,474千米每小时,28.01米,两台普-惠R-2800-97发动机,1949年9月22日（T-29A）,双发,NULL,NULL,NULL,2400千米,{'$oid': '5cc93114831b973d657f1281'},NULL,http://images.huanqiu.com/sarons/2013/08/20085ad347132bc7facfc244757914c2.jpg,7.95米,13154千克,NULL,美国,亚音速,运输机,,康维尔公司,平直翼,20人,22.79米,19766千克,NULL
PS/RA/C-6,飞行器,198千米每小时,21.88米,两台普-惠R-1340CS发动机,1927年（XPS-1）,单发,NULL,NULL,NULL,950千米,{'$oid': '5cc93114831b973d657f1282'},美国西科斯基（Sikorsky）公司,http://images.huanqiu.com/sarons/2013/08/c00e7f314cb5f14e4ae59cefed6ec76b.jpg,3.99米,3057千克,NULL,美国,亚音速,运输机,"
西科斯基公司的S系列两栖机在民用市场上的销售获得了极大的成功，1927年，美国海军对双尾桁翼半式水上飞机产生了兴趣，购买了一架S-38，重新命名为XPS-1。该机机头安装一挺机枪，将其作为备选巡逻机进行评估后，XPS-1被认为不适合这个角色，降格作为通用机使用。
",NULL,双翼,8人,12.28米,4683千克,NULL
福特JR/RR/C系列,飞行器,216千米每小时,23.5米,三台普-惠R-1340-88发动机,1926年6月11日,三发,NULL,NULL,NULL,808千米,{'$oid': '5cc93115831b973d657f1283'},NULL,http://images.huanqiu.com/sarons/2013/08/50da1b10fed2edb07ddb09e2eca7ede7.jpg,4.14米,3696千克,NULL,美国,亚音速,运输机,"
作为20世纪20年代末期的民用航空标志，福特“三发动机（Tri-Mortor）”民用机也拿到了美国陆军和海军的少量订单。“三发动机”是设计师比尔·斯图特历时三年工作的结晶，也是他的金属悬臂式单翼机的巅峰之作，在1927年～1931年，美国海军最终只购买了9架，陆军购买了13架。海军型最初根据它们的机翼和发动机配置，分别命名为JR-1／2／3，到1930年，全部更名为RR-2／3／4。陆军的“三发动机”同样根据它们的发动机和翼展的不同，各自命名为C-3／4／9。
",福特汽车公司,平直翼,17人,15.33米,6123千克,NULL
18型“北极星”,飞行器,407千米每小时,19.96米,两台莱特R-1820-71发动机,1939年9月21日,双发,NULL,NULL,NULL,2575千米,{'$oid': '5cc93115831b973d657f1284'},NULL,,3.38米,5284千克,NULL,美国,亚音速,运输机,,洛克希德公司,平直翼,17人,15.19米,7938千克,NULL
R3Y“信风”,飞行器,624千米每小时,44.42米,四台阿里逊T-40-A-4发动机,1950年4月18日,双发,NULL,NULL,NULL,4482千米,{'$oid': '5cc93115831b973d657f1285'},NULL,http://images.huanqiu.com/sarons/2013/08/1b0c11c9e6b5ba89786654f410b5faca.jpg,15.68米,32597千克,NULL,美国,亚音速,运输机,,康维尔公司,平直翼,108人,42.26米,65998千克,NULL
UC-70和GH/NH“夜莺”,飞行器,323千米每小时,11.58米,普-惠R-985“小黄蜂”发动机,1941年年中,单发,NULL,NULL,NULL,2028千米,{'$oid': '5cc93116831b973d657f1286'},NULL,http://images.huanqiu.com/sarons/2013/08/6f2f8196002e08c33151d68d472abb15.jpg,2.57米,1225千克,NULL,美国,亚音速,运输机,,霍华德飞机公司,平直翼,5人,7.86米,1973千克,NULL
道格拉斯R-3D,飞行器,356千米每小时,23.77米,两台莱特GR-1820-F62发动机,1939年2月20日（DC-5）,双发,NULL,1949年,NULL,2575千米,{'$oid': '5cc93116831b973d657f1287'},道格拉斯公司,http://images.huanqiu.com/sarons/2013/08/83b68bc62d99be67f14081eeb9327be3.jpg,6.05米,6202千克,1940年,美国,亚音速,运输机,"
R-3D从传奇的DB-7轰炸机发展而来，是鲜为人知的DC-5客机的军用版。由于战争的爆发，道格拉斯飞机公司很快转换为战争生产，DC-5便事过境迁，R-3D和C-110即是该机的军用命名。
",NULL,平直翼,24人,18.95米,9072千克,NULL
运-8F600,飞行器,662千米每小时,38米,4台涡桨6型发动机,NULL,四发,NULL,NULL,NULL,5620千米,{'$oid': '5cc93116831b973d657f1288'},NULL,http://images.huanqiu.com/sarons/2013/11/7ace9b21202777c5de42d62b3a7db173.jpg,11.16米,35488千克,NULL,中国,亚音速,运输机,"
运-8F系列改进型号。运-8-F600飞机是由运-8F400和运-8F100飞机发展而来的，2000年11月8日，陕飞与乌克兰、法国两家公司签署了运-8飞机技术合作协议帮助以改进飞机。由于这一合作的出现，陕飞推迟了F600型的研制工作。
",NULL,平直翼,20人,34.02米,61000千克,NULL
运-5,飞行器,256千米每小时,18米,NULL,1957年12月,单发,NULL,NULL,NULL,854千米,{'$oid': '5cc93117831b973d657f1289'},南昌飞机制造公司,http://images.huanqiu.com/sarons/2013/11/5690c5de955cf1d1a559bc45e0fc54a8.jpg,5米,NULL,NULL,中国,亚音速,运输机,"
运-5运输机是我国第一种自行制造的运输机，由南昌飞机制造公司负责，其原型为苏联40年代设计的安-2运输机。尽管运-5服役已有40年之久，但它飞行稳定、运行费用低廉，至今仍是中国最常见的运输机。运-5的另一个优点就是它可以以非常低的速度稳定飞行，且起飞距离仅仅为170米。运-5原型机1957年12月定型并首飞，1957年12月23日获批准在苏联专家和图纸的指导下成批生产。1958年由320厂成批生产，当年即生产了90架，共生产了728架，其中78架援外，连续生产达10年之久。目前运-5广泛应用在训练、跳伞、体育、运输和农业任务中。
",南昌飞机制造公司,双翼,NULL,13米,5250千克,NULL
安-72/74“煤矿人”,飞行器,705千米每小时,31.9米,2台ZMKB D-36 2A 涡轮扇引擎发动机,1977年8月31日首飞,双发,NULL,NULL,NULL,2150千米,{'$oid': '5cc93117831b973d657f128a'},NULL,http://images.huanqiu.com/sarons/2014/02/98789aa65be5ddc094ad470a548f69af.jpg,8.7米,19050千克,NULL,乌克兰,亚音速,运输机,,安东诺夫设计局,平直翼,2人,28.1米,34500千克,NULL
里-2,飞行器,300千米每小时,28.81米,2台Ash-62IR气冷单排星形9缸活塞发动机,NULL,双发,NULL,1980年,NULL,2500千米,{'$oid': '5cc93117831b973d657f128b'},NULL,http://images.huanqiu.com/sarons/2013/11/831e661a3f81ee8cd5ffa86be179988c.jpg,5.15米,7750千克,NULL,苏/俄,亚音速,运输机,"
里-2是苏联按许可证生产的DC-3，里-2的发动机是两具施维特索夫M-62或 Ash-62――按许可证生产的莱特R-1820旋风。里-2一开始也称为PS-84，里苏诺夫设计局在战争期间共生产了2930 架。与C-47相比，里-2的发动机整流罩类似莱特旋风动力的 DC-3，但汽化器和油冷器进气口形状不同。货舱门前移至翼根后，并改变了外形。里-2的客机型在机身右侧有乘客舱门，这与C-47正好相反，其中许多还增加了舷窗。
",NULL,平直翼,6人,19.65米,11280千克,NULL
运-8CA,飞行器,662千米每小时,38米,4×涡桨-6C 涡轮螺旋桨发动机,NULL,四发,NULL,NULL,NULL,5620千米,{'$oid': '5cc93117831b973d657f128c'},NULL,,11.16米,35488千克,NULL,中国,亚音速,运输机,"
雷达测试机，编号079，1997年投入使用，是基于运8C型的，用于机载雷达和机载设备测试的特殊机型。此型飞机在中国新型战机(包括J-10, J-11, JH-7)的发展中扮演了重要的角色。
",NULL,平直翼,20人,34.02米,61000千克,NULL
运-8F,飞行器,662千米每小时,38米,NULL,NULL,单发,NULL,NULL,NULL,5620千米,{'$oid': '5cc93117831b973d657f128d'},NULL,http://images.huanqiu.com/sarons/2013/11/ca25424a4b1931ef5c63f12e6eef425b.jpg,11.16米,35488千克,NULL,中国,亚音速,运输机,"
运8F型是运8的重大改进型。1993年12月，该机获得中国适航当局颁发的型号合格证(TC)，1994年12月取得生产许可证(PC)。运8运输机由陕西飞机制造公司研制，为中型四发涡轮螺桨多用途运输机，原型为苏联安-12。该机可用于空投、空降、运输、救生及海上作业等多种用途。1960年起，运8由西安飞机工业公司负责设计,1974年12月25日，该机01号原型机首次试飞。1984年5月19日，运8首次成功进行了成都－拉萨试验飞行。
",NULL,平直翼,NULL,34.02米,61000千克,NULL
运-8F100,飞行器,662千米每小时,38米,4台涡桨6型发动机,NULL,四发,NULL,NULL,NULL,5620千米,{'$oid': '5cc93118831b973d657f128e'},NULL,http://images.huanqiu.com/sarons/2013/11/a092245662d14f4292b212b4401cd95a.jpg,11.16米,35488千克,NULL,中国,亚音速,运输机,"
运-8F100在复杂、恶劣条件下的全天候安全飞行能力有质的飞跃。
",NULL,平直翼,20人,34.02米,61000千克,NULL
运-8C,飞行器,640千米每小时,38米,四台涡桨-6(WJ-6)涡轮螺旋桨,NULL,四发,NULL,NULL,NULL,3440千米,{'$oid': '5cc93118831b973d657f128f'},NULL,http://images.huanqiu.com/sarons/2013/11/f4ae29397da486baca666be4f117d3c9.jpg,11米,NULL,NULL,中国,亚音速,运输机,,陕西飞机制造公司,平直翼,20人,34米,61千克,NULL
伊尔-76“耿直”四发涡轮风扇中远程运输机,飞行器,900千米每小时,50.5米,四台AviadVigatelPS-90-76涡轮风扇发动机,1971年3月25日,四发,NULL,NULL,NULL,4300千米,{'$oid': '5cc93118831b973d657f1290'},伊留申设计局,http://images.huanqiu.com/sarons/2013/12/1b51b0c48215615d2e41540e82982e1d.jpg,14.76米,92500千克,NULL,苏/俄,亚音速,运输机,"
伊留申-76（Ил-76）是苏联伊留申设计局是20世纪60年代后期研制的四发动机大型运输机。目的是取代安东诺夫设计局安-12涡轮螺旋桨飞机。伊尔-76于1971年3月25日首飞。在苏联、东欧地区、亚洲和非洲也有广泛使用。原本设计军用运输机，但是在苏联解体后也有大量用作民航用途。而它的北约称号为Candid(耿直)。截至目前一共制造了920架。
",NULL,后掠翼,5人,46.59米,195000千克,NULL
运-8H,飞行器,662千米每小时,38米,4×涡桨-6C 涡轮螺旋桨发动机,1956年（运-8）,四发,NULL,NULL,NULL,5620千米,{'$oid': '5cc93118831b973d657f1291'},NULL,http://images.huanqiu.com/sarons/2014/01/792d9473ca8917f5bdc61bac3c4794b3.jpg,11.16米,35488千克,1958年（运-8）,中国,亚音速,运输机,,陕西飞机制造公司,平直翼,20人,34.02米,61000千克,NULL
C-295运输机,飞行器,576千米每小时,25.81米,两台2645马力的PW127G发动机,NULL,双发,NULL,NULL,NULL,5400千米,{'$oid': '5cc93118831b973d657f1292'},西班牙卡萨（CASA）公司,http://images.huanqiu.com/sarons/2013/11/001a5572cc06563c3edc233bf6ca4d22.jpg,8.6米,NULL,NULL,西班牙,亚音速,运输机,,西班牙卡萨（CASA）公司,平直翼,2人,24.5米,23200千克,NULL
福克F27/福克50/60海上巡逻机和运输机,飞行器,480千米每小时,29米,2 x 劳斯莱斯Mk532-7涡轮螺旋桨引擎,1955年11月24日,双发,NULL,NULL,NULL,2600千米,{'$oid': '5cc93118831b973d657f1293'},NULL,http://images.huanqiu.com/sarons/2014/01/0ffa78a03b8576930d7c4b97e2725038.jpg,8.72米,11204千克,NULL,荷兰,亚音速,运输机,,福克公司,平直翼,59人,25.06米,19773千克,NULL
安东诺夫设计局 安-74-300战术运输机,飞行器,700千米每小时,31.9米,ZMKB Progress D-36涡轮风扇发动机,2001年4月,双发,NULL,NULL,NULL,3500千米,{'$oid': '5cc93118831b973d657f1294'},NULL,http://images.huanqiu.com/sarons/2013/12/741aa55558e6eeac07cb25013f6f4be4.jpg,8.7米,NULL,2002年9月,苏/俄,亚音速,运输机,,安东诺夫设计局,后掠翼,54人,28.1米,NULL,NULL
C-27J“斯巴达人”战术运输机,飞行器,602千米每小时,28.7米,2×罗尔斯-罗伊斯AE2100-D2A,1999年9月24日,双发,NULL,NULL,NULL,1852千米,{'$oid': '5cc93119831b973d657f1295'},NULL,http://images.huanqiu.com/sarons/2014/01/abec8aa8a5bb32f369f1089003f5de21.jpg,9.64米,17000千克,2007年1月,美国,亚音速,运输机,,阿莱尼亚/洛克希德·马丁,平直翼,62人,22.7米,30500千克,NULL
安东诺夫设计局 安-124“秃鹰”特大型运输机,飞行器,865千米每小时,73.3米,4×D-18T涡轮扇叶发动机， 230 kN（51600 lbf）,1982年12月26日,四发,NULL,NULL,NULL,5400千米,{'$oid': '5cc93119831b973d657f1296'},NULL,http://images.huanqiu.com/sarons/2013/12/e518d24a9a1398e3fb4d12c368480bc5.jpg,20.78米,175000千克,1986年1月,乌克兰,亚音速,运输机,,安东诺夫设计局,后掠翼,94人,68.96米,405000千克,NULL
亚乔P.180“阿凡提” 双发涡桨高速运输机,飞行器,737千米每小时,14.03米,普-惠公司PT6A-66涡轮螺旋桨发动机,1986年9月23日,双发,NULL,NULL,NULL,2795千米,{'$oid': '5cc93119831b973d657f1297'},NULL,http://images.huanqiu.com/sarons/2014/01/e4e220aa85defe9a95a8f496e174aeda.jpg,3.97米,3400千克,1990年9月30日,意大利,亚音速,运输机,,意大利比亚乔公司,后掠翼,11人,14.41米,5239千克,NULL
比奇18轻型通用运输机,飞行器,360千米每小时,15.1米,2×普拉特惠特尼R-985-25黄蜂发动机,1937年1月15日,双发,NULL,NULL,NULL,1900千米,{'$oid': '5cc93119831b973d657f1298'},NULL,http://images.huanqiu.com/sarons/2013/12/0551a357c6cf5dc556135dca4b861373.jpg,2.95米,2800千克,1937年,美国,亚音速,运输机,,美国比奇公司,平直翼,8人,10.41米,3859千克,NULL
SC.7“高空货车”双发涡轮螺旋桨轻型短距起降飞机,飞行器,325千米每小时,19.78米,2台盖瑞特艾雷赛奇TPE-331-201，每台533 kW,1963年1月17日,双发,NULL,NULL,NULL,1117千米,{'$oid': '5cc93119831b973d657f1299'},肖特兄弟和哈兰德有限公司,http://images.huanqiu.com/sarons/2013/12/799e9a9fba5ede08cae8a5bd9c74d1c6.jpg,4.6米,3331千克,1966年,英国,亚音速,运输机,"
SC.7飞机是1959年开始研制的一种具有短距起降能力的小型多用途运输机，采用迈尔斯公司的Aerovan货运飞机上使用的高展弦比机翼。SC.7的机身侧面为方形，该机型后来得了绰号skyvan“高空货车”，1963年1月17日装载美国大陆公司的活塞发动机首飞，1966年开始服役，服役之前已经换装了透博梅卡·阿斯塔左涡轮螺旋桨发动机。包括军用机型在内，一共制造了150架。
",NULL,平直翼,21人,12.21米,5670千克,NULL
安东诺夫设计局安-12 “幼狐” 四发涡桨货机,飞行器,777千米每小时,38米, 4×Progress AI-20L或AI-20M 涡桨发动机， 4000有效马力（3000千瓦）,1958年,双发,NULL,NULL,NULL,5700千米,{'$oid': '5cc93119831b973d657f129a'},NULL,http://images.huanqiu.com/sarons/2013/12/ae69f9bd54f88433477754b3293d8280.jpg,10.53米,28000千克,1959年,乌克兰,NULL,运输机,,安东诺夫设计局,平直翼,95人,33.1米,61000千克,NULL
SM-92Finist单发活塞式轻型短距起降飞机,飞行器,230千米每小时,14.6米,1× Vedeneyev M14P九缸星形发动机，269千瓦（360马力）,1993年12月28日,单发,NULL,NULL,NULL,1380千米,{'$oid': '5cc93119831b973d657f129b'},斯摩棱斯克（Technoavia）,http://images.huanqiu.com/sarons/2014/02/d3c750bdc03eba63dacdd939e59af554.jpg,3.08米,1430千克,NULL,苏/俄,亚音速,运输机,"
SM-92是一种能够在粗糙跑道上实现短距起降的运输机，1992年7月由Interavia开始研制。该机型最初称为I-5，1993年12月28日首飞之前重新命名为SM-92 Finist。共计交付26架。
",NULL,平直翼,7人,9.13米,2350千克,NULL
L100“大力神”四发涡轮螺旋桨运输机,飞行器,583千米每小时,40.4米,4×阿里逊501‑D22A，每台3360 kW,1964年4月21日,四发,NULL,NULL,NULL,2526千米,{'$oid': '5cc9311a831b973d657f129c'},洛克希德公司,http://images.huanqiu.com/sarons/2013/12/dd2f79bd4bb480ce87c50efd203aa17a.jpg,11.66米,35260千克,NULL,美国,亚音速,运输机,"
商用“大力神”飞机是C-130军用战术运输机的民用机型，而C-130机型可追溯到1951年的一个美国空军规范。样机于1964年4月21日首飞，L100机型于1965年投产。尽管有客户将该机型用于客运，它主要还是作为运输机使用。该机型(只有民用型)共计制造了110架。
",NULL,平直翼,4人,34.35米,70300千克,NULL
洛克希德L1329 “喷气星”四发中型运输机,飞行器,883千米每小时,16.59米,普-惠公司JTl2A涡轮喷气发动机或盖瑞特TFE731涡轮风扇发动机,1957年9月4日,四发,NULL,NULL,NULL,4820千米,{'$oid': '5cc9311a831b973d657f129d'},NULL,http://images.huanqiu.com/sarons/2014/01/daafc3fc0c7919240253c61ad5af942f.jpg,6.22米,11226千克,1960年,美国,NULL,运输机,,美国洛克希德公司,后掠翼,13人,18.41米,20185千克,NULL
DHC-5“水牛”全天候短距起降运输机,飞行器,467千米每小时,29.26米,2×通用电气CT64-820-4,1964年4月9日,双发,NULL,1986年,NULL,1112千米,{'$oid': '5cc9311b831b973d657f129e'},NULL,http://images.huanqiu.com/sarons/2014/01/954386636fc1e2b08613a2542cd5c084.jpg,8.73米,11412千克,1965年,加拿大,亚音速,运输机,,德·哈维兰加拿大（庞巴迪）,平直翼,44人,24.1米,22316千克,NULL
伊尔-76MD & 伊尔78M运输和加油机,飞行器,850千米每小时,50.5米,4×Aviadvigatel D-30 KP，每台118 kN,1971年3月25日,四发,NULL,NULL,NULL,7300千米,{'$oid': '5cc9311b831b973d657f129f'},NULL,http://images.huanqiu.com/sarons/2014/01/03b9ab4e8a7b10d1047c831d5670caeb.jpg,14.76米,72000千克,NULL,苏/俄,亚音速,运输机,,伊留申设计局,后掠翼,6人,46.59米,210000千克,NULL
C-130A/B/E/H“大力神” 运输机&特殊任务飞机,飞行器,620千米每小时,40.41米,4×阿里逊(Allison)T56-A-15 涡轮螺旋桨发动机， 3660千瓦,1954年8月23日,四发,NULL,NULL,NULL,NULL,{'$oid': '5cc9311b831b973d657f12a0'},NULL,,11.66米,34170千克,1956年开始,美国,亚音速,运输机,YC-130可以说“无处不在”，该机型于1954年8月23日完成原型机首飞，1956年开始在美国空军服役。C-130发展出了很多版本和专业改型，销售遍及全球。C-130A为第一批C-130量产型号，在1955年4月7日首次试飞，1956年12月开始交付给美国空军。C-130B发展型。1958年11月20日首次试飞，1959年6月12日开始交付使用。C-130E，是C-130B的发展型。基本结构与C-130B相同，仅增加航程。C-130H，加大功率型。基本结构与C-130E相同。1957年4月开始交付使用。,洛克希德·马丁,平直翼,97人,29.79米,70310千克,NULL
G222(C-27)战术运输机,飞行器,540千米每小时,28.7米,2×通用电机 T64-GE-P4D ，2535 kW,1970年7月18日,双发,NULL,NULL,NULL,4685千米,{'$oid': '5cc9311b831b973d657f12a1'},NULL,http://images.huanqiu.com/sarons/2014/01/689c5ef4d7b184cd894663981c696f25.jpg,9.8米,11940千克,1976年,意大利,亚音速,运输机,,阿莱尼亚宇航公司,平直翼,37人,22.7米,31800千克,NULL
容克Ju 52运输机,飞行器,265千米每小时,29.25米,3具BMW 132T,1930年9月30日,双发,NULL,NULL,NULL,870千米,{'$oid': '5cc9311c831b973d657f12a2'},NULL,http://images.huanqiu.com/sarons/2014/01/61b1375bb9611cfe657c599d5f9c7aec.jpg,4.5米,6510千克,NULL,德国,亚音速,运输机,,德国容克公司,平直翼,21人,18.9米,9210千克,NULL
C160运输机,飞行器,513千米每小时,40米,2×罗尔斯·罗伊斯Tyne Rty.20 Mk 22 每台4549kW ,1963年2月25日,双发,NULL,1997年,NULL,1853千米,{'$oid': '5cc9311c831b973d657f12a3'},NULL,http://images.huanqiu.com/sarons/2014/01/e61ab54598a42be90876bd7ae68095c9.jpg,11.65米,29000千克,1967年,法国,亚音速,运输机,"
C.160是欧洲Transall集团（Transall一词由Transporter Allianz组合而成)研制的运输机，第一架原型机于1963年2月25日首飞。第一批共169架生产型c.160于1972年之前制造完毕。为法国研制的c.160NG(第二系列)中的第一架于1981年4月9日试飞，到1985年之前，29架制造完毕。
",欧洲Transall集团,平直翼,96人,32.4米,51000千克,NULL
容克斯G.38,飞行器,225千米每小时,44米,克容斯L55 V-12水冷式引擎、容克斯L8a水冷式引擎,1929年11月6日,双发,NULL,NULL,NULL,3460千米,{'$oid': '5cc9311d831b973d657f12a4'},容克斯,http://images.huanqiu.com/sarons/2014/01/191ab3809f518db691a21f1850482c48.jpg,7.2米,14920千克,1930年11月,德国,亚音速,运输机,"
容克斯 G.38（德语：Junkers G 38）是由德国飞机制造商容克斯在1929年开发的飞机。在第二次世界大战发生前是用于商业运输用。

在1930年G.38的设计内容授权给予日本的三菱重工，之后三菱重工则改造成军事方面用途的轰炸机“三菱 Ki-20”。
",德国容克斯公司,平直翼,37人,23.21米,21240千克,NULL
BV 222”维京“水上飞机,飞行器,390千米每小时,46米,6×同轴型柴油引擎，746kW（1000 hp）,1940年,六发,NULL,NULL,NULL,6100千米,{'$oid': '5cc9311d831b973d657f12a5'},NULL,http://images.huanqiu.com/sarons/2014/01/ab83a81c0ad01483e7dd849544223861.jpg,10.9米,30715千克,NULL,德国,亚音速,运输机,,布洛姆&福斯,平直翼,106人,37米,49100千克,NULL
C-12& RC-12“护栏”运输机和电子情报飞机,飞行器,535千米每小时,16.61米,2× 普拉特·惠特尼PT6A-42，每台635 kW,1972年10月27日,双发,NULL,NULL,NULL,3338千米,{'$oid': '5cc9311d831b973d657f12a6'},NULL,http://images.huanqiu.com/sarons/2014/01/dd3ca5871f131674af1257ceb00549a7.jpg,4.57米,3520千克,NULL,美国,亚音速,运输机,,雷声（比奇）,平直翼,18人,13.34米,5670千克,NULL
BAE(维克斯)VC l0 C.1K＆K.3/4运输机/加油机,飞行器,933千米每小时,44.55米,4×罗尔斯-罗伊斯公司 “康维“Mk 301，每台100.1kN,1962年6月29日,双发,NULL,2013年7月,NULL,5850千米,{'$oid': '5cc9311d831b973d657f12a7'},NULL,http://images.huanqiu.com/sarons/2014/01/225b3c422e0058664e0c29988280e78e.jpg,12.04米,63278千克,1965年,英国,亚音速,运输机,,BAE(维克斯),后掠翼,155人,48.36米,151900千克,NULL
C-130J/C-130J-30“超级大力神”运输机&特殊任务飞机,飞行器,671千米每小时,40.41米,4×罗尔斯·罗伊斯AE 2100D3，每台3458 kW,1996年4月5日,四发,NULL,NULL,NULL,5250千米,{'$oid': '5cc9311d831b973d657f12a8'},NULL,http://images.huanqiu.com/sarons/2014/01/753072317fac348308074fd407cf8368.jpg,11.84米,34274千克,NULL,美国,亚音速,运输机,,洛克希德·马丁,NULL,160人,29.79米,79378千克,NULL
Me 323”巨人“运输机,飞行器,285千米每小时,55.2米,格罗姆-罗纳14N 48/49发动机,1942年,六发,NULL,NULL,NULL,800千米,{'$oid': '5cc9311d831b973d657f12a9'},NULL,http://images.huanqiu.com/sarons/2014/01/73a0c96b69fbfd4c15de8ee3fc3d7c17.jpg,10.15米,27330千克,NULL,德国,亚音速,运输机,,梅塞史米特公司,平直翼,135人,28.2米,43000千克,NULL
川崎C-1A运输机,飞行器,806千米每小时,30.6米,三菱(普-惠)JT8D-M-9涡轮风扇发动机,1970年11月12日,双发,NULL,NULL,NULL,1300千米,{'$oid': '5cc9311d831b973d657f12aa'},NULL,http://images.huanqiu.com/sarons/2014/01/495763e5c7e752aa97edb264802c1566.jpg,9.99米,23320千克,NULL,日本,亚音速,运输机,,川崎,后掠翼,146人,29米,38720千克,NULL
安-225梦想式运输机,飞行器,850千米每小时,88.4米,ZMKB进步D-18涡扇发动机,1988年12月21日,六发,NULL,NULL,NULL,15400千米,{'$oid': '5cc9311e831b973d657f12ab'},NULL,http://images.huanqiu.com/sarons/2014/01/1e609274f0cd2de8dadc376e48e56b16.jpg,18.1米,175000千克,1989年（初次启用）2000年（复飞）,苏/俄,亚音速,运输机,"
安托诺夫安-225“梦想式”运输机（英语：Antonov An-225 ""Mriya""），北约代号“哥萨克”，是一架离陆重量超过600吨的超大型军用运输机，也是迄今为止，全世界承载重量最大的运输机与飞机，而翼展宽度也仅次于休斯力士运输机，是迄今为止出现过翼展第二宽的飞行器。

安-225是由现属乌克兰所拥有、苏联时代的安托诺夫设计局开发作为苏联太空计划的设备运输用途，迄今为止仅实际制造过一架，也就是机身注册编号UR-82060的一号机，该机是在1988年12月21日首度试飞。
",安托诺夫设计局,后掠翼,6人,84米,640000千克,NULL
AC-130空中炮艇,飞行器,480千米每小时,40.4米,4台阿里讯(Allison)T56-A-15涡轮螺旋桨发动机，单台3700 kW,1966年,四发,NULL,NULL,NULL,4070千米,{'$oid': '5cc9311e831b973d657f12ac'},NULL,http://images.huanqiu.com/sarons/2014/01/7d770f4c3ae00e49ca9836160a0168d1.jpg,11.7米,NULL,1968年,美国,亚音速,运输机,"
洛克希德AC130空中炮艇（Lockheed AC-130 Gunship）是一个由美国空军所操作的重型对地攻击机系列，是以洛克希德C-130“力士”式运输机为基础所进一步改装而成，主要用于密接空中支援与武装侦察等用途。AC-130装置有各型口径不同的机炮，乃至于后期机种所搭载的博福斯炮或榴弹炮等重型火炮，对于零星分布于地面、缺乏空中火力保护的部队有致命性的打击能力。在接近半世纪的服役期间，AC-130迄今共出现过四种不同的版本，分别是洛克希德负责改装的AC-130A/E/H三型，与由洛克威尔（Rockwell）操刀的最新版本、AC-130U“幽灵”式（Spooky）。
", 洛克希德公司,平直翼,13人,29.8米,69750千克,NULL
ATL-98天空开拓者运输机,飞行器,400千米每小时,35.8米,四台 Twin Wasp涡桨发动机 4×1420马力,1961年6月21日,四发,NULL,在役,NULL,5560千米,{'$oid': '5cc9311e831b973d657f12ad'},英国航空贸易公司,http://images.huanqiu.com/sarons/2014/01/3570289f4ac3b56dad302ed9f81c3fba.jpg,9.1米,18762千克,1962年3月,英国,亚音速,运输机,,英国航空贸易公司,平直翼,85人,31.3米,33475千克,NULL
