名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,机长,最大起飞重量,乘员
RQ-11渡鸭无人机,飞行器,81.5千米每小时,1.4米,Aveox 27/26/7简易电动马达,2003年,单发,NULL,NULL,10千米,{'$oid': '5cc9310d831b973d657f124d'},NULL,http://images.huanqiu.com/sarons/2014/01/232d17cbbcfd6ca78ae3fd73a063378f.jpg,NULL,1.9千克,NULL,美国,亚音速,无人机,RQ-11是用手发射的小型无人机，为营及以下部队提供支援。2003年首次飞行，随后进入美国特种作战部队司令部服役。2004年美国陆军将它作为标准的短距无人机系统使用，到2007年年中共有2469架飞行器（包括老式的RQ-11A）在使用。2007年1月，美国陆军宣布将使用中的型别作为其“未来战斗系统”Ⅱ级无人机。,NULL,平直翼,0.9米,NULL,NULL
锐鸢无人机,飞行器,180千米每小时,7.6米,NULL,NULL,单发,NULL,NULL,600千米,{'$oid': '5cc9310d831b973d657f124e'},NULL,http://images.huanqiu.com/sarons/2014/01/309eb13c75bc96a3dc549de31ba692a7.jpg,1.8米,453千克,NULL,中国,亚音速,无人机,"
锐鸢无人机是“中翔二号”无人机(UAV)的量产名称，为中科院以翔鹰计划代号为名，自主研发的无人飞机，是一款全天候、长滞空时间、多用途、战术型无人飞机系统。此系统具有全球定位导航、自动飞行控制、电子反干扰、即时影像传输等功能。目前以本岛地面部署，进行战场侦察、不对称作战与提供天然灾害救灾资讯为主。
",中科院,平直翼,5.7米,450千克,NULL
D-21侦察机,飞行器,3560千米每小时,5.79米,RJ43-MA-20S4冲压发动机,1964年,双发,NULL,1971年,5550千米,{'$oid': '5cc9310d831b973d657f124f'},NULL,,2.14米,NULL,1969年,美国,超音速,无人机,"
D-21无人侦察机（Lockheed D-21）是美国空军所使用的一款三倍音速长程战略侦察机，取代原先的A-12侦察机。D-21无人侦察机从1962年10月开始研发，原本称为洛克希德Q-12设计案。
",洛克希德公司,三角面,12.8米,5000千克,NULL
A160T“蜂鸟”无人直升机,飞行器,258千米每小时,NULL,一台普惠加拿大PW207  发动机,2002年,单发,10.973米,NULL,9150千米,{'$oid': '5cc9310d831b973d657f1250'},NULL,http://images.huanqiu.com/sarons/2014/01/e56d0f5486fdc1fa6a4678a4623aa3be.jpg,NULL,1134千克,NULL,美国,亚音速,无人机,"A160T是原由Frontier Systems设计的""蜂鸟""无人旋翼机(波音于2004年购入)的采用涡轮发动机的改型，该机于6月完成首飞。其能执行持久情报、监视和侦察，以及目标捕获、定向引导、通信中继和精确补给等任务。",波音公司,单旋翼,10.7米,NULL,NULL
RQ-180无人隐形侦察机,飞行器,NULL,40米,2台GE公司的CF-34中等涵道比涡扇发动机,NULL,单发,NULL,NULL,2200千米,{'$oid': '5cc9310d831b973d657f1251'},诺思罗普-格鲁曼公司,http://images.huanqiu.com/sarons/2014/01/5064bc823666785867745091ebee8746.jpg,NULL,14630千克,NULL,美国,亚音速,无人机,"
RQ-180无人机，是位于美国51区的一款秘密无人隐形侦察机，由诺思罗普-格鲁曼公司研发制造。RQ-180无人机与X-47B无人机外形相似，尤其是无尾翼和“蝙蝠式机翼”的外形设计。RQ-180无人机的设计用于在争议地区空域进行侦察探测，与已退役的SR-71“黑鸟”高速战略侦察机作用类似，这款无人机可能用于对朝鲜、伊朗或中国进行侦察。同时，它也有能力进行电子战，它的大小和续航时间与全球鹰无人机相似，能连续飞行24小时到距离基地1200海里（约合2200公里）远的地方。
",诺思罗普-格鲁曼公司,飞翼,NULL,14641千克,NULL
Comcopter5.1近程直升机,飞行器,NULL,NULL,一台11.2千瓦(15马力)带远程启动的Minarelli两冲程引擎,NULL,单发,3.09米,NULL,NULL,{'$oid': '5cc9310d831b973d657f1252'},希伯尔电子有限公司,,0.8米,43千克,NULL,奥地利,亚音速,无人机,,NULL,单旋翼,2.68米,68千克,NULL
先锋RQ-2无人机,飞行器,120千米每小时,5.2米,汽油活塞发动机,NULL,单发,NULL,NULL,185千米,{'$oid': '5cc9310e831b973d657f1253'},NULL,http://images.huanqiu.com/sarons/2014/01/db4d7b22df2b39f671620e97cea37e23.jpg,1米,205千克,NULL,美国,亚音速,无人机,"
1985年美国取得它的生产权之后立即普及到陆、海军和陆战队中，“先锋”无人机为美海军及海军陆战队使用的无人空中侦察系统。

主要用于侦察、目标搜索和战损评估等；海军“先锋”则使用舰载发射架，主要观测弹着点。美军在海湾战争中共出动“先锋”共183个架次，合计飞行时间1083.1小时。
",NULL,平直翼,4.27米,NULL,NULL
BQM-34火蜂无人机,飞行器,1176千米每小时,3.9米,一台J-69-41A涡喷发动机,1960年1月,单发,NULL,NULL,1282千米,{'$oid': '5cc9310e831b973d657f1254'},NULL,,2.1米,680千克,NULL,美国,亚音速,无人机,"
BQM-34火蜂无人机是美国特里达因·瑞安飞机公司研制的一种装涡轮喷气发动机、可回收并重复使用的无人驾驶靶机，也是世界上生产数量最多的无人机之一。

1960年1月“火蜂”进行了首次生产型的飞行。它共生产7400架,包括早期的 Q-2/KDA型号。它是在世界上最广为人知的无人机,同时也是广大中国人最熟识的美国无人机。

主要任务是用于鉴定各种空对空和地对空武器系统，并用以训练战斗机驾驶员和防空部队等。它的有些改型还能执行侦察、电子战、飞行试验、携带炸弹或导弹进行对地攻击等任务。
",赖安航空公司,后掠翼,7米,1135千克,NULL
天神无人机,飞行器,50千米每小时,2.5米,电机(镍/镉电池)  双叶推进螺旋桨,NULL,单发,NULL,NULL,25千米,{'$oid': '5cc9310e831b973d657f1255'},科达拉(Codarra)高级系统公司,http://images.huanqiu.com/sarons/2014/01/e2bfb15dc5d185ead316e23f468deaaa.jpg,NULL,NULL,NULL,澳大利亚,亚音速,无人机,,科达拉(Codarra)高级系统公司,平直翼,NULL,3.5千克,NULL
ASN-1轻型无人机,飞行器,90千米每小时,3米,一个小型单缸活塞式引擎 双叶片螺旋桨,NULL,单发,NULL,NULL,NULL,{'$oid': '5cc9310e831b973d657f1256'},中国西安(ASN)技术集团,,NULL,NULL,NULL,中国,亚音速,无人机,,NULL,单旋翼,1.8米,NULL,NULL
