_id,运载火箭,图片,发射地点,类型,经度,名称,简介,首次轨道发射,轨道,纬度,长度,制造商,大类,关注度,产国,发射日期,中心直径
{'$oid': '5cc933e1831b973d657f2393'},Zenit 3SL,,太平洋，奥德赛平台,应用卫星,NULL,国际海事卫星组织（Inmarsat）,国际海事卫星组织（Inmarsat）是世界上最主要的全球移动卫星通信供应商。该组织拥有并经营着一个拥有10颗卫星的宽带地球静止转移轨道卫星网络。第一批完全由国际海事卫星组织拥有的卫星Inmarsat-2系列发射于20世纪90年代初期，并且随后于20世纪90年代后期发射了第一代应用点波束技术的卫星lnmarsa-3系列。,NULL,53°（GEO）,NULL,NULL,FADS阿斯特里厄姆公司,太空装备,NULL,英国,2005年11月8日,NULL
{'$oid': '5cc933e1831b973d657f2394'},阿丽亚娜5-ECA,,法属圭亚那，库鲁,应用卫星,NULL,JCSAT卫星,日本JSAT公司是亚太地区的一家主要卫星运营商。这家公司拥有并运营的9颗卫星分布于8个轨道中，覆盖了北美、夏威夷、亚洲和大洋洲等地区。JSAT公司提供的服务包括数字卫星电视、直播及广播业务。JCSAT-10是美国洛克希德·马丁公司为JSAT制造的三颗卫星中的第二颗。它依照早在2006年发射的JCSAT-9设计制造。JCSAT-11于2007年9月6日发射失败。JCSAT-10是一个高功率的综合卫星，携带30个有效的Ku波段转发器和12个C波段转发器，能够覆盖到日本、亚太地区和夏威夷等地区。它基于洛克希德·马丁公司的卫星平台而设计，其设计最短服务寿命15年。它的太阳帆板展开长度为26.9米(88.2英尺)，寿命终期功率是8.7千瓦。,NULL,128°E（GEO）,NULL,NULL,洛克希德·马丁商业太空系统分部,太空装备,NULL,日本,2006年8月11日,NULL
{'$oid': '5cc933e1831b973d657f2395'},阿丽亚娜44LP,http://images.huanqiu.com/sarons/2013/11/6348973fd3d1280230f62740c8c5d384.jpg,法属圭亚那，库鲁,应用卫星,NULL,Brasilsat 通信卫星,Brasilsat公司是巴西的一家通信公司，在1985年发射了Brasilsat A1卫星而建立了拉丁美洲的第一个国家卫星系统之后，成为了本国卫星通信的先行者。这家公司于1986年又发射了Brasilsat A2卫星，后来又于1994年发射了他们的第一颗第二代卫星Brasilsat B1。从那以后，Brasilsat公司又发射了另外三颗B系列卫星。Brasilsat B4卫星是用来取代Brasilsat A2卫星而研制的，它负责传输语音和数据流。这是一颗休斯公司HS376W(宽体)型旋转稳定卫星。另外，还有两颗后继的卫星，名为Star One C1和C2，预期将要发射以取代Brasilsat B1和Brasilsat B2。,NULL,92°W(GEO）,NULL,NULL,休斯空间和通信公司,太空装备,NULL,巴西,2000年8月21日,NULL
{'$oid': '5cc933e1831b973d657f2396'},长征三号乙运载火箭,,西昌卫星发射中心,应用卫星,NULL,鑫诺一号(SINNO)卫星,法国宇航公司研制，1990年中国引进并于1998年发射成功。它是服务于中国和亚太地区的一颗广播通信卫星。鑫诺是SINNO的音译，我国的中央教育电视台一二套节目和空中课堂是通过鑫诺一号卫星转发的。,NULL,NULL,NULL,NULL,法国宇航公司,太空装备,NULL,法国,1998年,NULL
{'$oid': '5cc933e1831b973d657f2397'},阿特拉斯3B,http://images.huanqiu.com/sarons/2013/11/63096375deadf2a678e5f40318931fc3.jpg,佛罗里达，卡纳维拉尔角,应用卫星,NULL,亚洲卫星（AsiaSat）,亚洲卫星通信公司是1998年成立的亚洲第一个私有区域性卫星运营商。亚洲卫星1号于1990年4月7日发射。这家公司目前运营着三颗卫星——“亚洲卫星1号”、“亚洲卫星3S”和“亚洲卫星4号”，这三颗卫星设计用来覆盖亚太地区。其中的第三颗，也就是亚洲卫星4号，是一颗波音601HP(高能型)卫星，它提供对亚洲和“澳大拉西亚”(Australasia，一个不明确的地理名词，一般指澳大利亚、新西兰及附近南太平洋诸岛，有时也泛指大洋洲和太平洋岛屿)的极佳的“视角”。,NULL,122.2°E(GEO),NULL,NULL,波音卫星系统,太空装备,NULL,美国,2003年4月11日,NULL
{'$oid': '5cc933e2831b973d657f2398'},阿丽亚娜5-ECA,,法属圭亚那，库鲁,应用卫星,NULL,INSAT印度国内卫星,开始于1983年的INSAT项目是亚太地区最大的通信卫星系统，共有9个运转卫星，星上装备175个转发器。这些卫星提供电信、电视广播和气象服务，其中也包括灾难预警。这项风险计划是由印度航天部同国家电信、气象和广播等部门联合完成的。印度航天部负责卫星及其运转工作。,NULL,93.5°E（GEO）,NULL,NULL,ISRO／ISRO卫星中心,太空装备,NULL,印度,2007年3月11日,NULL
{'$oid': '5cc933e2831b973d657f2399'},阿特拉斯ⅡAS,,佛罗里达州，卡纳维拉尔角,应用卫星,NULL,新型ICO卫星,新型ICO卫星将被配置在相差90°的两个轨道平面上，持续不断地重叠覆盖整个地球表面。其中的10颗卫星将组成基本的星座，而其他的卫星则作为在轨的备用卫星。,NULL,10390千米(6456英里)，轨道倾角45°E,NULL,NULL,休斯公司(后来并入波音公司),太空装备,NULL,美国,2001年6月19日,NULL
{'$oid': '5cc933e2831b973d657f239a'},质子／微风M,,哈萨克斯坦，拜科努尔发射场,应用卫星,NULL,国际通信卫星公司,1965年，国际通信卫星公司Intelsat建立了第一个商业化的全球卫星通信系统。2006年，这个公司合并其对手泛美卫星公司，成为全球最大的商业通信卫星服务提供商，确定了其固定卫星服务提供商的霸主地位。到2007年7月为止，Intelsat麾下已有52颗不同名字的卫星群。其中最后一颗是银河17。Intelsat的第七代、第八代和第九代中的大部分卫星还在继续运行着。,NULL,NULL,NULL,NULL,EADS阿斯特里厄姆公司,太空装备,NULL,美国,2004年6月16日,NULL
{'$oid': '5cc933e2831b973d657f239b'},阿丽亚娜5G,,法属圭亚那，库鲁,应用卫星,NULL,B-SAT通信卫星,日本东京广播卫星系统公司(B-SAT)成立于1994年。这家公司目前拥有并运营着5颗卫星，其中的BSAT-1a和BSAT-1b用来提供模拟信号服务，BSAT-2a和BSAT-2c用来提供数字信号服务，而由洛克希德·马丁公司制造的BS-3N则作为备用卫星。BSAT-3a计划于2007年发射。BSAT-2c卫星是轨道科学公司从1999年开始为日本东京广播卫星系统公司所制造的一系列卫星中的第三颗。它代替了于2001年的发射失败中被毁的BSAT-2b卫星。,NULL,110°E(GEO),NULL,NULL,轨道科学公司,太空装备,NULL,日本,2003年7月11日,NULL
{'$oid': '5cc933e3831b973d657f239c'},质子号／微风M,http://images.huanqiu.com/sarons/2013/11/e9f5a626c0332087fd65ee634db29868.jpg,哈萨克斯坦，拜科努尔发射场,应用卫星,NULL,Nimiq加拿大通信卫星,创建于1969年的加拿大Telesat公司是卫星通信的先行者之一。今天，Telesat公司运营着Arnik和Nimiq组成的卫星编队，用于广播和电信服务。Nimiq 1和Nimiq 2是大功率Ku／Ka波段卫星，搭载32个装有功率为120W的放大器的Ku波段转发器。它们为加拿大提供直播到户卫星电视。Nimiq 2也搭载了1个Ka波段有效载荷来提供广播服务。这些卫星在洛克希德·马丁公司的A2100AX卫星平台的基础上设计制造，最短服务寿命为12年。这个名字是一个缩写词，意为“将很多个目标／力量的意思连接到一起”，是从1998年国会议案的36000份报告中选出的。2003年2月20日，Nimiq 2发生故障，导致接收功率降低。目前它产生的功率能够维持32个转发器中的26个正常运转。,NULL,82°W(G EO),NULL,NULL,洛克希德·马丁公司商业空间系统,太空装备,NULL,加拿大,2002年12月29日,NULL
{'$oid': '5cc933e3831b973d657f239d'},长征一号运载火箭,http://images.huanqiu.com/sarons/2013/11/fb87053ccaa490def241f974ccb55219.jpg,酒泉卫星发射中心,应用卫星,NULL,东方红一号,"
“东方红一号”是中华人民共和国于1970年4月24日在酒泉卫星发射中心发射升空的第一颗人造卫星，同时也是东方红人造卫星系列的首颗卫星。“东方红一号”的发射成功标志着中华人民共和国成为世界上继苏联、美国、法国和日本之后第五个能够独立发射人造卫星的国家。
",NULL,NULL,NULL,NULL,中国空间技术研究院,太空装备,NULL,中国,1970年,NULL
{'$oid': '5cc933e3831b973d657f239e'},长征三号甲运载火箭,http://images.huanqiu.com/sarons/2013/11/65b38d64ae2472a1ece1f085977c9ffe.jpg,西昌卫星发射中心,应用卫星,NULL,北斗卫星导航系统,"
北斗卫星导航系统是中国自行研制的全球卫星定位与通信系统（BDS），是继美全球定位系统（GPS）和俄GLONASS之后第三个成熟的卫星导航系统。系统由空间端、地面端和用户端组成，可在全球范围内全天候、全天时为各类用户提供高精度、高可靠定位、导航、授时服务，并具短报文通信能力，已经初步具备区域导航、定位和授时能力，定位精度优于20m，授时精度优于100ns。2012年12月27日，北斗系统空间信号接口控制文件正式版正式公布，北斗导航业务正式对亚太地区提供无源定位、导航、授时服务。北斗卫星导航系统和美国全球定位系统、俄罗斯格洛纳斯系统及欧盟伽利略定位系统一起，是联合国卫星导航委员会已认定的供应商。
",NULL,NULL,NULL,NULL,中国航天科技集团公司,太空装备,NULL,中国,2000年,NULL
{'$oid': '5cc933e3831b973d657f239f'},阿丽亚娜44LP,,法属圭亚那，库鲁,应用卫星,NULL,阿根廷商业人造卫星通信系统,"
Nahuelsat S.A.是阿根廷Nahuel卫星系统的私营公司。该公司成立于1993年，通过Paracom公司的两颗卫星Nahuelc1和Nahue1c2，为阿根廷、智利和乌拉圭运营电信系统。目前这两颗卫星已退役，由正在运行的Nahue11取代了它们的位置。

Nahue11有三个不同的波束段，是针对每个区域具体设计的--一个为阿根廷、智利、巴拉圭和乌拉圭设计；一个专门为巴西设计；另一个为整个拉丁美洲、加勒比海和南美洲设计。它的功能包括图像和声音的传输，以及含互联网的各种数据的传输。
",NULL,71.8°W(GEO),NULL,NULL,法国宇航公司,太空装备,NULL,阿根廷,1997年1月30日,NULL
{'$oid': '5cc933e3831b973d657f23a0'},质子号／微风M,,哈萨克斯坦，拜科努尔发射场,应用卫星,NULL,荷兰New Skies通信卫星,"
SES旗下的SES NEW SKIES公司位于荷兰，它能在世界范围内提供电视、网络、数据和声音传输服务。这家公司目前在轨道上有7颗与地同步的商业通信卫星组成的全球编队，NSS-9卫星将在2009年加入这个编队。SES NEW SKIES公司由欧洲SES ASTRA公司和北美SES& AMERJCOM公司组建而成。2007年，以前被称为AMC—12／Astra 4A的NSS-10卫星被转让给了New Skies公司。
",NULL,37.5°W(GEO),NULL,NULL,阿尔卡特航天公司,太空装备,NULL,荷兰,2005年2月3日,NULL
{'$oid': '5cc933e4831b973d657f23a1'},阿丽亚娜44LP,,法属圭亚那，库鲁,应用卫星,NULL,Nilesat通信卫星,Nilesat是一家埃及公司，成立于1996年7月，运营直播到户广播电视卫星，并提供高速数据传输服务。它已经在7°W轨道发射了两颗卫星(Nilesat 101和Nilesat 102)。Nilesat 101卫星于1998年4月由阿丽亚娜4号运载火箭发射。Nilesat 103(Adandc Bird 4)被转移到与Nilesat 101相同的轨道位置，以提供附加容量。,NULL,7°W（GEO）,NULL,NULL,EADS阿斯特里厄姆公司,太空装备,NULL,埃及,2000年8月17日,NULL
{'$oid': '5cc933e4831b973d657f23a2'},H-IIA F9(2024),,日本，种子岛航天中心,应用卫星,NULL,多功能传送卫星MTSAT,MTSAT卫星搭载的有效载荷用于气象观测和航空控制。MTSAT卫星系统的所有权和经营权属于日本民用航空总局和日本气象厅。这颗卫星能够在1个可见光和4个红外线波段(其中包括水蒸气通道)进行成像。可视光相机的分辨率是1公里(0.6英里)；红外相机的分辨率为4公里(2.5英里)。,NULL,145°F(GFO),NULL,NULL,日本三菱电机股份有限公司,太空装备,NULL,日本,2006年2月18日,NULL
{'$oid': '5cc933e4831b973d657f23a3'},长征3号运载火箭,,西昌卫星发射基地,应用卫星,NULL,东方红二号,东方红二号卫星由中国空间技术研究院研制，其设计寿命为4.5年，是中国二十世纪末用于远距电视传输的主要卫星。该卫星采用地球同步轨道，分别定位于东经87.5度、东经110.5度和东径98度等处，能覆盖中国全境及周围一些地区。,NULL,地球同步轨道,NULL,3.6米,中国空间技术研究院,太空装备,NULL,中国,1984年,2.1米
{'$oid': '5cc933e4831b973d657f23a4'},“天马座”和“飞马座XL”,http://images.huanqiu.com/sarons/2013/11/8a5043c5461c7e70e692649bd47aa6a1.jpg,弗吉尼亚州，瓦罗普斯岛（空中发射）,应用卫星,NULL,Orbcomm轨道通讯系统,Orbcomm轨道通信系统是美国轨道通信公司和加拿大环电联合投资建设的一个近地轨道的小型卫星移动通信系统。整个系统可向全球用户提供信息、数据通信和定位业务，这些功能通过手柄通信和跟踪装置就能实现。这个系统的目的是以极低的成本向地球上的任何地方发送和接收短信息。它的用途还包括人与人或机器与机器间的实时通信、远程工业资产和环境监测、被盗车辆定位跟踪以及笔记本电脑和掌上电脑的电子邮件通信。,NULL,8颗卫星——离地面高度800公里(497英里)，轨道面倾角45°，四个轨道面；22颗卫星--离地面高度710公里和820公里（441英里和510英里）轨道面倾角70°和108°,NULL,NULL,轨道科学公司,太空装备,NULL,美国,1995年4月3日,NULL
{'$oid': '5cc933e4831b973d657f23a5'},长征三号A运载火箭,http://images.huanqiu.com/sarons/2013/11/cc5be48778957bb1af29fda140389523.jpg,西昌卫星发射中心,应用卫星,NULL,东方红三号,东方红三号卫星是中国新一代通信卫星，主要用于电视传输、电话、电报、传真、广播和数据传输等业务。服务范围有中国大陆、海南、台湾及近海岛屿。该卫星于1997年5月12日由长征三号A火箭发射升空，5月20日定点成功，卫星设计工作寿命为8年。,NULL,NULL,NULL,5.7米,中国空间技术研究院,太空装备,NULL,中国,1997年,NULL
{'$oid': '5cc933e4831b973d657f23a6'},质子号/微风M加强型,,哈萨克斯坦，拜科努尔,应用卫星,NULL,DIRECTV,"
直播电视集团有限公司(DIRECTV)位于加利福尼亚州的EI Segnmdo，向美国超过150万的家庭和企业提供卫星电视服务。这家公司的“星座”中目前共有10颗人造卫星，其中最新发射的是DIRECTV10，它也是直播电视集团有限公司迄今为止发射的最重也是性能最强大的卫星。
",NULL,102.8°W(GEO),NULL,NULL,波音空间和情报系统公司,太空装备,NULL,美国,2007年7月7日,NULL
{'$oid': '5cc933e4831b973d657f23a7'},质子M,,哈萨克斯坦，拜科努尔发射场,应用卫星,NULL,Measat通信卫星 ,Measat卫星系统使用3颗通信卫星，为世界上超过70％的人口提供服务。Measat系列包括Measat-1(1996年发射)、Measat-2和Measat-3。Aleasat-1R的研制工作正在由轨道科学公司进行，这颗卫星将于2009年发射。近期研制的：Measat-3卫星主要是基于波音601HP卫星主体而设计的。,NULL,91.5°E(GEO),NULL,NULL,波音公司,太空装备,NULL,马来西亚,2006年12月12日,NULL
{'$oid': '5cc933e5831b973d657f23a8'},NULL,,NULL,应用卫星,NULL,东方红四号,"
“东方红四号”大型通信卫星公用平台是十五期间我国重点开展的民用卫星工程。该平台采用公用平台设计理念，坚持通用性、继承性、扩展性和先进性的原则，平台的性能与国际上同类卫星先进平台水平相当，它的研发成功为我国通信广播卫星达到20世纪九十年代末国际通信广播卫星水平，实现跨越式发展奠定了基础。
",NULL,NULL,NULL,NULL,中国空间技术研究院,太空装备,NULL,中国,2006年,NULL
{'$oid': '5cc933e5831b973d657f23a9'},长征二号丁运载火箭,,酒泉卫星发射中心,应用卫星,100°17′30″E,遥感卫星4号,"
“遥感卫星四号”由中国航天科技集团公司所属中国空间技术研究院东方红卫星公司研制。卫星主要用于科学试验、国土资源普查、农作物估产和防灾减灾等领域，将对中国国民经济发展发挥积极作用。
",NULL,NULL,40°57′28″N,NULL,中国航天科技集团公司,太空装备,NULL,中国,2008年12月1日12时42分,NULL
{'$oid': '5cc933e6831b973d657f23aa'},阿丽亚娜44LP,,法属圭亚那，库鲁,应用卫星,NULL,欧洲之星1号通信卫星,"
欧洲之星是劳拉空间与通信公司和阿尔卡特空间公司联合成立的合资公司。欧洲之星公司的总部设在英国，它也是国际卫星网络“劳拉全球联盟”的成员。这个联盟的成员还有劳拉天网(Lora1Skynet)、satmex和天网巴西公司(Shynetdo Brasil)等。
",NULL,45°E（GEO）,NULL,NULL,阿尔卡特航天公司、空间系统公司/劳拉公司,太空装备,NULL,英国,2000年10月29日,NULL
{'$oid': '5cc933e6831b973d657f23ab'},“长征二号丙”运载火箭,,太原卫星发射中心,应用卫星,111°36′30.59″W,环境1号,"
“环境一号”卫星系统是中国国务院批准的专门用于环境和灾害监测的对地观测系统，由两颗光学卫星（HJ-1A卫星和HJ-1B卫星）一颗雷达卫星（HJ-1C卫星）组成，拥有光学、红外、超光谱多种探测手段，具有大范围、全天候、全天时、动态的环境和灾害监测能力。
",NULL,NULL,38°50′56.71″N,NULL,中国航天科技集团公司东方红卫星公司,太空装备,NULL,中国,2008年9月6日,NULL
{'$oid': '5cc933e6831b973d657f23ac'},长征3B,,中国，两昌,应用卫星,NULL,中星（ChinaSat)通信卫星,"
中国通信广播卫星集团公司(ChinaSat)为中国原邮电部的下属企业，创建于1983年，后来成为中国电信集团公司的子公司，2001年改组为中国卫星通信集团公司。这家公司的业务包括中国国内的固话通信、移动通信和电视广播服务。1984年发射了第一颗民用卫星中星5号(ChinaSat-5/Spacenet-1)。
",NULL,115.5°E（GEO）,NULL,NULL,泰利斯·阿莱尼亚航天公司,太空装备,NULL,中国,2007年7月5日,NULL
{'$oid': '5cc933e7831b973d657f23ad'},长征五号运载火箭,,NULL,应用卫星,NULL,东方红五号,"
东方红五号为超大型卫星平台，卫星平台质量达到6.5~7吨，远远超出现有长征三号乙的运载能力，将用长征五号火箭一箭双星发射。对比东四平台，东五平台的有效载荷质量将达到1200~1500千克，电源功率达到15~20千瓦，作为通信卫星使用时，携带的转发器数量可成倍提高，从设计指标上说是一款媲美波音BSS702、泰利斯Space Bus4000的顶尖级通信卫星平台。
",NULL,NULL,NULL,NULL,中国航天科技集团,太空装备,NULL,中国,NULL,NULL
{'$oid': '5cc933e7831b973d657f23ae'},质子K,http://images.huanqiu.com/sarons/2013/11/85c6127f73eeab0714c45750e727bd46.jpg,哈萨克斯坦，拜科努尔,应用卫星,NULL,快车（Express）通信卫星,"
快车AM(Express-AM)系列卫星是由俄罗斯卫星通信公司(RSCC)代表俄罗斯政府运营的，它的第一颗卫星发射于1999年10月27日。
",NULL,140°E（GEO）,NULL,NULL,列舍特涅夫应用力学科研生产联合体,太空装备,NULL,苏/俄,2005年6月24日,NULL
{'$oid': '5cc933e7831b973d657f23af'},质子号/微风M,,哈萨克斯坦，拜科努尔,应用卫星,NULL,Eutelsat通信卫星,"
Eutelsat通信公司是Eutelsat S.A.的控股公司，目前拥有20颗卫星(另外还有4颗租用的卫星)，能够提供覆盖整个欧洲大陆、中东、非洲、印度半岛，以及亚洲和美洲的大片地区的服务。就纳税额而言，Eutelsat通信公司是世界上三大占据领导地位的卫星运营商之一。
",NULL,7°E（GEO）,NULL,NULL,EADS阿斯特里厄姆公司,太空装备,NULL,法国,2004年3月16日,NULL
{'$oid': '5cc933e7831b973d657f23b0'},阿丽亚娜5-ECA,,法属圭亚那，库鲁,应用卫星,NULL,银河（Gaiaxy）（国际）通信卫星,"
“银河”系列通信卫星最初由休斯通信公司拥有并运营。这个系列最初的3颗卫星是在1983年和1984年发射的，这家公司后来被泛美卫星公司收购，在这之后泛美卫星公司与国际通信卫星机构(Intelsat)合并。2007年2月1日，国际通信卫星机构将他们所有的16颗卫星更名，“Intelsat Americas”更名为“银河”。 “银河17号”是16颗正在运行的卫星中最新的一颗，它使用泰利斯·阿莱尼亚宇航公司的“Spacebus”3000 B3卫星平台。这颗卫星最终被配置在91°w的轨道槽上，以替代“银河11号”，一颗发射于1999年的波音702型卫星，这颗卫星已经由于电力的逐渐下降而发生故障。
",NULL,90°W(GEO),NULL,NULL,泰利斯·阿莱尼亚航天公司,太空装备,NULL,美国,2007年5月4日,NULL
{'$oid': '5cc933e7831b973d657f23b1'},“长征二号丁”运载火箭,,酒泉卫星发射中心,应用卫星,100°17′30″E,遥感卫星2号,"
“遥感卫星二号”是由中国航天科技集团公司所属中国空间技术研究院为主研制。卫星主要用于科学试验、国土资源普查、农作物估产和防灾减灾等领域，将对我国国民经济发展发挥积极作用。
",NULL,NULL,40°57′28″N,NULL,中国航天科技集团公司,太空装备,NULL,中国,2007年5月25日15时12分,NULL
{'$oid': '5cc933e7831b973d657f23b2'},“长征四号丙”运载火箭,,太原卫星发射中心,应用卫星,111°36′30.59″W,遥感卫星3号,"
“遥感卫星三号”和用于发射卫星的“长征四号丙”运载火箭均由中国航天科技集团公司所属上海航天技术研究院为主研制，中国航天科技集团公司五院、中国科学院、中国电子科技集团公司等单位承担了部分设备的研制工作。
",NULL,NULL,38°50′56.71″N,NULL,中国航天科技集团公司,太空装备,NULL,中国,2007年11月12日6时48分,NULL
{'$oid': '5cc933e8831b973d657f23b3'},长征二号丙,http://images.huanqiu.com/sarons/2013/11/b1d450d0b6ef48e271fe4e4e7b455ac4.jpg,太原卫星发射中心,应用卫星,NULL,遥感卫星13号,"
“遥感卫星十三号”由上海航天技术研究院负责研制，主要运用于科学试验、国土资源普查、农作物估产及防灾减灾等领域。2011年11月30日，“长征二号丙”运载火箭成功将“遥感卫星十三号”送入太空。遥感卫星十三号卫星的总指挥为黄金生、总设计师为陈筠力。
",NULL,NULL,NULL,NULL,上海航天技术研究院,太空装备,NULL,中国,2011年11月30日凌晨2时50分,NULL
{'$oid': '5cc933e8831b973d657f23b4'},阿丽亚娜42P,,法属圭亚那，库鲁,应用卫星,NULL,SPOT（地球观测卫星系统）,"
SPOT地球观测卫星系统，1978年首次通过论证，由法国空间研究中心与瑞典、比利时合作完成设计和研制。
",NULL,822公里（511公里），轨道倾角98.7°(太阳同步轨道),NULL,NULL,EADS阿斯特里厄姆公司,太空装备,NULL,法国,2002年5月4日,NULL
{'$oid': '5cc933e8831b973d657f23b5'},阿丽亚娜44L,,法国圭亚那，库鲁,应用卫星,NULL,天狼星国际通信卫星,"
   天狼星SES SIRIUS AB的所有者是SES ASTRA公司和瑞典空间公司。它们家公司都是世界最大的卫星运营商——SES公司的下属公司，拥有44颗卫星的星群。
",NULL,5°E(GEO),NULL,NULL,美国休斯空间和通信公司(现在的波音公司),太空装备,NULL,美国,1998年10月5日,NULL
{'$oid': '5cc933e8831b973d657f23b6'},阿丽亚娜5ECA,,法属圭亚那，库鲁,应用卫星,NULL,Spaceway通信卫星,"
   最早的两颗Spaceway通信卫星是由美国DIRECTV公司所有并运营的。最初是休斯公司Spaceway全球宽待通信系统的一部分。在DIRECTV公司接管休斯公司DTH业务之后，这些卫星改为在全美范围内进行高清本地电视频道的传输。
",NULL,89.2°W(GEO),NULL,NULL,波音卫星系统公司,太空装备,NULL,美国,2005年11月16日,NULL
{'$oid': '5cc933e8831b973d657f23b7'},质子K/DM模块,,哈萨克斯坦，拜科努尔,应用卫星,NULL,格鲁达1号（Garuda-1，亚洲蜂窝卫星）,"
ACES(亚洲蜂窝卫星)“格鲁达1号”是世界上第一颗专门针对亚洲市场设计的区域性卫星移动通信系统，它属于一个由洛克希德·马丁商业空间系统和一些来自菲律宾、印度尼西亚和泰国的公司组成的联盟所有。
",NULL,123°E（GEO）,NULL,NULL,洛克希德·马丁商业公司系统商业空间系统,太空装备,NULL,印度,2000年2月12日,NULL
{'$oid': '5cc933e9831b973d657f23b8'},阿特拉斯ⅡA,http://images.huanqiu.com/sarons/2013/11/db80d5fd9caa6dca5f2d2bc8c15ec43f.jpg,佛罗里达州，卡纳维拉尔角,应用卫星,NULL,TDRS通信卫星,"
   跟踪和数据中继卫星系统是NASA空间对地面通信的中枢，由航天飞机和卫星提供连续的声音、电视、数字和模拟数据通信。
",NULL,40.9°W(GFO),NULL,NULL,波音卫星系统公司,太空装备,NULL,美国,2002年12月5日,NULL
{'$oid': '5cc933e9831b973d657f23b9'},阿特拉斯-2AS,http://images.huanqiu.com/sarons/2013/11/022fa96a962251c300d4e9ba8a3958e4.jpg,加利福尼亚州，范登堡,应用卫星,NULL,Terra对地观测卫星,"
TERRA(以前称EOS／AM-1)是NASA地球观测计划的旗舰卫星。这个项目包含了与日本和加拿大的合作。NASA负责提供卫星、火箭发射和3台仪器云和地球辅射能量测量系统、多角度成像光普辅射计和中分辩率成像光普仪。高级星载地球热发射和反照辐射计由日本通产省提供，对流层污染测量仪它由加拿大空间局提供。
",NULL,702公里(436英里)，倾角98.2°(太阳同步轨道),NULL,NULL,洛克希德·马丁导弹和空间系统公司,太空装备,NULL,美国,1999年12月18日,NULL
{'$oid': '5cc933e9831b973d657f23ba'},“罗克特”(Rockot),http://images.huanqiu.com/sarons/2013/11/5efc816d080d20879fb76157eb1d09ee.jpg,俄罗斯，普列谢茨克,应用卫星,NULL,SMOS,"
SMOS是欧洲航天局“地球生存计划”下属的“地球观测”任务的第二颗对地观测卫星。SMOS将提供全球土壤湿度图和海洋盐度图。土壤湿度数据将有助于地球水文研究，而海洋盐度数据将增进我们对海洋循环模式的理解。总之，SMOS可增进我们对地球水循环的理解，有助于对气候、气象和极端事件的预测。
",NULL,763公里(474英里)，倾角98.4°(太阳同步轨道),NULL,NULL,泰利斯·阿莱尼亚航天公司,太空装备,NULL,法国,2008年,NULL
{'$oid': '5cc933e9831b973d657f23bb'},阿丽亚娜42P,,法属圭亚那，库鲁,应用卫星,NULL,Topex/Poseidon海洋环流测量卫星,"
美国和法国联合发射Topex／Poseidon卫星是NASA海洋卫星的改进型。“Topex”是“海洋地形学实验”的英文缩写，“Poseidon”是“海洋动力学监测、观察与综合研究”的法文缩写。NASA提供卫星、高度计、一个微波辐射计、一个试验卫星跟踪接收机和不同的卫星子系统；法国国家空间研究中心提供发射装置、一个固态高度计和一个多普勒跟踪接收机。
",NULL,1336公里(830英里)，轨道倾角66°,NULL,NULL,仙童空间有限公司,太空装备,NULL,美国,1992年8月10日,NULL
{'$oid': '5cc933e9831b973d657f23bc'},宇宙3M火箭,,俄罗斯，普列谢茨克航天发射场,应用卫星,NULL,TopSat试验地球成像卫星,"
TopSat是一颗试验地球成像卫星，该计划由英国国家航天中心和英国国防部联合投资，这是英国微卫星协作应用计 划(MOSAIC)的一部分。它的首要任务是证明微型卫星能够提供高分辨率的图像。

TopSat是第一个使用微卫星-150星体设计的卫星，由英国萨里卫星技术公司的子承包商奎内蒂克公司(QinetiQ)研制。它增强了几项功能，可提供必要的有效载荷能量，能进行高度灵活的姿态控制。
",NULL,686公里(426英里)，倾角98°(太阳同步轨道),NULL,NULL,英国萨里卫星技术公司，奎内蒂克公司,太空装备,NULL,英国,2005年10月27日,NULL
{'$oid': '5cc933ea831b973d657f23bd'},阿丽亚娜5ECA,,法属圭亚那，库鲁,应用卫星,NULL,Thaicom通信卫星,"
在1993年～1994年间，随着Thaicom-1和Thaicom-2的发射，泰国开通了第一个国家地球同步轨道网络，随后T'haicom-3于1997年4月发射，Thaicom-4(IPSTAR)于2005年8月发射。曼谷Shinawatra卫星公司与泰国政府签订协议，负责运营上述卫星编队。这队卫星中最近发射的是Thaicom-5，这是一个三轴稳定的航天器，在阿尔卡特·阿莱尼亚Spaceblls3000A平台的基础上设计制造。
",NULL,78.5°E(GFO),NULL,NULL,阿尔R特·阿莱尼亚空间公司,太空装备,NULL,泰国,2006年5月27日,NULL
{'$oid': '5cc933ea831b973d657f23be'},阿丽亚娜42L,,法属圭亚那，库鲁,应用卫星,NULL,Superbird通信卫星,"
   日本空间通信公司(Space Communications Corporation)成立于1985年，是由日本各主导公司所组成的联合公司。
",NULL,110°E（GEO）,NULL,NULL,洛克希德·马丁公司商业空间系统,太空装备,NULL,日本,2000年10月7日,NULL
{'$oid': '5cc933ea831b973d657f23bf'},H-ⅡF6,,日本，种子岛,应用卫星,NULL,TRMM热带降雨测量任务卫星,"
TRMM是NASA和日本宇宙航空研究开发机构(以前称日本国家空间发展署)的合作项目，是NASA地球科学计划中的航天任务。日本提供运载火箭和测雨雷达，而由NASA提供卫星、4台仪器和卫星运行系统。
",NULL,403公里(250英里)，倾角35°,NULL,NULL,NASA哥达德航天中心,太空装备,NULL,美国,1997年10月28日,NULL
