名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,内置武器,旋翼直径,退役时间,最大航程,关注度,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
米-171（旧款）,飞行器,260千米每小时,NULL,两台TV3-117VM涡轴发动机,NULL,双发,NULL,21.29米,NULL,495千米,NULL,{'$oid': '5cc9315d831b973d657f1402'},NULL,http://images.huanqiu.com/sarons/2013/11/984e5fe559eeee5048baf5be26170fee.jpg,5.6米,7055千克,NULL,苏/俄,亚音速,运输直升机,"
米里设计局乌兰。




",NULL,单旋翼,30人,25.35米,13011千克
SA321,飞行器,275千米每小时,NULL,三台1170千瓦（1590轴马力）的透博梅卡公司“透默”ⅢC6涡轮轴发动机（SA321H上装的是“透默” ⅢE6）。两台并列在旋翼轴前方，一台在旋翼轴后方。,1962年12月7日,双发,NULL,18.9米,2009年,1020千米,NULL,{'$oid': '5cc9315d831b973d657f1403'},国营航宇工业公司,http://images.huanqiu.com/sarons/2013/11/0d31ce23deb2b15738befb9d2d0bfe09.jpg,6.66米,6863千克,1966年,法国,亚音速,运输直升机,"
SA321“超黄蜂”是法国国营航宇工业公司研制的三发中型多用途直升机，是由SA3200“黄蜂”直升机发展而来的。在“超黄蜂”的研制过程中，特别是在旋翼系统设计、制造和试验工作中曾得到美国西科斯基公司的帮助，主减速器由意大利菲亚特公司提供。
",法国宇航公司,NULL,38人,23.03米,13000千克
EC225直升机,飞行器,275.5千米每小时,NULL,2台Turbomeca Makila 2A turboshafts， 1798 kW（2411 shp）,2000年11月27日,双发,NULL,16.2米,在役,857千米,NULL,{'$oid': '5cc9315d831b973d657f1404'},欧洲直升飞机公司,http://images.huanqiu.com/sarons/2014/01/38b52fa58c92da0ecff9765a97defaca.jpg,4.97米,5256千克,2004年12月,法国,亚音速,运输直升机,,欧洲直升飞机公司,单旋翼,2人,19.5米,11200千克
Surion直升机,飞行器,259千米每小时,NULL,T-700涡轮轴发动机,2010年,双发,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc9315d831b973d657f1405'},NULL,http://images.huanqiu.com/sarons/2014/01/fad9348fe5c0f87dfd9ebffde91186fd.jpg,4.5米,NULL,NULL,韩国,亚音速,运输直升机,"
Surion直升机是韩国航空宇宙产业和欧洲直升机公司合作研制的双引擎直升机，为韩国首架国产新型军用运输直升机。 Surion装备有韩国国产的新式XK13机枪。“Surion”是韩国语发音。“Suri”意为“雄鹰”，“on”表示“完美”，因此Surion有时也被译为“完美雄鹰”或“雄鹰百分百”。Surion直升机的研制成功使韩国继成为世界上第12个开发出超音速飞机的国家后，又成为在世界上第11个开发出直升机的国家。
",韩国航空宇宙产业,单旋翼,NULL,15米,8709千克
WS-61“海王”海军型及野战直升机,飞行器,226千米每小时,NULL,NULL,1969年5月7日,双发,NULL,18.9米,NULL,556千米,NULL,{'$oid': '5cc9315e831b973d657f1406'},韦斯特兰公司,http://images.huanqiu.com/sarons/2014/01/8742ef43e429274abb2a53aca16b6987.jpg,5.1米,NULL,NULL,英国,亚音速,运输直升机,"
1959年，韦斯特兰公司获得了生产和发展S-61的授权，1969年5月7日，第一架生产型韦斯特兰“海王”HAS.1飞上了天空。后来发展出几个变种机型，包括空中预警型、自动管理控制适应型、反潜型、反舰型、以及运兵型。很多变种机型经过升级，包括采用“英国旋翼实验计划(BERP)”的主旋翼。已生产或被订购的各种版本的“海王/突击队员”大约有328架。
",NULL,单旋翼,34人,22.1米,NULL
S-65/CH-53“海种马”突击运输直升机,飞行器,315千米每小时,NULL,NULL,1964年10月14日,双发,NULL,22米,NULL,869千米,NULL,{'$oid': '5cc9315e831b973d657f1407'},美国 西科斯基公司,http://images.huanqiu.com/sarons/2014/01/aee65bfe15ba9b1410fba943f0a89aa5.jpg,7.6米,NULL,1966年,美国,亚音速,运输直升机,"
这种机型由S-61R/CH-3发展而来，采用了S-64“空中起重机”的某些组件，第一架CH-53A于1964年10月14日飞上了天空，1966年该机型进入美国海军陆战队服役，绰号是“海种马”。它也被美国空军采用，命名为HH-53，昵称为“超级愉快”。MH-531“铺低III”则是它为特种作战司令部专门生产的变种机型。德国VFW-福克航空制造公司也授权生产该机型。所有改型的S-65/CH-53一共生产了大约522架。
",NULL,平直翼,40人,26.9米,NULL
S-80/SH-53E “超种马”(美国) 突击和MCM直升机,飞行器,315千米每小时,NULL,NULL,1974年3月1日,双发,NULL,30.2米,NULL,2074千米,NULL,{'$oid': '5cc9315e831b973d657f1408'},美国西科斯基飞机公司,http://images.huanqiu.com/sarons/2014/01/81864ac8f9f860c9ba729f3751bfc6cc.jpg,9米,NULL,NULL,美国,亚音速,运输直升机,"
该机型实质上是S-65/CH-53的三发动机版，原型机S-80/CH-53E于1974年3月1日首飞。CH-53E“超种马”取代了CH-53D进入美国海军陆战队服役；在美国海军，MH-53E“海龙”取代了RH-53D担任MCM(海军陆战队马拉松比赛)飞机。美国版曾有过升级。大约有237架S-80/CH/MH-53被购买。2006年1月，美国海军陆战队订购了一种新生产出来的改型--CH-53K--作为海军陆战队的下一代重型起重机。
",NULL,单旋翼,58人,30.2米,NULL
雅克-24 运输直升机,飞行器,175千米每小时,NULL,2× Shvetsov灰82 V 14缸两排空冷星形发动机，1268千瓦（1700马力各）,1952年7月3日,双发,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc9315e831b973d657f1409'},雅科航空器集团,http://images.huanqiu.com/sarons/2014/01/cf44c610b3e1e53a0fe8ceaeefb2583a.jpg,6.5米,11000千克,NULL,苏/俄,亚音速,运输直升机,"
雅克-24（北约代号马）是苏联双发动机，双旋翼运输直升机。最初的型号是雅克-24陆军运输直升机，能携带多达30空降部队，18副担架或3,000公斤的货物（6614磅）。从1958年，改进后的模型雅克-24U制作，具有较大的直径（21 m/69英尺）的全金属转子和全金属机身。
",雅科夫列夫设计局,纵列双旋翼,4人,21.34米,15830千克
西科斯基S-92双发涡轮中型直升机,飞行器,305千米每小时,NULL,CT7-8C发动机,1998年12月23日,双发,NULL,17.2米,NULL,879千米,NULL,{'$oid': '5cc9315e831b973d657f140a'},NULL,http://images.huanqiu.com/sarons/2014/01/0a20f1af242d1afd92e83432bc48b53a.jpg,5.4米,NULL,2004年3月,中国,亚音速,运输直升机,,西科斯基直升机公司,单旋翼,24人,20.9米,NULL
Fa 223龙式军用直升机,飞行器,175千米每小时,24.5米,NULL,NULL,双发,NULL,12米,NULL,700千米,NULL,{'$oid': '5cc9315e831b973d657f140b'},福克·阿奇利斯飞机制造所,http://images.huanqiu.com/sarons/2014/01/dc28823273492aca4a0e9fe1e298f700.jpg,4.35米,3180千克,1940年,德国,亚音速,运输直升机,,NULL,并列双旋翼,NULL,12.25米,NULL
NH90(法国/德国/意大利/荷兰/葡萄牙) 中型运输/海军型直升机(图示为NH 90 TTH),飞行器,291千米每小时,NULL,NULL,1995年11月（原型机）,双发,NULL,16.3米,NULL,1203千米,NULL,{'$oid': '5cc9315f831b973d657f140c'},NULL,http://images.huanqiu.com/sarons/2014/01/6e5ec2682b66b9527c2f4a8180d91eeb.jpg,4.1米,NULL,NULL,法国,亚音速,运输直升机,"
1995年12月18日，首批五架NH 90(1990年代的北约直升机)原型机在法国首飞。最初这是4个国家共同研发的项目，2001年，葡萄牙也加入进来。一共发展出两个版本：战术运输直升机(TTH）和北约驱逐舰直升机(NFH)。到2006年，有357架确定订货。2005年3月，新西兰选中了NH 90，2005年5月，西班牙紧随其后，2005年12月，比利时也加入了这个行列。另有120架未确定订购。
",北约直升机工业公司,单旋翼,22人,19.6米,NULL
