型宽,名称,大类,编制,舰长,潜航深度,制造厂,_id,图片,次型,满载排水量,活动范围,服役时间,前型,下水时间,枪械,产国,火炮,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
NULL,攻击艇,舰船舰艇,NULL,NULL,NULL,NULL,{'$oid': '5cc9320f831b973d657f1897'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,美国,NULL,NULL,巡逻舰/艇,NULL,NULL,"
服役于泰国皇家海军河川中队的美国攻击艇。
",NULL,NULL,NULL,NULL,NULL
10.4米,海监66,舰船舰艇,NULL,77.39米,NULL,黄埔造船长洲厂,{'$oid': '5cc9320f831b973d657f1898'},http://images.huanqiu.com/sarons/2014/01/7bd49fde4e6f2aba400d48b6cdff8b04.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,NULL,NULL,,20节,NULL,1290吨,NULL,NULL
NULL,海监15,舰船舰艇,NULL,88米,NULL,中国海监北海总队,{'$oid': '5cc9320f831b973d657f1899'},,NULL,1740吨,NULL,NULL,NULL,NULL,NULL,中国,NULL,500-2000吨,巡逻舰/艇,2011年1月6日,NULL,2011年1月6日，“中国海监15”船正式入列中国海监船舶序列，并列入中国海监北海总队建制。海监15船是1500吨级的巡航执法海监船，总长88米，满载排水量是1740吨，续航力是6000海里。,18节,NULL,NULL,NULL,NULL
12.9米,萨卡普级先进近海巡逻舰,舰船舰艇,108人,105米,NULL,NULL,{'$oid': '5cc9320f831b973d657f189a'},,NULL,2230吨,NULL,2007年,NULL,2006年4月28日,NULL,印度,NULL,2000-5000吨,巡逻舰/艇,2004年7月,NULL,"
“萨卡普”的意思是坚定决心。萨卡普级巡逻舰是最大的印度本土设计的海岸警卫舰船。它将用于海上巡逻警戒、污染控制、消防以及搜救任务。
",24节,NULL,NULL,NULL,NULL
10.2米,海监27 ,舰船舰艇,NULL,75.8米,NULL,NULL,{'$oid': '5cc9320f831b973d657f189b'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,NULL,NULL,"
海监27用于海洋环境监测、海洋环境保护任务，同时兼顾海洋资源及海底设施的勘测、海洋巡视以及维护海洋权益等工作。

船上动力系统为双机单轴可变螺距螺旋桨，设有艏侧向推进器和非收式减摇鳍，适航性、操纵性、机动性强，可满足对远海航区船舶的稳性和抗10级风力的要求。
",20节,NULL,1200吨,服役中,5000海里
9.4米,海监72,舰船舰艇,33人,70米,NULL,武昌造船厂,{'$oid': '5cc93210831b973d657f189c'},http://images.huanqiu.com/sarons/2014/01/bb53d4139544de29e11fef6c166e31d5.jpg,NULL,898吨,NULL,NULL,NULL,NULL,NULL,中国,NULL,500-2000吨,巡逻舰/艇,1990年,NULL,,19.2节,NULL,NULL,NULL,NULL
9.2米,海监62 ,舰船舰艇,NULL,65.316米,NULL,NULL,{'$oid': '5cc93210831b973d657f189d'},,NULL,656.66吨,NULL,NULL,NULL,NULL,NULL,中国,NULL,500-2000吨,巡逻舰/艇,1973年,NULL,,15节,NULL,209吨,NULL,NULL
6.6米,海监44测量船,舰船舰艇,NULL,36.18米,NULL,NULL,{'$oid': '5cc93210831b973d657f189e'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,1978年,NULL,,11.2节,NULL,NULL,在役,NULL
NULL,海监23,舰船舰艇,NULL,77米,NULL,NULL,{'$oid': '5cc93210831b973d657f189f'},,NULL,1000吨,北海,2011年1月6日,NULL,NULL,NULL,中国,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,,NULL,NULL,NULL,服役中,5000海里
7.2米,海监32,舰船舰艇,78人,58.8米,2.2米,NULL,{'$oid': '5cc93210831b973d657f18a0'},,NULL,392吨,NULL,NULL,037型猎潜艇,NULL,NULL,中国,NULL,500吨以内,巡逻舰/艇,NULL,NULL,,30.5节,NULL,NULL,在役,NULL
6.6米,海监41 ,舰船舰艇,NULL,36.18米,NULL,NULL,{'$oid': '5cc93210831b973d657f18a1'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,1978年,NULL,,11.2节,NULL,NULL,在役,NULL
10.2米,海监40(向阳红01) ,舰船舰艇,NULL,65.22米,3.5米,江南造船厂,{'$oid': '5cc93211831b973d657f18a2'},,NULL,1120吨,NULL,1969年1月14日,NULL,NULL,NULL,中国,NULL,500-2000吨,巡逻舰/艇,1967年2月,NULL,,15节,NULL,NULL,在役,NULL
15.2米,海监50,舰船舰艇,NULL,98米,NULL,武汉武昌造船厂,{'$oid': '5cc93211831b973d657f18a3'},http://images.huanqiu.com/sarons/2014/01/0ef8d967b03ecf5d9ae6aed693d779c4.jpg,NULL,NULL,NULL,2011年6月,上海港,2011年,NULL,中国,NULL,NULL,巡逻舰/艇,2010年2月,海监83,中国海警2350，原名中国海监50。 “中国海监50”号是一艘集巡航执法与海洋调查为一体的4000吨级海监船，是中国综合能力最强、设备设施最先进的多功能大型中远程海洋监察船，为中国海监旗舰船“中国海监83”号的姊妹船。2011年12月，“中国海监50”号正式履行海洋巡航维权执法职责。,18节,60天,NULL,在役,NULL
7.2米,海监20,舰船舰艇,78人,58.8米,NULL,NULL,{'$oid': '5cc93211831b973d657f18a4'},http://images.huanqiu.com/sarons/2014/01/3765b480a5943a9c1d1cda77adc658d4.jpg,NULL,392吨,NULL,NULL,NULL,NULL,NULL,中国,NULL,500吨以内,巡逻舰/艇,NULL,NULL,,30.5节,NULL,375吨,NULL,NULL
NULL,海监26,舰船舰艇,NULL,NULL,NULL,NULL,{'$oid': '5cc93211831b973d657f18a5'},http://images.huanqiu.com/sarons/2014/01/91ec6f590f8780dcc89a9d45a32fcdb4.jpg,NULL,NULL,NULL,2011年4月22日,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,NULL,NULL,,20节,NULL,1125吨,在役,5000海里
NULL,海监21,舰船舰艇,NULL,NULL,NULL,重庆东升船厂,{'$oid': '5cc93211831b973d657f18a6'},http://images.huanqiu.com/sarons/2014/01/15a5619532a191d1c0d03ba1624e2c02.jpg,NULL,NULL,NULL,NULL,NULL,1978年9月,NULL,中国,NULL,NULL,巡逻舰/艇,NULL,NULL,,NULL,NULL,NULL,服役中,NULL
10.2米,海监18,舰船舰艇,45人,71.4米,NULL,武昌造船厂,{'$oid': '5cc93211831b973d657f18a7'},http://images.huanqiu.com/sarons/2014/01/4a8a0886bf5dc3a5a2ea692118099307.jpg,NULL,899吨,NULL,NULL,NULL,NULL,NULL,中国,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,,15.2节,NULL,NULL,NULL,2500海里
15.2米,海监83,舰船舰艇,NULL,98米,NULL,上海江南造船厂,{'$oid': '5cc93211831b973d657f18a8'},http://images.huanqiu.com/sarons/2014/01/5132ebf186dc4c6a78c9611d61afbb96.jpg,NULL,3980吨,NULL,NULL,NULL,NULL,NULL,中国,NULL,2000-5000吨,巡逻舰/艇,NULL,NULL,,18节,60天,NULL,NULL,NULL
10.4米,海监75,舰船舰艇,43人,77.39米,NULL,NULL,{'$oid': '5cc93212831b973d657f18a9'},,NULL,1290吨,NULL,NULL,NULL,NULL,NULL,中国,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,,20.6节,30天,NULL,NULL,NULL
7.59米,海监82 ,舰船舰艇,NULL,29.47米,NULL,NULL,{'$oid': '5cc93212831b973d657f18aa'},http://images.huanqiu.com/sarons/2014/01/f5c4b245a5de04fb79ca8fe3f0a4a85e.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,NULL,NULL,,9节,NULL,NULL,NULL,NULL
10米,海监73,舰船舰艇,NULL,73.7米,NULL,NULL,{'$oid': '5cc93212831b973d657f18ab'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,1972年,NULL,,17.8节,NULL,NULL,NULL,NULL
15.2米,海监81(向阳红14) ,舰船舰艇,129人,110.99米,NULL,NULL,{'$oid': '5cc93212831b973d657f18ac'},,NULL,4400吨,NULL,NULL,NULL,NULL,NULL,中国,NULL,2000-5000吨,巡逻舰/艇,1981年,NULL,,18.75节,NULL,NULL,NULL,NULL
5.39米,海监16,舰船舰艇,NULL,26.35米,NULL,湖南太阳鸟游艇制造有限公司,{'$oid': '5cc93212831b973d657f18ad'},http://images.huanqiu.com/sarons/2014/01/35c8de6b561f86cfbaec04a655744460.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,NULL,NULL,,21.5节,NULL,NULL,NULL,NULL
10.2米,海监74,舰船舰艇,NULL,71.4米,NULL,武昌造船厂,{'$oid': '5cc93212831b973d657f18ae'},http://images.huanqiu.com/sarons/2014/01/bf2076fb87460a5d78795d96689148c0.jpg,NULL,996吨,NULL,NULL,NULL,NULL,NULL,中国,NULL,500-2000吨,巡逻舰/艇,20世纪90年代,NULL,,15.5节,NULL,NULL,NULL,NULL
10.2米,海监17,舰船舰艇,NULL,73.9米,NULL,武昌造船厂,{'$oid': '5cc93212831b973d657f18af'},http://images.huanqiu.com/sarons/2014/01/a10c9c46fe06fbe9eb390e27af340a1e.jpg,NULL,1150吨,NULL,2005年5月8日,NULL,NULL,NULL,中国,NULL,500-2000吨,巡逻舰/艇,2003年12月28日,NULL,,16节,30天,NULL,在役,NULL
NULL,传奇级国家安全舰,舰船舰艇,99人,126米,NULL,诺斯罗普·格鲁曼公司,{'$oid': '5cc93213831b973d657f18b0'},http://images.huanqiu.com/sarons/2014/01/c598db26175d9e9f760a322006e472cb.jpg,NULL,4488吨,NULL,2008年,NULL,2006年,NULL,美国,NULL,2000-5000吨,巡逻舰/艇,2005年,NULL,,28节,60天,NULL,现役,NULL
10米,海监22(向阳红08),舰船舰艇,NULL,74米,NULL,芜湖造船厂,{'$oid': '5cc93213831b973d657f18b1'},http://images.huanqiu.com/sarons/2014/01/a3a8e787c8dfd622e4978ec5fe1a900b.jpg,NULL,NULL,NULL,1974年9月26日,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,1973年,NULL,,17.8节,NULL,NULL,服役中,NULL
10.2米,海监46,舰船舰艇,NULL,73.9米,3.4米,武昌造船厂,{'$oid': '5cc93213831b973d657f18b2'},,NULL,NULL,NULL,2005年5月8日,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,2005年4月,NULL,"
“中国海监46”船是国家“十五”期间投资重点建造的首批6艘新型海监船中第二艘投入使用的船舶。2005年5月8日下午4时许，武昌造船厂为国家海洋局批量建造的1000吨海监船的首制船，“中国海监46”船交接仪式在宁波中国海监第四支队码头隆重举行。该船由中国船舶重工集团公司701所设计、武昌造船厂建造。
",16节,NULL,NULL,在役,NULL
14.6米,津轻级PLH型巡视舰,舰船舰艇,71人,105.4米,NULL,NULL,{'$oid': '5cc93213831b973d657f18b3'},http://images.huanqiu.com/sarons/2014/01/ae89384cc2d2664e8843ed97607f3ad4.jpg,NULL,4037吨,日本第一管区,1979年4月,NULL,NULL,NULL,日本,NULL,2000-5000吨,巡逻舰/艇,NULL,NULL,“津轻”（TSUGARU class/つがる）级巡逻舰是日本海上保安厅装备数量最多的载机型大型巡逻舰，主要担负海上警戒、抢险救灾等任务，并作为日本海上保安厅各管区旗舰使用。津轻级为宗谷级的后续改进舰型，取消了破冰功能，采用钢质船体，增加了船身长宽比以提高航速，配备1架轻型直升机。本级共建造9艘，其中最后2艘结构变动较大堪称全新设计，均现役中。“津轻”级巡逻舰服役后，使日本海上保安厅远洋警戒与救援能力大为增强。,22节,NULL,NULL,NULL,NULL
12米,海监84,舰船舰艇,NULL,88米,NULL,武昌船舶重工有限责任公司,{'$oid': '5cc93213831b973d657f18b4'},http://images.huanqiu.com/sarons/2014/01/88de9a85cc8bd65cec7061f2aadeebdf.jpg,NULL,NULL,南海,2011年5月8日,NULL,2010年9月,NULL,中国,NULL,NULL,巡逻舰/艇,2009年9月,NULL,,18节,40天,1740吨,服役中,5000海里
13.5米,雍籍牙级巡逻舰,舰船舰艇,150人,108米,NULL,NULL,{'$oid': '5cc93213831b973d657f18b5'},http://images.huanqiu.com/sarons/2014/01/6a521dbb68d9be2dfa62c751a8dd7454.jpg,NULL,2350吨,NULL,NULL,NULL,2008年,NULL,缅甸,NULL,2000-5000吨,巡逻舰/艇,2005年,NULL,继两艘阿奴律陀级之后，缅甸又继续建造雍籍牙级(Aung Zeya class)巡逻舰，首舰雍籍牙号(Aung Zeya F11)据信约在2005年左右开工，最晚于2008年下水，估计在2011年左右成军，以缅甸历史的国王命名。,30节,NULL,NULL,NULL,NULL
13米,汉密尔顿级巡逻舰,舰船舰艇,NULL,115米,NULL,阿冯达造船厂,{'$oid': '5cc93214831b973d657f18b6'},http://images.huanqiu.com/sarons/2014/01/15b76f1838896f800ec864b8547f58d7.jpg,NULL,3250吨,NULL,1967年,NULL,1965年,NULL,美国,NULL,2000-5000吨,巡逻舰/艇,1964年,NULL,,16节,45天,NULL,现役,NULL
NULL,海监71,舰船舰艇,NULL,73.9米,NULL,武昌造船厂,{'$oid': '5cc93214831b973d657f18b7'},,NULL,NULL,南海,2005年6月28日,NULL,2005年2月,NULL,中国,NULL,NULL,巡逻舰/艇,2003年12月26日,NULL,,16节,30天,1111吨,服役中,5000海里
8.9米,阿奴律陀级巡逻舰,舰船舰艇,NULL,77米,NULL,缅甸海军造船厂,{'$oid': '5cc93214831b973d657f18b8'},,NULL,1450吨,NULL,2006年,NULL,2005年,NULL,缅甸,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,"
在2000年代，缅甸于本国缅甸海军造船厂(Myanmar Naval Dockyard)建造一种中型巡逻舰，共造两艘。

首舰阿奴律陀号(Anawrahta F-771)在2005年下水，2006年服役；二号舰莽应龙号(Bayint Naung F-772)在2006年下水，2007 年服役，两舰的命名都来自缅甸历史上的国王。
",26节,NULL,NULL,NULL,NULL
12米,海监51,舰船舰艇,NULL,87.7米,NULL,武昌造船厂,{'$oid': '5cc93214831b973d657f18b9'},http://images.huanqiu.com/sarons/2014/01/13b630f3493146677a52d4326965f3e0.jpg,NULL,1690吨,东海,2005年11月,NULL,NULL,NULL,中国,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,,18节,40天,NULL,服役中,6000海里
10.2米,海监49,舰船舰艇,NULL,71.4米,3.4米,NULL,{'$oid': '5cc93214831b973d657f18ba'},,NULL,NULL,NULL,1995年7月31日,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,NULL,NULL,,15.2节,NULL,NULL,在役,NULL
9.2米,海监47,舰船舰艇,25人,65.316米,NULL,NULL,{'$oid': '5cc93214831b973d657f18bb'},,NULL,NULL,NULL,1973年9月,NULL,NULL,NULL,中国,NULL,NULL,巡逻舰/艇,1973年5月,NULL,,16节,NULL,NULL,在役,NULL
12.6米,飞弹级PL型巡视舰,舰船舰艇,NULL,95米,NULL,日本海上保安厅,{'$oid': '5cc93214831b973d657f18bc'},http://images.huanqiu.com/sarons/2014/01/3de2e69e11ed708edf4714e2bebcc53f.jpg,NULL,1800吨,亚洲,2006年,NULL,NULL,NULL,日本,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,,30节,NULL,NULL,现役,NULL
11.5米,萨马尔级巡逻艇,舰船舰艇,95人,102.45米,NULL,NULL,{'$oid': '5cc93215831b973d657f18bd'},,NULL,2005吨,NULL,1996年2月14日,NULL,NULL,NULL,印度,NULL,2000-5000吨,巡逻舰/艇,NULL,NULL,"
该型巡逻艇的出现标志着印度海岸警卫队的能力向前迈了一大步。印度最初计划装备6艘该型舰艇。但后来一个新型设计取代了它。该型先进近海巡逻艇主要用于执行全时全天候海岸巡逻、执法、反走私、反恐以及海空搜救任务，装备了消防、拖曳打捞、油料和化学污染控制、必要时对海军支援和协助的装备。
",15节,NULL,NULL,NULL,7000海里
7.9米,天盐级PM型中级巡视船,舰船舰艇,NULL,67.8米,NULL,日本海上保安厅,{'$oid': '5cc93215831b973d657f18be'},http://images.huanqiu.com/sarons/2014/01/9162de11a7005739534fad016dbacd19.jpg,NULL,630吨,NULL,1982年,NULL,NULL,NULL,日本,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,,18节,NULL,NULL,现役,NULL
7.5米,特种巡逻快艇,舰船舰艇,25人,48.14米,NULL,果阿造船有限公司,{'$oid': '5cc93215831b973d657f18bf'},http://images.huanqiu.com/sarons/2014/01/782f3343237732563c954b638a1342ae.jpg,NULL,270吨,NULL,2006年7月25日（米拉 贝赫 234）,NULL,2006年1月28日（米拉 贝赫 234）,NULL,印度,NULL,500吨以内,巡逻舰/艇,NULL,NULL,"
这些艇用于执行巡逻、反走私、反恐、缉毒、渔业保护以及搜救任务。艇身采用全充气式，能在深海等级4以上的区域执行任务并能经受住深海等级6的条件。该型艇在战时能以海岸护卫、通信连接以及执行浅水区域任务的形式对印度海军进行支援。

这些艇是果阿造船有限公司生产的，全部采用环保型设计，装有污水处理装置。空调使用的气体也是对臭氧层为无害的。其中阿鲁那阿萨福阿里232部署在泰米尔纳德邦的杜蒂戈林，由海岸警卫队西部海岸司令部指挥，执行泰米尔纳德邦以及马纳尔湾水域的治污任务。
",35节,7天,NULL,在役,NULL
11.4米,维克拉姆级近岸巡逻艇,舰船舰艇,89人,74.1米,NULL,NULL,{'$oid': '5cc93215831b973d657f18c0'},,NULL,1220吨,NULL,1985年4月12日,NULL,NULL,NULL,印度,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,"
该艇用于执行非限制水域的巡逻任务并按照热带环境下任务执行进行的设计。这种设计继承了荷兰联合造船局的一些思路，是750吨近岸巡逻舰的变型，1979年定购。可以完成有限的污染控制、近岸设施的巡逻和保护、印度专属经济区巡逻警戒、反走私以及搜救任务。这型艘舰被认为太小。因此需要更换成一艘更大的艇。据报道，“瓦拉哈”将在2007年赠与或租借给斯里兰卡海军，以支援另一艘印度海军的舰艇“萨于拉”。
",16节,NULL,NULL,NULL,8500海里
15.6米,宗谷级PLH型巡视舰,舰船舰艇,71人,98.6米,NULL,NULL,{'$oid': '5cc93215831b973d657f18c1'},http://images.huanqiu.com/sarons/2014/01/251f85896d5ba6ad607ab72247bf1c03.jpg,NULL,4089吨,日本第1管区,1978年11月22日,NULL,NULL,NULL,日本,NULL,2000-5000吨,巡逻舰/艇,NULL,NULL,宗谷舰是日本海上保安厅第一艘搭载直升机的巡视舰，舰上可搭载1架富士—贝尔公司的212型直升机，本舰舰名延用日本第一艘南极观测船PL-107的船名。主要用于包括北方海域警备、救难，以及结冰洋面上开通航路等任务，本舰服役期较长自2009年起开始进行延寿改造。,21节,NULL,NULL,NULL,NULL
15.2米,几加白级沿岸巡逻艇,舰船舰艇,27人,44米,NULL,NULL,{'$oid': '5cc93215831b973d657f18c2'},,NULL,NULL,NULL,1985年5月9日,NULL,NULL,NULL,印度,NULL,500吨以内,巡逻舰/艇,NULL,NULL,"
这型艇能在海域内进行高效监察、搜救和反走私任务，特别是能高速机动并擅长在浅水区行动。
",14节,NULL,NULL,NULL,2375海里
15.5米,瑞穗级PLH型巡视舰,舰船舰艇,130人,130米,NULL,NULL,{'$oid': '5cc93216831b973d657f18c3'},,NULL,5317吨,日本第四管区,NULL,NULL,NULL,NULL,日本,NULL,5000-10000吨,巡逻舰/艇,NULL,NULL,瑞穗级拥有大型直升机机库，是海上保安厅首艘搭载2架直升机的巡视舰，可搭载2架轻型直升机。本级共建造2艘，现役中。,23节,NULL,NULL,NULL,NULL
