名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
P-51D/K“野马”,飞行器,703千米每小时,11.28米,一台帕卡德V-1650-7发动机,1943年11月17日,单发,NULL,1957年,NULL,1520千米,{'$oid': '5cc93097831b973d657f0f96'},NULL,http://images.huanqiu.com/sarons/2013/08/fb2d3f0b326420cdd962e46883a10902.jpg,3.71米,3463千克,1944年,美国,亚音速,战斗机,"
为了进一步提高已臻一流的配备“灰背隼”发动机的“野马”的性能，北美公司于1943年年初着手改造B-51的机身。最终结果就是XP-51D，1944年，采用泪滴型座舱罩且机身更加洗练的P-51D加入服役。P-51K是P-51D的变种机型。
",北美航空公司,平直翼,2人,9.83米,5488千克
P-51B/C“野马”,飞行器,702千米每小时,11.28米,帕卡德V-1650-3发动机,1942年11月13日,单发,NULL,NULL,NULL,640千米,{'$oid': '5cc93097831b973d657f0f97'},NULL,http://images.huanqiu.com/sarons/2013/08/265f29840815a204a0e7fe59eefb4cff.jpg,4.16米,3166千克,1943年12月,美国,亚音速,战斗机,"
P-51B是从为满足英国的新型战斗机招标而制造的创纪录的P-51A“野马”发展而来的，P-51A采用阿里逊发动机，而P-51B配备的则是罗-罗公司的“灰背隼（Merhn）”发动机，其优秀的性能足以和当时德国主力的Bf 109和Fw 190等杰出战机对抗甚至占优。虽然在使用V-1650-3时期的P-51B/C型尚有诸多问题，对轴心国的一线级战机并非全面性的优势，但已展现各方面优秀的潜能、并为盟军及时提供战略需求上理想的护航机，而且设计上也已经为后续的机型奠下良好的基础。
",北美航空公司,平直翼,1人,9.83米,5352千克
格鲁曼FF/SF,飞行器,333千米每小时,10.51米,莱特R-1820-78“旋风”发动机,1933年12月,单发,NULL,1940年,NULL,1480千米,{'$oid': '5cc93097831b973d657f0f98'},格鲁曼公司,http://images.huanqiu.com/sarons/2013/08/7b3475312754413aecec6a05b50f482a.jpg,3.4米,1500千克,1933年,美国,亚音速,战斗机,"
格鲁曼FF/SF战斗机，是美国海军装备的第一种可以收放起落架的舰载战斗机，也是格鲁曼战斗机同美国海军结缘70年的开始。
",格鲁曼公司,平直翼,2人,7.47米,2190千克
F-102“三角剑”截击战斗机,飞行器,1327千米每小时,11.62米,普-惠J57-P-23A发动机,1953年10月24日（YF-102）,单发,NULL,NULL,NULL,2173千米,{'$oid': '5cc93097831b973d657f0f99'},NULL,http://images.huanqiu.com/sarons/2013/08/3e51caab3f212e1a756daaad5473b2fe.jpg,6.46米,9144千克,1956年4月,美国,超音速,战斗机,,康维尔公司,三角面,1人,20.84米,14187千克
P-47“雷电”战斗机,飞行器,688千米每小时,12.43米,普-惠R-2800-59“双黄蜂”发动机,1941年5月6日,单发,NULL,1955年,NULL,760千米,{'$oid': '5cc93098831b973d657f0f9a'},NULL,http://images.huanqiu.com/sarons/2013/08/f1d112f27dcb67ffb23de05f0833e85d.jpg,4.32米,4536千克,NULL,美国,亚音速,战斗机,"
P-47“雷电”战斗机（Thunderbolt）由共和飞机公司制造，是美国陆军航空军（美国空军前身）在二次大战中后期的主力战斗机之一，也是当时最大型的单引擎战斗机，其后期的M / N型更排得进二战时盟军最快的螺旋桨战斗机之前列。除了在空战中表现优异，P-47更适合于执行对地攻击任务。除了美国陆军航空军外，也有其他盟军空军部队使用P-47战斗机。由于的机身明显较其他种战机壮硕肥胖许多，故当时被昵称为""水罐""(Jug)。15686架的产量使P-47位居美国战机产量的第一位，其中D型机的12602架，更是世界军机单一机型生产量第一位。
",共和飞机公司,平直翼,1人,11.02米,8800千克
P-61“黑寡妇”战斗机,飞行器,594千米每小时,20.12米,两台普-惠R-2800-65“双黄蜂”发动机,1942年5月21日,双发,NULL,NULL,NULL,1600千米,{'$oid': '5cc93098831b973d657f0f9b'},NULL,http://images.huanqiu.com/sarons/2013/08/7807f72bb261c6a6cf9801b0d47b12f5.jpg,4.32米,9510千克,1943年11月,美国,亚音速,战斗机,,诺斯洛普公司,平直翼,3人,14.91米,14696千克
F4F/FM“野猫”战斗机,飞行器,515千米每小时,11.58米,普-惠R-1830-86“双黄蜂”发动机,1937年9月2日,单发,NULL,1945年,NULL,1239千米,{'$oid': '5cc93098831b973d657f0f9c'},格鲁曼飞机制造厂,http://images.huanqiu.com/sarons/2013/08/fa4cfb6fdbe8dacf867ce0bdd0023034.jpg,3.45米,2674千克,1940年12月,美国,亚音速,战斗机,,NULL,平直翼,1人,8.76米,3604千克
F-106“三角标枪”截击机,飞行器,2393千米每小时,11.67米,普-惠J75-P-17发动机,1956年12月26日,单发,NULL,1988年,NULL,3138千米,{'$oid': '5cc93098831b973d657f0f9d'},康维尔飞机公司,http://images.huanqiu.com/sarons/2013/08/77ded6abb3dec098ed02128a70c9e0d7.jpg,6.18米,10802千克,1959年6月,美国,亚音速,战斗机,,NULL,三角面,1人,21.55米,17350千克
F7F“虎猫”战斗机,飞行器,700千米每小时,15.7米,两台普-惠R-2800-34W“双黄蜂”发动机,1943年11月3日,双发,NULL,NULL,NULL,1931千米,{'$oid': '5cc93098831b973d657f0f9e'},NULL,http://images.huanqiu.com/sarons/2013/08/a584b99db0b4c2235b4dbb9df13927e2.jpg,5.05米,7380千克,NULL,美国,亚音速,战斗机,,美国格鲁曼公司,平直翼,2人,13.83米,11666千克
P-35A,飞行器,499千米每小时,10.97米,一台普-惠R-1830-45“双黄蜂”发动机,1935年4月（SEV-2XP）,单发,NULL,NULL,NULL,1529千米,{'$oid': '5cc93098831b973d657f0f9f'},NULL,http://images.huanqiu.com/sarons/2013/08/f0df39183438241ab2cd0afde8c5a6c8.jpg,2.97米,2075千克,NULL,美国,亚音速,战斗机,"
P-35A飞机，是美国陆军航空队第一架单座全金属战斗机，配备伸缩起落架与全封式座舱。它象征着美国军用航空发展的一个新阶段。P-35A由共和（Republic）飞机公司的前身舍维尔斯基（Seversky）设计生产。
",美国舍维尔斯基公司（Seversky）,平直翼,1人,8.18米,3050千克
F4U/FG-1“海盗”,飞行器,718千米每小时,12.47米,一台普-惠R-2800-18W“双黄蜂”发动机,1940年5月29日,单发,NULL,NULL,NULL,1617千米,{'$oid': '5cc93098831b973d657f0fa0'},NULL,http://images.huanqiu.com/sarons/2013/08/a4bbe685366d1f00c1ad1cf5b675858f.jpg,4.5米,4175千克,1942年9月,美国,亚音速,战斗机,F4U“海盗”（F4U Corsair）战斗机是美国沃特公司为美国海军所研发的一种舰载机与陆基战斗机，于第二次世界大战至朝鲜战争期间（1942-1952）在美军服役，朝鲜战争后，F4U仍在部分国家服役直到1960年代。二战的太平洋战场上，F4U与F6F并为美国海军主力，成为日本战斗机的强劲对手。大战结束后，据美国海军统计，F4U的击落比率为11:1，即每击落11架敌机才有1架被击落，拥有着骄人的战绩。,美国沃特公司（Chance Vought）,平直翼,1人,10.26米,6654千克
P-38“闪电”,飞行器,666千米每小时,15.85米,两台阿里逊V-1710-89／91发动机,1939年1月27日,双发,NULL,1949年,NULL,764千米,{'$oid': '5cc93098831b973d657f0fa1'},NULL,http://images.huanqiu.com/sarons/2013/08/3a85afc133baa290f6a71d804f68855e.jpg,3米,5797千克,1941年,美国,亚音速,战斗机,"
P-38“闪电”战斗机，是二战时期由美国洛克希德公司生产的一款双引擎战斗机。这架飞机的用途十分广泛，可执行多种任务，包括远程的拦截、制空、护航、侦查、对地攻击、俯冲轰炸和水平轰炸等。P-38在西南太平洋战场得到了最广泛也最成功的应用，其最为知名的一役，便是1943年4月18日的长距离拦截任务，P-38成功击落日本联合舰队司令山本五十六座机。
",美国洛克希德公司,平直翼,1人,11.53米,9798千克
歼-6系列战斗机,飞行器,1255千米每小时,9.04米,WP-6型发动机2台,1959年9月23日,单发,NULL,2006年,NULL,2318千米,{'$oid': '5cc93099831b973d657f0fa2'},NULL,http://images.huanqiu.com/sarons/2013/11/c9cd257f740590726158d711b272212d.jpg,3.85米,5447千克,1962年4月29日,中国,亚音速,战斗机,"
歼-6，仿制自前苏联的MIG-19，北约代号同为""Farmer""（农夫）。歼-6战机为中国自主生产第一代超音速战机，从1964年首架交付使用，1986年停产，2010年6月12日，国产歼6飞机正式退出空军编制序列。歼-6是中国人民解放军空军于1960至1970年代的主力，也是中国航空工业生产装备数量最多的机型，共生产了逾4千5百架，远超过该型飞机于苏联的数量，该机同时出口到了许多国家。
",沈阳飞机设计研究所,后掠翼,1人,14.64米,8824千克
AT-12“卫兵”,飞行器,508千米每小时,10.97米,普-惠R-1830-S3C“双黄蜂”发动机,1937年年底,单发,NULL,NULL,NULL,1850千米,{'$oid': '5cc93099831b973d657f0fa3'},共和飞机制造公司（舍维尔斯基）,http://images.huanqiu.com/sarons/2013/08/df9d9311e5a202b1f70c730b65286bdf.jpg,2.99米,2078千克,NULL,美国,亚音速,战斗机,,NULL,平直翼,2人,8.2米,3474千克
米格-29“支点”战斗机,飞行器,2817千米每小时,11.4米,两台RD-33涡轮扇叶发动机,1977年10月6日,双发,NULL,NULL,NULL,2900千米,{'$oid': '5cc93099831b973d657f0fa4'},NULL,http://images.huanqiu.com/sarons/2013/08/cfdb6554f5db907526814df2d1657e53.jpg,4.7米,8175千克,1983年,苏/俄,亚音速,战斗机,,前苏联米高扬飞机设计局,后掠翼,1人,17.3米,18000千克
格鲁曼F2F/F3F,飞行器,425千米每小时,9.75米,莱特R-1820-22“旋风”发动机,1933年10月18日（XF2F-1）,单发,NULL,1941年,NULL,1328千米,{'$oid': '5cc93099831b973d657f0fa5'},格鲁曼公司,,2.84米,1478千克,NULL,美国,亚音速,战斗机,"
受FF-1成功的鼓舞，格鲁曼飞机制造厂顺理成章地在同一生产线上开始了单翼战斗机的设计——金属蒙皮机身、织物蒙皮的金属机翼、大功率星形发动机（一台普-惠“双小黄蜂”发动机），以及收放式起落架。该设计被格鲁曼飞机制造厂命名为G-8，后改为F2F，于1932年6月提交给美国海军，同年11月接到了生产一架XF2F原型机的合同。
",格鲁曼公司,双翼,1人,7.07米,2042千克
苏-24“击剑手”战斗轰炸机,飞行器,2670千米每小时,17.6米,两台上星/留里卡AL-21F-3A涡轮喷气发动机,1970年1月,双发,NULL,NULL,NULL,3500千米,{'$oid': '5cc93099831b973d657f0fa6'},NULL,http://images.huanqiu.com/sarons/2013/08/3bbfa3144ff4a9076b2e3d7714a04b8d.jpg,5米,5000千克,1974年,苏/俄,亚音速,战斗机,,前苏联苏霍伊设计局,后掠翼,2人,24.5米,35000千克
苏-35/苏-37“侧卫-E”  全天候防空战斗机,飞行器,2500千米每小时,15.2米,2台AL-35F 涡轮发动机,1988年6月28日,双发,NULL,NULL,NULL,4000千米,{'$oid': '5cc93099831b973d657f0fa7'},NULL,http://images.huanqiu.com/sarons/2013/08/f9b8d2838ac1f540665360fd3a0b92fb.jpg,6.43米,17500千克,NULL,苏/俄,亚音速,战斗机,"
苏-35（英语：Sukhoi Su-35，俄语：КБ Сухой Су-35）战斗机，北约代号“侧卫-E”或“超侧卫”（Flanker-E、Super Flanker）是苏霍伊设计局在苏-27战斗机的基础上研制的深度改进型单座双发、超机动多用途重型战斗机，在战斗机世代上属于第四代战斗机改进型号，即第四代半战斗机。

苏-37是改良版的苏-35，于1996年4月首飞。
",苏霍伊设计局,后掠翼,1人,22.2米,34000千克
MB-3,飞行器,227千米每小时,7.92米,莱特-希斯潘诺（Wright-HisPano）H-3发动机,1919年2月21日,单发,NULL,1928年,NULL,435千米,{'$oid': '5cc93099831b973d657f0fa8'},NULL,,2.34米,778千克,1919年3月,美国,亚音速,战斗机,"
MB-3型飞机，是1919年由美国托马斯-摩尔斯公司为美国海军生产的一款新型单座单发双翼战斗机。后来波音公司也加入MB-3的生产行列。数年服役之后，转为教练机。1928年，该型机最终退役。
",美国托马斯-摩尔斯公司，美国波音公司,双翼,1人,6.1米,1152千克
歼-7系列战斗机,飞行器,2177千米每小时,8.32米,涡喷7,1966年1月17日,单发,NULL,NULL,NULL,1480千米,{'$oid': '5cc93099831b973d657f0fa9'},NULL,http://images.huanqiu.com/sarons/2013/11/bcb9026e7f9b56baeb78506b1bd5c2f4.jpg,4.1米,5275千克,1967年,中国,超音速,战斗机,"
歼-7，仿制自前苏联的MIG-21，北约代号同为""Fishbed""（鱼窝）。歼-7型战斗机是中国仿制前苏联米格-21战斗机生产的喷气式战斗机，是中国空军和海军航空兵装备规模最大的战斗机之一。该机依靠本身具有飞行性能好、轻小灵活、低成本、高效率和使用维护简单等技术特点。 歼-7已于2006年停产。
",成都飞机工业公司,三角面,1人,13.95米,8655千克
共和43“长矛”,飞行器,573千米每小时,10.97米,普-惠R-1830-57“双黄蜂”发动机,1940年年中,单发,NULL,1944年（中国）,NULL,1050千米,{'$oid': '5cc93099831b973d657f0faa'},共和飞机制造公司,,4.27米,2720千克,NULL,美国,亚音速,战斗机,,NULL,平直翼,1人,8.69米,3847千克
歼-5战斗机,飞行器,1145千米每小时,9.6米,涡喷-5型离心式喷气发动机,1956年7月19日,单发,NULL,1959年,NULL,2020千米,{'$oid': '5cc93099831b973d657f0fab'},NULL,http://images.huanqiu.com/sarons/2013/11/0fdfff8e8eac366ab24c97742ddff6b0.jpg,3.8米,3939千克,1956年,中国,亚音速,战斗机,,沈阳飞机制造厂,后掠翼,1人,11.68米,6000千克
NA-50/-68和P-64,飞行器,435千米每小时,11.35米,莱特R-1820-77“旋风”9发动机,1939年年初,单发,NULL,1950（秘鲁）,NULL,1014千米,{'$oid': '5cc9309a831b973d657f0fac'},NULL,http://images.huanqiu.com/sarons/2013/08/fc09d7ea0e38a06ca8e2501603f7dcd2.jpg,2.74米,2114千克,NULL,美国,亚音速,战斗机,,北美航空公司,平直翼,1人,8.23米,2717千克
歼-8系列战斗机,飞行器,2339千米每小时,9.34米,2具涡喷-13A-II型涡喷发动机,1969年7月5日,双发,NULL,2011年10月,NULL,4000千米,{'$oid': '5cc9309a831b973d657f0fad'},NULL,http://images.huanqiu.com/sarons/2013/11/711d2ee550bdf00384f2f65dbb50e373.jpg,5.41米,982千克,1980年,中国,超音速,战斗机,"
    歼8战斗机（歼-8或称J-8），昵称“空中美男子”，北约命名为“长须鲸”（Finback），是我国基于MiG-21的基础上独立进行重大改进研发而成的高空高速歼击机，主要承担制空与拦截任务。解放军从2011年开始除役老旧的歼-8机型。截止2011年，在中国人民解放军空军及海军航空兵阵容中，仍在服役歼-8数量约为300架。
",沈阳飞机公司,三角面,1人,21.52米,17800千克
歼-12战斗机,飞行器,1300千米每小时,7.19米,1台WP-6Z,1969年,单发,NULL,NULL,NULL,1167千米,{'$oid': '5cc9309a831b973d657f0fae'},NULL,,3.73米,3172千克,未有服役,中国,超音速,战斗机,,南昌飞机制造厂,三角面,1人,10.66米,5295千克
歼-7B/M型 战斗机,飞行器,NULL,NULL,涡喷-7B延寿型发动机,1982年5月,单发,NULL,NULL,NULL,NULL,{'$oid': '5cc9309a831b973d657f0faf'},NULL,http://images.huanqiu.com/sarons/2014/01/c14a47b5fd2ba8ad68fb41d0c19b7dff.jpg,NULL,NULL,NULL,中国,超音速,战斗机,"
歼-7B是歼-7II的出口型，1982年5月首飞，使用涡喷-7B延寿型发动机。B型可挂西方的近距空空导弹，主要是法国魔术R.550近距空空导弹，也可挂国产霹雳-2导弹。因此携带的导弹武器也成为了识别该型号的一个有力依据。B型曾出口到伊拉克和苏丹。
",NULL,三角面,NULL,NULL,NULL
歼-15战斗机,飞行器,2940千米每小时,15米,FWS-10H国产发动机,2012年11月3日,双发,NULL,NULL,NULL,3500千米,{'$oid': '5cc9309a831b973d657f0fb0'},沈阳飞机工业集团,http://images.huanqiu.com/sarons/2014/05/9740362a04043683a6e08ffc38697811.jpg,5.82米,17500千克,NULL,中国,亚音速,战斗机,"
歼-15（英文：J-15，中文绰号：飞鲨“Fēishā”，英文：Flying Shark，北约代号：侧卫D型，英文：Flanker-D）是中国参考从乌克兰获得苏-33战斗机原型机T-10K-3号机以国产歼-11战斗机为基础进而研制和发展的重型双发舰载战斗机，该机研制由中国航空工业集团公司沈阳飞机工业集团承担。歼-15在战斗机世代划分上属于第四代战斗机改进型，即第四代半战斗机。
",沈阳飞机工业集团,后掠翼,1人,22.28米,32500千克
歼-11BS战斗机 ,飞行器,2876千米每小时,14.7米,AL-31/WS-10涡扇发动机,NULL,双发,NULL,NULL,NULL,3790千米,{'$oid': '5cc9309a831b973d657f0fb1'},NULL,,5.93米,16380千克,NULL,中国,超音速,战斗机,,沈阳飞机公司,后掠翼,1人,21.9米,33000千克
歼-9战斗机,飞行器,NULL,NULL,NULL,1969年7月5日,双发,NULL,NULL,NULL,NULL,{'$oid': '5cc9309a831b973d657f0fb2'},NULL,,NULL,NULL,未服役,中国,超音速,战斗机,,成都飞机设计研究所,三角面,NULL,NULL,NULL
FW-190“百舌鸟”战斗机,飞行器,635千米每小时,10.5米,BMW 801 D-2发动机,1939年 6月 1日,单发,NULL,1945年,NULL,810千米,{'$oid': '5cc9309a831b973d657f0fb3'},福克-沃尔夫飞机制造厂,http://images.huanqiu.com/sarons/2013/11/b0692b96703a7ecacfbbbfec0a2f0ea6.jpg,3.96米,NULL,1941年 8月,德国,亚音速,战斗机,,NULL,平直翼,1人,8.85米,4300千克
米格-25战斗机,飞行器,1200千米每小时,13.95米,2台R-15BD-300涡喷发动机,1964年,双发,NULL,NULL,NULL,3000千米,{'$oid': '5cc9309a831b973d657f0fb4'},NULL,http://images.huanqiu.com/sarons/2013/11/c5d882a4b7b7fb34d556b9501ca07b3f.jpg,5.7米,15000千克,NULL,苏/俄,超音速,战斗机,,米高扬设计局,后掠翼,1人,22.3米,37500千克
歼-11B战斗机 ,飞行器,2879千米每小时,14.95米,国产涡扇10大推力涡扇发动机,NULL,双发,NULL,NULL,NULL,4390千米,{'$oid': '5cc9309b831b973d657f0fb5'},NULL,,5.94米,15700千克,NULL,中国,超音速,战斗机,,NULL,后掠翼,1人,21.94米,33000千克
J-10B战斗机,飞行器,2450千米每小时,9.75米,AL-31F发动机,NULL,单发,NULL,NULL,NULL,3500千米,{'$oid': '5cc9309b831b973d657f0fb6'},NULL,,5.43米,8840千克,NULL,中国,超音速,战斗机,,中国航空工业集团公司（AVIC）成都飞机公司,鸭式,1人,16.43米,19277千克
ME-109战斗机,飞行器,686千米每小时,9.92米,一台Daimler Benz DB 605D发动机，功率1850马力,1935年5月29日,单发,NULL,1965年（西班牙空军）,NULL,700千米,{'$oid': '5cc9309b831b973d657f0fb7'},NULL,http://images.huanqiu.com/sarons/2013/11/3208c851090988e9f88121a1dc8ca53f.jpg,2.5米,2630千克,1937年,德国,亚音速,战斗机,"
20世纪30年代，希特勒政权为实现侵略扩张计划，开始大力扩建空军。1934年，德国空军发出招标，要求研制一种接替He51型双翼机的新一代战斗机。巴伐利亚飞机厂（即Be）主任设计师梅塞施米特设计的Be109型单发单座单翼全金属活塞式战斗机在竞争试飞中逐一击败He112、Ar80和Fw159三种机型后，成为此后十年间纳粹空军的最主要的主力战斗机。因此“梅塞施米特”几乎成为大战时德国空军的代名词。1938年7月，巴伐利亚飞机厂更名为梅塞施米特飞机厂，故Bf109亦改名Me109，但一般仍称Bf109。
",巴伐利亚飞机厂,后掠翼,1人,9.07米,4405千克
苏-25改进型/苏-25TM/苏-39,飞行器,950千米每小时,15.33米,2台图曼斯基R-195涡喷发动机,1995年,双发,NULL,NULL,NULL,2500千米,{'$oid': '5cc9309b831b973d657f0fb8'},前苏联苏霍伊设计局,http://images.huanqiu.com/sarons/2013/11/7db32a21f74f4f2e9bd929e08018eb7b.jpg,4.8米,9500千克,NULL,苏/俄,亚音速,战斗机,"
苏-25TM/苏-39是在俄罗斯80年代初期提出的T8M（苏-25T）计划的基础上发展而来的。首架根据T-8M计划研制的原型机苏-25T于1984年就进行了首飞。后来，设计局在其已研制出的几架原型机的基础上，于90年代生产了8架苏-25T预生产型。当时，T-8M计划已经被进一步修改为T-8TM计划，其机型也在原型机苏-25T的基础上通过增强武器系统和航空电子系统改名为苏-25TM（也即现在的苏-39）。在1995年，设计局共生产了3架苏-39原型机，其中一架是新制造的，两架由苏-25T预生产型飞机改装而成。苏-39的发展工作到1997年完成，并开始按照俄罗斯空军的试验计划进行飞行试验。主要设计特点除了有限的机体改进设计之外，苏-39的机体主要是基于苏-25UB设计的。
",前苏联苏霍伊设计局,后掠翼,1人,14.52米,21500千克
T-50战斗机,飞行器,2135千米每小时,14米, 2×Lyulka AL-41F后燃器，数字控制涡轮风扇发动机,2010年1月29日（原型机）,双发,NULL,NULL,NULL,5500千米,{'$oid': '5cc9309b831b973d657f0fb9'},NULL,http://images.huanqiu.com/sarons/2013/11/fa031f69a79fdf1aeaac201feebf4517.jpg,4.8米,17500千克,NULL,苏/俄,超音速,战斗机,"
俄罗斯第五代战机T-50为单座双发重型战机，具备隐身性能好、起降距离短、超机动性能、超音速巡航等特点。其超音速巡航速度可达每小时1450千米，作战半径1100千米，战斗载荷可达6吨，内置4个武器舱，能实现飞行性能和隐身性能的良好结合。
",俄罗斯联邦联合航空制造公司旗下苏霍伊航空集团,后掠翼,1人,19.8米,37000千克
J2M雷电局地战斗机,飞行器,655千米每小时,10.8米,火星二三型乙（1900马力）,1942年3月20日,单发,NULL,1945年8月,NULL,2519千米,{'$oid': '5cc9309b831b973d657f0fba'},NULL,http://images.huanqiu.com/sarons/2014/01/503890a2c46f28386da3771b6c26373a.jpg,3.81米,2839千克,NULL,日本,亚音速,战斗机,,三菱重工,平直翼,1人,9.7米,3211千克
A6M2-N/二式水上战斗机,飞行器,436千米每小时,12米,中岛荣12型空冷复列星型14汽缸,1941年,单发,NULL,1943年,NULL,1782千米,{'$oid': '5cc9309b831b973d657f0fbb'},中岛飞行机株式会社,http://images.huanqiu.com/sarons/2014/01/c623bbc050283acabc640367ed30d3cf.jpg,4.3米,1912千克,NULL,日本,亚音速,战斗机,,NULL,平直翼,1人,10.1米,2880千克
XF-88战斗机,飞行器,1136千米每小时,12.09米,西屋j34-we-22加力涡扇发动机,NULL,单发,NULL,NULL,NULL,2779千米,{'$oid': '5cc9309b831b973d657f0fbc'},NULL,http://images.huanqiu.com/sarons/2014/01/2e71595eccf0d825ae2382954f3626c3.jpg,5.26米,5507千克,NULL,美国,亚音速,战斗机,"
XF-88战斗机是美国空军基于第二次世界大战期间为轰炸机护航的经验下，期望以喷射动力设计一架战斗机在航程上能够比美过去二战时期担任护航的前辈。官方给予这架原型机的正式名称是巫毒（Voodoo），同样的名字延续使用在以XF-88为基础放大的F-101战斗机上。
",麦克唐纳公司,后掠翼,1人,16.51米,8392千克
Hs 124战斗机,飞行器,435千米每小时,18.2米, 2×BMW 132Dc星型发动机 ， 870 hp（640 kW）,1936年,单发,NULL,NULL,NULL,4200千米,{'$oid': '5cc9309b831b973d657f0fbd'},亨舍尔,,3.75米,4250千克,NULL,德国,亚音速,战斗机,"
亨舍尔Hs 124（Henschel Hs 124）是德国在二次世界大战时所开发的双引擎战斗轰炸机的原型机种。在出产了两架Hs 124原型机后，有关方面就停止了Hs 124的开发。
",NULL,平直翼,3人,14.5米,7230千克
J6K1 阵风 陆上战斗机,飞行器,685千米每小时,12.5米,1台中岛誉42型复列星型气冷18缸发动机,NULL,单发,NULL,NULL,NULL,2055千米,{'$oid': '5cc9309c831b973d657f0fbe'},NULL,http://images.huanqiu.com/sarons/2014/01/50bfbc0010bfae472090dd81307e07e9.jpg,4.13米,3500千克,NULL,日本,亚音速,战斗机,,川西公司,平直翼,1人,10.11米,4886千克
Ki-45屠龙/2式复座战斗机 ,飞行器,540千米每小时,15.02米,两具三菱Ha-102气冷式发动机(各1050匹马力),1941年5月,单发,NULL,1945年,NULL,2000千米,{'$oid': '5cc9309c831b973d657f0fbf'},川崎重工,http://images.huanqiu.com/sarons/2014/01/5f34d42e9db500f7d3068f4c5505707a.jpg,3.7米,4000千克,1941年10月,日本,亚音速,战斗机,"
二式复座战斗机“屠龙”是川崎航空机研发的双发动机重型战斗机，能作长程护航，对舰攻击，对地轰炸，截击轰炸机和夜间战斗机等多种用途，乘员两名，分别是前方飞行员和后方机枪手，机枪手还要负责装填炮弹和为斜射机枪瞄准开火，日军称它为“屠龙”，“二式复战”，盟军称为NICK。
",井町勇/土井武夫,平直翼,2人,11米,5500千克
Ar 68战斗机,飞行器,305千米每小时,11米,一台容克斯Jumo 210 Da液冷式发动机,1943年,单发,NULL,1940年,NULL,415千米,{'$oid': '5cc9309c831b973d657f0fc0'},阿拉度公司,http://images.huanqiu.com/sarons/2014/01/bcea56ca3a8cb20377fe38fed2bd6b50.jpg,3.28米,1840千克,1936年,德国,亚音速,战斗机,"
Ar68战斗机是德国在1930年代片面终止履行《凡尔赛条约》之后自行设计并服役于德国空军的战斗机，同时这也是德国空军所使用最后一款双翼战斗机。

Ar 68曾经参与西班牙内战，与苏联支援的战斗机争夺空优，在面对苏联空军I-16战斗机时，因为性能居于劣势而退出战场，改由最新服役的Bf 109接任。作为秃鹰军团装备的Ar.68战斗机，所以此战斗机有“秃鹰的双翼战机”之称。
",NULL,双翼,1人,9.5米,2475千克
A2N/90式舰上战斗机,飞行器,304千米每小时,9.37米,中岛寿二改型风冷式发动机(580匹马力),1930年,单发,NULL,NULL,NULL,600千米,{'$oid': '5cc9309c831b973d657f0fc1'},中岛飞机公司,http://images.huanqiu.com/sarons/2014/01/1e73be7ba5b9d333cc173a77f3b27a1a.jpg,3.025米,1000千克,NULL,日本,亚音速,战斗机,"
90式舰上战斗机是1928年美国波音公司推出P-12战斗机给美国陆军航空队(美国空军的前身)采用，美国海军也把此种战机改为舰载机并称为F4B。

日本海军也看中了F4B，买了两架给中岛飞行机做仿制，设计师是吉田孝雄，这就是90式舰上战斗机的由来。但90式并非单纯的F4B的仿制型，其内部结构采用了英国斗牛犬式战斗机的设计，吉田孝雄的工作是如何把此两种美英战斗机合二为一，发动机方面沿用了已有的3式舰上战斗机的寿二型发动机(450匹马力)，1930年90式试飞时就因为发动机问题而表现欠佳，1932年90式改用寿二改型发动机(580匹马力)后才获军方采用为A2N/90式舰上战斗机。
",NULL,双翼,1人,6.18米,1550千克
信天翁D．Ⅲ,飞行器,187千米每小时,9.04米,一台梅塞德斯D.III a,1917年,单发,NULL,NULL,NULL,NULL,{'$oid': '5cc9309c831b973d657f0fc2'},阿尔巴特罗斯飞机厂,http://images.huanqiu.com/sarons/2014/01/53adfb0cb0aa43ba738d57a245e7fc81.jpg,2.85米,687千克,NULL,德国,亚音速,战斗机,"
德国的“信天翁”D战斗机的最大特征，是有一个纺锤般的流线形木制机身。这种硬壳构造的机身比强度高，中弹后生存性好，且不难制造。“信天翁”D成为世界上最早成批生产的采用硬壳构造的飞机。信天翁D式是一款平衡或者说平庸的飞机，里希特霍芬的主要座机便是信天翁，但他评价说这是一架“新手”的飞机，其手感平稳，但老手就觉得过于呆板，远不如 Dr.I或者“骆驼”那样拥有灵敏到危险的不规则运动能力。
",迪莱苏贝特格蒂赫,双翼,1人,7.33米,937千克
J7W1震电战斗机,飞行器,750千米每小时,11.11米,三菱重工“Ha－43”四二型引擎,1945年8月3日,单发,NULL,1945年8月15日,NULL,2000千米,{'$oid': '5cc9309c831b973d657f0fc3'},NULL,http://images.huanqiu.com/sarons/2014/01/f80f8fe73e20c04328107833736705b4.jpg,3.55米,3525千克,NULL,日本,亚音速,战斗机,,NULL,鸭式,1人,9.76米,4950千克
