_id,图片,口径,炮口初速,类型,名称,总重,简介,研发单位,全长,型号,最大射程,大类,炮管长度,编辑评分,产国,研发时间
{'$oid': '5cc9335f831b973d657f20d7'},,155毫米,NULL,自行火炮,凯撒155毫米自行火炮 ,17400千克,"
凯撒(CAESAR)155毫米(6×6)自行火炮最初由法国地面武器工业集团自行投资研发，第一次技术展示在1994年。随后，开始制造预生产车型，2000年末，法国武器装备总署(DGA)授予法国地面武器工业集团公司一份合约，要求从2002年～2003年向法国陆军交付五辆预生产系统。这些被广泛用于试验。2004年中期，DGA和法国地面武器工业集团公司签署合约，订购72辆将采用新型雷诺卡车防务6×6底盘的量产系统。
",法国地面武器工业集团,9.95毫米,NULL,NULL,火炮,NULL,NULL,法国,NULL
{'$oid': '5cc9335f831b973d657f20d8'},http://images.huanqiu.com/sarons/2013/11/06c7fbc706b4c53916192a6af1dbba09.jpg,155毫米,NULL,自行火炮,155毫米AS90自行火炮,42000千克,"
英国AS-90自行榴弹炮是为了替换“阿伯特”105毫米榴弹炮和老式的 M109 自行火炮。在原来打算和德国、意大利联合研制SP70计划夭折之后，由英国政府招标，最终英国维克斯造船和工程公司（现为BAE系统公司）的AS90中标。1992年首次装备部队。英国陆军计划采购241辆。AS90的炮塔采用了维克斯造船和工程公司GBT155通用炮塔的改进型。
",英国维克斯造船和工程公司,NULL,NULL,370000米,火炮,NULL,NULL,英国,1981年
{'$oid': '5cc93360831b973d657f20d9'},,155毫米,NULL,自行火炮,L-33型155毫米自行火炮,41500千克,"
L-33是在20世纪60年代由索尔塔姆(Soltam)系统开发的，以满足以色列陆军需求，本质就是改造后的谢尔曼坦克底盘，且原装汽油发动机被柴油机取代，还有新的全封闭上层结构。L-33的口径与榴弹炮相同。它最早用于军事行动是在1973年中东战争期间。
",索尔塔姆系统公司,8470毫米,155毫米榴弹炮×60发,20000米,火炮,2000毫米,NULL,以色列,20世纪60年代
{'$oid': '5cc93360831b973d657f20da'},,203毫米,960米/秒,自行火炮,203毫米自行火炮M1975,NULL,"
苏联M1975式203毫米自行榴弹炮是苏联陆军服役过的、口径最大的自行火炮。于1977年开始列装并作为苏军方面军重型炮兵部队的正式装备。M1975式203毫米自行榷弹炮的尺寸很大，可能是苏联军队装备中迄今最大的装甲车辆。
",NULL,NULL,2A44 59倍径203毫米榴弹炮,37500米,火炮,NULL,NULL,苏/俄,1975年
{'$oid': '5cc93360831b973d657f20db'},,155毫米,924米/秒,自行火炮,K9“雷电”自行火炮,46300千克,"
韩国三星特克温造船重工业公司成为新型52倍口径155毫米自行榴弹炮的主承包商。第一门样炮于1994年完成（型号为XK9），随后，在全尺寸研制阶段又制造了3门试生产型火炮系统，其中第3门完成于1998年。在样炮试验中，新型自行榴弹炮的机动性和射击可靠性得到了检验，截至1998年底，累计行程18000千米，发射弹药12000发。目前已组建了第一个炮兵营，包括3个炮兵连，每个连装备6门K9式自行榴弹炮。
",韩国三星特克温造船重工业公司,12000毫米,NULL,30000米,火炮,7440毫米,NULL,韩国,1989年
{'$oid': '5cc93360831b973d657f20dc'},http://images.huanqiu.com/sarons/2013/11/508637c7f8106fec84e54c8df103ca1a.jpg,155毫米,NULL,自行火炮,75式155毫米自行火炮,25300千克,"
75式155毫米自行火炮由日本制钢公司和三菱重工60年代后期研制，1975定型生产的155毫米新型装甲自行火炮，1978年首先装备日本陆上自卫队北部方面军第7机械化师（现改编为装甲师）的炮兵团，全团10门。
",日本制钢公司和三菱重工,7790毫米,NULL,24000米,火炮,NULL,NULL,日本,20世纪60年代后期
{'$oid': '5cc93360831b973d657f20dd'},,152毫米,NULL,自行火炮,83式152毫米自行加榴炮,29000千克,"
83式152毫米履带式自行加榴炮是中国陆军现役装备的大口径自行压制兵器。该炮曾在1984年以来的数次国庆阅兵中“抛头露面”，备受世界各国关注。其更是我国第一代大口径自行炮，为我军军、师两级主要装备之一。
",NULL,7330毫米,NULL,17000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93361831b973d657f20de'},http://images.huanqiu.com/sarons/2013/11/f62085dd6904150e089d244f61945536.jpg,122毫米,NULL,自行火炮,2S1式自行火炮 ,15700千克,"
122毫米自行火炮M1974(美国陆军称谓)于20世纪70年代早期开始装备俄罗斯陆军，1974年在波兰陆军阅兵式上首次公开亮相。俄罗斯正确命名应为SO-122，但俄罗斯陆军通常称其为Gvozdika，(康乃馨)；该车工业号为2S1。
",彼得洛夫设计局,7300毫米,121.92毫米炮,15200米,火炮,NULL,NULL,苏/俄,20世纪60年代后期
{'$oid': '5cc93361831b973d657f20df'},http://images.huanqiu.com/sarons/2013/11/e143fb3f28f751ee5e1e8cde6398b0ef.jpg,155毫米,NULL,自行火炮,M109A2型155毫米自行火炮,275000千克,"
M109是一种美制155毫米口径自行火炮，于1963年开始进入美国陆军服役，提供师和旅级部队所需的非直射火力支援。从1963年量产至今，生产总数已超过7,000辆以上，使用国超过30个，可说是1970至1990年代西方国家的标准自行火炮。M109A2是其改良型。
",NULL,NULL,M185型155毫米榴弹炮,30000米,火炮,NULL,NULL,美国,NULL
{'$oid': '5cc93361831b973d657f20e0'},,155毫米,NULL,自行火炮,MkF3自行火炮,17400千克,"
155毫米MkF3基于AMX-13轻型坦克底盘，研发于20世纪50年代。在法国陆军中，本系统现已被155毫米GCT自行火炮所取代。155毫米火炮安装在底盘后部，没有为乘员提供针对恶劣天气、核生化攻击、轻型武器火力和炮弹碎片的防护装置。
",法国地面武器工业集团(法国，罗昂),6.22毫米,NULL,300000米,火炮,NULL,NULL,法国,20世纪50年代
{'$oid': '5cc93361831b973d657f20e1'},http://images.huanqiu.com/sarons/2014/01/252697ead7c3b5021328f11d5296b4bb.jpg,120毫米,NULL,自行火炮,PLL-05自行迫击榴弹炮,16500千克,,NULL,6700毫米,NULL,9500米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93362831b973d657f20e2'},,小口径炮,NULL,自行火炮,GPU-2/A 火神 机炮吊舱,266千克,,美国通用电气公司,NULL,M50系列标准炮弹,NULL,火炮,3251毫米,NULL,美国,NULL
{'$oid': '5cc93362831b973d657f20e3'},http://images.huanqiu.com/sarons/2014/01/4774e103cfebaf5d31f2c3193c767633.jpg,122毫米,NULL,自行火炮,70式122毫米自行榴弹炮 ,15300千克,,中国北方车辆厂,5476毫米,NULL,11800米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93362831b973d657f20e4'},,106毫米,500米/秒,自行火炮,小松60式106毫米自行无后坐力炮,8000千克,"
60式自行无后坐力炮是在美国M40式106毫米无后坐力炮基础上发展而成的。该炮于1956年开始研制，1960年装备日本陆上自卫队。目前，该炮仍在日本陆上自卫队服役，但在机械化步兵师中正逐渐退出现役，由反坦克导弹取代。
",NULL,4300毫米,NULL,7000米,火炮,NULL,NULL,日本,1956 年
{'$oid': '5cc93362831b973d657f20e5'},,122毫米,NULL,自行火炮,SH-2型122毫米车载榴弹炮,11500千克,"
SH-2型122毫米车载榴弹炮是中国自主开发研制，具有完全自主知识产权的新型武器装备。该炮在研制过程中突出解决了总体优化设计、车炮一体化和轻量化、高效能防护、射击稳定性、底盘四轮转向、火控与信息系统综合集成等多项关键技术，代表了轻型车载炮的发展方向。
",NULL,NULL,NULL,22000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93362831b973d657f20e6'},,203毫米,NULL,自行火炮,M100型203毫米自行火炮,26534千克,"
美国太平洋汽车与铸造公司于1956年1月提交了一份新型重型自行榴弹炮的设计方案并承接了设计试制和生产任务。公司开始了样车的底盘试验，公司决定将动力装置由汽油机改为柴油机。美国军方正式将它定型为M110型203毫米自行榴弹炮，第一批M110出厂，1963年初，第一批M110装备美军自行榴弹炮营。
",美国太平洋汽车与铸造公司,NULL,NULL,21300米,火炮,NULL,NULL,美国,NULL
{'$oid': '5cc93362831b973d657f20e7'},,155毫米,NULL,自行火炮,Raad-2型155毫米自行火炮,36000千克,"
Raad-2型155毫米/39口径自行火炮由伊朗国防工业组织(DIO)、装甲工业集团和Shahid Karimi工业联合体研发。它是伊朗自主研发的第二代自行火炮系统，第一种为Raad-1型122毫米系统。
",国防工业组织、装甲工业集团、ShahidKarimi工业联合体(伊朗),9140毫米,155毫米火炮×30发,450000米,火炮,NULL,NULL,伊朗,NULL
{'$oid': '5cc93362831b973d657f20e8'},http://images.huanqiu.com/sarons/2014/01/ce256d79b78e95b5d8b86c8b7ecfe772.jpg,35毫米,NULL,自行火炮,87式双35自行高炮 ,38000千克,,三菱重工业公司,6700毫米,NULL,NULL,火炮,NULL,NULL,日本,1979年
{'$oid': '5cc93363831b973d657f20e9'},,155毫米,NULL,自行火炮,“普赖默斯”155毫米自行火炮 ,28300千克,"
由新加坡武装部队、国防科技局和新加坡技术动力公司三方联合研发了一种名为SSPH1“普赖默斯”(Primus)的新型155毫米/39倍口径自行榴弹炮。“Primus”在拉丁文中是“第一”的意思，取自炮兵部队的拉丁文训言—“In Oriente Primus”，即“东方第一”。

“普赖默斯”155毫米自行火炮集射程、火力和精度于一体，并能够伴随装甲部队进行快节奏作战的自行榴弹炮系统，以满足陆军特种作战需求，增强陆军合成部队作战能力。
",新加坡武装部队、国防科技局和新加坡技术动力公司,10210毫米,NULL,NULL,火炮,NULL,NULL,新加坡,20世纪90年代
{'$oid': '5cc93363831b973d657f20ea'},http://images.huanqiu.com/sarons/2014/01/ed7f5127edc94472eaea419c15b8035a.jpg,155毫米,NULL,自行火炮,AS90式155毫米自行火炮,NULL,,英国维克斯公司,NULL,NULL,NULL,火炮,NULL,NULL,英国,NULL
{'$oid': '5cc93363831b973d657f20eb'},,122毫米,NULL,自行火炮,122 毫米自行榴弹炮 ,20000千克,"
122毫米自行榴弹炮是中国研制的轮式自行榴弹炮。主要用于协同坦克作战，为坦克提供火力支援，以歼敌有生力量，压制敌火器，摧毁野战工事及火力点。
",NULL,NULL,NULL,22000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93363831b973d657f20ec'},http://images.huanqiu.com/sarons/2013/11/f477be49a683e8efacb489a763712714.jpg,122毫米,NULL,自行火炮,PLZ-07式自行榴弹炮,NULL,"
PLZ-07式是国产第3代122毫米自行榴弹炮，之前两代产品分别是70/70-1式（使用63式装甲运输车底盘）和85式（出口型）、89式（内销型）。

07式122自行榴弹炮，是在89式自行榴弹炮基础上改进的新产品。采用97步战车底盘，增大炮塔内部空间，配备新型的122榴弹炮。装备各炮兵营，运用于团级单位火力压制。
",NULL,NULL,NULL,2200米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93363831b973d657f20ed'},,122毫米,NULL,自行火炮,Raad-1型122毫米自行火炮/榴弹炮 ,17500千克,"
Raad-1型122毫米自行火炮/榴弹炮是由伊朗国防工业组织、装甲工业集团和Shahid Karimi工业联合体研发的。它是第一种为伊朗服役的自行火炮系统，随后出现了Raad-2型155毫米/39口径系统。据知这两种系统都未出口。Raad-1的底盘是对伊朗Boraq装甲人员输送车进一步改进而成的，后者与俄罗斯BMP-1及其中国等效车WZ-501非常相似。
",伊朗国防工业组织，装甲工业集团，Shahid Karimi工业,6.5毫米,122毫米火炮×35发,NULL,火炮,NULL,NULL,伊朗,NULL
{'$oid': '5cc93364831b973d657f20ee'},http://images.huanqiu.com/sarons/2013/11/04fe5dabd0f4a19ea11c827870fba1ff.jpg,120毫米,NULL,自行火炮,SO-120自行榴弹炮,8700千克,"
20毫米SO-10(工业号为2S9)“秋牡丹”(Anona，Anemone)自行榴弹炮/迫击炮开发于20世纪80年代早期，于1985年首次对外亮相。最初装备当时的苏联空降师，后又装备其他部队。该车装有自动撞锤，每分钟可发射6～8发炮弹，炮弹发射后，后盖打开，撞锤会向炮膛压入空气将炮管内的烟雾从炮口挤出。
",NULL,6.02毫米,NULL,NULL,火炮,NULL,NULL,苏/俄,20世纪80年代早期
{'$oid': '5cc93364831b973d657f20ef'},http://images.huanqiu.com/sarons/2014/03/4c58ffe7cb441ed7c09dd5164b5ba9bc.jpg,120毫米,367米/秒,自行火炮,2S31“静脉”120毫米自行迫榴炮,NULL,"
俄罗斯研制的口径120毫米自行迫榴炮，与2S9式2S23式的两种120毫米自行火炮构成具有迫击炮和榴弹炮双重弹道特性的自行式火炮系列。北约组织将其列入炮塔式自行迫击炮系列。装备俄陆军空降兵、轻型装甲兵部队和海军陆战队。
",NULL,NULL,配用榴弹、制导迫击炮弹、火箭增程弹和破甲弹等。,15000米,火炮,NULL,NULL,苏/俄,1990年
