_id,图片,类型,产国,名称,弹长,简介,研发单位,弹重,引信,大类,弹径,制导系统,最大速度,关注度,射程,研制时间,翼展
{'$oid': '5cc93370831b973d657f2130'},http://images.huanqiu.com/sarons/2013/11/de5bab05d6e871b947a6d4f7401e9e5c.jpg,地地导弹,苏/俄,SS－25战略弹道导弹,21.2米,"
RS-12白杨（北约代号SS-25镰刀）是原苏联第五代洲际弹道导弹。SS-25导弹的服务寿命约10-15年，这种导弹将在今后的十年中逐渐退役。它将被“白杨”-M(SS-27)移动导弹所取代。
",NULL,51000千克,NULL,导弹武器,1.84米,NULL,NULL,NULL,10200千米,1970年,NULL
{'$oid': '5cc93370831b973d657f2131'},http://images.huanqiu.com/sarons/2013/11/cb45d15c875a8f4e390dc765ff2107f4.jpg,地地导弹,苏/俄,SS-24战略弹道导弹,23.8米,"
RT-23（北约代号SS-24手术刀）是俄罗斯第五代洲际弹道导弹，用以取代SS-11，SS-17导弹。20世纪70年代初开始研制，1985年初具备作战能力。20世纪70年代初开始研制，1985年初具备作战能力。是俄罗斯21世纪初继续使用的战略核武器。
",NULL,NULL,NULL,导弹武器,2.4米,NULL,NULL,NULL,11000千米,1970年,NULL
{'$oid': '5cc93370831b973d657f2132'},http://images.huanqiu.com/sarons/2013/11/c253d6f1a80859b8d925f3131243c15b.jpg,地地导弹,印度,“烈火”3地地导弹,16米,"
烈火-3，印度自行研发的射程为3500公里的中程地对地弹道导弹，能够携带重达1.5吨的核弹头。其火箭发动机技术水平大约相当于中国1960年代开始研制、1970年代研发成功的东风四号。印度报业托拉斯报道称，“烈火-3”型导弹可以覆盖包括北京、上海在内的大部分亚洲地区。
",印度国防研发组织,19000千克,NULL,导弹武器,2米,雷射陀螺仪惯性导引 加配GPS，雷达地形比对,NULL,NULL,3500千米,20世纪90年代,NULL
{'$oid': '5cc93370831b973d657f2133'},,地地导弹,苏/俄,SS-23地地战术弹道导弹,7.5米,"
9K714奥卡导弹（又称""蜘蛛""导弹）是前苏联20世纪80年代研制的第三代地地战术导弹。装备在方面军和集团军的战役战术火箭兵旅，取代了原装备的""飞毛腿""导弹。每个旅有3个营，共12辆导弹发射车。它不仅用于打击战场上的战术目标，而且要用来打击战役范围的纵深目标。
",NULL,4360千克,NULL,导弹武器,0.89米,中/末端导引雷达,NULL,NULL,500千米,1980年,NULL
{'$oid': '5cc93370831b973d657f2134'},,地地导弹,美国,CKEM反坦克导弹,1.5米,"CKEM导弹是下一代超高速反坦克导弹，长度1.524米，重量不到45.4千克，可目视直接瞄准发射，射程较远，将用于美国陆军装备""未来作战系统"" 
(FCS)的""行动部队""(UA)步兵连，为其提供占压倒优势的杀伤力、很高的首发毁伤率和近似的发射后不管能力。",洛克希德·马丁公司,45千克,NULL,导弹武器,NULL,NULL,NULL,NULL,10000千米,NULL,NULL
{'$oid': '5cc93370831b973d657f2135'},http://images.huanqiu.com/sarons/2013/11/cac64b228d2826eb3f24f87101ea46a0.jpg,地地导弹,苏/俄,“伊斯坎杰尔”－E战术弹道导弹,7.3米,"""伊斯坎杰尔""－E是俄罗斯新一代战术弹道导弹武器系统，该导弹系统主要用于摧毁敌火力打击系统、防空系统、反导系统、机场和指挥所等点状目标和面状目标。",俄罗斯机械制造设计局,3800千克,NULL,导弹武器,0.92米,NULL,NULL,NULL,280千米,2003年,NULL
{'$oid': '5cc93370831b973d657f2136'},,地地导弹,朝鲜,火星（Hwasong）5型弹道导弹,10.94米,"
Hwasong-5又名“飞毛腿”B型弹道导弹与火星（Hwasong）5型弹道导弹。是一种近程、可公路机动、采用液态燃料推进剂的弹道导弹。Hwasong-5是朝鲜对“飞毛腿”B型弹道导弹的仿制型号。它是根据从埃及购进的俄制“飞毛腿”B型弹道导弹进行逆向仿制研发而成的。Hwasong-5弹道导弹是朝鲜仿制的俄罗斯“飞毛腿”B导弹运输发射一体车(TEL)上发射，也可以从改装过商用卡车上发射。Hwasong-5弹道导弹装备有惯性制导系统。
",NULL,5860千克,NULL,导弹武器,0.88米,NULL,NULL,NULL,300千米,1981年,NULL
{'$oid': '5cc93371831b973d657f2137'},,地地导弹,伊朗,伊朗-130导弹（穆萨克-120）,8.3米,穆萨克-120导弹是伊朗研制的弹道导弹，该导弹又被称为“伊朗”-130或“纳济特”-10。该导弹为固体推动，非制导，射程130公里，弹重500公斤。根据简氏防务周刊报道，该型导弹是在中国的帮助下进行研发的。,NULL,2950千克,NULL,导弹武器,0.6米,NULL,NULL,NULL,130千米,NULL,NULL
{'$oid': '5cc93371831b973d657f2138'},http://images.huanqiu.com/sarons/2013/11/d686d05eee183e291cb9d8d0bafe5308.jpg,地地导弹,朝鲜,“劳动”（Ro-dong）弹道导弹,16.2米,“劳动一号” 弹道导弹是中程、具备公路机动能力、液体动力弹道导弹，专为袭击人口稠密区设计。“劳动一号”是“飞毛腿C”的增大版。,NULL,16500千克,NULL,导弹武器,1.32米,NULL,NULL,NULL,1300千米,1988年,NULL
{'$oid': '5cc93371831b973d657f2139'},,地地导弹,朝鲜,火星（Hwasong）7型弹道导弹,13.5米,Hwasong-7弹道导弹又称之为“飞毛腿D”型弹道导弹与火星（Hwasong）7型弹道导弹。“飞毛腿D”型弹道导弹是朝鲜在俄罗斯生产的“飞毛腿C”型基础上改进的短程、具备公路机动能力、液体动力导弹。利用“飞毛腿D”型弹道导弹，朝鲜可以将韩国全国纳入射程范围。“飞毛腿D”的圆周率误差为3公里，设计初衷是攻击韩国城市中心，“飞毛腿D”的设计证实了朝鲜的能力。,NULL,6400千克,NULL,导弹武器,0.88米,NULL,NULL,NULL,700千米,1991年,NULL
{'$oid': '5cc93371831b973d657f213a'},,地地导弹,埃及,胜利者/征服者导弹,11.89米,"
1962年初，埃及首枚导弹进入原型测试阶段，7月21日埃及宣布成功试射4枚导弹，击中几百英里以外的目标。其中两枚导弹被认定为al-Zafir (胜利者)，射程约370公里。另外两枚被认定为al-Kahir (征服者)，导弹长度为12米，射程约为600英里。
",NULL,10000千克,NULL,导弹武器,1.2米,NULL,NULL,NULL,965.6千米,NULL,NULL
{'$oid': '5cc93371831b973d657f213b'},,地地导弹,苏/俄,菊花反坦克导弹,2米,"
9M123菊花超声速反坦克和反飞机两用导弹系统。该系统装在BMP-3步兵战车上，配备了毫米波雷达和两联装旋座式发射装置。发射装置能够从存放15枚导弹的弹仓自动装填导弹。导弹既可采用串联式战斗部，也可以采用破片杀伤战斗部，既可以采用主动雷达制导，也可以采用半主动激光驾束制导。在采用半自动激光驾束制导时，射手必须保持使瞄准具稳定对准目标，该弹可以同时对付两个目标。
",俄罗斯科洛姆纳工程设计局,46千克,NULL,导弹武器,0.15米,毫米波主动雷达和半主动激光束,NULL,NULL,6千米,20世纪80年代中期,NULL
{'$oid': '5cc93372831b973d657f213c'},,地地导弹,以色列,长钉反坦克导弹家族,1.67米,"
最初的长钉家族被称为NT家族(NT是希伯莱文Nun Tet的字头缩写，意为反坦克)，包括三种不同型号的反坦克导弹——吉尔(Gill)反坦克导弹(最大射程2500米，1999年6月的巴黎航展上第一次公开展示)、长钉(Spike)反坦克导弹(最大射程4000米，1999年由以色列陆军解密)和丹迪(Dandy)反坦克导弹(最大射程8000米，1999年11月首次公布)。2002年，为了出口统一品牌，加强在国际市场上的竞争力，拉菲尔公司宣布将原来NT家族更名为长钉反坦克导弹家族，其家族成员的名称也相应更改为：长钉-SR(SR是英文Shot Range的字头缩写，意为短程，它是长钉家族的新增型号，最大射程800米)、长钉-MR(MR是英文Middle Range的字头缩写，意为中程，也就是原来的吉尔反坦克导弹)、长钉-LR(LR是英文Long Range的字头缩写，意为远程，也就是原来的长钉导弹)和长钉ER(ER是英文Extended Range的字头缩写，意为增程型，也就是原来的丹迪反坦克导弹)。
",NULL,NULL,NULL,导弹武器,0.17米,NULL,NULL,NULL,25千米,1998年11月,NULL
{'$oid': '5cc93372831b973d657f213d'},,地地导弹,德国,特里福姆反坦克导弹,NULL,"
法德联合实施的独眼巨人是一种采用光纤制导的反坦克导弹。目前，该计划已成为法国、德国和意大利共同实施的一项研制计划，更名为特里福姆（意即三国光纤导弹）。特里福姆的射程指标为45公里。法德两国从1980年起开始进行光纤飞行试验，1996年，使用直径0.25毫米的光纤从C-22目标靶机上投放，距离达到了60公里。
",NULL,NULL,NULL,导弹武器,NULL,NULL,NULL,NULL,60千米,1980年,NULL
{'$oid': '5cc93372831b973d657f213e'},http://images.huanqiu.com/sarons/2013/11/a87b587b1673974367cc3e73448bbdb1.jpg,地地导弹,日本,新87式中型马特反坦克导弹,1米,"
日本防卫厅技术研究部于1988年研制出一种半主动激光制导反坦克导弹，本想冠以“超级马特”之称，但又担心姿态过高会为国际社会所诟病，因此称之为87式“中马特”反坦克导弹(ATM-3)。该型导弹作为64式“轻马特”的替代型导弹，1988年装备部队，目前已成为日本陆上自卫队反坦克导弹的主力。
",日本防卫厅技术研究部,12千克,NULL,导弹武器,0.12米,半主动激光制导,NULL,NULL,2千米,1988年,NULL
{'$oid': '5cc93373831b973d657f213f'},http://images.huanqiu.com/sarons/2013/11/a213d875c938a215a2c67ad2fedc971d.jpg,地地导弹,法国,沙蛇反坦克导弹,0.925米,由法国宇航公司研制的“沙蛇”反坦克导弹（ERYX，又称“艾利克斯”或ACCP），是世界上第一种真正实用的肩射式近程反坦克导弹。该武器系统全重15千克，最大射程600米。“沙蛇”于1992年开始装备法国陆军，并外销到加拿大、挪威、巴西和马来西亚，总销售量已达2万多枚。,法国宇航公司,15千克,NULL,导弹武器,0.16米,NULL,NULL,NULL,0.6千米,NULL,NULL
{'$oid': '5cc93373831b973d657f2140'},,地地导弹,苏/俄,短号反坦克导弹,1.2米,"
""短号""反坦克导弹系统由俄罗斯图拉仪器仪表设计局研制，北约称之为AT-14反坦克导弹系统，俄罗斯编号9M133 ""科耐特""-E，属于第三代重型反坦克导弹系统。俄罗斯生产和装备了大量的“短号”反坦克导弹，部分出口到叙利亚（即“短号”-E，E是指出口型）。
",俄罗斯图拉仪器设计局,29千克,NULL,导弹武器,0.152米,半主动激光驾束,NULL,NULL,5.5千米,20世纪90年代,NULL
{'$oid': '5cc93373831b973d657f2141'},,地地导弹,伊朗,征服者-110导弹（NP-110）,NULL,征服者-110导弹，又称为NP-110导弹，是伊朗研制的弹道导弹，该导弹是一款固体推动面对面导弹，射程据称可达170公里。该导弹于1997年开始发展，导弹直径为0.45米。2001年5月31日，伊朗成功测试了首枚固体燃料推动面对面导弹，就是指型导弹。征服者-110导弹由伊朗国有航空工业公司制造。该导弹是一款超现代面对面导弹，其杀伤力更大而且寻找目标的准确性更强。同时，该导弹还被列为伊朗最有效率的导弹之一。,伊朗国有航空工业公司,NULL,NULL,导弹武器,0.45米,NULL,NULL,NULL,170千米,1995年,NULL
{'$oid': '5cc93374831b973d657f2142'},,地地导弹,意大利,“麦夫”反坦克导弹,1.38米,“麦夫”是意大利新研制的第三代轻型反坦克导弹，由双人携带和操作，既可架设在地面发射，也可安装在车辆上使用。研制工作已于1991年结束，但迄今尚未投产。,NULL,14.5千克,NULL,导弹武器,0.13米,NULL,NULL,NULL,3千米,NULL,NULL
{'$oid': '5cc93374831b973d657f2143'},,地地导弹,埃及,RS-120导弹,NULL,有关埃及RS-120导弹计划的情况目前很少。它是大约在1986-1987年间埃及向IFAT下属的CONSEN集团寻求帮助发展为人所知的RS-120计划。计划一开始的目标是发展一种射程为120公里的导弹。但是有证据显示其最终目标是发展更远程的导弹，但这还有待确定。RS-120的最终命运并不清楚，也许在MBB公司撤出之后还继续了短暂的一段时间。不清楚的还有SNIA公司的参与程度，以及计划可能取得的任何成果。,CONSEN集团，德国MBB公司，意大利公司SNIA,NULL,NULL,导弹武器,NULL,NULL,NULL,NULL,NULL,1986年,NULL
{'$oid': '5cc93374831b973d657f2144'},http://images.huanqiu.com/sarons/2013/11/a5865949f3063529d4c8490310deca7c.jpg,地地导弹,中国,红箭73反坦克导弹,0.869米,"
红箭73系列导弹是我国自行设计的第二代反坦克导弹武器系统，主要用于攻击 100米-4000米距离内敌方坦克和其他装甲车辆。随着国外坦克防护技术的更新，红箭73战斗部不失时机地进行改型设计，不断提高破甲威力，使红箭73导弹得以长盛不衰。迄今为止，红箭73战斗部己定型生产和正在研制的型号有:原型、A型、E(C)型、B型和大口径型。
",NULL,11.7千克,NULL,导弹武器,0.12米,红外半自动制导,NULL,NULL,3千米,1973年,NULL
{'$oid': '5cc93375831b973d657f2145'},,地地导弹,日本,日本64式“马特”反坦克导弹,1.02米,"
1964年，经过数百枚导弹的发射试验，被批准由日本陆上自卫队生产该导弹，政府编号为“64式马特”。它是一种中程反装甲武器，主要供步兵使用，由步兵从单发或多联装发射架上发射，也可装在吉普车或直升飞机上。
",NULL,15.7千克,NULL,导弹武器,0.12米,NULL,NULL,NULL,1.8千米,1964年,NULL
{'$oid': '5cc93375831b973d657f2146'},http://images.huanqiu.com/sarons/2014/03/28128fcdeeafaff6a2e9d747e0ba4f81.jpg,地地导弹,中国,红箭9反坦克导弹,1.2米,"
“红箭”-9（AFT-9 反坦克导弹发射车）的武器系统由简装导弹、武器站、底盘车、检测维修设备和模拟训练器等组成。车载反坦克导弹系统可伴随机械化部队一起行动，随时打击出现的坦克等装甲目标。

随着坦克装甲防护技术的提高及主动防护装甲的出现，采用空心装药战斗部的反坦克导弹的攻击效能受到了限制。为了能够有效打击装备有这些装甲的坦克，中国最新一代反坦克导弹应运而生，它就是引人注目的“红箭”-9反坦克导弹武器系统，其研制成功说明中国已经能够独立自主研发具有国际领先水平的武器系统。“红箭”-9反坦克导弹武器系统主要用于攻击100米至5000米距离内的敌坦克和其他装甲目标，必要时也可以用来攻击敌钢筋水泥工事和火力点。其作战任务是为军、师级部队提供反坦克作战的骨干火力；与其他反坦克兵器相配合，有效抗击敌装甲目标。
",NULL,37千克,NULL,导弹武器,1.52米,激光指令,NULL,NULL,5千米,1988年,NULL
{'$oid': '5cc93375831b973d657f2147'},,地地导弹,中国,M9战术弹道导弹,9.1米,"
东风-15是M族战术导弹中性能最好的一种，M-9是出口时使用的名称。东风-15战术导弹使用了很多战略导弹的高科技成果，并且进一步加以发展。东风-15乃是中国武库中的一种杀手锏。其命中精度极高，具有隐身功能，突防能力强。
",中国火箭发动机技术研究院,6200千克,NULL,导弹武器,1米,NULL,NULL,NULL,600千米,1984年,NULL
{'$oid': '5cc93375831b973d657f2148'},,地地导弹,中国,M11战术弹道导弹,11.25米,"
东风11外销型。能够使用俄制飞毛腿(又称飞云)导弹的MAZ543发射车发射，而中东国家有许多都拥有飞云导弹(SS1，SCUDB)。因此中国出口M11导弹极为有利。M11导弹射程三百公里，弹头重量五百公斤正好在MTCR的限制范围以内。
",NULL,500千克,NULL,导弹武器,0.88米,NULL,NULL,NULL,300千米,1985年,NULL
{'$oid': '5cc93375831b973d657f2149'},,地地导弹,中国,M7战术弹道导弹,NULL,M7导弹是M族战术弹道导弹当中唯一以倾斜方式发射的导弹，其它的M族导弹均采取垂直发射的方式。M-7倾斜发射的原因是红旗-2防空导弹采用倾斜发射方式，而M-7弹道导弹是从红旗-2防空导弹改造而来的，改造工程从1986开始。,1986年,500千克,NULL,导弹武器,NULL,NULL,NULL,NULL,230千米,1986年,NULL
{'$oid': '5cc93376831b973d657f214a'},http://images.huanqiu.com/sarons/2013/11/ddb1050dff0f67c669b7bc2b91d73ec4.jpg,地地导弹,埃及,Sakr-80导弹,6.5米,1980年代初，Sakr-80计划的实施是因为埃及陆军要求更换FROG-7A。此外，他们还希望Sakr-80 (鹰 80)能吸引使用FROG-7A国家的注意或者那些对造价不贵的远程压制武器感兴趣的国家的注意。工作进展的很顺利，1987年在开罗防务展上，埃及Sakr工厂宣布Sakr-80的发射试验正在进行之中，这些试验验证了Sakr-80的能力，它可以替代FROG-7A。同时埃及Sakr声称在根据订单在一年内进行批量生产。但没有收到任何采购订单，项目被取消。,Sakr工厂,660千克,NULL,导弹武器,0.31米,NULL,4320千米/小时,NULL,80千米,1980年,NULL
{'$oid': '5cc93376831b973d657f214b'},,地地导弹,德国,“V—2”弹道导弹,14米,德国V-2导弹是世界上第一种弹道导弹。是第二次世界大战期间德国研制的地地弹道导弹。德文全称Vergeltungswaffe-2，意为“报复性武器─2”，其目的在于从欧洲大陆直接准确地打击英国本土目标，它是火箭技术进入一个新时期的标志。,德国陆军兵器局、多恩伯格与冯·布劳恩研发团队,12500千克,NULL,导弹武器,1.65米,NULL,NULL,NULL,320千米,1933年,NULL
{'$oid': '5cc93376831b973d657f214c'},http://images.huanqiu.com/sarons/2013/11/619cf104591a9356d1db44f8c59aef59.jpg,地地导弹,德国,X-7“小红帽”导弹,0.95米,X-7“小红帽”为世界上第一种反坦克导弹，它是火箭和穿甲弹的结合，还配有制导装置，是最早的反坦克导弹。有线操纵，战后第一代反坦克导弹的设计均以它为基础。由于装备部队时德国已战败，未能参加实战。有一个2.5Kg的聚能穿甲弹头，用翼端绕线管中的控制导线操纵。,鲁尔钢铁公司,15千克,NULL,导弹武器,0.15米,NULL,NULL,NULL,1千米,1944年,NULL
{'$oid': '5cc93376831b973d657f214d'},,地地导弹,埃及,Al-Raid导弹,NULL,1963年7月，在庆祝埃及革命11周年的阅兵式上，埃及展示了四枚两级的al-Ra'id(先锋)导弹，又让世界吃了一惊。埃及官员将al-Ra'id导弹描述成“空间研究火箭”，但是，大多数观察家认为它只是地对地导弹。,NULL,1000千克,NULL,导弹武器,NULL,NULL,NULL,NULL,730千米,NULL,NULL
{'$oid': '5cc93376831b973d657f214e'},,地地导弹,日本,96式反坦克多用途导弹,2米,日本是一个岛国，拥有漫长的海岸线。这一地理条件决定了日本陆上自卫队的首要课题是抗登陆作战，反坦克导弹的发展显得格外重要。冷战时期，日本就已经装备了79式反舟艇反坦克导弹，以有效阻截来自苏联登陆部队的船只和坦克群的威胁。进人20世纪80年代后，海盗与恐怖活动日益猖獗、日本海域多次发生人质被劫和不明船只的侵入，使得日本深感抗登陆、反渗透手段的不足，防卫厅发誓要重点防备特种部队有组织的渗透和突然袭击。在这种背景下，96式“重马特”多用途导弹(ATM-4)应运而生。,NULL,60千克,NULL,导弹武器,0.16米,NULL,NULL,NULL,25千米,20世纪80年代,NULL
{'$oid': '5cc93377831b973d657f214f'},http://images.huanqiu.com/sarons/2014/04/acd5f349b835c6b040c59fc7ef9ddd79.jpg,地地导弹,苏/俄,9M114(AS-8/AT-6/AT-9) 反坦克导弹,1.3米,"
9M114(AS-8/AT-6/AT-9) 反坦克导弹是苏联自行研制并装备部队使用的第二代反坦克导弹,取代老式的9М17М/П(AT-2B/C)第一代反坦克导弹,由位于柯洛姆纳的涅波别季梅(Непобедимый)机械制造设计局于70年代初开始设计，并由伊热符斯基机械制造厂生产，1978年服役，装备苏联的武装直升机以及坦克、装甲车，目前仍在生产、服役。
",涅波别季梅机械制造设计局,33.5千克,触发引信,导弹武器,0.13米,无线电指令,400千米/小时,NULL,6千米,70年代初,0.3米
{'$oid': '5cc93377831b973d657f2150'},,地地导弹,英国,旋火（Swingfire）反坦克导弹,1.07米,"
旋火（Swingfire）是英国制造的一种有线制导反坦克导弹，由英国精巧工程公司（Fairey Engineering Ltd）和英国飞机公司（BAC）联合开发研制，取代当时的英国使用的威基兰特（Vickers Vigilant）导弹。上世纪六十年代开始服役，期间经过升级，1993年停止生产。目前在英国陆军仍有少量装备。
",英国精巧工程公司和英国飞机公司,27千克,有线，手动控制/半自动指令瞄准,导弹武器,0.17米,NULL,NULL,NULL,近程导弹,NULL,NULL
{'$oid': '5cc93377831b973d657f2151'},,地地导弹,中国,M18战术弹道导弹,NULL,M-18导弹是在M-9导弹的基础上设计的，基本的过程是在M-9导弹的一级火箭上再加一级火箭，制导系统采用M-9的系统。M-18导弹由中国与伊朗于1985年开始共同研制，1993年定型生产。,NULL,NULL,NULL,导弹武器,NULL,NULL,NULL,NULL,1200千米,1985年,NULL
{'$oid': '5cc93377831b973d657f2152'},http://images.huanqiu.com/sarons/2014/04/436250c53aa1933727ec3bdf00533505.jpg,地地导弹,阿根廷,马索戈（Mathogo）反坦克导弹,1米,,阿根廷军事科学技术研究院,11.3千克,触发引信,导弹武器,0.102米,有线指令(基本型)，电视制导(电视改进型),NULL,NULL,3千米,70年代,0.47米
{'$oid': '5cc93377831b973d657f2153'},http://images.huanqiu.com/sarons/2014/01/0ca28ef3ba791dc19ddeb1efdd3ed061.jpg,地地导弹,澳大利亚,马尔卡拉反坦克导弹,1.9米,,NULL,93.5千克,NULL,导弹武器,0.203米,NULL,NULL,NULL,4千米,1951年,NULL
{'$oid': '5cc93377831b973d657f2154'},,地地导弹,以色列,猎迷（Nimrod）反坦克导弹,2.84米,"
“猎迷”反坦克导弹是为以色列空军研制的下一代中距半主动激光制导反坦克导弹，称之为“猎迷/先进激光制导导弹系统”(Nimrod Advanced Laser-Guided Missile System,N/ALGMS)，迄今为止未收到以色列国防部的订货，但仍在继续研制中。
",以色列飞机工业公司,100千克,触发延时引信和近炸引信,导弹武器,0.21米,惯导加指令修正中制导、半主动激光末制导,NULL,NULL,25千米,80年代,0.5米
{'$oid': '5cc93377831b973d657f2155'},,地地导弹,日本,KAM-3D反坦克导弹,1.02米,"

",日本川崎重工业公司,15.7千克,NULL,导弹武器,0.12米,NULL,NULL,NULL,1.8千米,1957年,0.6米
{'$oid': '5cc93378831b973d657f2156'},,地地导弹,南非,褐雨燕（Swift）ZT3反坦克导弹,1.35米,,肯特隆公司,19千克,触发引信,导弹武器,0.127米,激光指令,NULL,NULL,4千米,80年代中期,0.4米
{'$oid': '5cc93378831b973d657f2157'},,地地导弹,瑞典,矮脚鸡（Bantam）RB53反坦克导弹,0.85米,,博福斯公司,7.5千克,触发引信,导弹武器,0.122米,NULL,NULL,NULL,2千米,1956年,0.4米
{'$oid': '5cc93378831b973d657f2158'},http://images.huanqiu.com/sarons/2014/04/d79fbba5cd2bc477fc7027f8bb68e6c6.jpg,地地导弹,瑞典,比尔（BILL）RBS-56反坦克导弹,0.9米,,博福斯公司,NULL,触发引信,导弹武器,0.25米,NULL,NULL,NULL,2千米,1979年,0.41米
{'$oid': '5cc93378831b973d657f2159'},http://images.huanqiu.com/sarons/2013/11/5845409abb3c23f96a8ae685093f2fd1.jpg,地地导弹,法国,“沙蛇”反坦克导弹,0.925米,由法国宇航公司研制的“沙蛇”反坦克导弹（Eryx，又称“艾利克斯”或ACCP），是世界上第一种真正实用的肩射式近程反坦克导弹。该武器系统全重15千克，最大射程600米。“沙蛇”于1992年开始装备法国陆军，并外销到加拿大、挪威、巴西和马来西亚，总销售量已达2万多枚。,法国宇航公司,13千克,NULL,导弹武器,0.136米,NULL,NULL,NULL,0.6千米,NULL,NULL
{'$oid': '5cc93378831b973d657f215a'},,地地导弹,美国,“掠夺者”反坦克导弹,0.86米,"
“掠夺者”是美国自1990年开始研制的单兵便携式近程反坦克导弹，目的是为了满足海军陆战队近距离反坦克和市区反坦克作战的需要。目前处于工程制造阶段，2001年装备部队。
",美国洛拉航空公司,9.8千克,NULL,导弹武器,0.14米,NULL,NULL,NULL,0.7千米,1990年,NULL
{'$oid': '5cc93378831b973d657f215b'},,地地导弹,法国,北方（Nord）AS10 反坦克导弹,0.86米,,法国北方航空公司,14.8千克,触发引信,导弹武器,0.165米,有线指令,288千米/小时,NULL,16千米,1946年,0.75米
