_id,图片,口径,炮口初速,类型,名称,简介,研发单位,全长,研发时间,型号,最大射程,大类,炮管长度,编辑评分,产国,总重
{'$oid': '5cc93310831b973d657f1f19'},http://images.huanqiu.com/sarons/2014/01/0cebf7bdfb9c0ad8c33f4d33ee2d26b3.jpg,155毫米,NULL,榴弹炮,T-65榴弹炮,"
T-65 155毫米榴弹炮原命名为65式，1983年依据国军研制武器装备准则改为T-65，T-65仿美制M-114A1 155毫米榴弹炮，于民国65年（1976年）成功仿制，民国69年（1980年）量产配发部队。
",NULL,7315毫米,1976年,NULL,14955米,火炮,3628毫米,NULL,中国,5761千克
{'$oid': '5cc93310831b973d657f1f1a'},,105毫米,640米/秒,榴弹炮,4140式105毫米榴弹炮,,瑞典博福斯公司,6800毫米,第二次世界大战后期,NULL,15600米,火炮,3360毫米,NULL,瑞典,2800千克
{'$oid': '5cc93310831b973d657f1f1b'},,155毫米,897米/秒,榴弹炮,W1988式155毫米加农榴弹炮,"
中国北方工业总公司研制的口径155毫米的牵引式加农榴弹炮。1985年开始研制，1987年完成样炮。主要用于歼灭有生力量，压制技术兵器及纵深内重要目标。
",中国北方工业总公司,7046毫米,1985年,NULL,39000米,火炮,NULL,NULL,中国,9800千克
{'$oid': '5cc93311831b973d657f1f1c'},http://images.huanqiu.com/sarons/2014/03/b3bf07a5d74567b3df7540e09d559f70.jpg,155毫米,897米/秒,榴弹炮,GC45式155毫米加农榴弹炮 ,"
加拿大魁北克空间研究公司研制的口径155毫米的牵引式加农榴弹炮。是最早采用45倍口径身管与远程全膛弹药配合实现远程射击的加农榴弹炮。1975年开始研制，1980年首批生产12门，全部出口泰国海军。主要用于压制敌炮兵，为装甲师和机械化师提供直接及全般火力支援。
",加拿大魁北克空间研究公司,6975毫米,1975年,NULL,39000米,火炮,NULL,NULL,加拿大,8222千克
{'$oid': '5cc93311831b973d657f1f1d'},http://images.huanqiu.com/sarons/2014/03/c21c76fd85ffefc7cb343abf2ccb5e32.jpg,76毫米,398米/秒,榴弹炮,M48式76毫米榴弹炮 ,M48式76毫米榴弹炮是南斯拉夫生产的口径76毫米的驮载式榴弹炮。又称“铁托跑”主要用于山地作战。第二次世界大战后研制，除装备南斯拉夫外，还出口到印度、印度尼西亚、罗马尼亚等国家。,NULL,NULL,第二次世界大战后,NULL,8750米,火炮,117.8毫米,NULL,前南斯拉夫,705千克
{'$oid': '5cc93311831b973d657f1f1e'},,155毫米,NULL,榴弹炮,T69式155毫米自行加农榴弹炮 ,"
中国台湾地区联合勤务总司令部研制的口径155毫米的自行式加农榴弹炮。20世纪70年代研制、90年代列装。装备战区或防卫司令部所属炮兵部队、是台湾地区军队射程最远的火炮。
",中国台湾地区联合勤务总司令部,6975毫米,20世纪70年代,NULL,35000米,火炮,NULL,NULL,中国,24948千克
{'$oid': '5cc93312831b973d657f1f1f'},,155毫米,903米/秒,榴弹炮,GHN45式155毫米加农榴弹炮,"
奥地利沃斯特－阿尔皮诺公司研制的口径155毫米的牵引式加农榴弹炮。1979年开始研制，1981年装备奥地利陆军，用于为野战部队提供远距离火力支援。还出口伊拉克、伊朗、巴基斯坦、巴西、利比亚等国。
",奥地利沃斯特－阿尔皮诺公司,13970毫米,1979年,NULL,30000米,火炮,NULL,NULL,奥地利,12382千克
{'$oid': '5cc93312831b973d657f1f20'},,203毫米,587米/秒,榴弹炮,M455式203毫米自行榴弹炮 ,"
M455式203毫米自行榴弹炮是美国太平洋汽车和铸造公司研制的口径203毫米自行式榴弹炮。1948年研制，1956年装备于美国陆军。主要用于为装甲师和机械化师提供火力支援。从60年代初开始，逐步被M110式203毫米榴弹炮取代。曾出口到比利时和意大利。
",美国太平洋汽车和铸造公司,7140毫米,1948年,NULL,16800米,火炮,NULL,NULL,美国,44452千克
{'$oid': '5cc93312831b973d657f1f21'},,155毫米,827米/秒,榴弹炮,FH77B式155毫米榴弹炮 ,"
FH77B式155毫米榴弹是瑞典博福斯公司研制的口径155毫米的牵引式榴弹炮。1977年开始在FH77A式155毫米榴弹炮基础上改进，1980年投产。除装备瑞典陆军外，还出口到尼日利亚和印度等国。
",NULL,NULL,NULL,北约155毫米各种制式弹药,24000米,火炮,NULL,NULL,瑞典,11910千克
{'$oid': '5cc93312831b973d657f1f22'},,155毫米,897米/秒,榴弹炮,G5式155毫米加农榴弹炮,"
南非军械公司研制的口径为155毫米的牵引式加农榴弹炮。1976年开始研制，1983年装备南非陆军，为野战部队提供火力支援。曾出口伊拉克，并在两伊战争和海湾战争中使用。
",南非军械公司,11100毫米,1976年,NULL,30000米,火炮,NULL,NULL,南非,13500千克
{'$oid': '5cc93312831b973d657f1f23'},,155毫米,897米/秒,榴弹炮,ST155/45式155毫米加农榴弹炮,"
西班牙系统与技术发展公司研制的口径155毫米的牵引式加农榴弹炮。1986年8月开始研制，只生产A型、B型2门样炮。主要用于全般火力支援和直接火力支援。
",西班牙系统与技术发展公司,9000毫米,1986年8月,NULL,39000米,火炮,NULL,NULL,西班牙,9700千克
{'$oid': '5cc93312831b973d657f1f24'},http://images.huanqiu.com/sarons/2014/03/63e8d7c29efa794f0e51436163ad6d04.jpg,105毫米,472.4米/秒,榴弹炮,M101式105毫米榴弹炮,"
M101式105毫米榴弹炮是美国岩岛兵工厂生产的口径105毫米的牵引式榴弹炮。第二次世界大战中开始研制，40年代初装备于美国步兵师、空降师和海军陆战队，1953年停产，1980年至1983年为出口又恢复生产。主要用于为步兵提供直接火力支援，除美国装备外，还出口到60多个国家和地区。
",美国岩岛兵工厂,NULL,第二次世界大战中,NULL,11270米,火炮,NULL,NULL,美国,2030千克
{'$oid': '5cc93313831b973d657f1f25'},http://images.huanqiu.com/sarons/2014/03/df074286a7eda406fc2af69bf3038d89.jpg,155毫米,NULL,榴弹炮,“十字军战士”155毫米加农榴弹炮,"
美国联合防务有限公司为“二十一世纪部队”研制的口径155毫米的自行式榴炮弹。原称“先进野战火炮系统”（AFAS）。由XM2001式155毫米自行榴弹炮和XM2002式“未来的装甲补给车”两部分组成。2000年夏季完成第一门“演示与验证”样炮。因重量过大不便空运，而且造价偏高，所以2002年秋研制计划被终止。
",美国联合防务有限公司,8060毫米,2000年,NULL,30000米,火炮,NULL,NULL,美国,55000千克
{'$oid': '5cc93313831b973d657f1f26'},,155毫米,650米/秒,榴弹炮,M50式155毫米榴弹炮,,NULL,7800毫米,第二次世界大战后,榴弹，火箭增程弹,23300米,火炮,4410毫米,NULL,法国,8100千克
{'$oid': '5cc93313831b973d657f1f27'},http://images.huanqiu.com/sarons/2014/03/7aa3acc7383ab80e2a62ef3f86954eb3.jpg,155毫米,NULL,榴弹炮,SB155/39式155毫米榴弹炮,,西班牙塞维利亚火炮制造厂,9200毫米,NULL,榴弹、火箭增程弹,24000米,火炮,6045毫米,NULL,西班牙,9000千克
{'$oid': '5cc93313831b973d657f1f28'},,122毫米,NULL,榴弹炮,D-30A式122毫米榴弹炮,,中国北方工业总公司,5400毫米,NULL,NULL,NULL,火炮,NULL,NULL,中国,3200千克
{'$oid': '5cc93313831b973d657f1f29'},http://images.huanqiu.com/sarons/2014/03/f28ad1a481ba8d203799c094e3946170.jpg,105毫米,472米/秒,榴弹炮,M56式105毫米榴弹炮,,意大利奥托·梅莱拉公司,3650毫米,20世纪50年代中期,榴弹、破甲弹、发烟弹、照明弹,10575米,火炮,NULL,NULL,意大利,1290千克
{'$oid': '5cc93313831b973d657f1f2a'},http://images.huanqiu.com/sarons/2014/03/3b40005633c8c3e96dcf9404d76a1796.jpg,155毫米,562米/秒,榴弹炮,M109式155毫米自行榴弹炮,"
M109式155毫米自行榴弹炮是第一种用铝合金制造炮塔和车体并可实施360°环射的自行火炮。1963年定型并装备部队，主要为美军装甲师和机械化步兵师提供自行火力支援。除装备美国陆军外，还出口30余个国家和地区。
",美国通用汽车公司,6900毫米,1956年,榴弹、火箭增程弹、照明弹,14600米,火炮,3565毫米,NULL,美国,23786千克
{'$oid': '5cc93314831b973d657f1f2b'},http://images.huanqiu.com/sarons/2014/03/a7eed82d1311d07dce54805438dfdcba.jpg,122毫米,690米/秒,榴弹炮,D-30 122毫米榴弹炮,,苏联斯维尔德洛夫斯克第九兵工厂，彼得罗夫设计局,5400毫米,NULL,榴弹，破甲弹，发烟弹，照明弹，火箭增程弹等弹种。,15400米,火炮,3989.4毫米,NULL,苏/俄,3150千克
{'$oid': '5cc93314831b973d657f1f2c'},http://images.huanqiu.com/sarons/2014/03/51b1f8604d46c2dbb3767759d0909b15.jpg,155毫米,760米/秒,榴弹炮,AUF1式155毫米自行榴弹炮,,法国罗昂制造厂,10250毫米,1969年,NULL,23500米,火炮,NULL,NULL,法国,42000千克
{'$oid': '5cc93314831b973d657f1f2d'},http://images.huanqiu.com/sarons/2014/03/d36b3d5b819fa840757eee6844d14dc8.jpg,122毫米,515米/秒,榴弹炮,M1938式122毫米榴弹炮,,苏联彼尔姆第172兵工厂，彼得罗夫设计局,5900毫米,NULL,榴弹、破甲弹,NULL,火炮,2669.36毫米,NULL,苏/俄,2450千克
{'$oid': '5cc93314831b973d657f1f2e'},http://images.huanqiu.com/sarons/2014/03/f2b46e2be261c68fe1e717f18e91ff88.jpg,155毫米,820米/秒,榴弹炮,索尔塔姆M71式155毫米榴弹炮,,以色列索尔塔姆有限公司,7500毫米,1974年,榴弹、火箭增程弹、照明弹、发烟弹等弹种。,23500米,火炮,6045毫米,NULL,以色列,8000千克
{'$oid': '5cc93314831b973d657f1f2f'},http://images.huanqiu.com/sarons/2014/03/58e4af5c1316c11c59ee72f5ff5aa2a2.jpg,155毫米,563.9米/秒,榴弹炮,M114式155毫米榴弹炮 ,M114式155毫米榴弹炮是美国岩岛兵工厂研制的口径105毫米的牵引式榴弹炮。1942年装备美国步兵师、空降师和海军师。出口欧洲、亚洲和非洲的30多个国家和地区。,美国岩岛兵工厂,NULL,20世纪40年代初,NULL,14600米,火炮,3627毫米,NULL,美国,5760千克
{'$oid': '5cc93314831b973d657f1f30'},,105毫米,494米/秒,榴弹炮,M102式105毫米榴弹炮,"
M102式105毫米榴弹炮是美国岩岛兵工厂生产的口径105毫米的牵引式榴弹炮。1961年开始研制，1966年初在越南战争场首次使用，90年代仍装备美国空降师、空中机动师等部队。主要用于为步兵师、空降师和空中机动师提供直接火力支援，还出口到法国、巴西、韩国、沙特阿拉伯等国。
",美国岩岛兵工厂,NULL,1961年,NULL,11500米,火炮,NULL,NULL,美国,1496千克
{'$oid': '5cc93314831b973d657f1f31'},http://images.huanqiu.com/sarons/2014/03/f57188af66914669e7c89cd234057903.jpg,75毫米,381米/秒,榴弹炮,M116式75毫米榴弹炮,M116式75毫米榴弹炮是美国生产的口径75毫米的驮载式榴弹炮。该炮是以M8式75毫米榴弹炮为基础改进的，原型炮是1920式75毫米驮载榴弹炮。除装备美国外，还出口日本、伊拉克、中国台湾等20多个国家和地区。主要用于山地作战。,NULL,NULL,NULL,NULL,8790米,火炮,NULL,NULL,美国,653千克
{'$oid': '5cc93314831b973d657f1f32'},http://images.huanqiu.com/sarons/2014/03/3392b21a7adb75786b4d356e644cf2c5.jpg,120毫米,NULL,榴弹炮,2S9式120毫米自行迫榴炮,"
2S9式120毫米自行迫榴炮，北约称M1981式。1984年装备苏军空降师，用于为步兵提供火力支援。曾在阿富汗战场上多次使用。
",NULL,5950毫米,20世纪80年代初,杀伤爆破榴弹、预制破片榴弹、破甲弹、黄磷弹,8800米,火炮,1800毫米,NULL,苏/俄,8500千克
{'$oid': '5cc93314831b973d657f1f33'},,155毫米,NULL,榴弹炮,155毫米机器人榴弹炮 ,"155毫米机器人榴弹炮是美国陆军武器与化学局所属的火力支援武器中心研制的,1983年开始研制，1986年8月制成第一门机器人榴弹炮的样炮，并进行了有限射击试验。90年代初期进行技术演示论证。这是首次把人工智能技术应用到火炮上，21世纪初任处于研制阶段。",陆军武器与化学局所属的火力支援武器中心,NULL,1983年,NULL,NULL,火炮,NULL,NULL,美国,NULL
