名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,W-3W,产国,飞行速度,类型,简介,研发单位,战地机型,气动布局,机长,最大起飞重量,乘员
勃兰特利B-2B单发活塞式轻型通用直升机,飞行器,161千米每小时,NULL,莱康明IVO-360-A1A ,1953年,NULL,7.2米,NULL,NULL,402千米,{'$oid': '5cc9316c831b973d657f145a'},NULL,http://images.huanqiu.com/sarons/2014/01/b0aeae181e4fa58d6912e94c93bf87ed.jpg,2.1米,463千克,1960年,NULL,美国,亚音速,多用途直升机,,勃兰特利国际公司,NULL,单旋翼,8.5米,757千克,NULL
BO 105双发涡轮轴轻型直升机,飞行器,242千米每小时,NULL,埃里森250-C20B,1967年2月16日,双发,9.8米,NULL,NULL,565千米,{'$oid': '5cc9316c831b973d657f145b'},NULL,http://images.huanqiu.com/sarons/2014/01/bbf672646350351c4559d0bdb1989d22.jpg,3米,1276千克,NULL,NULL,德国,亚音速,多用途直升机,,欧洲直升机公司,NULL,单旋翼,11.9米,2500千克,NULL
恩斯特龙F28/280单发活塞式轻型通用直升机,飞行器,189千米每小时,NULL,莱康明HIO-360-F1AD,1962年5月27日,单发,9.8米,NULL,NULL,483千米,{'$oid': '5cc9316c831b973d657f145c'},NULL,http://images.huanqiu.com/sarons/2014/01/0d6225ab880ceb029d3b2c72b247b7f6.jpg,2.7米,712千克,NULL,NULL,美国,亚音速,多用途直升机,,恩斯特龙直升机公司,NULL,单旋翼,8.9米,1179千克,NULL
EC130 单发涡轮轴轻型直升机,飞行器,287千米每小时,NULL,透博梅卡Arriel 2B1,1999年6月,单发,10.7米,NULL,NULL,640千米,{'$oid': '5cc9316c831b973d657f145d'},NULL,http://images.huanqiu.com/sarons/2014/01/71af7ea1d28b025f8f16acdb92f651cb.jpg,3.6米,1377千克,NULL,NULL,法国,亚音速,多用途直升机,,欧洲直升机公司,NULL,单旋翼,12.6米,2427千克,NULL
AS 350 “松鼠/单星”单发涡轮轴轻型直升机,飞行器,287千米每小时,NULL,透博梅卡Arriel 2B,1974年6月27日,NULL,10.7米,NULL,NULL,666千米,{'$oid': '5cc9316c831b973d657f145e'},NULL,http://images.huanqiu.com/sarons/2014/01/7224de35002df92459a1c11c2fd4bdee.jpg,3.1米,1174千克,1978年初,NULL,法国,亚音速,多用途直升机,,欧洲直升机公司（法国航宇公司）,NULL,单旋翼,12.9米,2250千克,NULL
BK 117/EC 145 双发涡轮轴中型直升机,飞行器,268千米每小时,NULL,透博梅卡Arriel 1E2 ,1979年6月13日,双发,11米,NULL,NULL,700千米,{'$oid': '5cc9316c831b973d657f145f'},NULL,http://images.huanqiu.com/sarons/2014/01/ec5851aa2912f3bdf1cca61a933f224c.jpg,13米,1792千克,1983年初,NULL,法国,亚音速,多用途直升机,,欧洲直升机公司/川崎重工,NULL,单旋翼,13米,3585千克,NULL
EC120“蜂鸟”单发涡轮轴轻型直升机,飞行器,278千米每小时,NULL,透博梅卡Arrius 2F发动机,1995年6月9日,单发,10米,NULL,NULL,732千米,{'$oid': '5cc9316d831b973d657f1460'},NULL,http://images.huanqiu.com/sarons/2014/01/f1bd07e3ebf42afd1a1b22e7188808c7.jpg,3.4米,991千克,1998年1月23日,NULL,中国,亚音速,多用途直升机,,欧洲直升机公司,NULL,单旋翼,11.5米,1715千克,NULL
恩斯特龙480单发涡轮轴轻型直升机,飞行器,231千米每小时,NULL,罗-罗250-C20W ,1989年10月,单发,9.8米,NULL,NULL,806千米,{'$oid': '5cc9316d831b973d657f1461'},NULL,http://images.huanqiu.com/sarons/2014/01/06787fdf68696b82b05ab3a06f3744fb.jpg,3米,760千克,1994年,NULL,美国,亚音速,多用途直升机,,恩斯特龙直升机公司,NULL,单旋翼,9.1米,1293千克,NULL
AS 365“海豚” 双发涡轮轴中型直升机,飞行器,287千米每小时,NULL,透博梅卡Arriel 2C turboshaft,1975年1月24日,双发,11.9米,NULL,NULL,859千米,{'$oid': '5cc9316d831b973d657f1462'},NULL,http://images.huanqiu.com/sarons/2014/01/623aba202fc4c20be924c77ba7a1ce38.jpg,4米,2411千克,NULL,NULL,法国,亚音速,多用途直升机,,欧洲直升机公司（法国航宇公司）,NULL,单旋翼,13.7米,4300千克,NULL
 EC155 双发涡轮轴中型直升机,飞行器,315千米每小时,NULL,透博梅卡Arriel 2C2,1997年6月17日,双发,12.6米,NULL,NULL,830千米,{'$oid': '5cc9316d831b973d657f1463'},NULL,http://images.huanqiu.com/sarons/2014/01/59cc4b416c8bc2d69eefcda68d1ddfda.jpg,4.4米,2618千克,1999年3月,NULL,法国,NULL,多用途直升机,,欧洲直升机公司,NULL,单旋翼,14.4米,4920千克,NULL
MD 600N单发涡轮轻型直升机,飞行器,250千米每小时,NULL,罗尔斯·罗伊斯250涡轮轴发动机,1994年11月22日,单发,8.4米,NULL,NULL,633千米,{'$oid': '5cc9316d831b973d657f1464'},NULL,http://images.huanqiu.com/sarons/2014/01/595420fc3cca79091c60e21f7644f330.jpg,2.7米,952千克,1997年6月6日,NULL,美国,亚音速,多用途直升机,,麦道直升机公司,NULL,单旋翼,11.3米,1860千克,NULL
米里设计局 米-2 “甲兵” 双发涡轮轻型直升机,飞行器,210千米每小时,NULL,伊索托夫GTD-350涡轮轴发动机,1961年9月22日,单发,14.5米,NULL,NULL,440千米,{'$oid': '5cc9316e831b973d657f1465'},NULL,http://images.huanqiu.com/sarons/2014/01/f20b9f48dd7eefd0a73ecfd3a4bd328b.jpg,3.8米,2372千克,NULL,NULL,苏/俄,亚音速,多用途直升机,,米里设计局,NULL,NULL,17.4米,3550千克,NULL
喀山飞机制造厂安萨特双发涡轴轻型通用直升机,飞行器,275千米每小时,NULL,普-惠PW207K涡轮轴发动机,1999年8月17日,双发,11.5米,NULL,NULL,635千米,{'$oid': '5cc9316e831b973d657f1466'},NULL,http://images.huanqiu.com/sarons/2014/01/ad75c05ff3a1299a2edd6984290362da.jpg,3.4米,1900千克,NULL,NULL,苏/俄,亚音速,多用途直升机,,喀山飞机制造厂,NULL,单旋翼,13.5米,3300千克,NULL
卡-226“谢尔盖”双发涡轮轻型直升机,飞行器,214千米每小时,NULL,透博梅卡Arrius 2G1,1997年9月4日,单发,13米,NULL,NULL,600千米,{'$oid': '5cc9316e831b973d657f1467'},NULL,http://images.huanqiu.com/sarons/2014/01/5a6ec0bbc866c0ba7f5eb06d933dad61.jpg,4.2米,NULL,2002年,NULL,苏/俄,亚音速,多用途直升机,"
卡-226直升机是卡-126的改良型，机头、垂直尾翼、方向舵和乘客舱的形状都作了改进。卡-226直升机在1990年的美国达拉斯Heli-Expo直升机展会上发布，但直到1997年9月4日才试飞。
",卡莫夫设计局,NULL,共轴双旋翼,8.1米,3400千克,NULL
米里设计局  米-34“蜂鸟”单发轻型直升机,飞行器,225千米每小时,NULL,VOKBM  M-14V活塞发动机,1986年11月17日,NULL,10米,NULL,NULL,360千米,{'$oid': '5cc9316e831b973d657f1468'},前进飞机制造厂,http://images.huanqiu.com/sarons/2014/01/605ee964f97bcba68936bf1e2cbcd63a.jpg,2.8米,950千克,NULL,NULL,苏/俄,亚音速,多用途直升机,,米里设计局,NULL,单旋翼,11.4米,1450千克,NULL
希勒UH-12单发活塞式轻型通用直升机,飞行器,154千米每小时,NULL,透博梅卡Arriel 2B,1948年,单发,10.8米,NULL,NULL,373千米,{'$oid': '5cc9316e831b973d657f1469'},希勒飞机公司,,3.1米,1174千克,NULL,NULL,美国,亚音速,多用途直升机,"
UH-12（United Helicopters）直升机由斯坦利·希勒设计，是1948年的360型直升机的派生机型。UH-12最初是为美国军方生产的H-23 Raven直升机，该机型于1983年停产，但后来又制造了部分机型：最初由罗杰森·希勒公司制造，然后是希勒飞机公司。UH-12直升机共计交付了2595架。
",NULL,NULL,平直翼,12.4米,2250千克,NULL
罗宾逊 R22单发活塞式轻型直升机,飞行器,190千米每小时,NULL,达信·莱卡明O一360活塞发动机,1975年8月28日,单发,7.7米,NULL,NULL,322千米,{'$oid': '5cc9316f831b973d657f146a'},NULL,http://images.huanqiu.com/sarons/2014/01/baa0f0014499fb052976f27ab2ffc261.jpg,2.7米,389千克,1979年10月,NULL,美国,亚音速,多用途直升机,,罗宾逊直升机公司,NULL,单旋翼,8.8米,635千克,NULL
PZL斯威德尼克SW一4 Maluch单发涡轮轻型直升机,飞行器,88千米每小时,NULL,罗尔斯·罗伊斯250涡轮轴发动机,1996年10月29日,单发,9米,NULL,NULL,860千米,{'$oid': '5cc9316f831b973d657f146b'},NULL,http://images.huanqiu.com/sarons/2014/01/05b5805e4d77542b2e618ee270cd73e2.jpg,3.1米,1050千克,2004年11月15日,NULL,波兰,亚音速,多用途直升机,,波兰斯威德尼克公司,NULL,单旋翼,10.6米,1800千克,NULL
MD 500单发涡轮轻型直升机,飞行器,282千米每小时,NULL,罗尔斯·罗伊斯250涡轮轴发动机,1969年初,单发,8.1米,NULL,NULL,431千米,{'$oid': '5cc9316f831b973d657f146c'},NULL,http://images.huanqiu.com/sarons/2014/01/88de468b2f4a68fc46c98754be2689cd.jpg,2.7米,672千克,NULL,NULL,美国,NULL,多用途直升机,,休斯直升机公司/麦道直升机公司,NULL,单旋翼,8.6米,1361千克,NULL
卡-32“蜗牛-C”双发涡轮中型直升机,飞行器,250千米每小时,NULL,伊索托夫TV3-117V,1980年1月11日,双发,15.9米,NULL,NULL,800千米,{'$oid': '5cc9316f831b973d657f146d'},NULL,http://images.huanqiu.com/sarons/2014/01/6e3d035d7ccef2f321386e2e6268809c.jpg,5.4米,6500千克,NULL,NULL,苏/俄,亚音速,多用途直升机,"
卡-32“蜗牛-C”直升机是与海军机型卡-27同时研制的，具有典型的同轴反转式卡莫夫旋翼。第一架卡-32直升机于1980年1月11日试飞，1981年末在明斯克展出。该机型共计交付了超过170架。
",卡莫夫设计局,NULL,共轴双旋翼,12.3米,11000千克,NULL
麦道直升机公司MD 520N单发涡轮轴轻型直升机,飞行器,281千米每小时,NULL,罗尔斯·罗伊斯250涡轮轴发动机,1989年12月29日,单发,8.3米,NULL,NULL,375千米,{'$oid': '5cc9316f831b973d657f146e'},NULL,http://images.huanqiu.com/sarons/2014/01/2638e0e3429dea1012472ba8212fd2f3.jpg,2.7米,493千克,1991年10月31日,NULL,美国,NULL,多用途直升机,,麦道直升机公司,NULL,单旋翼,9.8米,1157千克,NULL
麦道直升机公司MD“探险者”双发涡轮轻型直升机,飞行器,296千米每小时,NULL,普-惠PW200涡轮轴发动机,1992年12月18日,双发,10.3米,NULL,NULL,542千米,{'$oid': '5cc9316f831b973d657f146f'},NULL,http://images.huanqiu.com/sarons/2014/01/12aee9ab2df125b311b2e0a925a528cf.jpg,3.7米,1531千克,1994年12月16日,NULL,美国,亚音速,多用途直升机,,麦道直升机公司,NULL,单旋翼,11.8米,2835千克,NULL
UH-1N直升机,飞行器,220千米每小时,NULL,加拿大普惠集团T400-CP-400 涡轮轴发动机,NULL,双发,14.6米,NULL,NULL,615千米,{'$oid': '5cc93170831b973d657f1470'},贝尔直升机公司,http://images.huanqiu.com/sarons/2014/01/84fd33f155eb023a0af08ce9757ae6d8.jpg,4.4米,2721.5千克,1968年,NULL,美国,亚音速,多用途直升机,"
贝尔 UH-1N Twin Huey（UH-1N 双休伊）是在1968年推出的中型军用直升机，UH-1N具有15个座位，包括1名飞行员及14名乘客，而执行运输任务时内部容量达220平方尺（6.23平方米），外力负载可达5000磅（2268公斤）。
",NULL,NULL,单旋翼,12.69米,4762.7千克,4人
VS-300直升机,飞行器,300千米每小时,NULL,1× 富兰克林 4AC-199-E,NULL,双发,9.14米,NULL,NULL,800千米,{'$oid': '5cc93170831b973d657f1471'},NULL,http://images.huanqiu.com/sarons/2014/01/752cf5f59c3f614d93552592de154a40.jpg,3.05米,NULL,NULL,NULL,美国,亚音速,多用途直升机,"
世界上第一架实用型直升机VS-300，1939年9月14日诞生于美国。仅过一年，美国陆军就决定购买VS-300的改进型VS-316直升机，编号R-4，这是世界上最早参军的直升机。
",美国西科斯基公司,NULL,单旋翼,8.53米,NULL,NULL
西科斯基S-58中型直升机,飞行器,222千米每小时,NULL,莱特R-1820活塞发动机或普-惠PT6T Twin-Pac涡轮轴发动机,1954年3月8日,双发,17.1米,NULL,NULL,481千米,{'$oid': '5cc93170831b973d657f1472'},NULL,http://images.huanqiu.com/sarons/2014/01/e6fc96cc35986dc68579e3a2d0803190.jpg,4.9米,3583千克,1956年,NULL,美国,亚音速,多用途直升机,,西科斯基直升机公司,NULL,单旋翼,17.3米,6350千克,NULL
罗宾逊 R44单发活塞式轻型直升机,飞行器,209千米每小时,NULL,达信·莱卡明-540活塞发动机,1990年3月31日,单发,10.1米,NULL,NULL,643千米,{'$oid': '5cc93170831b973d657f1473'},NULL,http://images.huanqiu.com/sarons/2014/01/5ff65825c54ea1705189188860eda45d.jpg,3.3米,657.7千克,1993年初,NULL,美国,亚音速,多用途直升机,,罗宾逊直升机公司,NULL,单旋翼,11.7米,1143千克,NULL
卡-29/-31“蜗牛-B”海军型突击直升机,飞行器,NULL,NULL,伊索托夫 TV3-117VMAR,1976年7月28日,NULL,14.5米,NULL,NULL,NULL,{'$oid': '5cc93170831b973d657f1474'},NULL,http://images.huanqiu.com/sarons/2014/01/833cae8e45dc4af1cbe56346f8a67986.jpg,5.6米,6500千克,1985年,NULL,苏/俄,亚音速,多用途直升机,"
1976年7月28日，一架命名为卡-252TB“蜗牛-B”的原型机首飞，后来，该机被更名为卡-29TB。1985年开始服役。卡-31(早期叫做卡-29RLD）是专门的空中预警/电子战改型，卖给了印度。大约生产了61架卡-29/-31。图示为卡-31。
",卡夫卡设计局,NULL,共轴双旋翼,12.5米,12200千克,NULL
MH-6小鸟式直升机,飞行器,370千米每小时,NULL,一台T63-A-5A或t63-A-700涡轮轴发动机，630马力（485kW）,NULL,双发,8.3米,NULL,NULL,NULL,{'$oid': '5cc93170831b973d657f1475'},NULL,http://images.huanqiu.com/sarons/2014/01/b17abf44fa64b877a324c24f8d1fce50.jpg,3米,722千克,NULL,NULL,美国,亚音速,多用途直升机,,NULL,NULL,单旋翼,9.8米,1406千克,4人
施韦策（休斯)300 单发活塞式轻型直升机,飞行器,169千米每小时,NULL,达信·莱卡明HIO-360活塞发动机,1956年10月,单发,8.2米,NULL,NULL,360千米,{'$oid': '5cc93171831b973d657f1476'},NULL,http://images.huanqiu.com/sarons/2014/01/454ff80079a0a7462bddfd665a4fb646.jpg,2.7米,499千克,NULL,NULL,美国,亚音速,多用途直升机,,施韦策飞机公司,NULL,单旋翼,9.4米,930千克,NULL
W-3“斯拉夫”多用途直升机,飞行器,260千米每小时,NULL,PZL-10B,1979年11月16日,双发,15.7米,NULL,NULL,745千米,{'$oid': '5cc93171831b973d657f1477'},波兰直升机制造商（PZL Swidnik）,http://images.huanqiu.com/sarons/2014/01/4f866df8afd522ef861040febcf99898.jpg,5.1米,3850千克,NULL,（1）内置武器,波兰,亚音速,多用途直升机,"
W-3的米-2血统单一，原型机于1979年11月16日首飞；生产了几种变种机型，此外，还评估了一些一次性的专门改型。大约有124架W3被生产或订购。图示为W-3A。
",NULL,NULL,单旋翼,18.8米,6400千克,NULL
Whisper Jet（西科斯基)S-55QT单发涡轮轻型直升机,飞行器,183千米每小时,NULL,盖瑞特TSE331涡轮轴发动机,NULL,双发,15.3米,NULL,NULL,398千米,{'$oid': '5cc93171831b973d657f1478'},NULL,http://images.huanqiu.com/sarons/2014/01/9093108caad5c8760d6ec20be9a247c7.jpg,4.7米,2177千克,NULL,NULL,美国,亚音速,多用途直升机,,NULL,NULL,NULL,19米,3597千克,NULL
施韦策330单发涡轮轻型直升机,飞行器,195千米每小时,NULL,罗尔斯·罗伊斯250型涡轮轴发动机,1988年6月14日,单发,8.4米,NULL,NULL,590千米,{'$oid': '5cc93171831b973d657f1479'},NULL,http://images.huanqiu.com/sarons/2014/01/81d6cb03debb06f4a284ba9aae2aba78.jpg,3.4米,549千克,1993年中期,NULL,美国,亚音速,多用途直升机,,施韦策飞机公司,NULL,单旋翼,9.5米,1156千克,NULL
西科斯基S-76 双发涡轮中型直升机,飞行器,287千米每小时,NULL,普-惠PT6B或透博梅卡·阿赫耶涡轮轴发动机,1977年3月13日,双发,13.4米,NULL,NULL,839千米,{'$oid': '5cc93171831b973d657f147a'},NULL,http://images.huanqiu.com/sarons/2014/01/7dc12412000a7097b0523a0e924045ac.jpg,4.4米,3177千克,1979年年初,NULL,美国,亚音速,多用途直升机,,西科斯基直升机公司,NULL,单旋翼,16米,5301千克,NULL
X-49试验机,飞行器,NULL,16米,两台通用电气T700-GE-701C 发动机,2007年7月30日,双发,NULL,NULL,NULL,NULL,{'$oid': '5cc93171831b973d657f147b'},西科斯基（原产），皮亚塞茨基公司（改装及试验）,http://images.huanqiu.com/sarons/2014/01/cf876cd0328c6c6e07a3d6dd2634572a.jpg,5.23米,6190千克,NULL,NULL,美国,亚音速,多用途直升机,"
X-49A Speedhawk是由皮亚塞茨基（Piasecki）飞机公司以SH-60海鹰改装的高速飞行试验直升机。于2007年6月30日进行了约15分钟的首次试飞，至2007年10月，X-49已试飞24次共19小时，只生产了一架。
",NULL,NULL,单旋翼,20米,9927千克,NULL
麦道MD-902直升机,飞行器,252千米每小时,NULL,两台Pratt & Whitney Canada PW206E或PW207E发动机,NULL,双发,10.34米,NULL,NULL,476千米,{'$oid': '5cc93172831b973d657f147c'},麦道飞机公司（MD）,http://images.huanqiu.com/sarons/2014/01/3c0c37daf43bfddd354e115894e7174b.jpg,3.66米,1531千克,NULL,NULL,美国,亚音速,多用途直升机,,NULL,NULL,单旋翼,11.84米,1860千克,NULL
CA109直升机,飞行器,NULL,12.85米,普惠206C,1971年8月4日（A109原型机）,双发,NULL,NULL,NULL,1019千米,{'$oid': '5cc93172831b973d657f147d'},昌河飞机工业集团公司,http://images.huanqiu.com/sarons/2014/01/8df67c1cb806395a6cb5df82d5884a45.jpg,4.84米,1760千克,1976年（A109最初生产型）,NULL,中国,亚音速,多用途直升机,,昌河飞机工业集团公司，意大利阿古斯特公司,NULL,单旋翼,13.04米,2938千克,NULL
贝尔212直升机,飞行器,185千米每小时,14.6米,2台加拿大普惠集团（Pratt & Whitney Canada）T400-CP-400 涡轮轴发动机， 1800 轴马力（1342 千瓦）900 轴马力,NULL,单发,14.6米,NULL,NULL,420千米,{'$oid': '5cc93172831b973d657f147e'},NULL,http://images.huanqiu.com/sarons/2014/01/8751a8ba8cd72be51867dc616f04b178.jpg,4.4米,2721.5千克,1968年,NULL,美国,亚音速,多用途直升机,"
贝尔-212直升机是美国贝尔直升机公司在UH-1基础上发展的军民两用通用型直升机。美国军用编号UH-1N。民用型贝尔-212，又称“双212”，主要用于载客、救护、近海石油开发等任务。 

贝尔 UH-1N Twin Huey（UH-1N 双休伊）是在1968年推出的中型军用直升机，UH-1N具有15个座位，包括1名飞行员及14名乘客，而执行运输任务时内部容量达220平方尺（6.23平方米），外力负载可达5000磅（2268公斤）。
",贝尔直升机公司,NULL,单旋翼,12.69米,4762.7千克,NULL
H410G公安警用型直升机,飞行器,296千米每小时,NULL,双发涡轮式发动机,NULL,双发,11.93米,NULL,NULL,973千米,{'$oid': '5cc93172831b973d657f147f'},中国哈尔滨航空工业（集团）有限公司,,3.97米,1975千克,2005年7月26日,NULL,中国,亚音速,多用途直升机,,NULL,NULL,单旋翼,13.68米,4100千克,NULL
